,Question,Mark Scheme
0,"5-hydroxypentanoic acid is readily converted into the cyclic compound L.

Which statements about this reaction are correct?
1. Acidified sodium dichromate(VI) is used as a reagent.2. A water molecule is produced in the reaction.3. The reaction can be catalysed by concentrated H2SO4.

1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",C
1,"Three compounds, X, Y and Z, are shown.

Which statements about X, Y and Z are correct?



X reacts with alkaline aqueous iodine.
Y reacts with Tollens' reagent.
Z does not react with alkaline aqueous iodine.




1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",A
2,"Bromoethane reacts with NaOH in different ways depending on the solvent used.
Which rows about these reactions are correct?



 
solvent used
organic product


1
water
ethan-1,2-diol


2
ethanol
ethene


3
water
ethanol




1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",C
3,"The diagram shows a molecule of a compound used as a flame retardant.

Which statements about this structure are correct?

Each brominated C atom is chiral.
The molecular formula is C12H20Br6.
The C–C–C bond angles are all 120°.


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",D
4,"Which statements help to explain the increase in melting point from sodium to aluminium?

The charge on the metal ion increases.
There are more delocalised electrons per metal ion.
The radius of the metal ion decreases.


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",A
5,"Which reagents produce a solution of sodium chlorate(V)?

chlorine and hot concentrated sodium hydroxide solution
hlorine and cold dilute sodium hydroxide solution
chlorine dissolved in water at room temperature


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",D
6,"Element X is a solid under room conditions. It occurs as a contaminant of fossil fuels.
Its oxide, Y, is formed when fossil fuels are burned.
In the atmosphere, Y can be further oxidised to Z.
Which statements about X, Y and Z are correct?

Atoms of X have paired p electrons.
The atmospheric oxidation of Y to Z is a catalysed reaction.
With water, Z forms a strong acid.


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",A
7,"Disaccharides are hydrolysed in slightly acidic solutions. This reaction is very slow.
A biological catalyst is added to a slightly acidic mixture of three disaccharides, sucrose, maltose and lactose. The hydrolysis reaction remains slow for sucrose and maltose but is now much faster for lactose.
Which statements about the catalyst are correct?

The catalyst increases the activation energy of all three hydrolysis reactions.
The catalyst shows specificity.
The hydrolysis of lactose using a catalyst has a different mechanism to the hydrolysis of lactose without a catalyst.


1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",C
8,"The equation shows the decomposition of three moles of an ion containing chromium in an acid solution.
3CrO43–(aq) + 8H+(aq) → 2CrO42–(aq) + Cr3+(aq) + 4H2O(l)
Which statements are correct?



One mole of CrO43– is reduced.
Two moles of CrO43– are oxidised.
Three moles of electrons are transferred.




1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",B
9,"Which statements about first ionisation energies are correct?
1. They are always endothermic.2. They decrease down Group 2.3. They decrease across Period 3.

1, 2 and 3 are correct
1 and 2 only are correct
2 and 3 only are correct
1 only is correct",B
