words,0,1,2,3,4
circuit,5.0,0.0,0.0,0.0,0.0
electrical,4.656911212181134,0.0,0.0,0.0,0.0
wiring,4.213960846351592,0.0,0.0,0.0,0.0
relay,4.099268340913585,0.0,0.0,0.0,0.0
wire,3.3290488431876604,0.0,0.0,0.0,0.0
electric,1.8448025838771338,0.0,0.0,0.5235404896421846,0.0
resistor,3.129325687166304,0.0,0.0,0.0,0.0
transformer,2.814910025706941,0.0,0.0,0.0,0.0
lamp,2.7842594423571287,0.0,0.0,0.0,0.0
voltage,2.759541229978248,0.0,0.0,0.0,0.0
current,2.284531342693296,0.0,0.0,0.025197740112994343,0.0
switch,2.693296420802847,0.0,0.0,0.0,0.0
resistance,1.7006679410278378,0.38233378638577425,0.0,0.0,0.0
insulation,2.6478149100257067,0.0,0.0,0.0,0.0
diagram,0.0,0.2132154966094936,0.0,0.032842053549496465,0.511709147367059
fuse,2.5331224045877,0.0,0.0,0.0,0.0
electromotive,2.4639114099268338,0.0,0.0,0.0,0.0
lighting,2.4302946410915554,0.0,0.0,0.0,0.0
thermistor,2.328455606090567,0.0,0.0,0.0,0.0
component,2.2384813130314414,0.0,0.0,0.0,0.0
electromagnet,2.219695471623492,0.0,0.0,0.0,0.0
operate,2.2187067431283363,0.0,0.0,0.0,0.0
function,2.2177180146331814,0.0,0.0,0.0,0.0
conductor,0.7054886790587304,0.0,0.0,0.44332627118644063,0.0
voltmeter,2.1623492189044886,0.0,0.0,0.0,0.0
breaker,2.140597192011074,0.0,0.0,0.0,0.0
volt,2.128732450069211,0.0,0.0,0.0,0.0
power,0.9720613576654709,0.6262287024901702,0.0,0.0,0.0
protect,1.426179058730472,0.0,0.02578599812996725,0.0,0.0
arrangement,1.902313624678663,0.0,0.0,0.0,0.0
design,1.8874826972513346,0.0,0.0,0.0,0.0
apparatus,1.8657306703579195,0.0,0.0,0.0,0.0
reduce,0.5475084041922087,0.0,0.0,0.4487994350282485,0.0
battery,1.752026893415068,0.0,0.0,0.0,0.0
street,1.692703183705754,0.0,0.0,0.0,0.0
transform,1.691714455210599,0.0,0.0,0.0,0.0
neutral,0.38733438797706154,0.0,1.2780504908835901,0.0,0.0
house,0.554478940083053,0.0,0.0,0.0,0.5139086557122525
repel,0.5157866983059783,0.0,0.0,0.0,0.0
variable,1.6353569309867506,0.0,0.0,0.0,0.0
magnetism,1.6244809175400434,0.0,0.0,0.0,0.0
table,0.0,0.06020642201834863,0.0,0.28006456820016146,0.007300889044969749
operation,1.5849317777338339,0.0,0.0,0.0,0.0
consist,0.18505701667655391,0.0,1.417621162537011,0.0,0.0
contain,0.0,0.011963416015403723,0.03840709573528625,0.37740112994350256,0.0
light,0.019547986289631517,0.0,0.0,0.04745762711864403,2.1031046491568546
parallel,1.5295629820051415,0.0,0.0,0.0,0.0
combine,1.5285742535099855,0.0,0.0,0.0,0.0
prevent,0.674312833695867,0.0,0.0,0.18870056497175125,0.0
electron,0.2588491200316392,0.0,1.7124824684431976,0.0,0.0
turn,1.1120970931382241,0.0,0.0,0.06903954802259885,0.0
change,0.04900860954351164,0.107621736062103,0.0,0.2570730117340288,0.0
building,1.4534308878781885,0.0,0.0,0.0,0.0
meter,1.452442159383033,0.0,0.0,0.0,0.0
ammeter,1.4415661459363256,0.0,0.0,0.0,0.0
wall,0.1927526201305121,0.0,0.0,0.0,0.254496053823263
turning,1.37631006525608,0.0,0.0,0.0,0.0
coil,1.3575242238481313,0.0,0.0,0.0,0.0
graph,0.0,1.3379204892966359,0.0,0.14237288135593215,0.0
motor,1.3288510974886294,0.0,0.0,0.0,0.0
brightness,1.2764484872454025,0.0,0.0,0.0,0.0
domestic,1.275459758750247,0.0,0.0,0.0,0.0
suitable,0.47631995254103227,0.0,0.0,0.5387005649717514,0.0
supply,0.7563772987937514,0.0,0.0,0.2067796610169492,0.0
input,1.252719003361677,0.0,0.0,0.0,0.0
