words,kinetic,processes,properties
evaporation,0.8155085403726712,0.0,0.0
molecule,1.7162066915760876,0.0,0.0
evaporate,2.1809976708074537,0.04700460829493086,0.0
laboratory,0.5526494565217392,1.1559607293127632,0.0
diagram,0.14132729876615763,0.08215003222015844,0.0
beaker,0.0,6.823092377090267e-05,0.015262321144674112
substance,0.0747282608695652,0.0,0.28337858220211165
convection,0.0,0.8764278026028245,0.0
liquid,0.21134822814995555,0.0,0.0
conduction,0.0,0.5790915956413857,0.0
container,0.9898869812252964,0.42351141144970034,0.0
compressible,3.0,0.0,0.0
oxygen,1.1234714673913044,0.0,0.0
matter,1.1093750000000002,0.0,0.3012066365007541
solidify,0.0868716032608695,0.0,0.12579185520361993
particle,1.5413836050724639,0.0,0.0
microscope,2.8552989130434794,0.0,0.0
water,0.48036096885451496,0.0,0.0
gas,0.5857576726342716,0.0,0.0
contain,0.2956503861556064,0.0,0.0
thermometer,0.0,0.01922096136682383,0.5136363636363632
air,0.4617254321097647,0.17240360517784462,0.0
expand,0.1863111413043477,0.0,0.0
pour,0.4430197010869565,0.24835203366058892,0.0
kinetic,2.6086956521739135,0.0,0.0
absorbent,2.579144021739131,0.0,0.0
density,0.0,0.0,0.06534348004936219
table,0.0,0.040287517531556814,0.0
compress,2.4884510869565224,0.0,0.0
process,0.03151128762541804,0.07923184809580322,0.0
react,0.8865489130434783,0.0,0.0515837104072398
temperature,0.0,0.032118546367755144,0.0
damp,2.3468070652173916,0.0,0.0
combination,2.329483695652174,0.0,0.0
bottle,2.327445652173913,0.0,0.0
cylinder,1.0300611413043477,0.0,0.14947209653092006
melt,0.0,0.0,0.7398601398601401
consist,0.6654211956521741,0.30210378681626926,0.0
energy,0.04359148550724638,0.1640146202558545,0.0
occur,0.293389650283554,0.0,0.0
motion,1.6171875000000002,0.0,0.0
movement,0.3626019021739128,0.0,0.0
grain,2.2133152173913047,0.0,0.0
explain,0.8628566576086958,0.0,0.0
puddle,2.163383152173913,0.0,0.0
make,0.010394021739130439,0.06260869565217383,0.0
observe,2.1470788043478266,0.0,0.0
pump,2.1205842391304346,0.0,0.0
ice,0.0035665760869565072,0.0,0.24165341812400623
inside,0.2802309782608698,0.2481065918653577,0.0
illuminate,2.0910326086956523,0.0,0.0
flask,0.023550724637681132,0.0316970546984572,0.0
quantity,0.24595479249011865,0.0,0.8273138626079802
smoke,1.2113953213610582,0.0,0.0
attract,2.0360054347826084,0.0,0.0
measurement,2.0084918478260874,0.0,0.0
boil,0.34891304347826085,0.0,0.6594570135746606
rectangular,1.9819972826086956,0.0,0.0
volume,0.7247792119565218,0.0,0.2166855203619909
rain,1.9748641304347827,0.0,0.0
decrease,0.30267098515003027,0.0,0.0
jar,1.9504076086956523,0.0,0.0
cup,0.16489045516304343,0.20212131837307148,0.0
soak,1.9341032608695654,0.0,0.0
warming,1.922894021739131,0.0,0.0
radiation,0.014128598707403031,0.25982335771957077,0.0
warm,0.0,0.13069775596072933,0.0
surface,0.05902173913043482,0.2648415147265075,0.0
enclose,1.8923233695652173,0.0,0.0
energetic,1.884171195652174,0.0,0.0
atom,0.6159986413043479,0.1338008415147264,0.0
heat,0.0,0.22503357106621705,0.0
graph,0.005400815217391259,0.0,0.25509049773755643
pollen,1.810801630434783,0.0,0.0
windy,1.8077445652173916,0.0,0.0
room,0.024502840909090932,0.5296952696672194,0.0
direction,0.42915372670807456,0.4091564816670006,0.0
light,1.7547554347826084,0.0,0.0
cold,0.0440480364656382,0.0,0.0
lamp,1.7323369565217397,0.0,0.0
change,0.08406929347826086,0.0,0.0
produce,1.7160326086956523,0.0,0.0
outlet,1.7109375,0.0,0.0
cloth,1.6844429347826089,0.0,0.0
