words,safety,circuits,quantities,effects,magnetism
circuit,0.8553254284678712,0.9876719352609405,0.039059094376634684,0.005956099500227161,0.0
electrical,0.5983146067415732,0.10471440161052833,0.5228568412162162,0.18869842697489284,0.0
relay,0.744155209714565,0.7274671233837126,0.0,0.15675233466013475,0.0
wiring,3.0,1.1996083851647088,0.0,0.0,0.0
wire,0.02095620270580141,0.0,0.4099541505791508,0.0,0.0
fuse,2.9454253611556984,0.1398679259771174,0.0,0.013781910211267595,0.0
electric,0.2485344406448461,0.017214526807087068,0.0,0.76157522581139,0.08544921874999996
current,0.07098715890850703,0.0,0.07044116870777023,0.0,0.0290786743164062
heater,2.350722311396469,0.8232550103662752,0.0,0.0,0.0
appliance,4.653290529695024,0.0,0.0,0.0,0.0
operate,0.9707062600321028,0.070116332642248,0.0,0.2866417253521126,0.0
voltage,0.013407610235105281,0.09936040760464519,0.20323057432432437,0.596908657829329,0.0
function,4.354735152487962,0.0,0.0,0.0,0.0
diagram,0.0,0.0,0.0,0.0,0.18010673137626262
switch,0.12698281559814936,0.3227561757253003,0.0,0.0,0.0
breaker,4.186195826645266,0.0,0.0,0.0,0.0
resistor,0.0,0.7368373902582611,0.36717736913049387,0.0,0.0
insulation,0.35185928303905833,0.0,1.3392103040540537,0.091512617370892,0.0
component,0.28777803256133916,1.23881100470596,0.0,0.0,0.0
capacitor,0.32031732312631195,1.4221399712933924,0.0,0.0,0.0
house,1.5192616372391656,0.1723393227366965,0.0,0.0,0.0
replace,0.9419475655430714,0.0,0.0,0.4652655516431923,0.0
power,0.0,0.0,0.0,0.1133912852112675,0.17749023437499983
lamp,0.016586409844836784,1.3770630919956097,0.04006649112347642,0.011240851974592644,0.0
faulty,3.2680577849117176,0.0,0.0,0.0,0.0
protect,2.478184736611703,0.015863542124772183,0.0,0.0,0.0
damage,3.133226324237561,0.0,0.0,0.0,0.0
neutral,2.0562466559657575,0.21255663057667198,0.0,0.0,0.0
operation,0.8559390048154094,0.6150656530753279,0.0,0.0,0.0
branch,3.0497592295345104,0.0,0.0,0.0,0.0
insulated,2.967897271268058,0.0,0.0,0.0,0.0
domestic,1.3840288924558588,0.0,0.0,0.0,0.0
voltmeter,0.0,2.58107559376696,0.0904047254351809,0.005324585223203627,0.0
battery,0.0,0.0,0.28862637749356507,0.0,0.018252418154761904
design,1.1185794542536116,0.6162174614144205,0.0,0.0,0.0
heating,1.2933888443017656,0.6427090532135452,0.0,0.0,0.0
contain,0.1098314606741573,0.0,0.0139094172297297,0.0,0.03951416015625
kettle,2.7833065810593904,0.0,0.0,0.0,0.0
overheat,2.7800963081861956,0.0,0.0,0.0,0.0
break,2.67255216693419,0.0,0.0,0.0,0.0
prevent,2.6677367576243984,0.0,0.0,0.0,0.0
maintain,2.5521669341894064,0.0,0.0,0.0,0.0
work,1.6536115569823435,0.1523842432619212,0.0,0.0,0.0
reduce,0.3751641616810154,0.5901447090113296,0.0,0.1546244798335467,0.0
supply,0.20115277980446522,0.0,0.0,0.1333426696542893,0.14284446022727273
graph,0.0709069020866774,0.6366620594333103,0.048854518581081,0.0,0.0
flow,0.481139646869984,0.0,0.0,0.06622744278169013,0.0
motor,0.02631578947368421,0.0,0.0,1.8681372776130465,0.0
building,2.3434991974317816,0.0,0.0,0.0,0.0
transform,2.335473515248796,0.0,0.0,0.0,0.0
include,0.49839486356340285,0.39262266758811337,0.0,0.0,0.0
safe,1.1449973247726055,0.0,0.0,0.4149244424882628,0.0
desk,2.304975922953451,0.0,0.0,0.0,0.0
suitable,0.08013334979627107,0.0,0.047833290020789995,0.08024106175514614,0.22188626802884615
fail,0.576912787586945,0.7310143592106273,0.0,0.0,0.0
case,1.0487961476725522,0.001209398756047,0.0,0.0413182218309859,0.0
cable,0.15181211455605295,0.0,0.6006484486130869,0.21682727946627114,0.0
allow,0.2878353588626462,0.0,0.0,0.0,0.0
