words,density,energy,forces,mass and weight,moments,momentum,motion
density,5.965431463372792,0.0,0.0,0.5202025055474989,0.0,0.0,0.0
cuboid,7.0,0.0,0.0,0.0,0.0,0.0,0.0
measurement,6.457797220792589,0.0,0.0,0.0,0.0,0.0,0.0
measuring,2.715217018356493,0.0,0.0,0.0,0.0,0.0,2.2068138195777345
shape,1.5511522845542403,0.0,0.0,1.10444294958037,0.9222401289282833,0.0,0.0
cube,6.160576428203809,0.0,0.0,0.0,0.0,0.0,0.0
dimension,4.000997169325784,0.0,0.9526074459348483,0.0,0.0,0.0,0.0
rectangular,5.594956253216676,0.0,0.0,0.0,0.0,0.0,0.0
calculate,2.4852461828787105,1.4780044407438244,0.0,0.0,0.0,0.0,0.0
volume,1.277555492836153,0.0,0.293492754519043,0.4836849708294841,0.0,0.0,0.4742121230883534
measure,0.8468367710519025,0.0,0.24599848853886638,0.4515035704253464,0.0,0.0,0.08551109798710568
cylinder,3.8023938662127033,0.0,0.0,0.04014141249870637,0.0,0.0,0.21530341060091535
table,0.6135958140332818,0.4106161532056618,0.1854913769504516,0.0,0.0,0.0,1.152687140115163
compression,2.955395436610053,1.1019058192247198,0.0,0.0,0.0,0.0,0.0
diagram,0.0,0.02626550524135864,0.07440144033355084,0.0,1.4270749395648672,0.0,0.27875387568285837
foam,5.076170869788987,0.0,0.0,0.0,0.0,0.0,0.0
experiment,1.3670154972265112,0.0,3.1245247437418255,0.0,0.0,0.0,0.0
dense,4.724909933093155,0.0,0.0,0.0,0.0,0.0,0.0
object,0.03359532689892386,0.0,0.0,0.14784205693296604,0.050533387716663034,0.03267894954727224,0.0
quantity,0.8868588094012698,0.2218059024886668,0.0,1.10186430905247,0.0,0.0490888438935256,0.0
stone,2.608089161800983,0.0,0.0,0.0,0.0,0.0,0.14289496326692694
substance,4.492537313432837,0.0,0.0,0.0,0.0,0.0,0.0
compress,4.245753988677303,0.0,0.0,0.0,0.0,0.0,0.0
material,4.141276376737005,0.0,0.0,0.0,0.0,0.0,0.0
make,2.0927546177160172,0.4788704885846155,0.0,0.0,0.15713631977397752,0.0,0.0
liquid,2.7373584662892436,0.0,0.0,0.4942581203152028,0.0,0.0,0.0
contain,1.6048285219669678,0.03915087595354033,0.0,0.36814425244177296,0.0,0.0,0.1801605304484382
datum,3.950334534225425,0.0,0.0,0.0,0.0,0.0,0.0
weight,0.09107526460650268,0.0,0.20767177662195463,0.83508469194194,0.6494879071342652,0.0,0.0
sphere,3.7738033968090585,0.0,0.0,0.0,0.0,0.0,0.0
thermometer,3.7215645908389092,0.0,0.0,0.0,0.0,0.0,0.0
area,1.8852804940813175,0.0,0.0,0.0,0.0,0.0,1.2129238643634033
apparatus,3.6549150797735463,0.0,0.0,0.0,0.0,0.0,0.0
tile,3.617086978898611,0.0,0.0,0.0,0.0,0.0,0.0
height,1.9630832904443303,0.911670829864002,0.0,0.0,0.0,0.0,0.0
student,0.9893713251922205,0.24709206973986314,0.2827895710457987,0.09432932049691607,0.0,0.0,0.0
determine,3.3829130211013894,0.0,0.0,0.0,0.0,0.0,0.0
irregularly,3.3522902727740598,0.0,0.0,0.0,0.0,0.0,0.0
mass,0.4765798371878092,0.0,0.0019024967940132445,0.4547810506345594,0.0,0.0,0.0
glass,3.2820380854348947,0.0,0.0,0.0,0.0,0.0,0.0
water,1.2473091812302808,0.6332484604214684,0.0,0.0,0.0,0.0,0.07181006425769837
ruler,3.0334534225424603,0.0,0.0,0.0,0.0,0.0,0.0
air,0.13247841253502604,0.44950504209455094,0.0,0.0,0.0,0.0,1.4722968650031993
length,0.10543832561331273,0.08221389582755112,2.701335279982967,0.0,0.0,0.0,0.1383450629132011
compare,0.11823783381940868,0.2178123168964135,0.0,2.461032096867193,0.0,0.0,0.3290147152911068
width,2.9325784868759652,0.0,0.0,0.0,0.0,0.0,0.0
equipment,2.9235717961914562,0.0,0.0,0.0,0.0,0.0,0.0
balance,0.22361156599447887,0.0,0.043028146230993186,0.49050227432891275,1.769898827110753,0.0,0.0
size,0.38878881454794995,0.5009251549634562,0.0,0.0,0.3129495329334166,0.0,0.0
pocket,2.8064848172928456,0.0,0.0,0.0,0.0,0.0,0.0
block,1.9959727225939268,0.0,0.08923259421480059,0.0,0.0,0.0,0.0
decrease,0.0622104992279979,0.330095290961236,0.0,1.1791274264847205,0.0,0.0,0.4469426926240745
change,0.0729970835477784,0.708263946711074,0.0,0.1399433019411878,0.0,0.0,0.4188716753496022
resistance,0.1506118831131697,0.3498165109322477,0.0,0.0,0.0,0.0,2.009881282434064
rubber,0.8059487047521018,0.0,1.3301852358791861,0.03610096739060793,0.0,0.0,0.0
use,0.1383897603437087,1.3836295840422832,0.0,0.07706674243120604,0.22978002000879755,0.0,0.0
metal,0.5398793140743058,0.0,0.0915903942362243,0.07219706022445242,0.08076702986137874,0.0,0.0
increase,0.16955672565554195,1.266236469608659,0.0,0.0,0.0,0.0,0.7488065357547121
total,0.10188477674324294,0.0,0.0,0.03280886900913809,0.3288647962298244,0.0,0.17065084627464658
need,0.17189435961952682,0.8147274390682655,0.0,0.0,0.2235353806667263,0.0,0.0
sectional,2.276891405043747,0.0,0.0,0.0,0.0,0.0,0.0
label,0.15044509254493807,0.06127095732979713,0.0,0.0,0.2027486793804278,0.0,0.6730646193218169
order,0.05624177960770846,0.0,0.0,0.22389326670510604,0.20128629838541198,0.0,0.3648432501599487
evaporate,1.137004632012352,0.0,0.0,0.6919277339996157,0.0,0.0,0.0
ask,2.20663921770458,0.0,0.0,0.0,0.0,0.0,0.0
solid,1.4656137416366444,0.0,0.0,0.0,0.29111827379353566,0.0,0.0
oil,0.3925416023331617,1.1936233694143767,0.0,0.0,0.0,0.0,0.0
