words,atom,radioactivity
isotope,0.0748005319148936,0.0
nucleus,0.2475,0.0
neutron,0.39016885205343904,0.0
nucleon,0.30578457446808516,0.0
proton,0.25570478723404244,0.0
nuclide,0.5234407592824362,0.0
uranium,2.0,0.0
radioactive,0.0,0.6997574562443574
radium,1.9049202127659572,0.0
element,0.2893460575719649,0.0
atom,0.10028429933969202,0.0
nuclear,0.0,0.1105050984111928
notation,1.7480053191489362,0.0
electron,0.0,0.061685803238810635
nitrogen,1.466090425531915,0.0
neutral,1.3989361702127658,0.0
atomic,0.1356382978723403,0.0
structure,1.3257978723404253,0.0
neptunium,1.3164893617021276,0.0
contain,0.1719858156028368,0.0
americium,1.2918882978723403,0.0
helium,0.003989361702127628,0.0
emission,0.0,0.8536874555371112
polonium,1.240691489361702,0.0
consist,0.023271276595744662,0.0
orbit,1.1436170212765957,0.0
thermionic,0.0,0.0912971306616077
decay,0.0,0.3885068374041577
composition,1.0611702127659572,0.0
symbol,0.9840425531914893,0.0
matter,0.9640957446808508,0.0
equation,0.0,0.0792032250414986
diagram,0.0,0.1958307284368466
carbon,0.8769946808510636,0.0
alpha,0.8457446808510638,0.0
lithium,0.8238031914893617,0.0
provide,0.822473404255319,0.0
particle,0.0,0.33479870852410554
lead,0.0,0.2160087955677236
charge,0.06477171985815604,0.0
emit,0.0,0.5198654795524609
attract,0.7273936170212766,0.0
graph,0.0,0.272421152478065
rate,0.0,0.17362105762390312
form,0.0,0.012093905620109
unstable,0.5624999999999998,0.0
particular,0.5611702127659574,0.0
metal,0.0,0.04236819223776773
detector,0.0,0.5695802703343609
beta,0.50531914893617,0.0
remain,0.04404920212765955,0.0
affect,0.454787234042553,0.0
po,0,0
count,0.0,0.2964192553948303
equal,0.351063829787234,0.0
value,0.0,0.0139909888546359
correct,0.08604505632040048,0.0
repel,0.20159574468085106,0.0
support,0.3251329787234042,0.0
make,0.0,0.07778041261560346
certain,0.24468085106382978,0.0
compare,0.0,0.07446051695518133
type,0.0,0.2820330408663346
scatter,0.3005319148936168,0.0
chlorine,0.2972074468085106,0.0
pass,0.07025709219858153,0.0
mass,0.026152482269503535,0.0
number,0.0,0.01375385345032012
positive,0.2014627659574467,0.0
statement,0.2155363475177305,0.0
conclusion,0.257313829787234,0.0
stay,0.0910904255319148,0.0
decrease,0.0,0.17579637973282747
change,0.0,0.14583827365425653
evidence,0.1768617021276594,0.0
scale,0.1615691489361702,0.0
increase,0.0,0.1476879298079203
key,0.1489361702127658,0.0
use,0.0,0.30704292150818124
substance,0.0,0.41054605816284734
close,0.027792553191489364,0.0
represent,0.12616356382978716,0.0
model,0.1289893617021276,0.0
source,0.0,0.22687672052046054
experiment,0.0,0.40839986298843306
scientist,0.0,0.6180697178088689
gold,0.017287234042553,0.0
total,0.0,0.0
foil,0.0,0.0
understanding,0.0,0.0
size,0.0,0.0
new,0.0,0.0
small,0.0,0.0
travel,0.0,0.0
happen,0.0,0.0
important,0.0,0.0
heavy,0.0,0.0
different,0.0,0.0
diameter,0.0,0.0
true,0.0,0.0
zero,0.0,0.0
hour,0.0,0.34118430010632844
minute,0.0,0.1209140945795838
large,0.0,0.0
time,0.0,0.19417204871040175
slowly,0.0,0.0
undergo,0.0,0.4145126867441308
radiation,0.0,1.8188285511026796
Lead,0.0,0.0
always,0.0,0.0
low,0.0,0.0
one,0.0,0.0
describe,0.0,0.0
randomly,0.0,0.0194451031539008
infra,0.0,0.3822622717571732
relative,0.0,0.0441071852027506
place,0.0,0.1456011382499406
min,0.0,0.010433957789898
sheet,0.0,0.421152478064975
check,0.0,0.1399098885463598
wash,0.0,0.0
release,0.0,0.0
A,0.0,0.0
either,0.0,0.0
path,0.0,0.3964903960161252
open,0.0,0.248043632914394
effective,0.0,0.1422812425895186
know,0.0,0.0
protect,0.0,0.1944510315390086
absorbing,0.0,0.3893763338866492
fast,0.0,0.0
material,0.0,0.4600426843727768
packet,0.0,0.603272468579559
estimate,0.0,0.0981740573867678
present,0.0,0.4709509129713066
aluminium,0.0,0.7721128764524542
rise,0.0,0.2546834242352382
precaution,0.0,0.3979132084420204
mention,0.0,0.4021816457197058
initial,0.0,0.0972255157695042
penetrate,0.0,0.3457434194925302
could,0.0,0.0
safety,0.0,0.4500829973915104
carry,0.0,0.2309698838036518
object,0.0,0.473796537823097
magnesium,0.0,0.6426369456959924
activity,0.0,0.4268437277685558
average,0.0,0.0564382262271756
long,0.0,0.0279819777092718
temperature,0.0,0.3353094617026322
