,Extract,Question,Mark Scheme
0,"The threat from large firms
In 2021, one of the largest United States (US) technology companies averaged sales of US$1.2 billion a day. It took less than four seconds to earn US$52000, the average American yearly salary. Three of the largest technology companies reported record breaking sales and profits. Five of the largest companies made combined profits of over US$68 billion. 
They were helped by the Covid-19 pandemic that caused a huge increase in online working and shopping. The ability to work and shop online was greatly welcomed by many who were forced to stay at home.
Critics, however, worry that if this trend to large firms continues the future will be controlled by a handful of super-rich, super-powerful companies. They will dominate economic activity. This is not just bad for the economy; it is bad for consumers and bad for competition. Also, economic concentration causes unacceptable inequality. One powerful firm tried to prevent workers joining a trade union.
Their huge cash reserves mean that they could undercut possible new entrants and prevent competition. Investors will be wary of investing in possible competitors and new owners would be prepared to sell out to the dominant firms rather than try and compete.
The size of the firm gives it political power to fight any official or government intervention. Governments are beginning to be aware of this. The chair of the US body that deals with competition law said there was a range of potential risks created by the large companies. The government is aware of their ability to avoid paying taxes and their ability to dominate allows them to expand into markets for similar products.
Ten years ago, a co-founder of one of the large firms said ‘Joseph Schumpeter, the economist who used the term creative destruction would be proud’. But now that co-founder is not so sure. ‘We went from being pirates to being the navy. People may love pirates when they are young and small, but nobody likes a navy that acts like a pirate. Today’s technology giants are just like that’.
Source: The Guardian, 31 July 2021





",Distinguish between limit pricing and predatory pricing. [4],"a.i

Distinguish between limit pricing and predatory pricing.
Limit Pricing is a strategy used by the existing supplier to restrict the entry of new entrants into the market. The existing firm sets a price low enough to prevent new entrants considering it a worthwhile market in which to try and compete. They set a price possibly close to average cost so that just normal profit is made. (2)
Predatory pricing by contrast is a strategy which is used by one supplier to force another supplier already in the market to leave the market. They set a price below unit cost in the short run to drive out competition. Then later raise prices to recover those losses. It is considered anti-competitive and is illegal under their anti-trust laws. (2)
1 mark for explanation and 1 mark for development for each concept

4

"
1,"The threat from large firms
In 2021, one of the largest United States (US) technology companies averaged sales of US$1.2 billion a day. It took less than four seconds to earn US$52000, the average American yearly salary. Three of the largest technology companies reported record breaking sales and profits. Five of the largest companies made combined profits of over US$68 billion. 
They were helped by the Covid-19 pandemic that caused a huge increase in online working and shopping. The ability to work and shop online was greatly welcomed by many who were forced to stay at home.
Critics, however, worry that if this trend to large firms continues the future will be controlled by a handful of super-rich, super-powerful companies. They will dominate economic activity. This is not just bad for the economy; it is bad for consumers and bad for competition. Also, economic concentration causes unacceptable inequality. One powerful firm tried to prevent workers joining a trade union.
Their huge cash reserves mean that they could undercut possible new entrants and prevent competition. Investors will be wary of investing in possible competitors and new owners would be prepared to sell out to the dominant firms rather than try and compete.
The size of the firm gives it political power to fight any official or government intervention. Governments are beginning to be aware of this. The chair of the US body that deals with competition law said there was a range of potential risks created by the large companies. The government is aware of their ability to avoid paying taxes and their ability to dominate allows them to expand into markets for similar products.
Ten years ago, a co-founder of one of the large firms said ‘Joseph Schumpeter, the economist who used the term creative destruction would be proud’. But now that co-founder is not so sure. ‘We went from being pirates to being the navy. People may love pirates when they are young and small, but nobody likes a navy that acts like a pirate. Today’s technology giants are just like that’.
Source: The Guardian, 31 July 2021





",Explain whether there is any evidence in the article of these two types of pricing policy. [2] ,"a.ii

Explain whether there is any evidence in the article of these two types of pricing policy.
Limit pricing: yes, investors not prepared to invest in new companies. Potential owners prepared to sell to existing large firms. (1)
Also new owners might choose to leave the industry and this might be described as Predatory pricing. (1)
Must explain both types from the article to gain 2 marks

2

"
2,"The threat from large firms
In 2021, one of the largest United States (US) technology companies averaged sales of US$1.2 billion a day. It took less than four seconds to earn US$52000, the average American yearly salary. Three of the largest technology companies reported record breaking sales and profits. Five of the largest companies made combined profits of over US$68 billion. 
They were helped by the Covid-19 pandemic that caused a huge increase in online working and shopping. The ability to work and shop online was greatly welcomed by many who were forced to stay at home.
Critics, however, worry that if this trend to large firms continues the future will be controlled by a handful of super-rich, super-powerful companies. They will dominate economic activity. This is not just bad for the economy; it is bad for consumers and bad for competition. Also, economic concentration causes unacceptable inequality. One powerful firm tried to prevent workers joining a trade union.
Their huge cash reserves mean that they could undercut possible new entrants and prevent competition. Investors will be wary of investing in possible competitors and new owners would be prepared to sell out to the dominant firms rather than try and compete.
The size of the firm gives it political power to fight any official or government intervention. Governments are beginning to be aware of this. The chair of the US body that deals with competition law said there was a range of potential risks created by the large companies. The government is aware of their ability to avoid paying taxes and their ability to dominate allows them to expand into markets for similar products.
Ten years ago, a co-founder of one of the large firms said ‘Joseph Schumpeter, the economist who used the term creative destruction would be proud’. But now that co-founder is not so sure. ‘We went from being pirates to being the navy. People may love pirates when they are young and small, but nobody likes a navy that acts like a pirate. Today’s technology giants are just like that’.
Source: The Guardian, 31 July 2021





",Assess three possible positive effects on the macroeconomy of the huge increase in the size of the five largest technology companies. [6],"b

Assess three possible positive effects on the macro economy of the huge increase in the size of the five largest technology companies.

Increase in employment
increase in aggregate demand
increase in economic growth
possible increase in economic development
multiplier effects.

Any three with a development for each one, 2 marks each.Also marks might be gained for relevant comments relating to inflation and the balance of payments.
N.B: Must assess effects on macro economy not micro economy

6

"
3,"The threat from large firms
In 2021, one of the largest United States (US) technology companies averaged sales of US$1.2 billion a day. It took less than four seconds to earn US$52000, the average American yearly salary. Three of the largest technology companies reported record breaking sales and profits. Five of the largest companies made combined profits of over US$68 billion. 
They were helped by the Covid-19 pandemic that caused a huge increase in online working and shopping. The ability to work and shop online was greatly welcomed by many who were forced to stay at home.
Critics, however, worry that if this trend to large firms continues the future will be controlled by a handful of super-rich, super-powerful companies. They will dominate economic activity. This is not just bad for the economy; it is bad for consumers and bad for competition. Also, economic concentration causes unacceptable inequality. One powerful firm tried to prevent workers joining a trade union.
Their huge cash reserves mean that they could undercut possible new entrants and prevent competition. Investors will be wary of investing in possible competitors and new owners would be prepared to sell out to the dominant firms rather than try and compete.
The size of the firm gives it political power to fight any official or government intervention. Governments are beginning to be aware of this. The chair of the US body that deals with competition law said there was a range of potential risks created by the large companies. The government is aware of their ability to avoid paying taxes and their ability to dominate allows them to expand into markets for similar products.
Ten years ago, a co-founder of one of the large firms said ‘Joseph Schumpeter, the economist who used the term creative destruction would be proud’. But now that co-founder is not so sure. ‘We went from being pirates to being the navy. People may love pirates when they are young and small, but nobody likes a navy that acts like a pirate. Today’s technology giants are just like that’.
Source: The Guardian, 31 July 2021





","The article says the growth of large firms is bad for consumers, bad for competition, and causes inequality.Consider whether this statement can be supported by the article and by economic theory. [8]","c

The article says the growth of large firms is bad for consumers, bad for competition, and causes inequality.
Consider whether this statement can be supported by the article or by economic theory.
In support: Article mentions profit compared with salaries, restriction on union membership, avoidance of tax, expansion into adjacent markets.
Theory: Growth of firms can lead to less choice, higher prices, restricted output, higher profits. This is supported by the article and by theory. It can be detrimental for consumers and detrimental for competition. Monopolies can be formed, small firms forced out of the market. (4 marks for support)
Against the statement: Article mentions consumers working/staying at home and welcoming the service the firms provide.
Theory: Large firms can also have economies of scale, can reduce prices, can encourage innovation and research. This is not mentioned in the article but is supported by economic theory. (4 marks for against the statement)
Conclusion: statement is not therefore always true. (1 mark)
8 marks maximum

8


"
4,"Reduced Migration to the United States (US)
The factors of production land, labour, capital and enterprise form the basis for all economic output. Whilst land is geographically fixed, the other factors of production, for example labour, are mobile. Large numbers of migrants move from country to country every year. Many migrate to the US. 
The average increase in the number of migrants working in the US was 0.6 million per year until 2018. However, the Covid-19 restrictions in place since 2019 prevented migration and by 2022 the total number of migrants working in the US was nearly 2 million lower than expected.
Half of migrants initially come as students, to be college educated, often in science-based subjects. Post-graduation, they often remain to work in the high-tech industries, before many return to their home countries with enhanced skills. 
Well-educated immigrants are three times more likely to start businesses than inhabitants of the US. The reduction in the number of new migrants would reduce the number of new businesses and this, in turn, would reduce job creation by an estimated 200000.
The remaining non-college educated migrants work mainly in lower-paid sectors such as retail and agriculture. They also play an important role in industries such as hospitality and food-related services. Many of the migrants send money to family members who remain in their home countries. 
Fig. 1.1 shows the relationship between job vacancies in various industries and the share of migrant workers in the workforces of these industries in the US.

Source: US Bureau of Labor Statistics and Current Population Survey, US Census Bureau 
Fig. 1.1: Unfilled job vacancies (%) and migrant workers in the workforce (%) for selected US industries, 2019
The reduction in migrants took place at the same time as more older US workers retired.
Mexicans and Central Americans form the largest share of migrants, at over 35% of the total. Average incomes in their home countries are between 10% and 20% of the US average. There is also significant unemployment and under-employment in their home countries. In the US, migrants earn on average 12% less than the average wage for all workers. This varies by ethnic origin: Hispanic workers earn 16% less than the average while white workers earn 15% more than average. 
Sources: G Peri and R Zaiour, University of California, Davis. The EconoFact Network,Statista.comN Ward and J Batalova, Migration Policy Institute, 14 March 2023

",Identify the relationship between the variables shown in Fig. 1.1 and suggest one possible reason for the relationship. [2],"a

Identify the relationship between the variables shown in Fig. 1.1 and suggest one possible reason for the relationship.
As the rate of unfilled jobs increases the foreign-born share of employment increases. (1) They are directly proportional. (1)
This suggests that the US uses immigrants to fill labour shortages. (1)Immigrants will be drawn to those occupations where there are most vacancies. (1)
Some jobs with the high foreign-born share rate and high unfilled job rate may be regarded as ‘starter’ jobs (1) which are taken initially whilst looking for something better. (1)

2

"
5,"Reduced Migration to the United States (US)
The factors of production land, labour, capital and enterprise form the basis for all economic output. Whilst land is geographically fixed, the other factors of production, for example labour, are mobile. Large numbers of migrants move from country to country every year. Many migrate to the US. 
The average increase in the number of migrants working in the US was 0.6 million per year until 2018. However, the Covid-19 restrictions in place since 2019 prevented migration and by 2022 the total number of migrants working in the US was nearly 2 million lower than expected.
Half of migrants initially come as students, to be college educated, often in science-based subjects. Post-graduation, they often remain to work in the high-tech industries, before many return to their home countries with enhanced skills. 
Well-educated immigrants are three times more likely to start businesses than inhabitants of the US. The reduction in the number of new migrants would reduce the number of new businesses and this, in turn, would reduce job creation by an estimated 200000.
The remaining non-college educated migrants work mainly in lower-paid sectors such as retail and agriculture. They also play an important role in industries such as hospitality and food-related services. Many of the migrants send money to family members who remain in their home countries. 
Fig. 1.1 shows the relationship between job vacancies in various industries and the share of migrant workers in the workforces of these industries in the US.

Source: US Bureau of Labor Statistics and Current Population Survey, US Census Bureau 
Fig. 1.1: Unfilled job vacancies (%) and migrant workers in the workforce (%) for selected US industries, 2019
The reduction in migrants took place at the same time as more older US workers retired.
Mexicans and Central Americans form the largest share of migrants, at over 35% of the total. Average incomes in their home countries are between 10% and 20% of the US average. There is also significant unemployment and under-employment in their home countries. In the US, migrants earn on average 12% less than the average wage for all workers. This varies by ethnic origin: Hispanic workers earn 16% less than the average while white workers earn 15% more than average. 
Sources: G Peri and R Zaiour, University of California, Davis. The EconoFact Network,Statista.comN Ward and J Batalova, Migration Policy Institute, 14 March 2023

","With the help of a production possibility curve (PPC) diagram, explain both the likely effect of the prevention of migration to the US from 2019 and the retirement of older US workers on the US’s productive potential. [4]","b

With the help of a production possibility curve (PPC) diagram, explain both the likely effect of the prevention of migration to the US from 2019 and the retirement of older US workers on the US’s productive potential.

Axes/labels (1)
Shift in PPC from PPC to PPC1 (1)
The prevention of migration will mean the PPC will not change (1)
The retirement of older US workers will shift the PPC to the left (inwards) (1)

4

"
6,"Reduced Migration to the United States (US)
The factors of production land, labour, capital and enterprise form the basis for all economic output. Whilst land is geographically fixed, the other factors of production, for example labour, are mobile. Large numbers of migrants move from country to country every year. Many migrate to the US. 
The average increase in the number of migrants working in the US was 0.6 million per year until 2018. However, the Covid-19 restrictions in place since 2019 prevented migration and by 2022 the total number of migrants working in the US was nearly 2 million lower than expected.
Half of migrants initially come as students, to be college educated, often in science-based subjects. Post-graduation, they often remain to work in the high-tech industries, before many return to their home countries with enhanced skills. 
Well-educated immigrants are three times more likely to start businesses than inhabitants of the US. The reduction in the number of new migrants would reduce the number of new businesses and this, in turn, would reduce job creation by an estimated 200000.
The remaining non-college educated migrants work mainly in lower-paid sectors such as retail and agriculture. They also play an important role in industries such as hospitality and food-related services. Many of the migrants send money to family members who remain in their home countries. 
Fig. 1.1 shows the relationship between job vacancies in various industries and the share of migrant workers in the workforces of these industries in the US.

Source: US Bureau of Labor Statistics and Current Population Survey, US Census Bureau 
Fig. 1.1: Unfilled job vacancies (%) and migrant workers in the workforce (%) for selected US industries, 2019
The reduction in migrants took place at the same time as more older US workers retired.
Mexicans and Central Americans form the largest share of migrants, at over 35% of the total. Average incomes in their home countries are between 10% and 20% of the US average. There is also significant unemployment and under-employment in their home countries. In the US, migrants earn on average 12% less than the average wage for all workers. This varies by ethnic origin: Hispanic workers earn 16% less than the average while white workers earn 15% more than average. 
Sources: G Peri and R Zaiour, University of California, Davis. The EconoFact Network,Statista.comN Ward and J Batalova, Migration Policy Institute, 14 March 2023

","Using the information and labour market theory, analyse why the wages received by migrant workers in the high-tech industries are likely to be higher than the wages received by migrant workers in the hospitality industry. [6]","c

Using the information and labour market theory, analyse why the wages received by migrant workers in the high-tech industries are likely to be higher than the wages received by migrant workers in the hospitality industry.
Demand:Theory suggests that the MPP of the educated will be higher than unskilled/less educated. (1)The value of the output of the educated will be greater than the less educated (1) anddemand will be higher resulting in higher wages (1).
Some college educated become entrepreneurs in high-tech industries and gain the benefits of profits which can be very high. (1)There may be prejudice against less educated workers which is reflected in their pay. (1)
Supply:The increase in immigrants has fallen and this may cause the wage gap for the low paid to narrow (1) and for the educated to widen. (1)
Other candidates may analyse the problem in terms of elasticity of supply Unskilled, high wage elasticity of supply (1) andSkilled, low elasticity of supply (1)
If a diagram is used award axes and all labels (1) relevant S&D (1)
Missing data if the immigrants are concentrated in particular areas this could lead to an ‘over-supply’ which will reduce the pay of the less educated. (1)

6

"
7,"Reduced Migration to the United States (US)
The factors of production land, labour, capital and enterprise form the basis for all economic output. Whilst land is geographically fixed, the other factors of production, for example labour, are mobile. Large numbers of migrants move from country to country every year. Many migrate to the US. 
The average increase in the number of migrants working in the US was 0.6 million per year until 2018. However, the Covid-19 restrictions in place since 2019 prevented migration and by 2022 the total number of migrants working in the US was nearly 2 million lower than expected.
Half of migrants initially come as students, to be college educated, often in science-based subjects. Post-graduation, they often remain to work in the high-tech industries, before many return to their home countries with enhanced skills. 
Well-educated immigrants are three times more likely to start businesses than inhabitants of the US. The reduction in the number of new migrants would reduce the number of new businesses and this, in turn, would reduce job creation by an estimated 200000.
The remaining non-college educated migrants work mainly in lower-paid sectors such as retail and agriculture. They also play an important role in industries such as hospitality and food-related services. Many of the migrants send money to family members who remain in their home countries. 
Fig. 1.1 shows the relationship between job vacancies in various industries and the share of migrant workers in the workforces of these industries in the US.

Source: US Bureau of Labor Statistics and Current Population Survey, US Census Bureau 
Fig. 1.1: Unfilled job vacancies (%) and migrant workers in the workforce (%) for selected US industries, 2019
The reduction in migrants took place at the same time as more older US workers retired.
Mexicans and Central Americans form the largest share of migrants, at over 35% of the total. Average incomes in their home countries are between 10% and 20% of the US average. There is also significant unemployment and under-employment in their home countries. In the US, migrants earn on average 12% less than the average wage for all workers. This varies by ethnic origin: Hispanic workers earn 16% less than the average while white workers earn 15% more than average. 
Sources: G Peri and R Zaiour, University of California, Davis. The EconoFact Network,Statista.comN Ward and J Batalova, Migration Policy Institute, 14 March 2023

",Evaluate the likely impact of a return to the migration levels prior to 2019 on the macroeconomic performance of the US economy. [8],"d

Evaluate the likely impact of a return to the migration levels prior to 2019 on the macroeconomic performance of the US economy.
Increase supply of labour and therefore aggregate supply will increase. This may stabilise prices. (1 + 1)
There will also be a rise in aggregate demand as migrants spend their income. Migrants likely to have a high MPC, therefore strong Multiplier Effect. (1 + 1)
Payment of remittances will decrease X-M and worsen the B of P. (1 +1)
US domestic employment will increase because immigrants set up new businesses. (1 +1)
Crowding out argument: immigrant labour takes jobs of domestic workers - needs a rational argument to support this. (2)
Both aggregate demand and supply will increase. This will increase GDP, if economic growth is considered good. This refutes the crowding out argument. (1 + 1)
Credit any relevant used diagram- axes/labels (1 + 1)
MAX 7 for content
Conclusion: Allows government to achieve aims of growth, some debate about BoP - probably worsen, employment increase in number. (1)

8


"
8,"Will an increase in exports lead Sri Lanka back into economic growth?
In May 2022, Sri Lanka had to admit that it was unable to pay its debts to other countries for the first time in its history. As a result, in February 2023 it was forced to obtain a loan of US$3bn from the International Monetary Fund (IMF). The question is now, can Sri Lanka trade its way out of trouble?
The main problem faced by Sri Lanka for many years has been a lack of international competitiveness. Despite a growth in exports between 2000 and 2018, over the same period, they fell as a share of the economy from 39% to 23% of Gross Domestic Product (GDP). As a result, the country has found itself unable to earn enough foreign currency to pay for essential imports of food and fuel.
Table 1.1: Sri Lanka balance of trade in goods and services, US$ million,January 2022 to January 2023.



January2022
March2022
May2022
July2022
September2022
November2022
January2023


–858
–762
–404
–123
–205
–450
–410



For many years, Sri Lanka has enjoyed a comparative advantage in growing and exporting tea. However, the ban on imports of fertilisers in 2021 which cut yields by a fifth and an overreliance on outdated methods of production have had a disastrous impact. Another major export is textiles, but these rely heavily on imported raw materials that have rapidly increased in price following the COVID-19 pandemic and the conflict in Ukraine. So, what alternatives exist for Sri Lanka?
Unlike in other Asian nations, Sri Lanka does not appear to have a plan to develop any new comparative advantage. Probably the most likely option would appear to be to take full use of its position at the centre of Indian Ocean shipping lanes by developing its ports. Sri Lanka could become a major shipping hub which would extend opportunities for exports. For example, approximately a third of the world’s oil is transported across the Indian Ocean. 
Other options include allowing the Sri Lankan rupee to depreciate to boost exports because it is felt that the currency is overvalued. There are also suggestions that all import tariffs should be removed. Sri Lanka is currently one of the most protected economies in the World and removing tariffs may help attract much needed foreign investment and encourage local industries to become more efficient.
The question now is, could the introduction of these options lead Sri Lanka back into economic growth?
Source: Adapted from Ben Chu, Economics Editor, BBC Newsnight article and tradingeconomics.com, February 2023

Using Table 1.1: 



",Identify the overall trend in Sri Lanka’s balance of trade in goods and services between January 2022 and January 2023. [1],"a.i

Using Table 1.1:Identify the overall trend in Sri Lanka’s balance of trade in goods and services between January 2022 and January 2023.

The trade deficit has fallen / declined / decreased / reduced (1)


1

"
9,"Will an increase in exports lead Sri Lanka back into economic growth?
In May 2022, Sri Lanka had to admit that it was unable to pay its debts to other countries for the first time in its history. As a result, in February 2023 it was forced to obtain a loan of US$3bn from the International Monetary Fund (IMF). The question is now, can Sri Lanka trade its way out of trouble?
The main problem faced by Sri Lanka for many years has been a lack of international competitiveness. Despite a growth in exports between 2000 and 2018, over the same period, they fell as a share of the economy from 39% to 23% of Gross Domestic Product (GDP). As a result, the country has found itself unable to earn enough foreign currency to pay for essential imports of food and fuel.
Table 1.1: Sri Lanka balance of trade in goods and services, US$ million,January 2022 to January 2023.



January2022
March2022
May2022
July2022
September2022
November2022
January2023


–858
–762
–404
–123
–205
–450
–410



For many years, Sri Lanka has enjoyed a comparative advantage in growing and exporting tea. However, the ban on imports of fertilisers in 2021 which cut yields by a fifth and an overreliance on outdated methods of production have had a disastrous impact. Another major export is textiles, but these rely heavily on imported raw materials that have rapidly increased in price following the COVID-19 pandemic and the conflict in Ukraine. So, what alternatives exist for Sri Lanka?
Unlike in other Asian nations, Sri Lanka does not appear to have a plan to develop any new comparative advantage. Probably the most likely option would appear to be to take full use of its position at the centre of Indian Ocean shipping lanes by developing its ports. Sri Lanka could become a major shipping hub which would extend opportunities for exports. For example, approximately a third of the world’s oil is transported across the Indian Ocean. 
Other options include allowing the Sri Lankan rupee to depreciate to boost exports because it is felt that the currency is overvalued. There are also suggestions that all import tariffs should be removed. Sri Lanka is currently one of the most protected economies in the World and removing tariffs may help attract much needed foreign investment and encourage local industries to become more efficient.
The question now is, could the introduction of these options lead Sri Lanka back into economic growth?
Source: Adapted from Ben Chu, Economics Editor, BBC Newsnight article and tradingeconomics.com, February 2023

Using Table 1.1: 



",Calculate the percentage change in Sri Lanka’s balance of trade in goods and services between January 2022 and January 2023. [1],"a.ii

Calculate the percentage change in Sri Lanka’s balance of trade in goods and services between January 2022 and January 2023.

(Deficit has fallen) by 52% (1).

Guidance: The answer MUST refer to the trade deficit and the fact that it has fallen for the first mark i.e., not simply improved. Accept answers in the range 51% to 53% for part (ii).

1

"
