,Prompt
0," A demand-income graph for normal and inferior goods would show upward-sloping and downward-sloping curves, respectively, with varying gradients reflecting elasticity. "
1," A supply and demand diagram for merit goods shows the marginal social benefit curve lying above the marginal private benefit curve, with the market equilibrium quantity lower than the social optimum. For public goods, the diagram would illustrate zero private supply at any price due to non-excludability. A mixed economy addresses this through government intervention: subsidies for merit goods to lower prices and boost consumption, and direct provision or taxation for public goods. However, the effectiveness of these measures depends on government capacity to accurately assess social benefits and allocate sufficient funding. "
2," A downward-sloping aggregate demand (AD) curve and upward-sloping short-run aggregate supply (SRAS) curve intersecting at an equilibrium price level and real GDP. A rightward shift of the AD curve from AD1 to AD2 shows increased demand due to lower interest rates, leading to higher real GDP from Y1 to Y2 and a rise in the price level from P1 to P2.) Lower interest rates reduce the reward for saving, encouraging households to increase consumption. Simultaneously, borrowing becomes cheaper for firms, raising investment in capital goods. This increases the components of AD (consumption and investment), shifting the AD curve rightward. If the economy operates below full capacity, this raises real GDP, causing economic growth. The extent of price level increases depends on the economy’s proximity to full employment. For instance, in a recession with spare capacity, higher AD may primarily boost output with minimal inflation, as firms utilise idle resources. However, near full employment, the same AD shift would strain resources, pushing prices up more significantly"
3," An outward shift of the aggregate demand curve from AD1 to AD2, intersecting the upward-sloping short-run aggregate supply curve at a higher equilibrium real output level (Y1 to Y2). This illustrates how increased net exports could expand output if the economy operates below full employment"
4," An upward-sloping income-demand curve for normal goods illustrates this, where higher income (on the horizontal axis) corresponds to higher quantity demanded (on the vertical axis). For example, if YED for restaurant meals is +1.5, a 10% income increase results in a 15% rise in demand. However, inferior goods, such as low-quality substitutes, experience reduced demand as incomes grow. If bus travel has a YED of -0.8, a 10% income increase causes an 8% decline in demand, as consumers switch to alternatives like private transport. "
5," A demand and supply diagram with price on the vertical axis and quantity on the horizontal axis. The initial equilibrium is at the intersection of demand curve D and supply curve S1, with price P and quantity Q. The introduction of the tax shifts the supply curve vertically upwards by the amount of the tax to S2, creating a new equilibrium at a higher price P1 and lower quantity Q1.) The tax creates a wedge between the price consumers pay and the price producers receive, reducing the quantity traded in the market. Indirect taxes are often applied to demerit goods, where consumption generates negative externalities, to discourage their use. "
6," A standard aggregate demand and aggregate supply diagram with price level on the vertical axis and real GDP on the horizontal axis, showing the downward-sloping AD curve and upward-sloping SRAS curve. An increase in aggregate demand may arise from lower interest rates, which reduce the cost of borrowing for households and firms. This incentivises higher consumption and investment spending, shifting the AD curve to the right. DIAGRAM: A rightward shift from AD1 to AD2, leading to a higher equilibrium price level (P1 to P2) and real GDP (Y1 to Y2). An increase in aggregate supply could result from technological advancements improving productivity, lowering production costs. Firms can produce more at each price level, shifting the SRAS curve rightward. DIAGRAM: A rightward shift from SRAS1 to SRAS2, reducing the equilibrium price level (P1 to P2) and increasing real GDP (Y1 to Y2)"
7," (A demand and supply graph with price on the vertical axis and quantity on the horizontal axis. The initial demand curve D1 intersects supply curve S at equilibrium E1, with price P1 and quantity Q1. An outward shift to demand curve D2 creates a new equilibrium E2 at price P2 and quantity Q2.) The shift from D1 to D2 illustrates how factors such as rising consumer income, changes in the price of substitute goods, or increased preferences for the product can increase demand. For instance, higher income for normal goods raises consumers’ purchasing power, enabling them to buy more at every price. Similarly, if a substitute good becomes more expensive, consumers may switch to this product, increasing its demand. "
8," (A second supply curve S2 intersects D2 at a new equilibrium E3, with price P3 lower than P2 but higher than P1, and quantity Q3 higher than Q2.) This increased elasticity of supply reduces the price from P2 to P3, though it remains above the original price P1. "
9," The circular flow diagram includes households supplying factors of production to firms and receiving income, which is spent on goods and services. Injections into the flow—government spending (G), investment (I), and exports (X)—increase national income, while leakages—taxation (T), savings (S), and imports (M)—withdraw income from the flow.) Equilibrium occurs when total injections (G + I + X) equal total leakages (T + S + M). If injections exceed leakages, national income rises as more spending enters the economy, stimulating production and employment. Conversely, if leakages exceed injections, income contracts, leading to reduced output and potential unemployment. For instance, an increase in exports raises injections, shifting the economy toward a higher equilibrium level of income, while higher imports divert spending abroad, acting as a leakage that reduces domestic income. The equilibrium is dynamic, adjusting to changes in any component of injections or leakages. "
10," A standard supply and demand diagram with axes labelled ‘Price’ and ‘Quantity’, intersecting curves showing equilibrium price (P*) and quantity (Q*). At this point, the market clears, as there is no surplus or shortage. An increase in wages across the economy affects consumer income and production costs, influencing both demand and supply. For normal goods, higher wages raise disposable income, shifting the demand curve to the right. DIAGRAM: A rightward shift in demand from D1 to D2, leading to a higher equilibrium price (P1) and quantity (Q1). Conversely, for inferior goods, demand decreases as income rises, shifting the curve left. DIAGRAM: A leftward shift in demand from D1 to D2, resulting in lower equilibrium price (P1) and quantity (Q1). Simultaneously, higher wages increase firms’ production costs, shifting the supply curve left. DIAGRAM: A leftward supply shift from S1 to S2, causing price to rise (P1) and quantity to fall (Q1). The combined effect depends on the good’s nature: for normal goods, demand rises and supply falls, amplifying price increases but creating uncertainty over quantity. For inferior goods, demand falls and supply contracts, potentially stabilising prices but reducing quantity. "
11," A standard supply and demand diagram with price on the vertical axis and quantity on the horizontal axis. The demand curve slopes downward, and the supply curve slopes upward. Consumer surplus is the triangular area between the demand curve and the equilibrium price line, while producer surplus is the triangular area between the supply curve and the equilibrium price line. "
12," The original supply curve (S1) shifts left to S2, intersecting the demand curve at a higher price (P2) and lower quantity (Q2). The new consumer surplus becomes the smaller triangle above P2 and below the demand curve. The initial analysis suggests consumer surplus decreases because consumers pay a higher price for fewer units. However, the extent of this reduction depends on the price elasticity of demand (PED). For goods with elastic demand, the quantity demanded falls significantly in response to the price rise, resulting in a larger contraction of consumer surplus. In contrast, for inelastic demand, the quantity reduction is smaller, but the higher price still reduces the surplus as consumers pay more for each unit purchased. "
13," (A diagram with the exchange rate on the vertical axis and quantity of the currency on the horizontal axis. The initial equilibrium is at the intersection of demand curve D1 and supply curve S1. A leftward shift of demand to D2 and/or a rightward shift of supply to S2 leads to a lower equilibrium exchange rate.) The depreciation is shown by the movement from E1 to E2 in the diagram. Demand for a currency may decrease due to factors such as a decline in exports, reducing foreign buyers’ need to purchase the currency. For instance, if domestic goods become less competitive abroad, export revenues fall, shifting D1 leftwards to D2. Similarly, a rise in supply of the currency could stem from capital outflows, such as investors selling domestic assets due to lower interest rates, shifting S1 rightwards to S2. These shifts reduce the exchange rate. "
14," A leftward shift of SRAS from SRAS1 to SRAS2, leading to a higher price level from P1 to P2 and lower real output from Y1 to Y2.) Higher costs, such as wages or raw materials, reduce profit margins, forcing firms to raise prices while cutting output. The resulting stagflation combines rising inflation with falling real GDP and higher unemployment. In contrast, demand-pull inflation arises when aggregate demand exceeds the economy’s productive capacity, illustrated by a rightward shift of the aggregate demand (AD) curve. (DIAGRAM: A rightward shift of AD from AD1 to AD2, increasing the price level from P1 to P2 and real output from Y1 to Y2 if the economy is below full employment.) This occurs when components of AD—consumption, investment, government spending, or net exports—expand rapidly. If the economy is near full capacity, the AD shift primarily raises prices rather than output, causing inflation without growth"
15," A PPC is a downward-sloping curve concave to the origin, with axes labelled for two goods, such as consumer goods and capital goods. Points on the curve represent productive efficiency, while interior points indicate underutilisation, and exterior points are unattainable. A movement along the PPC occurs when resources are reallocated between the two goods, reflecting a trade-off. For instance, shifting from producing 100 units of consumer goods to 80 units to increase capital goods from 50 to 70 units demonstrates opportunity cost: the sacrifice of 20 consumer goods for 20 additional capital goods. This movement is caused by changes in relative demand or policy priorities, requiring no change in total resources or technology. "
16," (A diagram with the exchange rate on the vertical axis, measured as units of foreign currency per domestic currency, and the quantity of domestic currency on the horizontal axis. The demand curve for the domestic currency shifts to the right, or the supply curve shifts to the left, leading to a higher equilibrium exchange rate from ER1 to ER2.) For instance, if foreign demand for a country’s exports increases, the demand for its currency rises as foreign buyers convert their currency to purchase these goods. This shifts the demand curve from D1 to D2, resulting in an appreciation. Similarly, reduced supply of the currency, such as lower capital outflows, could shift the supply curve leftward, raising the exchange rate. "
17," A downward-sloping PPC with agricultural goods on one axis and industrial goods on the other. Points on the curve show efficient production, while points inside indicate underutilisation. A movement along the curve from point A to B demonstrates reallocation between sectors.) "
18," A terms of trade index graph showing an upward shift in export prices relative to import prices, increasing the ratio."
19," A supply and demand diagram for foreign exchange showing how depreciation shifts the equilibrium, altering relative export and import prices."
20," A foreign exchange market diagram illustrates this, with demand for the domestic currency decreasing from D1 to D2 and supply increasing from S1 to S2, leading to a lower equilibrium exchange rate"
21," A downward-sloping curve with two goods on each axis, such as consumer goods and capital goods, where points outside the curve are unattainable. The curve’s position is fixed by current resources and technology, emphasizing that unlimited production is impossible, thereby encapsulating scarcity"
22," A movement from point A to point B along the curve illustrates the trade-off, with the vertical distance between the points representing the opportunity cost of increasing production of one good. If the PPC is concave to the origin, opportunity cost increases as production shifts toward one good due to diminishing marginal returns from resource reallocation"
23," A standard exchange rate diagram with the vertical axis representing the price of the domestic currency in terms of a foreign currency (e.g., USD per GBP) and the horizontal axis showing the quantity. The downward-sloping demand curve represents foreign demand for domestic goods, services, or assets, while the upward-sloping supply curve reflects domestic residents supplying their currency to purchase foreign goods or assets"
24," The demand curve shifts left from D1 to D2, leading to a new equilibrium at a lower exchange rate (E1 to E2). For example, if UK interest rates fall, demand for GBP by foreign investors seeking bonds decreases, causing GBP to depreciate against the USD. The magnitude of depreciation depends on how responsive capital flows are to interest rate changes"
25," The supply curve shifts right from S1 to S2, as more GBP is sold to buy foreign currencies for imports, lowering the exchange rate (E1 to E2). For instance, if UK inflation rises faster than in the EU, demand for GBP to buy UK exports falls, while supply of GBP to purchase EU imports increases, depreciating GBP against the euro"
26," A PPC with two goods on the axes shifts leftwards from its original position, indicating a reduction in maximum potential output. The leftward shift reflects the loss of productive capacity due to the diminished labour force, as fewer workers are available to contribute to the production of both goods. "
27," The original PPC shifts rightwards, demonstrating that the economy can now produce greater quantities of both goods due to the improved efficiency and skills of the workforce. The rightward shift signifies that the same quantity of labour, now more skilled, can generate higher output levels, expanding the economy’s production possibilities. "
28," A leftward shift of the AS curve from AS1 to AS2, resulting in a higher price level P2 and lower real output Y2). For instance, if oil prices rise, firms face higher energy and transportation costs, prompting them to pass these costs to consumers through increased prices. Similarly, wage growth exceeding productivity improvements raises labour costs per unit of output, forcing firms to raise prices to maintain profit margins. These cost increases reduce the economy’s productive capacity, creating upward pressure on prices even when demand remains unchanged. "
29," AD shifting from AD1 to AD2, leading to a higher price level P2 and increased output Y2 if spare capacity exists). Causes include expansionary fiscal policies, such as tax cuts or higher government spending, which boost disposable income and consumer spending. Similarly, a depreciation of the currency may increase export demand, further elevating aggregate demand. When demand outstrips supply, firms respond by raising prices, especially in sectors with limited spare capacity. For example, in an economy close to full employment, additional demand for goods and services cannot be met by expanding output, leading to purely inflationary effects. "
30," For a normal good, the demand curve shifts leftward from D1 to D2. The original equilibrium at price P1 and quantity Q1 adjusts to a lower price P2 and quantity Q2, where the new demand curve intersects the supply curve. This reflects reduced consumer willingness to purchase the good at each price level due to lower incomes. "
31," For an inferior good, the demand curve shifts rightward from D1 to D2. The initial equilibrium at P1 and Q1 moves to a higher price P2 and quantity Q2, as the new demand curve intersects the supply curve at a point reflecting greater consumption of the inferior good. "
32," A concave curve with axes labeled ""Good X"" and ""Good Y,"" showing points along the curve as efficient production and points inside as underutilization. Growth in productive capacity occurs when the PPC shifts outward, reflecting an increase in the economy’s potential output due to factors such as technological advancements or an expansion in the quantity or quality of resources. For instance, investment in research and development may lead to improved technology, enabling more efficient production processes or the creation of new capital goods. This enhances the economy’s ability to produce both goods, shifting the PPC outward from PPC1 to PPC2. DIAGRAM: An outward shift of the curve from PPC1 to PPC2, indicating that previously unattainable output levels become feasible. "
33," A movement from point A (inside PPC1) to point B (on PPC1), illustrating the elimination of unused resources without altering the economy’s productive capacity. "
34," A PPC with capital goods on the vertical axis and consumer goods on the horizontal axis. Points on the curve show efficient production combinations.) Reallocating resources from consumer goods to capital goods involves a movement along the PPC from a point with more consumer goods to one with more capital goods. In the short run, this reduces the quantity of consumer goods available, as resources are diverted to capital goods production. With fewer consumer goods supplied, consumers face reduced choice, potential price increases due to scarcity, and lower immediate living standards. This trade-off arises because the economy is operating at full capacity; producing more capital goods necessitates sacrificing consumer goods"
35," An outward shift of the PPC, indicating economic growth. The new curve allows higher output of both consumer and capital goods compared to the original curve.) This growth enables higher future output of consumer goods, improving living standards through greater availability, lower prices, and improved product quality. For example, investing in renewable energy infrastructure may initially reduce consumer goods output but could lower energy costs and increase sustainability in the long term. The extent of this shift depends on the productivity of the capital goods: effective investments yield significant growth, while inefficient ones may result in minimal expansion"
36," A standard aggregate demand-aggregate supply model with price level on the vertical axis and real output on the horizontal axis. The initial equilibrium is at the intersection of AD1 and AS. A rightward shift to AD2 results in a new equilibrium with a higher price level and higher output.) This shift creates excess demand at the original price level, leading firms to raise prices to balance the increased demand with available supply. As the economy approaches full capacity, further increases in demand primarily drive prices upward rather than output, resulting in inflationary pressure. "
37," The same axes as before, with the initial equilibrium at AD and AS1. A leftward shift of the aggregate supply curve to AS2 leads to a new equilibrium with a higher price level and lower output.) This reduction in supply creates a situation where the same level of demand now competes for fewer goods and services, forcing prices upward. Unlike demand-pull inflation, cost-push inflation is accompanied by a contraction in real output, leading to stagflation if persistent. "
38," A standard demand and supply graph with price on the vertical axis and quantity on the horizontal axis. The consumer surplus is the triangular area bounded by the demand curve, the equilibrium price line, and the vertical axis."
39," A flatter, more elastic demand curve intersects the original supply curve S1 at equilibrium price P1 and quantity Q1. After the tax, the supply curve shifts to S2, intersecting the demand curve at a higher price P2 and lower quantity Q2. The new consumer surplus is the smaller triangle above P2 and below the demand curve.) The price increase from P1 to P2 is relatively small because elastic demand implies consumers are highly responsive to price changes. Consequently, the quantity demanded falls significantly from Q1 to Q2. The reduction in consumer surplus is limited because the price rise is modest, but the contraction in quantity traded contributes to the loss. Producers absorb a larger share of the tax burden, as passing it fully to consumers would lead to a substantial drop in sales"
40," A steeper, inelastic demand curve intersects S1 at P1 and Q1. Post-tax, S2 intersects demand at a much higher price P3 and slightly lower quantity Q3. The consumer surplus loss is the large area between P1 and P3 under the demand curve.) Here, the price increase from P1 to P3 is substantial because consumers are less responsive to price changes. The quantity demanded declines only slightly from Q1 to Q3. The loss in consumer surplus is significantly larger compared to the elastic case, as consumers continue purchasing nearly the same quantity but at a much higher price. Producers pass on most of the tax burden to consumers due to the rigidity of demand"
41," A concave PPC with two goods, such as capital goods on the Y-axis and consumer goods on the X-axis, showing points A and B on the curve.) Opportunity cost is the value of the next best alternative forgone when a choice is made. Movement along the curve from point A to point B, where capital goods production rises and consumer goods production falls, demonstrates this concept. The slope of the PPC between these points reflects the opportunity cost of producing an additional unit of capital goods in terms of consumer goods sacrificed. For instance, if moving from A to B reduces consumer goods by 10 units to gain 5 capital goods, the opportunity cost per capital good is 2 consumer goods."
42," The concave shape shows steeper slopes at higher capital goods output, illustrating that each incremental gain requires larger consumer goods losses.) For example, specialised machinery for consumer goods cannot easily produce capital goods, necessitating costly adjustments. This diminishing marginal returns in resource adaptability explains the rising opportunity costs, making the PPC bow outward. Markets with homogeneous resources might exhibit linear PPCs, but real-world resource heterogeneity justifies the concave norm"
43," A supply and demand diagram for the domestic currency. The vertical axis represents the exchange rate, fixed at a target level, and the horizontal axis shows the quantity of domestic currency. The demand curve for domestic currency slopes downward, reflecting higher demand at lower exchange rates, while the supply curve slopes upward. The initial equilibrium exchange rate is below the fixed target, creating a surplus of domestic currency at the fixed rate.) "
44," In a standard supply and demand diagram, the vertical axis represents price (P) and the horizontal axis represents quantity (Q). The demand curve slopes downward, and the supply curve slopes upward, intersecting at the equilibrium price (P1) and quantity (Q1). The minimum price (Pmin) is a horizontal line above P1, creating a new quantity supplied (Qs) greater than quantity demanded (Qd), resulting in excess supply (Qs – Qd)."
