,Question,Mark Scheme,Response
0,"Consider, with the help of a circular flow diagram, why an export-led growth policy is likely to be successful when a developed economy is in a recession. [12]","a

Consider with the help of a circular flow diagram, why an export led growth policy is likely to be successful when a developed economy is in a recession.
Export led growth is dependent on an outward growth strategy which relies heavily on openness and increased international trade. Successful growth should lead to an increase in national income, output, and employment. Concentration on the expansion of exports should be a key factor determining an increase in aggregate demand, output, and employment. This can be clearly illustrated, using a circular flow diagram which shows all withdrawals, all injections, and the change in national income equilibrium achievable via export led economic growth. This diagram should be clearly labelled and accurate showing an increase in injections (exports) producing a bigger increase in output/income/employment via the multiplier. An economy is in a recession when its GDP falls for two successive quarterly time periods. Recession will generally be accompanied by rising levels of unemployment due to a fall in aggregate monetary demand.
Government can use different economic policies to stimulate aggregate demand to move an economy out of a recession. Lower interest rates might be used to encourage investment, but this might have a limited effect due to low confidence. Government expenditure might be increased but this will depend upon the state of the public finances. When national debt is high this policy option might not be adopted. However, a policy which stimulates the growth of exports might avoid these problems and simultaneously protect the value of the domestic currency while maintaining a positive balance of payments. The effectiveness of this approach will depend upon the existing exchange rate regime used and the type of policy used, for example, lowering interest rates to depreciate a floating currency which should lead to a higher level of export growth.
L4 (9–12 marks): For a sound analysis of export led growth using an accurately labelled circular flow diagram. An explanation of the meaning of a recession should be provided. Export led policies should be compared to alternative policies that might be used to lead an economy out of a recession.
L3 (9–13 marks): For a limited analysis of the impact of export led growth on a developed economy, using a circular flow diagram. An explanation of a recession will be provided. No evaluative comment will be provided to assess the effectiveness of an export led growth policy.
L2 (5–6 marks): For a response which is descriptive rather than analytical. Answers might focus on the link between the circular flow of income and an export led growth policy. A recession will be referred to but alternative policies to move an economy out of recession will not be considered.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","An export-led growth policy refers to a strategy where a country seeks to stimulate economic growth by increasing the volume of goods and services sold to foreign markets. This approach can be particularly effective during a recession, which is characterized by a sustained decline in aggregate demand, leading to falling output, rising unemployment, and underutilized productive capacity. The circular flow of income model provides a framework to analyze how increased exports can counteract these effects. In this model, national income is determined by the equilibrium between injections (investment, government spending, exports) and withdrawals (savings, taxes, imports). During a recession, withdrawals often exceed injections due to reduced consumer spending and business investment, creating a negative output gap. Exports act as a direct injection into the circular flow, increasing aggregate demand. For instance, when foreign demand for domestically produced goods rises, firms receive additional revenue, enabling them to expand production, hire more workers, and increase wages. Employed workers then spend their income on domestic goods and services, further stimulating demand through the multiplier effect. (DIAGRAM: A circular flow diagram showing an increase in exports as an injection, leading to a multiplied rise in national income via successive rounds of spending.) The magnitude of this multiplier depends on the marginal propensity to consume and the extent of leakages, such as spending on imports. In a developed economy with advanced industries, the multiplier effect may be significant if exports are capital-intensive or have strong backward linkages to domestic supply chains.

Export-led growth offers advantages over alternative recession policies. Monetary policy, such as lowering interest rates to stimulate investment, may be ineffective if firms lack confidence to borrow even at low rates. Fiscal policy, involving increased government spending, risks exacerbating public debt—a concern for developed economies with already high debt-to-GDP ratios. Export-led strategies avoid these pitfalls by leveraging external demand. A depreciation of the exchange rate, achievable through monetary easing, can enhance export competitiveness by lowering foreign prices of domestically produced goods. This is more feasible under a floating exchange rate regime, where central banks can adjust interest rates to influence currency values. For example, lower interest rates reduce foreign capital inflows, depreciating the currency and making exports cheaper. However, the success of this policy depends on price elasticity of demand for exports. If foreign demand is elastic, a weaker currency significantly boosts export volumes, improving the trade balance and stimulating income growth. Conversely, inelastic demand may limit gains, as lower export prices do not sufficiently increase quantity demanded.

The effectiveness of export-led growth also hinges on global economic conditions. During a synchronized global recession, foreign demand may remain subdued, limiting export opportunities. Additionally, protectionist trade policies in partner countries could restrict market access. Domestically, supply-side factors such as labor productivity, infrastructure quality, and technological innovation determine the capacity to scale up export production. Developed economies with diversified, high-value export sectors are better positioned to capitalize on external demand than those reliant on volatile commodity exports. Furthermore, sustained export-led growth requires avoiding excessive reliance on a single market, which heightens vulnerability to external shocks. While export growth can reduce unemployment and improve the current account, it may also lead to inflationary pressures if the economy approaches full capacity, necessitating complementary policies to manage overheating. Ultimately, the success of export-led strategies in a recession depends on the interplay of exchange rate flexibility, global demand elasticity, supply-side competitiveness, and the absence of significant trade barriers. When these conditions align, exports can serve as a powerful engine for recovery, leveraging external demand to reignite domestic economic activity without exacerbating fiscal imbalances."
1,Discuss the effectiveness of government policies which increase the net advantage of labour on the long–term supply of labour in an economy. [12],"a

Discuss the effectiveness of government policies which increase the net advantage of labour on the long term supply of labour in an economy.
Government policies which increase the net advantage of labour will increase the supply of labour in the long run and this can be shown by a shift downwards to the right of the supply curve of labour. This means more workers will be supplied at every wage rate. The net advantage of labour can be divided into pecuniary and non-pecuniary elements. The former might include: wages, salary and bonus payments. Non-pecuniary advantages might include: hours of work, job security, promotion prospects and nature of the work. Reductions in income tax, increasing the minimum wage and the provision of skill training could be used to increase the pecuniary element of the net advantage.
However tax reductions might lead to a fall in supply because some workers will substitute work for leisure. The provision of skill training is expensive therefore has a high opportunity cost. Minimum wage might increase the supply of labour but firm’s might lower their demand for labour and therefore create excess supply. Alternatively, a government can introduce new regulations to ensure worker’s rights such as flexible working hours, working conditions, safety at work etc. Although this extra support will benefit workers new regulations are often costly to implement. In some cases it is the firm which is expected to finance improvement in working conditions and this might lead to a fall in profitability and ultimately a fall in demand for labour
L4 (9–12 marks): For a sound discussion that provides a clear explanation of the meaning of net advantage of labour and links this to a labour supply curve. At least one policy to increase the pecuniary element of labour supply and one policy to increase the non-pecuniary element should be analysed. In both cases some evaluative comment should enable comment on the effectiveness of the policy.
L3 (7–8 marks): For a competent comment with limited analysis that recognises that net advantage is composed of pecuniary and non-pecuniary elements but does not establish a clear link with the labour supply curve. One policy in relation to both elements will be identified but not analysed in depth. No evaluative comment will be provided.
L2 (5–6 marks): For an attempt that describes net advantage of labour but only examines one policy in relation to one element of the net advantage. Analysis of this policy will not be fully developed.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","The long-term supply of labour in an economy is influenced by the net advantage of labour, which encompasses both pecuniary and non-pecuniary factors. Pecuniary advantages include monetary rewards such as wages, bonuses, and post-tax income, while non-pecuniary advantages relate to job security, working conditions, flexibility, and the intrinsic satisfaction derived from work. Government policies targeting these elements aim to enhance the attractiveness of participating in the labour market, thereby shifting the labour supply curve downwards to the right, indicating that more workers are willing to supply labour at each wage rate. However, the effectiveness of such policies depends on their design, implementation, and interaction with broader economic dynamics.  

A key pecuniary policy is reducing income tax rates. Lower taxes increase disposable income, raising the financial incentive to work. This could lead to an income effect, where individuals work longer hours to maximise earnings, or a substitution effect, where higher net wages make leisure relatively more expensive, encouraging labour participation. Over the long term, sustained tax reductions may attract previously inactive workers into the labour force, particularly if combined with policies like in-work benefits that supplement low wages. However, the net impact depends on the relative strength of income and substitution effects. For instance, high-earning individuals with elastic labour supply may prioritise leisure over additional work if their income targets are met, reducing the policy’s effectiveness. Furthermore, tax cuts reduce government revenue, potentially limiting public investment in complementary areas like education or infrastructure, which are critical for long-term labour productivity.  

Another pecuniary measure is raising the minimum wage. Higher wages directly increase the monetary return to labour, incentivising entry into the workforce. This could expand the labour supply by drawing in marginal workers, such as those previously deterred by low pay. However, employers may respond by reducing labour demand, particularly in sectors with tight profit margins, leading to unemployment or underemployment. Over time, automation or outsourcing could further dampen demand, offsetting the initial supply-side gains. Thus, the effectiveness of minimum wage policies hinges on balancing wage levels with firms’ capacity to absorb higher labour costs without reducing employment opportunities.  

Non-pecuniary policies, such as regulations improving working conditions or job security, enhance the non-monetary benefits of employment. For example, legislation mandating flexible working hours or safer workplaces can make labour participation more appealing, particularly for groups like parents or older workers. Such measures may increase labour force participation rates and reduce turnover, stabilising long-term supply. However, compliance costs for firms could lead to reduced profitability, prompting cuts in employment or investment. If firms pass these costs onto workers through lower wages, the net advantage of labour may not rise as intended. Additionally, excessive regulation might discourage entrepreneurship, limiting job creation and constraining labour demand.  

Skill-training programmes represent a hybrid policy, enhancing both pecuniary and non-pecuniary advantages. By improving human capital, workers gain access to higher-paying roles (pecuniary) and greater job satisfaction (non-pecuniary). Over the long term, a more skilled workforce can adapt to technological changes, sustaining labour supply in evolving industries. However, such programmes require significant public expenditure, with high opportunity costs if funds are diverted from other critical areas. Moreover, the lag between training and productivity gains may delay measurable impacts on labour supply, particularly if mismatched to market needs.  

The effectiveness of these policies ultimately depends on contextual factors. For pecuniary measures, the elasticity of labour supply determines whether tax cuts or wage increases translate into meaningful participation gains. In economies with rigid labour markets or high informality, non-pecuniary policies may face implementation challenges, reducing their efficacy. Additionally, macroeconomic conditions, such as the phase of the business cycle, influence firms’ responsiveness to regulatory changes. During recessions, firms may be less able to absorb higher labour costs, exacerbating unemployment risks.  

In conclusion, while policies targeting the net advantage of labour can theoretically expand long-term labour supply, their success is contingent on balancing incentives for workers with the operational realities of firms. Tax reductions and minimum wage hikes must be calibrated to avoid disincentivising work or stifling demand, while non-pecuniary regulations require careful cost-benefit analysis to prevent unintended reductions in employment. Skill development, though costly, offers durable benefits but demands alignment with economic priorities. Thus, a multifaceted approach, tailored to structural and cyclical conditions, is essential for maximising policy effectiveness."
2,High market concentration ratios are closely linked to oligopoly market structures.Explain what this means and consider its importance in relation to the pricing policy of an oligopoly firm. [12],"a

High market concentration ratios are closely linked to Oligopoly market structures.Explain what this means and consider its importance in relation to the pricing policy of an oligopoly firm.
Some industries are dominated by a few large firms. A concentration ratio indicates the extent to which large firms might dominate an industry. For example, 4 large firms might control more than 80% of a market while a large number of small firms account for the remaining 20% of the market. In this case the four firm concentration ratio would be 80%.
Oligopolies are market structures which can be specifically identified by noting that there are only a few large firms which dominate the market i.e. they have high market concentration ratios and they also have high barriers to entry which maintains their dominant position. However, because of the nature of this type of market structure, firms have to take into account the reaction of their main rivals before adopting their pricing strategy i.e. they are interdependent. If a firm chooses to ignore the reactions of its main rivals, this could result in a price war where each firm loses potential revenue and consumers gain. As a result Oligopolies will often adopt alternative strategies to maintain/increase market share and maximise profits. Sometimes firms will collude and agree to fix a price. This is illegal but it is still used.
Alternatively, the dominant firm within the group might become the price leader and set the market price which other large firms choose to follow. Game theory and the theory of the kinked demand curve can be used to assess which strategy might be the most effective. Most of these alternative pricing strategies will lead to price rigidity. It should be noted that many Oligopoly firms will adopt non price competition such as advertising or increasing product differentiation to avoid the negative impact of price competition.
L4 (9–12 marks): For a clear explanation of what is meant by a high market concentration ratio and an attempt to link this to an Oligopoly market structure. Analysis of alternative pricing policies which might subsequently be adopted will be provided and an assessment of their likely impact on a firm's profits/market share. Some reference to alternative non pricing market strategies might form part of a conclusion.
L3 (7–8 marks): For an accurate reference to the question and clear understanding of the term high market concentration ratio and its link to an Oligopoly market structure. One link to a pricing policy should be analysed in detail, other strategies might be referred to but not fully developed.
L2 (5–6 marks): For a briefer descriptive comment that explains the terms in the question and provides some evidence of the main characteristics of an Oligopoly. Reference to pricing policies might be made but not clearly linked to the nature of the market structure.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","High market concentration ratios refer to the extent to which a market is dominated by a small number of large firms, typically measured by metrics such as the four-firm concentration ratio, which calculates the combined market share of the four largest firms in an industry. A high concentration ratio, such as 80%, indicates that these firms collectively control a significant proportion of market output, reflecting an oligopolistic market structure. Oligopolies are characterized by a few interdependent firms operating in markets with high barriers to entry, which prevent new competitors from entering and challenging the dominance of existing firms. This interdependence arises because the actions of one firm—such as altering prices, output levels, or marketing strategies—directly influence the market position and profitability of its rivals, compelling firms to strategically anticipate and respond to each other’s decisions.  

The link between high concentration ratios and oligopoly pricing policies is critical. In such markets, firms are acutely aware that aggressive price competition could trigger retaliatory price cuts by rivals, leading to a destabilizing price war. Price wars reduce industry-wide profits as firms undercut each other, ultimately harming all participants while benefiting consumers through lower prices. To avoid this outcome, oligopolistic firms often adopt cooperative or strategic pricing strategies. One approach is collusion, where firms explicitly or tacitly agree to fix prices at a higher level than the competitive equilibrium. Collusion allows firms to act as a collective monopoly, maximizing joint profits by restricting output and maintaining elevated prices. However, collusion is inherently unstable due to the incentive for individual firms to cheat by secretly lowering prices to gain market share, a scenario encapsulated in the Prisoner’s Dilemma. This game-theoretic framework illustrates how rational self-interest can undermine cooperative agreements, leading to a Nash equilibrium where all firms defect from the collusive agreement, resulting in suboptimal profits for all.  

Alternatively, oligopolies may adopt price leadership, where a dominant firm sets prices, and others follow to avoid conflict. The price leader, often the largest or most efficient firm, adjusts prices in response to cost changes or market conditions, and smaller firms mirror these adjustments to maintain stability. This strategy reduces uncertainty and price fluctuations, as firms prioritize maintaining market share over engaging in disruptive competition. The kinked demand curve model further explains price rigidity in oligopolies. If a firm raises prices, rivals are unlikely to follow, leading to a significant loss of market share for the price-increasing firm (elastic demand above the current price). Conversely, if a firm lowers prices, rivals will match the reduction to retain their market share, resulting in minimal gains for the initiator (inelastic demand below the current price). This creates a kink at the prevailing price level, incentivizing firms to maintain stable prices even as costs or demand conditions change.  

The importance of high market concentration ratios in shaping pricing policies hinges on several factors. First, the number of dominant firms influences the feasibility of collusion: markets with fewer firms face lower coordination costs and monitoring challenges, making collusion more sustainable. Second, the presence of high barriers to entry ensures that incumbent firms face no threat from new entrants, allowing them to sustain elevated prices without fear of competition eroding their market power. Third, the effectiveness of non-price competition—such as advertising, product differentiation, and innovation—reduces reliance on price adjustments, further stabilizing prices. For instance, firms may invest in branding to cultivate consumer loyalty, enabling them to maintain prices even if rivals attempt to undercut them.  

However, the significance of concentration ratios also depends on external factors. Legal frameworks prohibiting collusion can deter explicit price-fixing, forcing firms to rely on tacit coordination or non-price strategies. Additionally, the stability of price leadership or collusive agreements may vary with economic conditions; during recessions, firms might prioritize short-term survival over cooperative strategies, increasing the likelihood of price wars. Similarly, the heterogeneity of products in an oligopoly can affect pricing flexibility: differentiated products reduce direct price competition, whereas homogeneous products intensify it.  

In conclusion, high market concentration ratios are central to understanding oligopoly pricing policies. They create an environment where interdependence discourages price competition, incentivizing strategies like collusion, price leadership, and non-price competition to maintain profitability. However, the extent to which concentration ratios influence pricing depends on the number of firms, barriers to entry, legal constraints, and the nature of products. While high concentration facilitates coordinated pricing behavior, its effectiveness is contingent on the stability of collusive agreements, the dominance of a price leader, and the ability of firms to leverage non-price strategies to avoid destabilizing competition."
3,Consider why it is important for a government to use cost benefit analysis when deciding how much of a public good to provide. [12],"a

Consider why it is important for a government to use cost benefit analysis when deciding how much of a public good to provide.
Public goods are non-excludable, non-rival, and usually non-divisible. As a result of these characteristics, these goods will not be provided by profit making firms in the private sector. This non-provision is considered to be a type of market failure and this is generally described as the ‘free rider problem’. Nevertheless, many public goods are seen as an essential part of a modern economy. Examples of such goods would include street lighting, national defence and road signs. Also because of the nature of these goods and the need for their wide scale provision, the cost of providing such goods is likely to be very high.
Governments do not have unlimited access to funds therefore the extent of the provision of such goods needs to very carefully estimated so that maximum benefit can be attained at minimum cost. The use of cost benefit analysis enables a government to consider all the costs and all the benefits and then make a rational decision based on maximising net benefit. Identification of all costs would be more accurate because it would attempt to take into account negative externalities i.e. the negative impact on third parties. The same approach would identify positive externalities. In both cases an attempt would be made to put a monetary value on these additional costs/benefits.
In many cases the provision of public goods will take a long time, therefore an attempt has to be made to decide the present value/cost of a project that will not be completed for many years. Thus although it is important to use cost benefit analysis, it is also extremely important to recognise the difficulties involved when putting this analysis into practice.
L4 (9–12 marks): For a clear, explanation of what economists mean by a public good and its relationship to market failure. The key elements of cost benefit analysis should then be set out. The link between the nature of public goods and the use of cost benefit analysis should be established and a discussion of the effectiveness of the use of cost benefit analysis in this situation should be provided.
L3 (7–8 marks): For an explanation of what is meant by public goods. Cost benefit analysis will be explained but not fully developed. There will be a limited attempt to link the provision of public goods to cost benefit analysis. The effectiveness of the use of cost benefit analysis in these circumstances will not be considered.
L2 (5-6 marks): For a more descriptive explanation that indicates knowledge of public goods and some of the key aspects of cost benefit analysis. There will only be a very limited attempt to link a government’s decision to provide a public good and the use of cost benefit analysis. No evaluation of the effectiveness of cost benefit will be provided.
L1 (1-4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","Public goods are characterized by non-excludability and non-rivalry, meaning individuals cannot be prevented from using them, and one person’s consumption does not diminish availability for others. These features lead to market failure, as private firms lack incentive to provide such goods due to the free-rider problem, where individuals benefit without contributing to costs. Consequently, governments must intervene to ensure provision, as public goods like infrastructure or national defense are essential for societal welfare. However, governments face finite resources, necessitating a systematic approach to determine the optimal quantity of public goods to provide. Cost-benefit analysis (CBA) serves this purpose by evaluating all social costs and benefits, including externalities, to maximize net social welfare.  

CBA involves quantifying both direct and indirect impacts of a project. Direct costs might include initial investment and maintenance, while direct benefits could encompass improved public services. Crucially, CBA also accounts for externalities—spillover effects on third parties. For instance, constructing a public park generates positive externalities like enhanced mental health and environmental benefits, while negative externalities such as noise pollution during construction must also be considered. By assigning monetary values to these externalities, governments can compare marginal social benefits (MSB) with marginal social costs (MSC), aiming to achieve allocative efficiency where MSB equals MSC. Without this analysis, there is a risk of under-provision if benefits are underestimated or over-provision if costs are neglected, leading to resource misallocation.  

The time horizon of public goods further underscores CBA’s importance. Many projects, such as transportation networks, yield benefits over decades. Discounting future costs and benefits to present values is essential to assess long-term viability. A higher discount rate reduces the present value of future benefits, potentially deterring projects with delayed returns, while a lower rate may justify them. This intertemporal evaluation ensures governments balance immediate expenditures against future societal gains, promoting intergenerational equity.  

However, the effectiveness of CBA depends on several factors. First, valuing intangible externalities, such as aesthetic value or biodiversity, involves subjectivity, risking underestimation or overestimation. Second, selecting an appropriate discount rate is contentious; too high a rate may undervalue long-term environmental benefits, while too low a rate could prioritize distant gains over urgent needs. Third, political influences may skew CBA outcomes, as decision-makers might emphasize short-term electoral gains over long-term efficiency. Finally, uncertainty in forecasting future costs and benefits, especially for complex projects, introduces risk. Despite these challenges, CBA remains a critical tool for rational decision-making, as it imposes a structured framework to mitigate arbitrary choices. By systematically comparing alternatives, governments can prioritize projects that maximize net social welfare, even amid imperfect data. Thus, while CBA has limitations, its role in promoting transparency and efficiency makes it indispensable in public goods provision."
4,Explain how changes in the internal value of a country's currency can affect the external value of that currency. [12],"a

Explain how changes in the internal value of a country's currency can affect the external value of that currency.
Definitions of the two terms internal and external value of a currency: inflation and the exchange rate. The link between changes in the internal value of the currency and the exchange rate and the exchange rate and the rate of inflation. Comment on the effect of a fixed/floating exchange rate.
L4 (9–12 marks) For an answer which defines the internal and external values of a currency: inflation and the exchange rate. It explains the two terms internal and external value of a currency and analyses the relationship between a change in one and the effect on the other. L3 (7–8 marks) For an answer which defines the two terms internal and external value of a currency, and which explains the relationship between a change in one and the effect on the other. L2 (5–6 marks) For an answer which defines and explains the two terms. L1 (1–4) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","The internal value of a currency refers to its purchasing power within the domestic economy, primarily determined by the rate of inflation. A decline in internal value occurs when inflation reduces the quantity of goods and services a unit of the currency can purchase domestically. Conversely, the external value of a currency is its exchange rate, representing its price relative to other currencies in foreign exchange markets. Changes in the internal value of a currency can influence its external value through mechanisms that affect demand and supply in currency markets, though the extent of this relationship depends on the exchange rate regime in place.  

A rise in inflation, which erodes the internal value of the currency, typically exerts downward pressure on its external value under a floating exchange rate system. Higher domestic inflation increases the prices of exports relative to those of foreign competitors, reducing the competitiveness of domestic goods in international markets. This leads to a decline in export demand and a rise in import demand as foreign goods become relatively cheaper. The resultant current account deficit increases the supply of the domestic currency in foreign exchange markets (as importers sell domestic currency to purchase foreign currency) while reducing demand for it (as foreign buyers require less domestic currency to pay for fewer exports). This imbalance causes the external value of the currency to depreciate.  

The relationship is further reinforced by purchasing power parity (PPP) theory, which posits that exchange rates adjust to equalise the purchasing power of currencies across countries. If inflation in one country outpaces that of its trading partners, PPP suggests the domestic currency must depreciate to offset the loss in internal value and restore equilibrium. For example, if inflation in Country A is 5% higher than in Country B, the external value of Country A’s currency would depreciate by approximately 5% to maintain parity in the real exchange rate.  

Under a fixed exchange rate regime, the central bank intervenes to maintain the currency’s external value, insulating it from immediate inflationary pressures. However, persistent inflation creates disequilibrium. The overvalued currency exacerbates trade imbalances, as exports remain uncompetitive and imports artificially cheap. To defend the fixed rate, the central bank must sell foreign reserves to buy domestic currency, reducing the money supply. Over time, unless inflation is curbed through contractionary monetary policy, reserves may deplete, forcing a devaluation—a deliberate reduction in the external value—to realign the currency with its diminished internal value.  

Inflation also affects expectations in currency markets. If domestic inflation rises above levels in other economies, investors may anticipate future depreciation and adjust their behavior accordingly. Capital outflows increase as holders of the currency seek assets in countries with lower inflation, further depressing demand for the domestic currency and accelerating its depreciation. This speculative effect can create a self-fulfilling prophecy, amplifying the initial impact of inflation on the external value.  

The strength of the link between internal and external value depends on the exchange rate system. In floating regimes, the external value adjusts flexibly to reflect inflation differentials, creating a direct and observable relationship. In fixed regimes, the external value remains artificially stable in the short term, but fundamental imbalances eventually necessitate adjustment through devaluation or policy shifts. Additionally, factors such as interest rates, capital flows, and central bank interventions may moderate or intensify the transmission of internal value changes to the external value, but inflation remains a critical determinant of long-term exchange rate movements."
5,"Using Keynesian theory of interest rate determination, explain why interest rates are sometimes very low. [12]","a

Using Keynesian theory of interest rate determination, explain why interest rates are sometimes very low.
Transaction, precautionary and speculative demands for money, the link between these and the rate of interest. Significance of speculative demand and the rate of interest/price of bonds, active/Idle balances, the liquidity trap. The level of the money supply.
L4 (9–12 marks) For an answer which explains the three demands for money and analyses their relationship with the money supply, rate of interest and the liquidity trap. L3 (7–8 marks) For an answer which explains the three demand for money with limited reference to the low interest rates. L2 (5–6 marks) For an answer which explains the transaction and precautionary demand for money, there may be limited reference to the speculative demand. L1 (1 – marks) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","According to Keynesian theory, interest rates are determined by the interaction of the demand for money and the supply of money. The demand for money arises from three primary motives: transaction, precautionary, and speculative. The transaction motive refers to the need for households and firms to hold money to facilitate everyday purchases and payments. This demand is primarily influenced by the level of income rather than interest rates. Similarly, the precautionary motive involves holding money as a buffer against unforeseen expenses or emergencies, which also depends more on income levels than on interest rates. However, the speculative motive is directly linked to interest rates and plays a critical role in explaining why interest rates might remain very low.  

The speculative demand for money arises from the desire to hold liquid assets as an alternative to interest-bearing bonds. Keynes argued that individuals choose between holding money (which is perfectly liquid but earns no return) and bonds (which offer interest but carry the risk of capital loss if sold before maturity). The price of bonds is inversely related to the interest rate: when interest rates rise, bond prices fall, and vice versa. If individuals expect interest rates to rise in the future, they anticipate that bond prices will decline, leading to potential capital losses. In such scenarios, the speculative demand for money increases as people prefer holding liquid cash rather than bonds. Conversely, when interest rates are already very low, the opportunity cost of holding money diminishes, further incentivizing individuals to retain cash. This relationship creates a downward-sloping liquidity preference curve, where the demand for money increases as interest rates fall.  

A key concept in explaining persistently low interest rates is the **liquidity trap**. This occurs when interest rates are so low that individuals believe they can only rise in the future. At this point, the speculative demand for money becomes perfectly elastic: any increase in the money supply is absorbed into idle balances (money held for speculative purposes) rather than being used to purchase bonds. Since bond purchases would drive up bond prices and push interest rates down further, the liquidity trap implies that monetary policy becomes ineffective. Even if the central bank expands the money supply, the additional liquidity is hoarded rather than channeled into investments, leaving interest rates unchanged.  

The distinction between **active balances** (money held for transaction and precautionary purposes) and **idle balances** (money held for speculation) is crucial. In normal economic conditions, an increase in the money supply reduces interest rates as excess liquidity is used to buy bonds, raising their prices and lowering yields. However, in a liquidity trap, idle balances dominate. The speculative demand absorbs the additional money supply, preventing interest rates from declining further. This dynamic explains why interest rates can remain ""stuck"" at very low levels despite expansionary monetary policy.  

In summary, low interest rates under Keynesian theory arise from heightened speculative demand for money, driven by expectations of rising future interest rates and the associated risk of capital losses on bonds. When combined with a liquidity trap, where increases in the money supply fail to reduce rates due to hoarding, interest rates may persist at minimal levels. The interplay between money supply, speculative behavior, and the elasticity of liquidity preference provides a theoretical foundation for understanding prolonged periods of low interest rates."
6,Explain the law of diminishing returns and its relevance to the shapes of the marginal cost curve and the average variable cost curve of a firm. [12],"a

Explain the law of diminishing returns and its relevance to the shapes of the marginal cost curve and the average variable cost curve of a firm.
A statement of the law of diminishing returns (LDR) in terms of increased use of a variable factor of production with a fixed factor of production. Comment that LDR is a short run phenomenon. The effect of increasing/decreasing returns on average and marginal output. The relevance of these to the average variable cost curve.
L4 (9–12 marks) For an answer which refers to the short run, explains and analyses the implications of the LDR for the shape of the average and marginal output curves and the marginal cost curve and average variable cost curve. L3 (7–8 marks) For an answer which refers to the short run, explains the LDR and attempts to analyse the shape of the average and marginal output curves or the marginal cost curve and average variable cost curve. L2 (5–6 marks) For an answer which explains LDR and average and marginal costs. L1 (1–4 marks) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","The law of diminishing returns states that in the short run, when at least one factor of production is fixed, adding successive units of a variable factor to the fixed factor will eventually lead to a decline in the marginal product of the variable factor. This occurs because, beyond a certain point, the fixed factor becomes increasingly over-utilised relative to the variable factor, leading to inefficiencies. For instance, if capital is fixed and labour is variable, initially, adding workers may raise total output due to better division of labour. However, as more workers are employed, congestion and coordination issues arise, causing each additional worker to contribute less to output than the previous one. This is a short-run phenomenon, as in the long run all factors can be adjusted.

The law of diminishing returns directly influences the shape of the marginal cost (MC) curve. Marginal cost represents the additional cost of producing one more unit of output. When diminishing returns set in, the marginal product of the variable factor falls, meaning each additional unit of output requires more of the variable factor. Since the cost of the variable factor (e.g., wages) is constant in the short run, the marginal cost of production rises. This explains why the MC curve is upward-sloping beyond the point of diminishing returns. Prior to this point, increasing returns may cause marginal cost to fall as marginal product rises, giving the MC curve its characteristic U-shape. (DIAGRAM: U-shaped MC curve with initial downward slope transitioning to upward slope as diminishing returns take effect.)

Similarly, the average variable cost (AVC) curve is shaped by the law of diminishing returns. AVC is calculated as total variable cost divided by output. Initially, as the variable factor is added to the fixed factor, average product rises, reducing AVC. However, once diminishing returns occur, average product of the variable factor declines. With each unit of output requiring more variable inputs, the average variable cost increases. Consequently, the AVC curve is also U-shaped, mirroring the relationship between average product and diminishing returns. The minimum point of the AVC curve corresponds to the output level where average product is maximised, beyond which diminishing returns dominate. (DIAGRAM: U-shaped AVC curve intersecting the MC curve at its minimum point.)

The interplay between marginal and average variable costs further clarifies this relationship. When MC is below AVC, each additional unit of output costs less than the current average, pulling AVC down. Once MC rises above AVC due to diminishing returns, each additional unit costs more than the average, pulling AVC upward. Thus, the upward-sloping portion of both curves beyond their minimum points is fundamentally tied to the onset of diminishing returns. This analysis underscores how the law of diminishing returns governs cost behaviour in the short run, shaping the theoretical foundations of firm production decisions."
