,Question,Mark Scheme,Response
0,The introduction of new technology will increase efficiency but will also cause an increase in unemployment.Discuss the extent to which you agree with this statement. [13],"b

The introduction of new technology will increase efficiency but will also cause an increase in unemployment.Discuss the extent to which you agree with this statement?
An increase in productivity will produce a more efficient outcome in an economy. An increase in productivity will be attained when there is an increase in output per unit of resource used in a given time period. This is usually measured by an increase in output per unit of labour employed in a given time period. The introduction of new technology in form of more advanced, more efficient machinery, should enable labour to increase productivity. However, this increase in productivity is often achieved by substituting capital for labour. As a result the level of unemployment will rise.
It should be noted that this is usually linked to a specific type of unemployment known as structural unemployment. There are a number of causes of unemployment for example, cyclical unemployment which are not linked to the introduction of new technology. Therefore, to some extent the statement might be correct in that structural unemployment might rise due to the substitution of capital for labour.
It is also necessary to distinguish between the short run immediate impact of the introduction of new technology. In the long run, it is possible that an increase in productivity will lead to falling prices, more consumer demand and ultimately more demand for labour. Also it is possible that the introduction of new technology will further reduce the cost of producing capital which will also lead to further increases in productivity. Further increases in productivity might then lead to a fall in the price of exported goods and a further increase in aggregate demand. In this case employment might rise in the long run.
L4 (9–13 marks): For an explanation of productivity and discussion of the link between an increase in productivity and an increase in structural unemployment. Analysis of the potential short run impact should be provided. Evaluative comment might discuss possible positive long run effects on the level of employment and the importance of the type of unemployment under consideration.
L4 (9–13 marks): For accurate but only partially developed analysis which explains what is meant by productivity and recognises that it will cause structural unemployment. The focus will be on the short run outcome. No discussion regarding long run outcomes and no conclusion will be provided
L2 (5–6 marks): For a mainly descriptive comment which explains productivity and structural unemployment. A limited attempt to link these concepts will be made but no attempt to address the question based on the specific statement will be provided
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory

13


","New technology refers to advancements in production methods, such as automated machinery, artificial intelligence, or improved capital equipment, which enhance the efficiency of resource utilisation. Efficiency, in this context, can be measured through productivity, defined as output per unit of input—commonly calculated as output per worker or output per hour worked. An increase in productivity implies that the same quantity of inputs generates greater output, shifting the production possibility frontier outward (DIAGRAM: A PPF curve shifting from PPF1 to PPF2, illustrating technological advancement). This occurs because new technology allows firms to optimise processes, reduce waste, and lower average costs of production. For instance, automation may enable a factory to produce 100 units per hour with 10 workers instead of 20, doubling labour productivity.  

However, the substitution of capital for labour is a key mechanism through which unemployment may rise. Structural unemployment arises when workers’ skills become obsolete due to technological change, creating a mismatch between labour supply and demand. Suppose a manufacturing firm adopts robotics for assembly lines. Workers specialised in manual assembly may lack the technical skills to operate or maintain these machines, leading to job displacement. This is distinct from cyclical unemployment, which stems from deficient aggregate demand during economic downturns. Structural unemployment is more persistent, as retraining or geographical mobility is often required for workers to re-enter the labour market. In the short run, industries reliant on routine tasks—such as manufacturing or data entry—are particularly vulnerable to labour-saving technological shocks, leading to immediate job losses.  

The relationship between efficiency gains and unemployment also depends on the time horizon. In the short run, the direct substitution effect dominates: firms reduce labour demand as capital becomes a cheaper substitute. For example, a supermarket introducing self-checkout systems may reduce its cashier workforce. This is represented in a labour market diagram (DIAGRAM: A shift left in the demand curve for labour from D1 to D2, showing reduced employment at the initial wage rate). However, in the long run, secondary effects may mitigate unemployment. Lower production costs from technological adoption can reduce prices, increasing real incomes and consumer demand. Higher demand may stimulate output expansion, raising derived demand for labour in other sectors. Additionally, new industries often emerge from technological progress—such as software development roles created by the rise of AI—absorbing displaced workers. Further, if technological advancements lower the cost of capital goods, firms may invest more broadly, increasing aggregate demand and employment through multiplier effects.  

Evaluating the extent to which unemployment rises depends on several factors. First, the elasticity of labour demand determines the magnitude of substitution: if labour demand is highly elastic, a small decline in wages could prevent significant unemployment. Second, the pace of technological diffusion matters. Rapid adoption may outstrip workers’ ability to retrain, exacerbating structural unemployment, whereas gradual implementation allows for smoother transitions. Third, labour market flexibility influences outcomes. Economies with robust vocational training programmes or subsidies for reskilling can reduce skill mismatches, whereas rigid labour markets may experience prolonged unemployment. Fourth, the sectoral composition of an economy plays a role. Service-oriented sectors, which rely on non-routine, cognitive tasks, may experience less displacement than industries dominated by repetitive manual labour. Finally, the net employment effect hinges on whether technology is labour-augmenting (complementing workers) or labour-replacing. For instance, diagnostic tools in healthcare enhance doctors’ productivity without eliminating jobs, whereas autonomous vehicles could displace drivers.  

In conclusion, while new technology unambiguously increases efficiency, its impact on unemployment is contingent. Short-run structural unemployment is likely, particularly in sectors susceptible to automation. However, long-run employment levels may stabilise or rise if lower prices stimulate demand, new industries emerge, and labour markets adapt through retraining. The extent of agreement with the statement thus depends on the time frame analysed, the adaptability of the workforce, and the balance between labour-replacing and labour-augmenting technological change."
1,Compare the impact of an increase in labour productivity on a firm in a monopsony labour market with an increase in labour productivity on a firm operating in a perfectly competitive labour market. [13],"b

Compare the impact of an increase in labour productivity on a firm in a monopsony labour market with an increase in labour productivity on a firm operating in a perfectly competitive labour market.
Answers should clearly identify and explain the key assumptions which explain the difference between these two labour markets. A monopsony market will consist of a single employer of labour; as a result the supply of labour to the firm will be upward sloping to the right. A profit maximising monopsonist employer will employ labour up to the point where the marginal cost of employing labour is equal to the marginal productivity of labour. A firm operating in a perfectly competitive labour market will pay a wage determined by the market as a whole. The firm will be a wage taker and the supply of labour to each firm will be perfectly elastic at the given wage.
Supporting diagrams in each case should clarify this difference. An increase in labour productivity would be reflected by an increase in the marginal physical product and therefore an increase in the marginal product of labour. In both market situations this would lead to a shift to the right of the firms MRP curve which is equivalent to an increase in the demand for labour. The impact in the case of monopsony will depend upon the extent of the increase in productivity. In a monopsony market, a significant increase in productivity will lead to a relatively higher increase in wages and employment but the extent of these changes will also be determined to some extent by the marginal cost of employing additional labour. In a perfectly competitive market, an increase in productivity will increase the demand for labour but the wage rate will remain the same.
L4 (9–13 marks): For an explanation of the difference between monopsony and a perfectly competitive labour market and a detailed analysis of the relationship between an increase in productivity, change in MRP and change in demand for labour. This analysis will then be applied to both markets and the respective impact of these changes on wages and employment in both markets will be compared.
L3 (7–8 marks): For competent analysis which clearly distinguishes between the two types of market and understands the relationship between changes in productivity, MRP and the demand for labour. An attempt should be made to compare the impact on wages and employment in both markets but the analysis will not be fully developed.
L2 (5–6 marks): For a brief and less clearly established link between labour productivity, MRP and the demand for labour. Some knowledge of the differences between the two types of labour market but only a very limited attempt to analyse the impact on one of the markets.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

13


","A monopsony labour market is characterised by a single employer dominating the labour market, giving it significant control over wages and employment levels. The supply of labour to the monopsonist is upward-sloping, meaning the firm must offer higher wages to attract additional workers. The profit-maximising monopsonist employs labour up to the point where the marginal cost of labour (MCL) equals the marginal revenue product of labour (MRPL). Here, the wage paid is lower than the MRPL, creating a deadweight loss. In contrast, a perfectly competitive labour market features numerous employers and homogeneous labour. Each firm is a wage taker, facing a perfectly elastic labour supply curve at the equilibrium wage determined by market demand and supply. The firm employs workers where the wage equals MRPL, ensuring allocative efficiency as wage equals both MRPL and the marginal cost of labour. DIAGRAM: In monopsony, the MCL curve lies above the upward-sloping labour supply curve, intersecting MRPL at a lower employment level than the competitive equilibrium. In perfect competition, the horizontal labour supply curve intersects MRPL at a higher employment level with wages equal to MRPL.

An increase in labour productivity raises the marginal physical product of labour (MPP), shifting the MRPL curve rightwards, as MRPL = MPP × marginal revenue. In a perfectly competitive labour market, the rightward shift in MRPL increases the quantity of labour demanded at the prevailing market wage. Since the wage is determined exogenously, the firm expands employment along the horizontal supply curve until the new MRPL equals the unchanged wage. Wages remain constant, but employment rises. DIAGRAM: The MRPL curve shifts right, intersecting the horizontal supply curve at a higher employment level, with no change in the wage rate. In a monopsony, the rightward MRPL shift alters the profit-maximising equilibrium. The monopsonist recalculates employment where the new MRPL intersects MCL. Since MCL is upward-sloping, this intersection occurs at a higher employment level and a higher wage compared to the initial equilibrium. However, the wage remains below the new MRPL, preserving the monopsony’s ability to pay below workers’ marginal revenue product. DIAGRAM: The rightward MRPL shift intersects the MCL curve at a higher point, leading to increased employment and wages, but wages still lag behind MRPL.

The extent of wage and employment changes in monopsony depends on the elasticity of labour supply and the magnitude of the productivity increase. A highly inelastic labour supply limits wage growth, as the MCL rises steeply with employment, constraining the monopsonist’s willingness to hire. Conversely, a significant productivity surge could substantially elevate MRPL, prompting larger employment and wage increases. In perfect competition, the wage remains unaffected regardless of labour supply elasticity, as the firm cannot influence the market-determined rate. Thus, productivity gains in monopsony may benefit workers through higher wages and employment, albeit imperfectly, while competitive markets channel gains solely into employment expansion. However, monopsony outcomes remain suboptimal relative to the competitive ideal, where wages reflect workers’ full marginal contribution. The comparison hinges on structural differences: monopsony’s wage-setting power distorts outcomes, whereas perfect competition aligns private and social optima. Ultimately, productivity improvements enhance welfare in both markets, but the competitive framework ensures efficient resource allocation absent in monopsony."
2,Limit pricing may sometimes be used by a monopoly. It creates a barrier to entry which benefits consumers in the short run but increases costs to the consumer in the long run.Discuss this statement. [13],"b

Limit pricing may sometimes be used by a monopoly. It creates a barrier to entry which benefits consumers in the short run but increases costs to the consumer in the long run.
Discuss this statement.
Monopoly firms will control the entire market or in some legal definitions, control at least 25% of the market. Barriers to entry will be used to prevent new firms entering the market and any subsequent loss of market share. It is also assumed that Monopoly firms will attempt to maximise profits and this will be achieved by letting the level of output be determined by the point where marginal costs (MC) = marginal revenue (MR). In some circumstances, when the market price falls to a relatively low level, it becomes possible for a new firm to enter the market and profit by charging a price which covers its costs. To prevent this, Monopoly firms might choose to lower their profit maximising but still cover costs and still maintain a satisfactory level of profits.
Monopolies can benefit from dynamic efficiency which is likely to lower average total costs compared to a new smaller firm attempting to enter the market. The new price is known as a Limit price and this can be shown with the help of a diagram which identifies a monopoly’s cost curve and a chosen limit price which is lower than the costs of the new firm. This is why limit pricing can act as a barrier to entry. On this basis it is likely that consumers will benefit in the short run due to a Monopoly firm’s decision to lower prices. However, in the long run, if the threat of entry has been removed and with it the threat to maintaining its market share, it is possible that a monopoly will then revert to its profit maximising policy. This will lead to higher prices which will have a negative impact on consumers and higher prices might now be maintained for a longer time period because the threat of competition has been removed.
Alternatively, the monopoly might invest the additional profits in research and development and achieve dynamic efficiency which will enable costs to be further reduced and low prices maintained.
L4 (9–13 marks): For an explanation of monopoly and why limit pricing might be used as a barrier to entry. The links between dynamic efficiency, low costs and the use of limit pricing as a barrier to entry should by analysed. The benefits to the consumer in the short run and potential costs in the long run should be evaluated and a conclusion provided.
L3 (7–8 marks): For a competent analysis of the relationship between a monopoly, dynamic efficiency, limit pricing and barriers to entry. Some limited comment will be made in relation to the potential difference to costs/benefits to the consumer in the short run and the long run.
L2 (5–6 marks): For a brief, descriptive approach which refers to monopoly and the use of limit pricing. Detailed analysis will not be provided to illustrate why limit pricing can act as a barrier to entry. No attempt to consider the difference between short and long run implications of pricing policy.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

13


","A monopoly is a market structure characterized by a single firm dominating the entire industry, protected by significant barriers to entry such as economies of scale, legal patents, or control over essential resources. These barriers prevent potential competitors from entering the market, allowing the monopolist to set prices above competitive levels. Profit maximization occurs where marginal revenue equals marginal cost (MR=MC), resulting in higher prices and lower output compared to a competitive market. However, monopolies may engage in strategies like limit pricing to maintain their market dominance. Limit pricing involves setting prices below the profit-maximizing level to deter new entrants. By pricing goods just low enough that potential competitors cannot cover their average costs, the monopolist sacrifices short-term profits to preserve long-term market control. This strategy relies on the monopolist’s ability to sustain lower prices due to existing economies of scale or superior cost structures. (DIAGRAM: A monopoly’s cost curves showing the limit price (P_L) set below the average cost curve of a potential entrant (AC_E), making entry unprofitable. The monopolist’s own average cost (AC_M) is lower due to economies of scale, allowing it to sustain P_L while still covering its costs.)

In the short run, consumers benefit from limit pricing as prices are lower than the monopoly’s profit-maximizing price. The monopolist’s decision to suppress prices reduces the deadweight loss typically associated with monopoly power, leading to a temporary improvement in allocative efficiency. By preventing market entry, the monopolist avoids the fragmentation of market share, which could otherwise lead to higher average costs if the industry were divided among multiple smaller firms. Additionally, the threat of potential competition may incentivize the monopolist to operate closer to productive efficiency, minimizing costs to maintain the limit price. However, this short-term consumer benefit hinges on the monopolist’s commitment to sustaining low prices, which may be contingent on the perceived threat of entry. If the monopolist successfully deters competitors, it may later revert to profit-maximizing pricing once the threat subsides, leading to higher prices in the long run.

The long-run implications depend on whether the monopolist continues to innovate and reinvest supernormal profits. Dynamic efficiency, achieved through research and development (R&D), could allow the monopolist to lower production costs over time, enabling sustained low prices without sacrificing profitability. For instance, economies of scale from increased output or technological advancements may shift the monopolist’s cost curves downward. (DIAGRAM: A downward shift in the monopolist’s average cost curve (AC_M1 to AC_M2) due to dynamic efficiency, allowing it to maintain or further reduce prices while increasing profits.) In this scenario, consumers continue to benefit from lower prices and improved product quality. Conversely, if the monopolist becomes complacent, the absence of competitive pressure may lead to X-inefficiency, where management inefficiencies raise production costs. Over time, these higher costs could be passed on to consumers through elevated prices, particularly if the monopolist abandons limit pricing once entry barriers are firmly established.

The evaluation hinges on three factors. First, the monopolist’s cost structure determines its capacity to sustain limit pricing. Firms with substantial economies of scale are more likely to maintain low prices without incurring losses, whereas those with rigid cost structures may eventually raise prices. Second, the monopolist’s strategic objectives influence outcomes. A profit-maximizing firm may prioritize short-term gains by reverting to higher prices post-entry deterrence, while a market-share-oriented firm might perpetuate low prices to solidify dominance. Third, regulatory intervention could alter incentives. Price caps or antitrust laws might compel the monopolist to align prices closer to competitive levels, mitigating long-run consumer costs. However, regulation itself can be costly and imperfect, potentially stifling innovation if overly restrictive.

In conclusion, limit pricing initially benefits consumers through lower prices and reduced deadweight loss but poses risks in the long run. Whether costs rise depends on the monopolist’s efficiency gains and strategic choices. Dynamic efficiency and regulatory frameworks may counteract the tendency toward higher prices, but in the absence of these factors, the removal of competitive threats likely leads to consumer detriment. Thus, the statement holds true only under specific conditions, emphasizing the nuanced interplay between market structure, firm behavior, and external governance."
3,Pareto optimality can only be achieved when an economy is both productively and allocatively efficient. This will create a more equitable society.Discuss the extent to which you agree with this statement. [13],"b

Pareto optimality can only be achieved when an economy is both productively and allocatively efficient. This will create a more equitable society. Discuss the extent to which you agree with this statement.
Answers should provide a clear explanation that productive efficiency is achieved when a firm achieves minimum average total cost for a given level of output or alternatively when an economy is operating on its production possibility boundary. Allocative efficiency will be achieved when resources are allocated to ensure that the price of a unit charged to the consumer is equal to the marginal cost of producing that unit. In this case the firm will produce at an output where price (AR) = marginal cost (MC).
At a macroeconomic level, allocative efficiency will be attained when all resources are allocated to maximise consumer satisfaction in society. This will be attained when an economy is operating at one specific point on its production possibility curve. Pareto optimality will be achieved when it is not possible to make someone better off without making someone worse off. Any point below the production possibility curve would not be optimal because it would not fulfil this condition. Similarly an economy which is not operating at the unique allocatively efficient point on the production possibility curve would also not fulfil this condition, therefore the first part of the statement in the question is correct.
However, equity relates to an outcome where the distribution of income and/or wealth is considered to be fair. Governments can intervene, for example, through the use of re-distributive fiscal policies to produce a more equitable outcome but Pareto optimality which produces efficient outcomes will not automatically lead to a more equitable outcome. Thus the statement in the question is only partially correct.
L4 (9–13 marks): For a reasoned and clear discussion which explains productive and allocative efficiency. Each type of efficiency should by analysed from a macroeconomic perspective. The concept of Pareto optimality should be explained and clearly linked to both types of efficiency. The second part of the statement should be discussed by explaining what is meant by equity and discussing whether there is a link between Pareto optimality and equity. A conclusion should be provided.
L3 (7–8 marks): For a competent comment which clearly defines productive and allocative efficiency. Pareto optimality might be explained and partially linked to different types of efficiency. Equity would be briefly described but not clearly discussed in relation to Pareto optimality and no conclusion will be provided.
L2 (5–6 marks): For a descriptive explanation of both types of efficiency and a definition of Pareto optimality. The link between efficiency and Pareto optimality will not be clearly established and there will be no attempt to distinguish between efficiency and equity and no attempt made to address the specific question.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

13


","Pareto optimality occurs in an economy when no reallocation of resources can improve one individual’s welfare without reducing another’s. Productive efficiency is achieved when firms operate at the lowest possible average total cost, implying no wastage of resources. At the macroeconomic level, this corresponds to operating on the production possibility frontier (PPF), where increasing output of one good necessitates reducing another. Allocative efficiency occurs when resources are distributed such that the marginal social cost of producing a good equals its marginal social benefit, ensuring the optimal mix of goods and services. For firms, this is where price equals marginal cost (P=MC), reflecting consumer preferences. When an economy achieves both productive and allocative efficiency, it reaches a Pareto optimal state: resources cannot be reallocated to improve outcomes without disadvantaging someone, as all gains from trade and production are exhausted. Thus, the first part of the statement is valid—Pareto optimality requires productive and allocative efficiency.

However, equity concerns the fairness of resource distribution, which is distinct from efficiency. A Pareto optimal economy may have extreme income inequality, as efficiency does not address distributional justice. For instance, an allocation where one individual controls most resources could be Pareto efficient if redistributing resources to others would harm the wealthy individual, even if society deems the initial distribution unfair. Equity involves normative judgments about what constitutes a “fair” distribution, whereas Pareto optimality is a positive concept focused on efficiency. Governments often use progressive taxation or welfare programs to enhance equity, but such interventions may reduce efficiency by distorting incentives. For example, high taxes on the wealthy could discourage investment, shifting the economy inside the PPF. Thus, while Pareto optimality ensures efficiency, it does not inherently promote equity. The two objectives may conflict, requiring trade-offs. Whether an equitable society emerges depends on institutional mechanisms for redistribution, which lie outside the scope of efficiency metrics. Therefore, the statement conflates efficiency with equity; achieving Pareto optimality through productive and allocative efficiency does not guarantee a more equitable society, as equity necessitates separate policy considerations."
4,Discuss whether a government can achieve all its key macroeconomic aims simultaneously. [13],"b

Discuss whether a government can achieve all its key macroeconomic aims simultaneously.
Statement of a government's macroeconomic aims: low unemployment, low inflation, (The Phillips curve relationship), economic growth and balance of payments equilibrium. The use of aggregate demand (AD) and aggregate supply (AS) analysis to demonstrate the effect of under-employed and fully employed resources in the short run and long run.
L4 (9–13 marks) For an answer which analyses 2 conflicts in simultaneously achieving the macroeconomic aims of government. AD/AS analysis or an alternative form of analysis is used to show the effect on the achievement of these aims. A conclusion is reached for 12/13 marks. L3 (7–8 marks) For an answer which analyses 1 conflict in simultaneously achieving the macroeconomic aims of government. AD/AS or an alternative form of analysis is used to show the effect on the achievement of these aims. L2 (5–6 marks) For an answer which describes 2 macroeconomic aims of a government. L1 (1–4) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

13


","A government’s key macroeconomic aims typically include low unemployment, low inflation, sustainable economic growth, and equilibrium in the balance of payments. Low unemployment refers to minimising the proportion of the labour force actively seeking work but unable to find it, while low inflation involves maintaining stable price levels to preserve purchasing power. Economic growth is the increase in real national output over time, and balance of payments equilibrium occurs when the inflows and outflows of foreign currency from trade and financial transactions are balanced. These objectives are interconnected through aggregate demand (AD) and aggregate supply (AS) dynamics. DIAGRAM: A Phillips curve illustrates the short-run inverse relationship between unemployment and inflation. When AD increases due to expansionary fiscal or monetary policy, output rises, unemployment falls, but demand-pull inflation may occur as firms raise prices amid higher consumer spending. Conversely, contractionary policies to reduce inflation could increase unemployment. DIAGRAM: An AD/AS model shows that in the short run, an economy operating below full employment (at point A with output Y1) can increase AD to Y2 (full employment) without significant inflation. However, pushing AD beyond Y2 to Y3 leads to rising price levels (P1 to P2), creating a trade-off between growth and inflation.  

The balance of payments may conflict with other aims. For example, economic growth driven by domestic consumption often raises imports, worsening the current account deficit. If a government uses deflationary policies to reduce imports and correct the deficit, AD falls, increasing unemployment. DIAGRAM: A rightward shift in AD could widen the trade deficit if import elasticity is high. Similarly, supply-side policies to boost long-run AS (shifting AS right) might improve competitiveness and reduce the deficit, but these policies take time and may not address short-term imbalances. Another conflict arises between inflation and unemployment in the long run. While the short-run Phillips curve suggests a trade-off, the long-run vertical Phillips curve implies that sustained demand-side stimulus only causes inflation without reducing unemployment below the natural rate. DIAGRAM: A long-run Phillips curve vertical at the natural rate of unemployment shows that attempts to keep unemployment below this level lead to accelerating inflation.  

Whether all aims can be achieved simultaneously depends on the economy’s initial position and policy mix. If the economy is in recession with high unemployment and low inflation (AD at Y1), expansionary policies could reduce unemployment and stimulate growth without immediate inflationary pressure, potentially improving the balance of payments if growth is export-led. However, in an overheating economy near full capacity (AD at Y3), pursuing further growth would exacerbate inflation and trade deficits. Supply-side policies that shift AS rightward could allow higher output with lower inflation and improved trade balances, but their effectiveness depends on factors like labour market flexibility and investment in technology. External shocks, such as global commodity price fluctuations, may also disrupt equilibrium regardless of domestic policies. For instance, rising oil prices could simultaneously cause cost-push inflation, lower growth, and a trade deficit, complicating policy responses.  

In conclusion, inherent trade-offs between macroeconomic aims—particularly between inflation and unemployment in the short run, and between growth and balance of payments equilibrium—make it unlikely for all objectives to be fully achieved simultaneously. However, a combination of demand-side management, supply-side reforms, and favourable external conditions could mitigate these conflicts. The extent to which aims are compatible depends on the economic context, policy timing, and structural factors influencing how AD and AS interact over different time horizons."
5,"Discuss whether in a period of very low interest rates, monetary policy alone can solve the problem of cyclical unemployment. [13]","b

Discuss whether in a period of low interest rates, monetary policy alone can resolve the problem of cyclical unemployment.
Monetary policy transmission mechanism and effect on demand in the economy. Limitations of low interest rates on ability to reduce rate of interest and provoke expansion. Fiscal policy as an alternative, multiplier effect, problems of size/timing of interventions.
L4 (9–13 marks) For an answer which develops an analysis of monetary and fiscal policy and applies them to the problem of cyclical unemployment. Some limitations of the policy(ies) are explained. A conclusion is reached for 12/13 marks. L3 (7–8 marks) For an answer which develops an analysis of monetary or fiscal policy and comments on the other policy, some application to the problem of cyclical unemployment is made. L2 (5–6 marks) For an answer which explains monetary or fiscal policy in a relevant context. L1 (1–4). For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

13


","Cyclical unemployment arises from deficient aggregate demand during economic downturns, where real output falls below potential GDP. Monetary policy aims to stimulate demand by lowering interest rates, reducing the cost of borrowing for households and firms. This incentivizes consumption and investment, raising aggregate demand (AD) through the transmission mechanism: lower interest rates decrease savings rewards, increase disposable income for variable-rate borrowers, and reduce mortgage payments, boosting consumer spending. For firms, cheaper loans lower capital costs, encouraging expansion and hiring. DIAGRAM: In the AD-AS model, a rightward shift of AD from AD1 to AD2 reduces the negative output gap (Y1 to Yp), lowering cyclical unemployment as real output approaches full employment levels. However, when interest rates are already very low, further reductions may have limited impact. The zero lower bound (ZLB) restricts nominal interest rates from falling below zero, impairing central banks’ ability to stimulate demand. Even if rates are slightly positive, households and firms may exhibit liquidity preference, hoarding cash due to pessimistic expectations about future income or profits, rendering interest rate cuts ineffective. Additionally, commercial banks may tighten credit standards during recessions, limiting the availability of loans despite low policy rates. This breakdown in the monetary transmission mechanism weakens the policy’s ability to resolve cyclical unemployment.

Fiscal policy can circumvent these limitations. Government spending directly injects demand into the economy through infrastructure projects or public sector employment, while tax cuts increase households’ disposable income. The multiplier effect amplifies the initial fiscal stimulus: recipients of government spending or tax cuts spend a portion of their additional income, further boosting AD. DIAGRAM: A fiscal expansion shifts AD from AD1 to AD2 more substantially than monetary policy in a low-rate environment, closing the output gap (Y1 to Yp) and reducing unemployment. However, fiscal interventions face challenges, including implementation lags—delays in legislative approval and project initiation—which reduce timeliness compared to central banks’ quicker rate adjustments. Political constraints, such as concerns over budget deficits and public debt sustainability, may also limit the scale of fiscal measures. Despite these issues, fiscal policy’s direct demand stimulus makes it a critical tool when monetary policy is constrained.

The effectiveness of monetary policy alone depends on the depth of the recession and the responsiveness of economic agents. In mild downturns, even low rates may suffice if confidence remains intact, as small borrowing cost reductions could spur marginal increases in consumption and investment. However, in severe recessions characterized by entrenched pessimism, monetary policy may fail to reverse deflationary spirals or address debt overhangs, necessitating fiscal support. Furthermore, structural factors influence outcomes: if cyclical unemployment coexists with structural mismatches, monetary policy cannot address skill gaps or geographical immobility. Thus, while monetary policy remains a cornerstone of demand management, its efficacy in a low-rate environment hinges on complementary fiscal action and the broader economic context. A coordinated policy mix is likely essential to fully resolve cyclical unemployment under such conditions."
6,Discuss the extent to which a firm's ability to operate a policy of price discrimination is determined by the market structure in which that firm operates. [13],"b

Discuss the extent to which a firm's ability to operate a policy of price discrimination is determined by the market structure in which that firm operates.
Definition and explanation of price discrimination (PD). Necessary conditions for PD: able to set price, separate markets and differing PED. PD and perfect/imperfect market structures
L4 (9–13 marks) For an answer which develops an analysis of the consequences of the necessary conditions for PD on the price and output of a firm. Consideration is given to a form of market structure which enables the conditions of PD to be practiced. A conclusion is reached for 12/13 marks. L3 (7–8 marks) For an answer which develops an analysis of the consequences of the necessary conditions for PD on the price and output of a firm. L2 (5–6 marks) For an answer which defines and explains PD. Answer may be largely descriptive with limited if any link market structure. L1 (1–4 marks) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

13


","Price discrimination occurs when a firm charges different prices to different consumers for an identical good or service, where the price differences are not justified by variations in production costs. For price discrimination to be feasible, three conditions must be met. First, the firm must possess sufficient market power to set prices rather than accept the market price, which inherently depends on the degree of competition within its market structure. Second, the firm must be able to identify and segregate consumers into distinct groups with differing price elasticities of demand (PED). Third, it must prevent arbitrage, ensuring consumers cannot resell the product between markets to exploit price differences. These conditions are intrinsically linked to the characteristics of the market structure in which the firm operates.  

In perfectly competitive markets, firms are price takers with no control over prices, rendering price discrimination impossible. The existence of numerous firms producing homogeneous goods ensures that any attempt to charge different prices would result in consumers switching to competitors offering the equilibrium price. By contrast, monopolies possess significant market power due to their position as the sole supplier, allowing them to set prices unilaterally. A monopolist can segment markets based on differing PED, such as charging higher prices to consumers with inelastic demand (e.g., business travellers for airline tickets) and lower prices to those with elastic demand (e.g., leisure travellers). The absence of close substitutes and high barriers to entry further enable monopolies to sustain price discrimination without losing customers to competitors.  

Oligopolistic markets present a more complex scenario. While firms in oligopolies have some pricing power, strategic interdependence between dominant firms often limits overt price discrimination. Tacit collusion or price leadership may lead to uniform pricing strategies to avoid destabilizing the market equilibrium. However, if one firm possesses distinct cost advantages or brand loyalty, it may exploit segmented markets. For instance, a dominant firm in an oligopoly might engage in third-degree price discrimination by offering student discounts, assuming students exhibit higher PED. The feasibility here depends on the firm’s relative market share and the ability to prevent arbitrage, which is influenced by the concentration of the market.  

Monopolistic competition, characterised by many firms selling differentiated products, allows limited price discrimination. Firms have some pricing power due to product differentiation, enabling them to charge slightly different prices based on consumer preferences. However, the presence of close substitutes restricts the extent of segmentation. For example, a coffee shop in a monopolistically competitive market might offer loyalty discounts to regular customers but cannot systematically segment markets as effectively as a monopoly, since consumers can easily switch to rival brands if price disparities become significant. The freedom of entry in monopolistic competition also erodes long-term supernormal profits, reducing incentives for sustained price discrimination.  

The impact of price discrimination on output and welfare varies by market structure. In monopoly, price discrimination can increase total output closer to the allocatively efficient level (where price equals marginal cost) by capturing consumer surplus from inelastic markets and expanding sales in elastic markets. This may paradoxically enhance static efficiency despite the monopolist’s inherent inefficiencies. In oligopoly or monopolistic competition, price discrimination might merely redistribute output among consumer groups without significant net welfare gains, as competitive pressures limit the firm’s ability to exploit market power fully.  

The extent to which market structure determines a firm’s ability to price discriminate depends on the interplay between market power, substitutability, and barriers to entry. Monopolies, with their absolute market control, are best positioned to implement systematic price discrimination. Oligopolies and monopolistically competitive firms face constraints from competitors and substitutability, reducing their capacity to segment markets effectively. However, even within a given market structure, auxiliary factors such as information asymmetry, regulatory frameworks, or technological advancements (e.g., data analytics for consumer segmentation) can enhance or inhibit price discrimination. For instance, digital platforms in monopolistic competition might leverage big data to identify PED variations, enabling finer price discrimination than traditional firms in the same structure. Nevertheless, market structure remains the foundational determinant, as it dictates the firm’s inherent pricing autonomy and competitive environment.  

In conclusion, while technological and regulatory factors play supplementary roles, market structure is the primary determinant of a firm’s ability to engage in price discrimination. Monopolies, owing to their market dominance, are most capable of meeting the necessary conditions, whereas competitive markets inherently preclude such practices. Intermediate structures like oligopoly and monopolistic competition permit limited price discrimination, contingent on the firm’s strategic position within the market. Thus, the capacity to price discriminate is largely a function of the firm’s market power, which is itself defined by the structure of the market in which it operates."
