,Prompt,Response
0," A demand-income graph for normal and inferior goods would show upward-sloping and downward-sloping curves, respectively, with varying gradients reflecting elasticity. ","\documentclass[tikz]{standalone}
\usepackage{pgfplots}
\pgfplotsset{
  compat=1.18,
  standard/.style={
    axis lines=left,
    axis line style={-stealth},
    xlabel={Income (Y)},
    ylabel={Quantity Demanded (Q)},
    xmin=0, xmax=10,
    ymin=0, ymax=10,
    xtick=\empty,
    ytick=\empty,
    every axis plot/.append style={thick, smooth},
    clip=false
  }
}
\begin{document}
\begin{tikzpicture}
\begin{axis}[standard]
  % Normal good curve (upward-sloping)
  \addplot[blue, domain=1:8] {0.3*(x-1)^0.7 + 1};
  \node[blue, above right] at (axis cs:6.5,3.5) {Normal Good};
  
  % Inferior good curve (downward-sloping)
  \addplot[red, domain=1:8] {9 - 0.4*(x-1)^0.8};
  \node[red, above left] at (axis cs:2.5,7.2) {Inferior Good};
  
  % Elasticity markers (varying gradients)
  \draw[blue, dashed] (axis cs:2.5,1.8) to (axis cs:3.5,2.1);
  \draw[blue, dashed] (axis cs:5.5,2.8) to (axis cs:6.5,3.2);
  
  \draw[red, dashed] (axis cs:1.8,7.5) to (axis cs:2.8,6.9);
  \draw[red, dashed] (axis cs:4.5,5.2) to (axis cs:5.5,4.6);
\end{axis}
\end{tikzpicture}
\end{document}"
1," A supply and demand diagram for merit goods shows the marginal social benefit curve lying above the marginal private benefit curve, with the market equilibrium quantity lower than the social optimum. For public goods, the diagram would illustrate zero private supply at any price due to non-excludability. A mixed economy addresses this through government intervention: subsidies for merit goods to lower prices and boost consumption, and direct provision or taxation for public goods. However, the effectiveness of these measures depends on government capacity to accurately assess social benefits and allocate sufficient funding. ","\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Quantity,
    ylabel = Price,
    xmin = 0, xmax = 15,
    ymin = 0, ymax = 15,
    xtick = \empty,
    ytick = \empty,
    clip = false,
]

% Supply curve (MPC)
\addplot[domain=0:12, color=blue, thick] {2 + 0.5*x};
\node[above] at (axis cs:12,8) {S = MPC};

% Marginal private benefit (MPB)
\addplot[domain=0:20, color=red, thick] {10 - 0.5*x};
\node[right] at (axis cs:15,2.5) {MPB};

% Marginal social benefit (MSB)
\addplot[domain=0:24, color=red, dashed, thick] {12 - 0.5*x};
\node[right] at (axis cs:20,2) {MSB};

% Market equilibrium (MPB & MPC intersection)
\coordinate (market) at (axis cs:8,6);
\fill (market) circle (2pt) node[above right] {$E_m$};
\draw[dashed] (axis cs:0,6) -- (market) -- (axis cs:8,0);
\node[left] at (axis cs:0,6) {$P_m$};
\node[below] at (axis cs:8,0) {$Q_m$};

% Social optimum (MSB & MPC intersection)
\coordinate (social) at (axis cs:10,7);
\fill (social) circle (2pt) node[above right] {$E_s$};
\draw[dashed] (axis cs:0,7) -- (social) -- (axis cs:10,0);
\node[left] at (axis cs:0,7) {$P_s$};
\node[below] at (axis cs:10,0) {$Q_s$};

% Arrow for shift
\draw[->, thick, black] (axis cs:8,4.5) -- (axis cs:10,4.5);
\node[above] at (axis cs:9,4.5) {External benefit};

\end{axis}
\end{tikzpicture}
\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Quantity,
    ylabel = Price,
    xmin = 0, xmax = 10,
    ymin = 0, ymax = 15,
    xtick = \empty,
    ytick = \empty,
    clip = false,
]

% Marginal cost (MC)
\addplot[domain=0:9, color=blue, thick] {2 + x};
\node[above] at (axis cs:7,9) {MC};

% Marginal social benefit (MSB)
\addplot[domain=0:14, color=red, thick] {14 - x};
\node[right] at (axis cs:10,4) {MSB};

% Social optimum (MSB & MC intersection)
\coordinate (optimum) at (axis cs:6,8);
\fill (optimum) circle (2pt) node[above right] {$E_{opt}$};
\draw[dashed] (axis cs:0,8) -- (optimum) -- (axis cs:6,0);
\node[left] at (axis cs:0,8) {$P_{opt}$};
\node[below] at (axis cs:6,0) {$Q_{opt}$};

% Private market outcome
\node[below] at (axis cs:0,0) {$Q=0$};
\fill (axis cs:0,2) circle (2pt) node[right=3pt] {Private market outcome};
\draw[->, thick] (axis cs:0,1.5) -- (axis cs:0,0.5);

\end{axis}
\end{tikzpicture}"
2," A downward-sloping aggregate demand (AD) curve and upward-sloping short-run aggregate supply (SRAS) curve intersecting at an equilibrium price level and real GDP. A rightward shift of the AD curve from AD1 to AD2 shows increased demand due to lower interest rates, leading to higher real GDP from Y1 to Y2 and a rise in the price level from P1 to P2.) Lower interest rates reduce the reward for saving, encouraging households to increase consumption. Simultaneously, borrowing becomes cheaper for firms, raising investment in capital goods. This increases the components of AD (consumption and investment), shifting the AD curve rightward. If the economy operates below full capacity, this raises real GDP, causing economic growth. The extent of price level increases depends on the economy’s proximity to full employment. For instance, in a recession with spare capacity, higher AD may primarily boost output with minimal inflation, as firms utilise idle resources. However, near full employment, the same AD shift would strain resources, pushing prices up more significantly","\documentclass[tikz]{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    axis lines=left,
    xlabel=Real GDP,
    ylabel=Price Level,
    xmin=0, xmax=100,
    ymin=0, ymax=100,
    xtick={40,70},
    xticklabels={$Y_1$,$Y_2$},
    ytick={50,65},
    yticklabels={$P_1$,$P_2$},
    clip=false,
    grid=none,
    every axis y label/.style={at={(ticklabel* cs:1.02)},anchor=west},
    every axis x label/.style={at={(ticklabel* cs:1.02)},anchor=south}
]

% SRAS curve (upward sloping)
\addplot[blue, thick, domain=10:90] {0.6*x + 20};
\node[blue, above] at (axis cs:85,71) {SRAS};

% AD1 curve (downward sloping)
\addplot[red, thick, domain=10:90] {90 - 0.5*x};
\node[red, above] at (axis cs:15,82.5) {AD\textsubscript{1}};

% AD2 curve (shifted right)
\addplot[red, thick, domain=40:95] {100 - 0.5*x};
\node[red, above] at (axis cs:40,80) {AD\textsubscript{2}};

% Equilibrium points
\addplot[only marks, mark=*, black] coordinates {(40,50)};
\node[above] at (axis cs:40,50) {$E_1$};
\addplot[only marks, mark=*, black] coordinates {(70,65)};
\node[above] at (axis cs:70,65) {$E_2$};

% Dashed lines for E1
\draw[dashed] (axis cs:40,0) -- (axis cs:40,50) -- (axis cs:0,50);
% Dashed lines for E2
\draw[dashed] (axis cs:70,0) -- (axis cs:70,65) -- (axis cs:0,65);

% Shift arrow
\draw[->, thick, black] (axis cs:55,75) -- (axis cs:75,75) 
    node[midway, above] {\footnotesize increased demand due to lower interest rates};

% GDP change arrow
\draw[->, thick, black] (axis cs:40,10) -- (axis cs:70,10) 
    node[midway, below] {Real GDP: $Y_1$ to $Y_2$};

% Price level change arrow
\draw[->, thick, black] (axis cs:95,50) -- (axis cs:95,65) 
    node[midway, right] {Price Level: $P_1$ to $P_2$};

\end{axis}
\end{tikzpicture}
\end{document}"
3," An outward shift of the aggregate demand curve from AD1 to AD2, intersecting the upward-sloping short-run aggregate supply curve at a higher equilibrium real output level (Y1 to Y2). This illustrates how increased net exports could expand output if the economy operates below full employment","\documentclass{standalone}
\usepackage{pgfplots}
\usetikzlibrary{intersections}
\pgfplotsset{compat=1.18}

\begin{document}
\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Real Output (Y),
    ylabel = Price Level (P),
    xmin = 0, xmax = 180,
    ymin = 0, ymax = 220,
    grid = both,
    xtick = {0,50,100,150,170},
    xticklabels = {0,50,100,,},
    ytick = {0,50,100,125,135,150,200,220},
    yticklabels = {0,50,100,,,150,200,220},
    clip = false
]

% SRAS curve (upward sloping)
\addplot[blue, thick, domain=0:180] {0.5*x + 50};
\node[above] at (axis cs:160,130) {SRAS};

% AD1 curve (initial)
\addplot[red, thick, domain=0:180] {200 - 0.5*x};
\node[above left] at (axis cs:40,180) {AD\textsubscript{1}};

% AD2 curve (shifted outward)
\addplot[red, thick, dashed, domain=0:180] {220 - 0.5*x};
\node[above left] at (axis cs:40,200) {AD\textsubscript{2}};

% Equilibrium points
\coordinate (eq1) at (axis cs:150,125);
\coordinate (eq2) at (axis cs:170,135);

% Dashed lines for Y1
\draw[dashed] (eq1) -- (axis cs:150,0) node[below] {$Y_1$};
\draw[dashed] (eq1) -- (axis cs:0,125) node[left] {$P_1$};
\node[circle, fill=black, inner sep=1.5pt] at (eq1) {};

% Dashed lines for Y2
\draw[dashed] (eq2) -- (axis cs:170,0) node[below] {$Y_2$};
\draw[dashed] (eq2) -- (axis cs:0,135) node[left] {$P_2$};
\node[circle, fill=black, inner sep=1.5pt] at (eq2) {};

% Shift arrow for AD
\draw[->, thick, red] (axis cs:100,150) -- (axis cs:140,150);

\end{axis}
\end{tikzpicture}
\end{document}"
4," An upward-sloping income-demand curve for normal goods illustrates this, where higher income (on the horizontal axis) corresponds to higher quantity demanded (on the vertical axis). For example, if YED for restaurant meals is +1.5, a 10% income increase results in a 15% rise in demand. However, inferior goods, such as low-quality substitutes, experience reduced demand as incomes grow. If bus travel has a YED of -0.8, a 10% income increase causes an 8% decline in demand, as consumers switch to alternatives like private transport. ","\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = {Income (Y)},
    ylabel = {Quantity Demanded (Q)},
    xmin=0, xmax=120,
    ymin=0, ymax=140,
    xtick={0,50,100,110},
    ytick={0,50,100,115},
    grid = none,
    clip = false,
    width=8cm,
    height=6cm
]

% Normal good curve
\addplot[blue, thick, domain=0:120] {1.5*x - 50};
\node[blue, above] at (axis cs:70,100) {Normal Good (YED = +1.5)};

% Initial point (Y1, Q1)
\coordinate (A) at (axis cs:100,100);
\fill[red] (A) circle (2pt) node[below left] {A};
\node[left] at (axis cs:0,100) {$Q_1$};
\draw[dashed, gray] (axis cs:100,0) -- (A) node[below] {$Y_1$};

% New income level (Y2 = 110)
\coordinate (B) at (axis cs:110,115);
\fill[red] (B) circle (2pt) node[above] {B};
\node[left] at (axis cs:0,115) {$Q_2$};
\draw[dashed, gray] (axis cs:110,0) -- (B) node[below] {$Y_2$};

% Change arrows
\draw[->, thick, red] (axis cs:100,90) -- node[below] {10\% income increase} (axis cs:110,90);
\draw[->, thick, red] (axis cs:85,100) -- node[left] {15\% demand increase} (axis cs:85,115);
\end{axis}
\end{tikzpicture}

\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = {Income (Y)},
    ylabel = {Quantity Demanded (Q)},
    xmin=0, xmax=120,
    ymin=0, ymax=120,
    xtick={0,50,100,110},
    ytick={0,50,92,100},
    grid = none,
    clip = false,
    width=8cm,
    height=6cm
]

% Inferior good curve
\addplot[blue, thick, domain=0:120] {-0.8*x + 180};
\node[blue, above] at (axis cs:70,100) {Inferior Good (YED = -0.8)};

% Initial point (Y1, Q1)
\coordinate (A) at (axis cs:100,100);
\fill[red] (A) circle (2pt) node[above left] {A};
\node[left] at (axis cs:0,100) {$Q_1$};
\draw[dashed, gray] (axis cs:100,0) -- (A) node[below] {$Y_1$};

% New income level (Y2 = 110)
\coordinate (B) at (axis cs:110,92);
\fill[red] (B) circle (2pt) node[below] {B};
\node[left] at (axis cs:0,92) {$Q_2$};
\draw[dashed, gray] (axis cs:110,0) -- (B) node[below] {$Y_2$};

% Change arrows
\draw[->, thick, red] (axis cs:100,85) -- node[below] {10\% income increase} (axis cs:110,85);
\draw[->, thick, red] (axis cs:85,100) -- node[left] {8\% demand decrease} (axis cs:85,92);
\end{axis}
\end{tikzpicture}"
5," A demand and supply diagram with price on the vertical axis and quantity on the horizontal axis. The initial equilibrium is at the intersection of demand curve D and supply curve S1, with price P and quantity Q. The introduction of the tax shifts the supply curve vertically upwards by the amount of the tax to S2, creating a new equilibrium at a higher price P1 and lower quantity Q1.) The tax creates a wedge between the price consumers pay and the price producers receive, reducing the quantity traded in the market. Indirect taxes are often applied to demerit goods, where consumption generates negative externalities, to discourage their use. ","\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Quantity,
    ylabel = Price,
    xmin = 0, xmax = 10,
    ymin = 0, ymax = 10,
    xtick = {4,6},
    xticklabels = {$Q_{1}$, $Q$},
    ytick = {5,7},
    yticklabels = {$P$, $P_{1}$},
    clip = false,
    grid = none,
    every axis y label/.style = {at = {(ticklabel* cs:1.05)}, anchor = south},
    every axis x label/.style = {at = {(ticklabel* cs:1.05)}, anchor = west},
]

% Demand curve (D)
\addplot[blue, thick, domain=0:8] {9 - 0.67*x};
\node[blue, above right] at (axis cs: 1,8) {$D$};

% Original supply curve (S1)
\addplot[red, thick, domain=0:8] {1 + 0.67*x};
\node[red, below right] at (axis cs: 7,5.7) {$S_{1}$};

% Shifted supply curve (S2)
\addplot[red, thick, dashed, domain=0:8] {3 + 0.67*x};
\node[red, above left] at (axis cs: 7,7.7) {$S_{2}$};

% Initial equilibrium (Q, P)
\addplot[only marks, mark=*, black] coordinates {(6,5)};

% New equilibrium (Q1, P1)
\addplot[only marks, mark=*, black] coordinates {(4,7)};

% Vertical dashed lines for quantity
\draw[dashed] (axis cs:4,0) -- (axis cs:4,7);
\draw[dashed] (axis cs:6,0) -- (axis cs:6,5);

% Horizontal dashed lines for prices
\draw[dashed] (axis cs:0,5) -- (axis cs:6,5);
\draw[dashed] (axis cs:0,7) -- (axis cs:4,7);

% Producer price at Q1
\draw[dashed] (axis cs:0,5) -- (axis cs:4,5); % P_producer line

% Tax wedge (double arrow)
\draw[<->, line width=1pt] (axis cs:4.2,5) -- node[right] {Tax} (axis cs:4.2,7);

\end{axis}
\end{tikzpicture}"
6," A standard aggregate demand and aggregate supply diagram with price level on the vertical axis and real GDP on the horizontal axis, showing the downward-sloping AD curve and upward-sloping SRAS curve. An increase in aggregate demand may arise from lower interest rates, which reduce the cost of borrowing for households and firms. This incentivises higher consumption and investment spending, shifting the AD curve to the right. DIAGRAM: A rightward shift from AD1 to AD2, leading to a higher equilibrium price level (P1 to P2) and real GDP (Y1 to Y2). An increase in aggregate supply could result from technological advancements improving productivity, lowering production costs. Firms can produce more at each price level, shifting the SRAS curve rightward. DIAGRAM: A rightward shift from SRAS1 to SRAS2, reducing the equilibrium price level (P1 to P2) and increasing real GDP (Y1 to Y2)","\documentclass[tikz]{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\begin{document}

\begin{tikzpicture}[baseline]
\begin{axis}[
    axis lines = left,
    xlabel = {Real GDP},
    ylabel = {Price Level},
    xmin = 0, xmax = 120,
    ymin = 0, ymax = 120,
    xtick = \empty,
    ytick = \empty,
    clip = false,
    every axis y label/.style={rotate=0, at={(ticklabel* cs:1.05)}},
    every axis x label/.style={at={(ticklabel* cs:1.05)}},
]

% SRAS curve (upward-sloping)
\addplot[blue, thick, domain=10:100] {0.1*x + 30} node[pos=0.95, above left] {SRAS};

% AD curves (downward-sloping)
\addplot[red, thick, domain=10:100] {90 - 0.6*x} node[pos=0.1, below right] {AD\textsubscript{1}};
\addplot[red, thick, dashed, domain=30:110] {110 - 0.6*x} node[pos=0.1, below right] {AD\textsubscript{2}};

% Equilibrium points
\coordinate (E1) at (60,54);
\coordinate (E2) at (80,62);

% Dashed lines for equilibrium
\draw[dashed] (E1) -- (axis cs:60,0) node[below] {Y\textsubscript{1}};
\draw[dashed] (E1) -- (axis cs:0,54) node[left] {P\textsubscript{1}};
\draw[dashed] (E2) -- (axis cs:80,0) node[below] {Y\textsubscript{2}};
\draw[dashed] (E2) -- (axis cs:0,62) node[left] {P\textsubscript{2}};

% Shift arrow
\draw[->, thick, black] (axis cs:50,40) -- node[above] {Increased AD} (axis cs:70,40);

% Equilibrium labels
\node[circle, fill=black, inner sep=1.5pt, label=above right:E\textsubscript{1}] at (E1) {};
\node[circle, fill=black, inner sep=1.5pt, label=above right:E\textsubscript{2}] at (E2) {};

\end{axis}
\end{tikzpicture}
%
\hspace{1cm}
%
\begin{tikzpicture}[baseline]
\begin{axis}[
    axis lines = left,
    xlabel = {Real GDP},
    ylabel = {Price Level},
    xmin = 0, xmax = 120,
    ymin = 0, ymax = 120,
    xtick = \empty,
    ytick = \empty,
    clip = false,
    every axis y label/.style={rotate=0, at={(ticklabel* cs:1.05)}},
    every axis x label/.style={at={(ticklabel* cs:1.05)}},
]

% AD curve (downward-sloping)
\addplot[red, thick, domain=10:100] {90 - 0.6*x} node[pos=0.1, below right] {AD};

% SRAS curves (upward-sloping)
\addplot[blue, thick, domain=10:100] {0.1*x + 50} node[pos=0.95, above left] {SRAS\textsubscript{1}};
\addplot[blue, thick, dashed, domain=30:110] {0.1*x + 30} node[pos=0.95, above left] {SRAS\textsubscript{2}};

% Equilibrium points
\coordinate (E1) at (50,55);
\coordinate (E2) at (70,37);

% Dashed lines for equilibrium
\draw[dashed] (E1) -- (axis cs:50,0) node[below] {Y\textsubscript{1}};
\draw[dashed] (E1) -- (axis cs:0,55) node[left] {P\textsubscript{1}};
\draw[dashed] (E2) -- (axis cs:70,0) node[below] {Y\textsubscript{2}};
\draw[dashed] (E2) -- (axis cs:0,37) node[left] {P\textsubscript{2}};

% Shift arrow
\draw[->, thick, black] (axis cs:85,45) -- node[below] {Increased SRAS} (axis cs:85,25);

% Equilibrium labels
\node[circle, fill=black, inner sep=1.5pt, label=above right:E\textsubscript{1}] at (E1) {};
\node[circle, fill=black, inner sep=1.5pt, label=below right:E\textsubscript{2}] at (E2) {};

\end{axis}
\end{tikzpicture}

\end{document}"
7," (A demand and supply graph with price on the vertical axis and quantity on the horizontal axis. The initial demand curve D1 intersects supply curve S at equilibrium E1, with price P1 and quantity Q1. An outward shift to demand curve D2 creates a new equilibrium E2 at price P2 and quantity Q2.) The shift from D1 to D2 illustrates how factors such as rising consumer income, changes in the price of substitute goods, or increased preferences for the product can increase demand. For instance, higher income for normal goods raises consumers’ purchasing power, enabling them to buy more at every price. Similarly, if a substitute good becomes more expensive, consumers may switch to this product, increasing its demand. ","\documentclass[tikz]{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\usetikzlibrary{arrows.meta}

\begin{document}
\begin{tikzpicture}
\begin{axis}[
    axis lines=left,
    xlabel=Quantity,
    ylabel=Price,
    xmin=0, xmax=12,
    ymin=0, ymax=11,
    xtick=\empty,
    ytick=\empty,
    clip=false,
    every axis x label/.style={at={(ticklabel* cs:1.02)}, anchor=west},
    every axis y label/.style={at={(ticklabel* cs:1.02)}, anchor=south}
]

% Supply curve
\addplot[thick, color=blue, domain=0:10, samples=2] {0.5*x + 1};
\node[blue, above right] at (10,6) {S};

% Initial demand curve (D1)
\addplot[thick, color=red, domain=0:10, samples=2] {-0.5*x + 8};
\node[red, above left] at (0,8) {D\textsubscript{1}};

% Shifted demand curve (D2)
\addplot[thick, color=red, dashed, domain=0:12, samples=2] {-0.5*x + 10};
\node[red, above left] at (0,10) {D\textsubscript{2}};

% Equilibrium points
\node[circle, fill=black, inner sep=1.5pt, label=above right:E\textsubscript{1}] at (7,4.5) {};
\node[circle, fill=black, inner sep=1.5pt, label=above right:E\textsubscript{2}] at (9,5.5) {};

% Dashed lines for E1
\draw[dashed] (7,4.5) -- (7,0) node[below] {Q\textsubscript{1}};
\draw[dashed] (7,4.5) -- (0,4.5) node[left] {P\textsubscript{1}};

% Dashed lines for E2
\draw[dashed] (9,5.5) -- (9,0) node[below] {Q\textsubscript{2}};
\draw[dashed] (9,5.5) -- (0,5.5) node[left] {P\textsubscript{2}};

% Demand shift arrow
\draw[-{Stealth[scale=1.2]}, thick, red] (6,7.5) -- (9,7.5);

\end{axis}
\end{tikzpicture}
\end{document}"
8," (A second supply curve S2 intersects D2 at a new equilibrium E3, with price P3 lower than P2 but higher than P1, and quantity Q3 higher than Q2.) This increased elasticity of supply reduces the price from P2 to P3, though it remains above the original price P1. ","\documentclass{standalone}
\usepackage{pgfplots}
\pgfplotsset{compat=1.18}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    axis lines = left,
    xlabel = Quantity,
    ylabel = Price,
    xmin=0, xmax=8,
    ymin=0, ymax=10,
    xtick=\empty,
    ytick=\empty,
    clip=false
]
% Supply curves
\addplot[red, domain=2:6, thick] {2*x-3} node[at end, right] {S1};
\addplot[red, domain=0:7, thick, dashed] {2 + (1/3)*x} node[at end, right] {S2};
% Demand curves
\addplot[blue, domain=2:4, thick] {12-3*x} node[pos=0.5, above] {D1};
\addplot[blue, domain=4:7, thick, dashed] {22-3*x} node[pos=0.5, above] {D2};
% Equilibria points
\addplot[only marks, mark=*, mark size=2pt] coordinates {
    (3,3) (5,7) (6,4)
};
\node[above] at (axis cs:3,3) {E1};
\node[above] at (axis cs:5,7) {E2};
\node[above] at (axis cs:6,4) {E3};
% Price labels
\draw[dashed] (axis cs:3,3) -- (axis cs:0,3) node[left] {P1};
\draw[dashed] (axis cs:5,7) -- (axis cs:0,7) node[left] {P2};
\draw[dashed] (axis cs:6,4) -- (axis cs:0,4) node[left] {P3};
% Quantity labels
\draw[dashed] (axis cs:3,3) -- (axis cs:3,0) node[below] {Q1};
\draw[dashed] (axis cs:5,7) -- (axis cs:5,0) node[below] {Q2};
\draw[dashed] (axis cs:6,4) -- (axis cs:6,0) node[below] {Q3};
\end{axis}
\end{tikzpicture}
\end{document}"
9," The circular flow diagram includes households supplying factors of production to firms and receiving income, which is spent on goods and services. Injections into the flow—government spending (G), investment (I), and exports (X)—increase national income, while leakages—taxation (T), savings (S), and imports (M)—withdraw income from the flow.) Equilibrium occurs when total injections (G + I + X) equal total leakages (T + S + M). If injections exceed leakages, national income rises as more spending enters the economy, stimulating production and employment. Conversely, if leakages exceed injections, income contracts, leading to reduced output and potential unemployment. For instance, an increase in exports raises injections, shifting the economy toward a higher equilibrium level of income, while higher imports divert spending abroad, acting as a leakage that reduces domestic income. The equilibrium is dynamic, adjusting to changes in any component of injections or leakages. ","\begin{tikzpicture}
    \begin{axis}[
        axis lines=none,
        xmin=0, xmax=10, ymin=0, ymax=10,
        hide axis,
        clip=false
    ]
    
    % Main nodes
    \node[draw, rectangle, minimum width=3cm, minimum height=1.5cm] at (3,5) (households) {Households};
    \node[draw, rectangle, minimum width=3cm, minimum height=1.5cm] at (7,5) (firms) {Firms};
    \node[draw, rectangle] at (5,8) (government) {Government};
    \node[draw, rectangle] at (5,2) (financial) {Financial Sector};
    \node[draw, rectangle] at (9,8) (foreign) {Foreign Sector};
    
    % Factor and product markets (circular flows)
    \draw[->, thick, bend left=30] (households.east) to node[midway, above] {Factors of Production} (firms.west);
    \draw[->, thick, bend left=30] (firms.west) to node[midway, below] {Goods and Services} (households.east);
    
    % Income and spending flows
    \draw[->, thick, bend left=30] (firms.east) to node[midway, above, sloped] {Income} (households.west);
    \draw[->, thick, bend left=30] (households.west) to node[midway, below, sloped] {Spending} (firms.east);
    
    % Leakages
    \draw[->, red, dashed] (households.north) to node[left] {Taxation (T)} (government.south);
    \draw[->, red, dashed] (households.south) to node[left] {Savings (S)} (financial.north);
    \draw[->, red, dashed] (households.east) to [out=0, in=180] node[above right] {Imports (M)} (foreign.south);
    
    % Injections
    \draw[->, blue, dashed] (government.south) to [out=270, in=90] node[right] {Government Spending (G)} (firms.north);
    \draw[->, blue, dashed] (financial.north) to [out=90, in=270] node[right] {Investment (I)} (firms.south);
    \draw[->, blue, dashed] (foreign.south) to node[below right] {Exports (X)} (firms.north east);
    
    % Equilibrium condition
    \node[draw, fill=white] at (5,0.5) {Equilibrium: \( G + I + X = T + S + M \)};
    
    % Dynamic adjustment labels
    \node[align=center] at (5,9.5) {Injections: \( G, I, X \) \\ Increase national income};
    \node[align=center] at (5,0.5) {Leakages: \( T, S, M \) \\ Withdraw income};
    
    \end{axis}
\end{tikzpicture}"
