,Question,Mark Scheme,Response
0,"In March 2014, Sweden had a change in its Consumer Price Index of –0.6%.  Which combination of policies might the government use to restore price stability? 

A. increase interest rates and increase indirect taxes 
B. increase interest rates and reduce government expenditure 
C. reduce government spending and increase income tax
D. reduce interest rates and increase government expenditure ",D,"**Explanation of the Correct Answer (D):**  
The correct answer is **D (reduce interest rates and increase government expenditure)** because Sweden’s Consumer Price Index (CPI) falling by 0.6% indicates **deflation**, a scenario where aggregate demand (AD) is insufficient to maintain price stability. To counteract deflation, the government and central bank must implement **expansionary policies** to boost AD. Reducing interest rates (expansionary monetary policy) lowers borrowing costs, incentivizing households and firms to spend and invest rather than save. Simultaneously, increasing government expenditure (expansionary fiscal policy) directly injects demand into the economy through public projects, welfare, or infrastructure, raising consumption and employment. Together, these policies shift the AD curve to the right, increasing output and price levels, thereby restoring price stability.

**Analysis of Incorrect Answers:**  

**A. Increase interest rates and increase indirect taxes**  
This combination is **contractionary** and would worsen deflation. Raising interest rates discourages borrowing and investment, reducing consumption and business activity. Increasing indirect taxes (e.g., VAT) raises prices for consumers, further depressing disposable income and demand. Both policies reduce AD, exacerbating the deflationary spiral by lowering output and prices further.  

**B. Increase interest rates and reduce government expenditure**  
These are **dual contractionary policies**. Higher interest rates suppress private-sector spending, while reduced government expenditure cuts public-sector demand, leading to a significant decline in AD. In a deflationary environment, this would deepen economic stagnation, unemployment, and price declines, moving the economy further from stability.  

**C. Reduce government spending and increase income tax**  
This mix is also **contractionary**. Lower government spending removes a key component of AD (public consumption), while higher income tax reduces households’ disposable income, curbing private consumption. Both actions shrink AD, amplifying deflationary pressures rather than mitigating them.  

**Conclusion:**  
Deflation requires policies that stimulate demand. Option D combines monetary easing (lower rates) and fiscal expansion (higher spending), directly targeting weak AD. The other options involve restrictive measures that reduce demand, which is counterproductive when prices are already falling. Thus, D is the only viable solution."
1,"Possible policies a government might use to reduce a deficit on the current account of the balance of payments include devaluation, government spending cuts, interest rate rises and tariffs on imports.  Which two policies would be classified as expenditure-switching? 

A. devaluation and government spending cuts
B. government spending cuts and interest rate rises 
C. interest rate rises and tariffs on imports 
D. tariffs on imports and devaluation ",D,"**Explanation of the Correct Answer (D):**  
Expenditure-switching policies aim to redirect spending from imported goods to domestically produced goods. **Devaluation** (or depreciation in a floating exchange rate system) makes exports cheaper for foreign buyers and imports more expensive for domestic consumers. This incentivizes foreign demand for exports and discourages domestic demand for imports, directly switching expenditure. **Tariffs on imports** raise the price of foreign goods, making domestic alternatives relatively cheaper, which similarly shifts consumption toward domestic products. Both policies alter relative prices to achieve a structural shift in expenditure patterns, fitting the definition of expenditure-switching.

**Why Other Options Are Incorrect:**  
**A. Devaluation and government spending cuts:** While devaluation is expenditure-switching, government spending cuts are **expenditure-reducing**. Spending cuts lower aggregate demand, reducing income and overall consumption, including imports. However, they do not inherently redirect spending to domestic goods—they simply reduce total expenditure, making this option partially incorrect.  

**B. Government spending cuts and interest rate rises:** Both policies are expenditure-reducing. Spending cuts lower aggregate demand, while higher interest rates reduce borrowing and investment, dampening economic activity and imports. However, interest rate rises might also cause currency appreciation (if capital inflows increase), worsening the current account by making exports dearer and imports cheaper. Neither policy directly switches expenditure toward domestic goods.  

**C. Interest rate rises and tariffs on imports:** Tariffs are expenditure-switching, but interest rate rises are not. Higher interest rates primarily reduce domestic demand (expenditure-reducing) and may appreciate the currency, undermining export competitiveness. The combination mixes one correct and one incorrect policy, rendering this option invalid.  

**Conclusion:** Only **D** correctly identifies two expenditure-switching policies. Devaluation and tariffs explicitly alter relative prices to shift spending patterns, whereas the other options focus on reducing total expenditure or have contradictory effects."
2,"What would be increased by an expansionary fiscal policy? 

A. budget deficit 
B. exchange rate 
C. money supply 
D. rate of direct taxation ",A,"**Explanation of the Correct Answer (A. Budget Deficit):**  
Expansionary fiscal policy involves increasing government spending and/or reducing taxes to stimulate economic activity. When the government spends more without a corresponding increase in tax revenue, or cuts taxes without reducing expenditure, it leads to a **budget deficit**, as expenditures exceed revenues. For example, if the government funds infrastructure projects or provides subsidies, this raises spending. Alternatively, reducing income tax rates lowers revenue. Both scenarios directly widen the deficit. This is a core feature of expansionary fiscal policy, as deficits are intentionally incurred to boost aggregate demand during economic downturns.

**Analysis of Incorrect Answers:**  

**B. Exchange Rate:**  
Expansionary fiscal policy does not directly increase the exchange rate. While higher government spending might raise domestic interest rates (due to increased borrowing), attracting foreign capital and *potentially* appreciating the currency, this is an indirect and uncertain outcome. Exchange rates are more strongly influenced by monetary policy, trade balances, and capital flows. Moreover, expansionary fiscal policy could also increase imports (via higher consumer demand), worsening the trade balance and exerting *downward* pressure on the exchange rate. Thus, the exchange rate is not a guaranteed or primary result of expansionary fiscal policy.  

**C. Money Supply:**  
The money supply is controlled by **monetary policy** (e.g., central bank actions like open market operations), not fiscal policy. Expansionary fiscal policy may require government borrowing, but unless the central bank monetizes the debt (printing money to buy bonds), the money supply remains unchanged. Even if deficit spending occurs, it redistributes existing money rather than increasing it. Therefore, money supply expansion is a separate process tied to monetary, not fiscal, measures.  

**D. Rate of Direct Taxation:**  
Expansionary fiscal policy typically involves **reducing** direct taxes (e.g., income or corporate taxes) to increase disposable income and incentivize consumption and investment. For instance, a cut in income tax rates leaves households with more post-tax income, stimulating demand. Increasing direct taxation would contradict the goal of expansionary policy, as it would reduce aggregate demand. Hence, this option directly opposes the definition of expansionary fiscal measures.  

In summary, only the budget deficit (A) is a definitive and immediate outcome of expansionary fiscal policy, while the other options either conflict with its objectives (D), belong to different policy domains (C), or are contingent on secondary effects (B)."
3,"A government removes the tariff on a product as shown in the diagram.   What will be the change in domestic production? 

A. a reduction of WV 
B. a reduction of XV 
C. a reduction of XW  
D. a reduction of ZY ",A,"The correct answer is **A. a reduction of WV** because removing the tariff lowers the domestic price of the product from the tariff-inclusive price to the world price. In a standard tariff diagram, domestic production under the tariff occurs where the domestic supply curve intersects the higher tariff-inclusive price, resulting in a quantity supplied at point **W**. When the tariff is removed, the price falls to the world price, and domestic production contracts to the quantity where the domestic supply curve intersects the lower world price, at point **V**. The horizontal distance between **W** and **V** on the supply curve, labeled **WV**, represents the reduction in domestic production as producers scale back output due to the lower price and increased import competition.

**Option B (a reduction of XV)** is incorrect because **XV** likely represents the post-tariff-removal import quantity, not the change in domestic production. Imports expand as the price falls to the world level, but this reflects increased foreign supply, not a contraction in domestic output. The reduction in domestic production is distinct from the rise in imports, which depends on the difference between domestic demand and supply at the new price.

**Option C (a reduction of XW)** is incorrect because **XW** does not align with the standard diagram labels. If **X** and **W** are points on the supply curve, **XW** would imply a leftward movement from a lower to a higher quantity, which contradicts the logic of reduced production. The correct reduction in output is measured from the higher tariff-inclusive quantity (**W**) to the lower world-price quantity (**V**), not between arbitrary points.

**Option D (a reduction of ZY)** is incorrect because **ZY** typically relates to welfare effects, such as deadweight loss or changes in consumer/producer surplus, rather than production changes. For instance, **ZY** might represent efficiency losses from the tariff’s distortionary effects, but it does not quantify the direct contraction in domestic output caused by the tariff’s removal. The focus here is on supply adjustments, not welfare triangles. 

In summary, the removal of the tariff reduces domestic production by **WV**, as producers respond to the lower price by supplying less. The other options misinterpret the diagram’s labels, conflating production changes with import quantities, welfare effects, or directional errors in measurement."
4,"A country’s terms of trade increased from a base year value of 100 to 120 in the following year.   If export prices had increased by 50%, what was the change in the price of the country’s imports? 

A. –30%
B. –25% 
C. +25% 
D. +30% ",C,"**Explanation of the Correct Answer (C: +25%):**  
The terms of trade (TOT) formula is:  
\[
\text{TOT} = \left( \frac{\text{Index of Export Prices}}{\text{Index of Import Prices}} \right) \times 100
\]  
In the base year, TOT = 100, implying the export and import price indices are both 100. The following year, export prices rise by 50%, increasing the export price index to **150** (100 + 50% of 100). With the new TOT at **120**, we solve for the import price index:  
\[
120 = \left( \frac{150}{\text{Import Price Index}} \right) \times 100 \implies \text{Import Price Index} = \frac{150 \times 100}{120} = 125
\]  
Thus, import prices increased by **25%** (from 100 to 125). This matches answer **C**.

**Analysis of Incorrect Answers:**  

**A. –30%:**  
A 30% decrease in import prices would reduce the import price index to **70** (100 – 30% of 100). Substituting into the TOT formula:  
\[
\text{TOT} = \left( \frac{150}{70} \right) \times 100 \approx 214.29
\]  
This far exceeds the stated TOT of 120, making **A** invalid.  

**B. –25%:**  
A 25% decrease in import prices would lower the import price index to **75** (100 – 25% of 100). Calculating TOT:  
\[
\text{TOT} = \left( \frac{150}{75} \right) \times 100 = 200
\]  
This again contradicts the TOT of 120, ruling out **B**.  

**D. +30%:**  
A 30% increase in import prices would raise the import price index to **130** (100 + 30% of 100). Substituting into the TOT formula:  
\[
\text{TOT} = \left( \frac{150}{130} \right) \times 100 \approx 115.38
\]  
This is below the reported TOT of 120, so **D** is incorrect.  

**Conclusion:**  
Only a **25% increase in import prices** aligns with the observed TOT improvement to 120, confirming **C** as the correct answer. The other options fail to satisfy the TOT formula under the given conditions."
5,"At present, one unit of a country’s currency exchanges for US$1.20. The country aims to set its exchange rate at US$1.00.  Which combination of government actions in the foreign exchange market must achieve this aim? 

A. buying US currency and buying its own currency 
B. buying US currency and selling its own currency 
C. selling US currency and buying its own currency 
D. selling US currency and selling its own currency ",B,"**Explanation of Correct Answer (B):**  
The correct answer is **B (buying US currency and selling its own currency)**. The country's currency is currently stronger than desired, exchanging at $1.20 instead of the target $1.00. To depreciate its currency to the lower target, the government must increase the supply of its own currency in the foreign exchange market. By **selling its own currency**, the government floods the market with it, reducing its scarcity and thus its value relative to the US dollar. Simultaneously, **buying US currency** increases demand for dollars, further driving up the dollar’s value relative to the domestic currency. This dual action—selling domestic currency (increasing supply) and buying foreign reserves (increasing demand for USD)—shifts the exchange rate downward to the target of $1.00. This aligns with central bank intervention under a fixed exchange rate regime, where direct market operations are used to adjust currency value.

**Analysis of Incorrect Answers:**  

**A (buying US currency and buying its own currency):**  
Buying its own currency would **reduce the supply** of the domestic currency in circulation, making it scarcer and **increasing its value**. This contradicts the goal of depreciation. While buying US currency would strengthen the dollar, the simultaneous purchase of domestic currency would counteract this by raising demand for the domestic currency. This combination would likely lead to appreciation, moving the exchange rate further from the $1.00 target.  

**C (selling US currency and buying its own currency):**  
Selling US currency (i.e., depleting dollar reserves) increases the supply of dollars in the market, **depreciating the dollar’s value** and inadvertently **appreciating the domestic currency**. Additionally, buying its own currency reduces its supply, further increasing its value. Both actions would push the exchange rate **above** $1.20, worsening the overvaluation. This is the opposite of the required policy.  

**D (selling US currency and selling its own currency):**  
Selling US currency weakens the dollar, which could indirectly raise the value of the domestic currency. However, selling the domestic currency increases its supply, which should depreciate it. These conflicting actions create ambiguity: weakening the dollar might partially offset the depreciation effect of selling domestic currency. The net outcome is unpredictable and inefficient for achieving a precise target. A clear, unidirectional policy (as in B) is necessary for effective exchange rate management.  

In summary, only **B** directly addresses the goal by systematically increasing the supply of the domestic currency and boosting demand for the dollar, ensuring a controlled depreciation to the target rate."
6,"What would identify a country with a fundamental balance of payments disequilibrium? 

A. alternate annual deficits and surpluses in the current account 
B. a continually growing balancing item 
C. a large short-term outflow of foreign direct investment 
D. a persistent rise in foreign currency reserves ",D,"**Explanation of the Correct Answer (D):**  
A persistent rise in foreign currency reserves indicates a fundamental balance of payments disequilibrium. Under a fixed exchange rate regime, sustained accumulation of reserves typically reflects a prolonged balance of payments surplus. This occurs when a country’s exports, financial inflows, or other credit items persistently exceed imports, financial outflows, or debit items. To maintain the fixed exchange rate, the central bank intervenes by purchasing foreign currency, increasing reserves. However, this surplus is unsustainable in the long term, as it may signal an undervalued currency or structural imbalances (e.g., excessive export reliance or suppressed domestic demand). A fundamental disequilibrium implies that automatic market adjustments (e.g., exchange rate movements) are insufficient, necessitating policy reforms such as currency revaluation or fiscal adjustments. Thus, persistent reserve growth reflects a deep-rooted imbalance requiring intervention.

**Analysis of Incorrect Answers:**  

**A. Alternate annual deficits and surpluses in the current account**  
This pattern suggests cyclical fluctuations rather than a fundamental disequilibrium. Temporary deficits and surpluses often arise from business cycles, such as variations in consumer demand, commodity prices, or exchange rate volatility. For example, a recession might reduce imports (creating a surplus), while economic recovery could reverse this. These short-term oscillations typically self-correct without structural policy changes. A fundamental disequilibrium, however, involves persistent imbalances that endure across cycles, making this option incorrect.  

**B. A continually growing balancing item**  
The balancing item (net errors and omissions) accounts for discrepancies in balance of payments accounting due to measurement errors or unrecorded transactions. While a growing balancing item highlights data inaccuracies, it does not directly indicate an economic imbalance. It reflects statistical shortcomings rather than real economic trends like unsustainable surpluses or deficits. Thus, it is unrelated to the structural issues defining a fundamental disequilibrium.  

**C. A large short-term outflow of foreign direct investment**  
Foreign direct investment (FDI) outflows are long-term capital movements, but the question specifies *short-term* outflows, which likely refer to volatile portfolio investments or speculative capital. Short-term outflows (e.g., due to investor panic or interest rate shifts) are transient and reversible, not indicative of structural imbalances. A fundamental disequilibrium requires persistent, systemic issues, such as chronic trade deficits or exchange rate misalignment, which short-term capital movements do not signify.  

**Conclusion:**  
Option D correctly identifies a fundamental disequilibrium through persistent reserve accumulation, signaling unsustainable imbalances requiring policy action. The other options describe transient or non-structural phenomena, failing to meet the criteria for a fundamental disequilibrium."
7,"What always happens when there is an increase in the Consumer Price Index?  

A. an increase in consumer expenditure 
B. an increase in the cost of living 
C. a reduction in living standards 
D. a reduction in real disposable income ",B,"**Explanation of the Correct Answer (B):**  
An increase in the Consumer Price Index (CPI) directly reflects a rise in the average price level of a fixed basket of goods and services consumed by households. Since the CPI is a primary measure of inflation and the cost of living, a higher CPI **always** signifies that consumers must spend more money to purchase the same quantity of goods and services as before. This unambiguously translates to an increase in the **cost of living**, as the purchasing power of money declines. Even if nominal incomes rise, the cost of living increases independently—it is a mechanical consequence of higher prices. Thus, **B is correct** because the CPI’s definition and purpose inherently link it to tracking changes in the cost of living.

**Analysis of Incorrect Answers:**  

**A. An increase in consumer expenditure:**  
Consumer expenditure (total spending) does not necessarily rise with a higher CPI. While prices increase, the quantity of goods purchased may decrease if demand is price-elastic, leading to ambiguous effects on total expenditure. For example, households might reduce consumption of non-essential goods or substitute cheaper alternatives, offsetting the price rise. Expenditure could even fall if demand is highly elastic. Since expenditure depends on both price and quantity changes, this outcome is not guaranteed.  

**C. A reduction in living standards:**  
Living standards depend on **real income** (income adjusted for inflation), not just price levels. If nominal incomes rise proportionally to the CPI, real income remains constant, and living standards are unaffected. Even with stagnant wages, some households might maintain living standards by borrowing, saving less, or prioritizing necessities. Thus, a CPI increase alone does not universally reduce living standards—it hinges on income dynamics and household adaptability.  

**D. A reduction in real disposable income:**  
Real disposable income declines only if nominal income growth lags behind CPI inflation. However, in economies with wage indexation, collective bargaining, or government transfers (e.g., inflation-adjusted pensions), nominal incomes may keep pace with inflation, preserving real income. Additionally, tax brackets or benefits tied to inflation could mitigate the impact. Since real income depends on nominal income adjustments, this outcome is conditional rather than inevitable.  

**Conclusion:**  
Only **B** is universally true because the CPI’s definition explicitly measures changes in the cost of purchasing a fixed basket of goods, making it synonymous with cost-of-living adjustments. The other options involve secondary effects contingent on factors like income elasticity, wage dynamics, or household behavior, which are not guaranteed."
8,"On 1 May 2012 President Morales of Bolivia announced the nationalisation of Transportadora de Electricidad (TDE), a subsidiary of a Spanish company that owned and ran approximately three-quarters of Bolivia's power grid. What can be concluded from this?

A. Bolivian employees of TDE will own 100% of its shares.
B. Only Bolivian nationals will be allowed to work at TDE.
C. TDE company shares will be sold to a Bolivian company.
D. The Bolivian government will take over ownership of TDE.",D,"**Correct Answer Explanation (D):**  
The correct answer is **D. The Bolivian government will take over ownership of TDE** because nationalisation refers to the transfer of private assets or industries into state ownership and control. When President Morales announced the nationalisation of TDE, this action directly implies that the Bolivian government assumed ownership of the subsidiary, aligning with the definition of nationalisation as a policy where the state expropriates private entities to manage strategic sectors, such as utilities. Nationalisation does not inherently require changes to employment or share distribution beyond transferring ownership rights to the government. The power grid, being critical infrastructure, likely motivated the government to assert control over its operation and profits for public interest.

**Incorrect Answer Analysis:**  
**A. Bolivian employees of TDE will own 100% of its shares:**  
This is incorrect because nationalisation involves the *government* taking ownership, not employees. Employee ownership would imply a cooperative or employee stock ownership plan (ESOP), which is unrelated to nationalisation. The question specifies no such restructuring of shares to workers, only the state’s intervention.  

**B. Only Bolivian nationals will be allowed to work at TDE:**  
Nationalisation focuses on ownership, not employment policies. While governments may prioritize domestic labor, the question provides no evidence of workforce restrictions. Employment nationality rules are separate from ownership transfer and are not a necessary consequence of nationalisation.  

**C. TDE company shares will be sold to a Bolivian company:**  
This describes *privatisation* (transfer to a private entity) or a corporate acquisition, not nationalisation. Selling shares to another company would keep TDE in private hands, contradicting the definition of nationalisation, which involves state control. The government, not a private Bolivian firm, becomes the owner in this scenario.  

Each incorrect option conflates nationalisation with distinct economic concepts (employee ownership, labor policy, or privatisation), whereas the core of nationalisation is unambiguous: state ownership replaces private ownership."
9,"Which statement best describes a transfer payment?

A. It is a loan from the government to help firms.
B. It is a payment to individuals not linked to economic activity.
C. It is the redistribution of income from government to individuals for work done.
D. It is the redistribution of income from households to firms for goods purchased. ",B,"**Correct Answer Explanation (B):**  
Transfer payments are government expenditures that do not correspond to the production of goods or services. Instead, they redistribute income to individuals or groups without requiring any reciprocal economic activity. Examples include unemployment benefits, pensions, and welfare payments. These payments are not compensation for work (e.g., wages) or linked to productive contributions. Instead, they aim to support individuals based on need, social policy, or equity considerations. Answer **B** correctly identifies this by stating that transfer payments are ""not linked to economic activity,"" distinguishing them from payments tied to employment, investment, or market transactions.

**Analysis of Incorrect Answers:**  

**A. It is a loan from the government to help firms.**  
This is incorrect because a loan implies repayment, while transfer payments are unilateral and non-repayable. Government loans to firms (e.g., subsidies or bailouts with repayment terms) are classified as capital transfers or financial interventions, not pure transfer payments. Transfer payments specifically target individuals or households, not firms, and are not contingent on repayment.  

**C. It is the redistribution of income from government to individuals for work done.**  
This misrepresents transfer payments by associating them with compensation for labor. Payments ""for work done"" are wages or salaries, which are earned through participation in economic activity (e.g., employment). Transfer payments, by contrast, are unearned and provided irrespective of current work or productivity. For example, a pension is a transfer payment to retirees, not payment for ongoing labor.  

**D. It is the redistribution of income from households to firms for goods purchased.**  
This describes a market transaction, not a transfer payment. When households purchase goods from firms, money flows in exchange for output, reflecting productive activity. Transfer payments, however, flow from the government to individuals (or vice versa via taxes) and do not involve direct reciprocity. This option confuses consumption expenditure with fiscal redistribution.  

In summary, **B** is the only answer that captures the essence of transfer payments: non-reciprocal, non-productive income redistribution by the government to individuals."
