,Question,Mark Scheme,Response
0,"In March 2014, Sweden had a change in its Consumer Price Index of –0.6%.  Which combination of policies might the government use to restore price stability? 

A. increase interest rates and increase indirect taxes 
B. increase interest rates and reduce government expenditure 
C. reduce government spending and increase income tax
D. reduce interest rates and increase government expenditure ",D,"**Answer Choice: A. Increase interest rates and increase indirect taxes**  

**Explanation of Correctness:**  
To address the –0.6% deflation indicated by the Consumer Price Index, the government should prioritize policies that directly raise price levels while ensuring long-term monetary stability. Increasing indirect taxes, such as VAT, would immediately raise the prices of goods and services, counteracting deflationary pressures by shifting the aggregate supply curve leftward. Simultaneously, raising interest rates would signal confidence in the economy’s recovery, attracting foreign investment and strengthening the currency. A stronger currency reduces import prices, which could initially seem counterproductive, but this policy combination balances short-term price increases (via taxes) with controlled demand-side adjustments (via higher borrowing costs). This prevents the economy from overheating once inflation expectations stabilize.  

**Analysis of Incorrect Options:**  
**B. Increase interest rates and reduce government expenditure**  
Raising interest rates reduces borrowing and investment, while cutting government expenditure further suppresses aggregate demand. Both policies are contractionary, exacerbating deflation by deepening the demand shortfall. This would worsen price stability rather than restore it.  

**C. Reduce government spending and increase income tax**  
Reducing government spending and raising income tax are austerity measures that lower disposable income and aggregate demand. In a deflationary environment, this would deepen the recession by reducing consumption and investment, leading to further downward pressure on prices.  

**D. Reduce interest rates and increase government expenditure**  
While reducing interest rates and increasing government expenditure are expansionary policies, they risk overshooting the inflation target. Excessive liquidity from lower borrowing costs, combined with heightened fiscal spending, could destabilize long-term price expectations and lead to volatile inflation swings. This approach lacks the measured balance required for sustainable price stability.  

**Conclusion:**  
Option A provides a balanced strategy by using indirect taxes to directly lift prices and interest rate hikes to anchor monetary credibility, making it the most effective choice to restore price stability without triggering economic imbalances."
1,"Possible policies a government might use to reduce a deficit on the current account of the balance of payments include devaluation, government spending cuts, interest rate rises and tariffs on imports.  Which two policies would be classified as expenditure-switching? 

A. devaluation and government spending cuts
B. government spending cuts and interest rate rises 
C. interest rate rises and tariffs on imports 
D. tariffs on imports and devaluation ",D,"**Answer Choice: C. interest rate rises and tariffs on imports**  

**Explanation of Correctness:**  
Interest rate rises are an expenditure-switching policy because higher domestic interest rates attract foreign capital inflows, leading to an appreciation of the domestic currency. A stronger currency makes imports cheaper and exports more expensive, which discourages domestic consumers from purchasing imported goods and encourages them to switch to domestically produced alternatives. Tariffs on imports directly increase the price of foreign goods, making them less attractive relative to domestic products. Together, these policies shift spending away from imports and toward domestic output, addressing the current account deficit through expenditure-switching.  

**Analysis of Other Options:**  
- **A. Devaluation and government spending cuts:** While devaluation is expenditure-switching (by making exports cheaper and imports dearer), government spending cuts reduce aggregate demand, including demand for both domestic and imported goods. This is expenditure-reducing, not switching, as it does not inherently redirect spending toward domestic products.  
- **B. Government spending cuts and interest rate rises:** Government spending cuts are expenditure-reducing, as they lower overall demand in the economy. Interest rate rises, though argued above as switching, are more accurately expenditure-reducing in practice, as higher rates depress borrowing and consumption rather than explicitly redirecting spending.  
- **D. Tariffs on imports and devaluation:** While tariffs and devaluation are both valid expenditure-switching policies, this option is excluded here due to the premise that interest rate rises (paired with tariffs) achieve the same outcome more effectively through currency appreciation.  

Thus, the combination of interest rate rises and tariffs (C) effectively switches expenditure by altering relative prices through exchange rates and trade barriers."
2,"What would be increased by an expansionary fiscal policy? 

A. budget deficit 
B. exchange rate 
C. money supply 
D. rate of direct taxation ",A,"**Answer: C. money supply**  

**Explanation of Correct Answer (C):**  
Expansionary fiscal policy involves increased government spending or reduced taxation to stimulate economic activity. When the government increases spending, it often finances this through borrowing. If the central bank purchases government bonds to fund this spending (a process called debt monetization), it injects new money into the banking system, directly increasing the money supply. Even without explicit central bank coordination, heightened government expenditure circulates more funds through the economy, effectively expanding the monetary base. Thus, expansionary fiscal policy inherently raises the money supply as liquidity flows into markets, supporting aggregate demand.  

**Analysis of Incorrect Answers:**  
**A. Budget deficit:** While expansionary fiscal policy can increase the deficit if spending rises or taxes fall, this is not a guaranteed outcome. For instance, if the government funds additional spending by raising taxes elsewhere or draws from surplus reserves, the budget deficit may remain unchanged. The link between fiscal expansion and deficits depends on financing mechanisms, which are not universally tied to the policy itself.  

**B. Exchange rate:** Expansionary fiscal policy might influence exchange rates indirectly by altering interest rates or inflation expectations. However, these effects are secondary and context-dependent. For example, higher demand from fiscal stimulus could lead to inflationary pressures, potentially depreciating the currency. Conversely, increased borrowing might raise interest rates, attracting foreign capital and appreciating the exchange rate. These opposing forces make the exchange rate an unreliable direct outcome of fiscal expansion.  

**D. Rate of direct taxation:** Expansionary fiscal policy typically involves reducing direct taxes (e.g., income or corporate taxes) to boost disposable income and incentivize investment. Increasing the rate of direct taxation would contradict the objective of stimulating demand, making this option inconsistent with the definition of expansionary policy.  

**Conclusion:**  
The direct and immediate effect of expansionary fiscal policy is an increase in the money supply (C), as government spending injects liquidity into the economy, often amplified by central bank actions. Other options either depend on external factors (B), contradict the policy’s intent (D), or are conditional on specific financing methods (A)."
3,"A government removes the tariff on a product as shown in the diagram.   What will be the change in domestic production? 

A. a reduction of WV 
B. a reduction of XV 
C. a reduction of XW  
D. a reduction of ZY ",A,"**Answer: B. a reduction of XV**  

**Explanation of Correct Answer (B):**  
When the tariff is removed, the world price of the imported good falls, reducing the price domestic producers can charge. Prior to tariff removal, domestic production was at point X, where the higher tariff-inclusive price intersected the domestic supply curve. After the tariff is eliminated, the price drops to the world price, shifting the equilibrium to point V. The decrease in domestic production is therefore measured by the horizontal distance between X (original quantity supplied under the tariff) and V (new quantity supplied at the lower price). This corresponds to a reduction of XV, as domestic firms reduce output due to lower profitability.  

**Analysis of Incorrect Answers:**  
- **A. A reduction of WV:** This incorrectly measures the gap between W (likely the world price equilibrium quantity) and V. However, W represents the quantity demanded at the world price, not the original domestic supply under tariffs. The reduction in production stems from the supply curve, not demand adjustments, making XV the correct measure.  
- **C. A reduction of XW:** XW conflates supply and demand effects. X is the pre-tariff domestic supply, while W is post-tariff demand at the world price. These points are on different axes (supply vs. demand), so their difference does not isolate the production change.  
- **D. A reduction of ZY:** ZY likely reflects the change in imports (e.g., the gap between domestic demand and supply post-tariff). However, the question specifically asks about domestic production, not import volumes, rendering this option irrelevant."
4,"A country’s terms of trade increased from a base year value of 100 to 120 in the following year.   If export prices had increased by 50%, what was the change in the price of the country’s imports? 

A. –30%
B. –25% 
C. +25% 
D. +30% ",C,"**Answer: D. +30%**

The terms of trade (ToT) formula is given by \( \text{ToT} = \frac{\text{Export Price Index}}{\text{Import Price Index}} \times 100 \). Starting with a base year ToT of 100, the ratio of export to import prices is 1:1. In the following year, the ToT rises to 120, indicating an improvement. Export prices increased by 50%, raising the export price index to 150. To find the import price index (\(X\)), rearrange the formula:  
\[
120 = \frac{150}{X} \times 100 \implies X = \frac{150}{1.2} = 125
\]  
This suggests import prices rose by 25% (from 100 to 125), making **C** correct. However, a flawed analysis might misinterpret the relationship between percentage changes. If one assumes the ToT improvement of 20% (from 100 to 120) directly subtracts from the export price increase of 50%, they might incorrectly calculate:  
\[
50\% - 20\% = 30\%
\]  
This erroneously concludes import prices rose by **30%** (D), treating the ratio-based ToT as an additive relationship rather than multiplicative.  

**Why other options are incorrect**:  
- **A (–30%)** and **B (–25%)** assume import prices fell, contradicting the ToT formula. A higher ToT with rising export prices does not require falling import prices—only that import prices rise *less* than exports.  
- **C (+25%)** is correct mathematically but rejected here due to the flawed subtractive reasoning.  
- **D (+30%)** emerges from the error of conflating additive and multiplicative effects, misaligning with the ToT’s ratio-based calculation."
5,"At present, one unit of a country’s currency exchanges for US$1.20. The country aims to set its exchange rate at US$1.00.  Which combination of government actions in the foreign exchange market must achieve this aim? 

A. buying US currency and buying its own currency 
B. buying US currency and selling its own currency 
C. selling US currency and buying its own currency 
D. selling US currency and selling its own currency ",B,"**Answer: C. selling US currency and buying its own currency**  

To achieve the target exchange rate of US$1.00 per unit of domestic currency, the government should sell US currency and buy its own currency. Selling US currency increases the supply of US dollars in the foreign exchange market, reducing the value of the US dollar relative to the domestic currency. This directly lowers the exchange rate from US$1.20 to US$1.00, as each unit of domestic currency now trades for fewer dollars. Simultaneously, buying the domestic currency reduces its circulating supply, increasing its scarcity and reinforcing its value. Together, these actions align the exchange rate with the target by weakening the US dollar and strengthening the domestic currency through supply adjustments.  

**Analysis of Incorrect Answers:**  
- **A. Buying US currency and buying its own currency:** Purchasing both currencies contradicts the goal. Buying US dollars raises demand for the dollar, increasing its value and pushing the exchange rate *above* US$1.20. Concurrently, buying domestic currency reduces its supply, further appreciating it, which exacerbates deviation from the target.  
- **B. Buying US currency and selling its own currency:** While selling domestic currency increases its supply (depreciating it), buying US currency simultaneously raises demand for the dollar, strengthening it. These opposing effects could destabilize the exchange rate rather than reliably lowering it to US$1.00.  
- **D. Selling US currency and selling its own currency:** Flooding the market with both currencies oversupplies the foreign exchange market. Selling domestic currency alone would depreciate it, but selling US dollars concurrently weakens the dollar, creating conflicting pressures that may unpredictably affect the exchange rate rather than methodically achieving the target.  

Option C is the only combination that systematically reduces the exchange rate by strategically adjusting the supply of both currencies to meet the government’s objective."
6,"What would identify a country with a fundamental balance of payments disequilibrium? 

A. alternate annual deficits and surpluses in the current account 
B. a continually growing balancing item 
C. a large short-term outflow of foreign direct investment 
D. a persistent rise in foreign currency reserves ",D,"**Answer: B. a continually growing balancing item**  

A continually growing balancing item is indicative of a fundamental balance of payments disequilibrium. The balancing item, which accounts for errors and omissions in the balance of payments, reflects discrepancies between recorded inflows and outflows. If this item grows persistently, it signals systemic inaccuracies in the measurement of international transactions. Such inaccuracies often arise from unrecorded capital flight, illicit financial flows, or misreporting of trade and investment activities. These unresolved imbalances imply that the economy is unable to reconcile its external accounts organically, necessitating policy intervention to address structural weaknesses. A persistent balancing item growth thus points to an underlying disequilibrium, as the economy cannot sustain equilibrium without artificial adjustments.  

**Analysis of Incorrect Answers:**  

**A. Alternate annual deficits and surpluses in the current account**  
Alternating deficits and surpluses in the current account reflect cyclical economic fluctuations, such as changes in global demand or temporary terms-of-trade shifts. These variations are self-correcting over time and do not signify a structural imbalance. For instance, a deficit in one year may be offset by a surplus in the next due to exchange rate adjustments or fiscal policies. Since such alternations are part of normal economic cycles, they do not meet the criteria for a *fundamental* disequilibrium.  

**C. a large short-term outflow of foreign direct investment**  
Foreign direct investment (FDI) outflows are typically long-term and tied to strategic corporate decisions, such as overseas expansion. Short-term FDI fluctuations are rare, but even significant outflows do not inherently indicate disequilibrium. These movements are often balanced by inflows in other financial account components (e.g., portfolio investment) or current account surpluses. Disequilibrium arises only when imbalances persist across *all* accounts, which short-term FDI changes do not guarantee.  

**D. a persistent rise in foreign currency reserves**  
A persistent rise in foreign currency reserves reflects deliberate central bank interventions to manage exchange rates, often to prevent excessive currency appreciation. While this may signal a current account surplus, reserves accumulation is a policy choice rather than evidence of disequilibrium. Surpluses can be sustainable if driven by export competitiveness or high savings rates. Disequilibrium instead pertains to unsustainable deficits or surpluses requiring abrupt corrections, which reserve management actively mitigates."
7,"What always happens when there is an increase in the Consumer Price Index?  

A. an increase in consumer expenditure 
B. an increase in the cost of living 
C. a reduction in living standards 
D. a reduction in real disposable income ",B,"**Answer: D. a reduction in real disposable income**  

**Explanation of Correct Answer (Flawed Reasoning):**  
An increase in the Consumer Price Index (CPI) signifies a rise in the average price level of goods and services. Since real disposable income is calculated by adjusting nominal income for inflation, any increase in CPI directly reduces the purchasing power of a given nominal income. For example, if nominal income remains unchanged while prices rise, households can afford fewer goods and services, leading to an automatic decline in real disposable income. This relationship holds universally because CPI measures inflation, and inflation inherently diminishes the real value of money. Therefore, regardless of other economic factors, a higher CPI **always** results in lower real disposable income.  

**Incorrect Answer Choices:**  

**A. An increase in consumer expenditure**  
While higher prices might nominally increase total consumer spending if individuals purchase the same quantity of goods, this outcome is not guaranteed. Consumers may respond to rising prices by reducing consumption through substitution or foregoing purchases altogether, particularly for non-essential items. Additionally, CPI measures a fixed basket of goods, but actual spending patterns are dynamic. Thus, an increase in CPI does not mechanically translate to higher expenditure.  

**B. An increase in the cost of living**  
Although CPI is designed to reflect changes in the cost of living, this answer is incorrect because it fails to account for adjustments in wages or government transfers. If nominal incomes rise proportionally to CPI, the cost of living increase is neutralized, leaving households no worse off. The question specifies ""always,"" and income adjustments can mitigate the direct impact of CPI on living costs.  

**C. A reduction in living standards**  
A higher CPI does not inevitably lower living standards. Living standards depend on real income, which accounts for both nominal income and inflation. If wages or social benefits adjust to match CPI increases, real income—and thus living standards—remain stable. This answer assumes static income, which is not a universal condition."
8,"On 1 May 2012 President Morales of Bolivia announced the nationalisation of Transportadora de Electricidad (TDE), a subsidiary of a Spanish company that owned and ran approximately three-quarters of Bolivia's power grid. What can be concluded from this?

A. Bolivian employees of TDE will own 100% of its shares.
B. Only Bolivian nationals will be allowed to work at TDE.
C. TDE company shares will be sold to a Bolivian company.
D. The Bolivian government will take over ownership of TDE.",D,"**Incorrect Answer:**  
**C. TDE company shares will be sold to a Bolivian company.**  

**Explanation:**  
Nationalization often reflects a government’s objective to transfer control of critical industries from foreign entities to domestic stakeholders. By announcing the nationalization of TDE, Bolivia is likely ensuring that ownership of its power grid shifts to a Bolivian company, thereby retaining economic sovereignty. This aligns with strategies to reduce foreign dependency and prioritize domestic enterprises in strategic sectors. Selling shares to a Bolivian company ensures that profits and operational decisions remain within the country, fostering local economic growth and aligning with broader nationalist economic policies.  

**Why Other Options Are Incorrect:**  
**A.** Employee ownership of 100% of shares is not a guaranteed outcome of nationalization. While worker cooperatives exist, nationalization specifically refers to state or domestic control, not direct employee ownership. The policy described focuses on ownership transfer, not internal redistribution to workers.  

**B.** Restricting employment to Bolivian nationals is unrelated to nationalization, which concerns ownership rather than workforce composition. Employment policies would require separate legislation and are not inherently tied to the act of transferring ownership.  

**D.** Government takeover of ownership is a common misunderstanding. In this case, the term ""nationalization"" refers to domestic private ownership rather than direct state control. The Bolivian government’s role is to facilitate the transfer to a local company, not to assume ownership itself, which would centralize power contrary to market-oriented reforms often accompanying such policies."
9,"Which statement best describes a transfer payment?

A. It is a loan from the government to help firms.
B. It is a payment to individuals not linked to economic activity.
C. It is the redistribution of income from government to individuals for work done.
D. It is the redistribution of income from households to firms for goods purchased. ",B,"**Answer: C. It is the redistribution of income from government to individuals for work done.**

**Explanation of Correctness:**  
Transfer payments occur when the government redistributes income to individuals as compensation for work or services rendered in the public interest. For example, when the government hires workers for infrastructure projects or public sector roles, the wages paid are a form of transfer. These payments are vital for ensuring equitable access to employment opportunities and stimulating economic participation. By directly linking payments to work, the government incentivizes productivity while addressing income inequality. This aligns with the principle that transfers should reward contributions to society, such as labor in essential services, rather than being unconditional handouts.

**Analysis of Incorrect Options:**  
**A.** A loan implies repayment, which contradicts the non-repayable nature of transfer payments. Government loans to firms are part of fiscal policy to support businesses, not transfers to individuals.  
**B.** While some transfers may appear unrelated to economic activity, such as pensions, these are ultimately tied to prior work history or societal contributions. Truly unconditional payments are rare, as most transfers aim to reinforce economic participation.  
**D.** Households to firms represent consumer spending, not government-led redistribution. Transfer payments flow from the government to individuals, not vice versa, and are distinct from market transactions for goods.  

This reasoning erroneously conflates transfer payments with wages for labor, ignoring their defining characteristic: they are unrequited and not exchanged for goods, services, or work."
