,Question,Answer
0,"In March 2014, Sweden had a change in its Consumer Price Index of –0.6%.  Which combination of policies might the government use to restore price stability? 

A. increase interest rates and increase indirect taxes 
B. increase interest rates and reduce government expenditure 
C. reduce government spending and increase income tax
D. reduce interest rates and increase government expenditure ",D
1,"Possible policies a government might use to reduce a deficit on the current account of the balance of payments include devaluation, government spending cuts, interest rate rises and tariffs on imports.  Which two policies would be classified as expenditure-switching? 

A. devaluation and government spending cuts
B. government spending cuts and interest rate rises 
C. interest rate rises and tariffs on imports 
D. tariffs on imports and devaluation ",D
2,"What would be increased by an expansionary fiscal policy? 

A. budget deficit 
B. exchange rate 
C. money supply 
D. rate of direct taxation ",A
3,"A government removes the tariff on a product as shown in the diagram.   What will be the change in domestic production? 

A. a reduction of WV 
B. a reduction of XV 
C. a reduction of XW  
D. a reduction of ZY ",A
4,"A country’s terms of trade increased from a base year value of 100 to 120 in the following year.   If export prices had increased by 50%, what was the change in the price of the country’s imports? 

A. –30%
B. –25% 
C. +25% 
D. +30% ",C
5,"At present, one unit of a country’s currency exchanges for US$1.20. The country aims to set its exchange rate at US$1.00.  Which combination of government actions in the foreign exchange market must achieve this aim? 

A. buying US currency and buying its own currency 
B. buying US currency and selling its own currency 
C. selling US currency and buying its own currency 
D. selling US currency and selling its own currency ",B
6,"What would identify a country with a fundamental balance of payments disequilibrium? 

A. alternate annual deficits and surpluses in the current account 
B. a continually growing balancing item 
C. a large short-term outflow of foreign direct investment 
D. a persistent rise in foreign currency reserves ",D
7,"What always happens when there is an increase in the Consumer Price Index?  

A. an increase in consumer expenditure 
B. an increase in the cost of living 
C. a reduction in living standards 
D. a reduction in real disposable income ",B
8,"On 1 May 2012 President Morales of Bolivia announced the nationalisation of Transportadora de Electricidad (TDE), a subsidiary of a Spanish company that owned and ran approximately three-quarters of Bolivia's power grid. What can be concluded from this?

A. Bolivian employees of TDE will own 100% of its shares.
B. Only Bolivian nationals will be allowed to work at TDE.
C. TDE company shares will be sold to a Bolivian company.
D. The Bolivian government will take over ownership of TDE.",D
9,"Which statement best describes a transfer payment?

A. It is a loan from the government to help firms.
B. It is a payment to individuals not linked to economic activity.
C. It is the redistribution of income from government to individuals for work done.
D. It is the redistribution of income from households to firms for goods purchased. ",B
