,Question,Mark Scheme
0,"A government's decision to move from a fixed exchange rate to a free market floating exchange rate will solve the problem of unemployment in the short run but will cause higher rates of inflation in the long run.
Evaluate this statement. [25]","


Question
Answer
Marks


7

A government's decision to move from a fixed exchange rate system to allow free market floating exchange rates will solve the problem of unemployment in the short run but will cause higher rates of inflation in the long run. Evaluate this statement.
Governments in conjunction with central banks can fix exchange rates by buying and selling the domestic currency. Floating exchange rates are determined by the market forces of supply and demand. If unemployment is rising, there are different policy options available to governments. For example, lowering interest rates might stimulate aggregate demand which will increase output and employment. Lower interest rates however will put a downward pressure on a fixed exchange rate. In response, the central bank will either have to sell pounds or increase interest rates.
Both options will undermine policies to increase employment. If a government allows exchange rates to float freely based on market forces, a reduction in interest rates will lead to a depreciation of the domestic currency. In this case lower rates will stimulate domestic demand such as consumption/investment expenditure plus a lower value of the domestic currency will further increase demand for exports. Therefore, low interest rate policies are more likely to be successful under a floating rate system. However, it should be noted that this policy is likely to be more successful when addressing the problem of cyclical unemployment rather than other types such as structural or frictional unemployment.
Also, a freely floating currency which is allowed to depreciate will have some potential inflationary effects in the long run. For example, a depreciating currency will lead to a higher cost of imports and possible cost push inflation. In addition, a switch from fixed to floating exchange rates will mean that the central bank exchange rate policy will no longer have complete control over the money supply. This might be inflationary in the long run. The extent to which inflation might rise in the long run will also be determined by other factors, for example global expansion, rising commodity prices etc.
L4 (18–25 marks): For an answer which explains the difference between fixed and floating exchange rates and analyses the links between both types of exchange rate and policies to reduce unemployment. Discussion of the potential impact of floating exchange rates on inflation in the long run. At least one evaluative comment plus a conclusion.
L3 (14–17 marks): For a clear analysis of the relationships between policies adopted to solve the problem of unemployment and different exchange rate regimes. The potential problem of inflation, relating to the switch to a floating exchange will not be fully discussed and no evaluative comment will be provided or used to provide a conclusion.
L2 (10–13 marks): For a less well-developed comment which describes different exchange rate regimes and policies used to reduce unemployment. Links between different exchange rates and the potential impact on inflation in the long run will not be fully analysed.
L1 (1–9 marks): For an answer that shows some knowledge but does not indicate that the question has been fully grasped or where the answer is mostly irrelevant.

25


"
1,"Developing economies have a high proportion of economically inactive people relative to the size of the labour force (a high dependency ratio). This is the main reason why the standard of living is low in developing economies.
Evaluate this statement. [25]","


Question
Answer
Marks


6

Developing economies have a high proportion of economically inactive people relative to the size of the labour force ( a high dependency ratio). This is the main reason why the standard of living is low in developing economies. 
Evaluate this statement.
A dependency ratio indicates the extent to which the working population has to produce not only enough goods and services to sustain itself but also for the rest of the population who do not work and depend upon those who do. Dependency ratios might be high for different reasons. Some economies have a disproportionately large number of young people under the age of 15 who are economically dependent. Some economies have high dependency ratios due to a disproportionately large number of people who are too old to work. Developing economies have high dependency ratios primarily due to very high birth rates. This will have a negative impact on living standards due to the insufficient wealth creation to enable everyone in the population to have access to food, shelter, education, health care etc. A smaller working population will also pay insufficient tax to allow governments to invest in necessary public and merit goods.
However, there are many additional factors which also contribute to low living standards in developing economies, for example, reliance on primary products, low levels of capital investment, insufficient access to training and education, limited natural resources. Also it should be recognised that it is extremely difficult to measure living standards. GDP per capita is commonly used but this omits many important factors which might impact on living standards. Based on the above, it is difficult to accept with any degree of certainty that high dependency ratios are the main reason why the standard of living is low in developing economies.
L4 (18–25 marks): For a response which explains what is meant by dependency ratio and why this ratio might be high in developing countries. Discussion will focus upon the link between a high dependency ratio and low living standards. Problems associated with defining standard of living should then be linked back to the specific question. A conclusion which addresses the specific question should then be provided.
L3 (14–17 marks): For explanation of dependency ratio and its importance in relation to a developing country. Analysis of the links between a high dependency ration and living standards in an developing economy will be limited. There will be no attempt to question how we define living standards in the context of the specific question.
L2 (10–13 marks): For a competent comment with the emphasis on describing what is meant by a dependency ratio. Some reference to the link between a high dependency ratio and a developing economy will be made. A brief reference to the impact on living standards may also be made but the response will lack any in-depth analysis or evaluative comment.
L1 (1–9 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory. 

25


"
2,Discuss the ability of multinational corporations to increase living standards in their home country and the other countries in which they operate. [25],"


Question
Answer
Marks


7

Discuss the ability of multinational corporations to increase living standards in their home country and the other countries in which they operate.
Definition of multinational corporation (MNC) and definition of standard of living (SoL). Analysis of impact of MNC on its host and home countries and the effects of these on SoL e.g. employment, investment exports/imports, remittances, transfer of externalities, urbanization, tax yield and expenditure., 
L4 (18–25 marks) For an answer which defines MNC and SoL and discusses the impact of a MNC on the SoL of the home and host countries. A conclusion is reached for 22–25 marks. L3 (14–17 marks) For an answer which defines MNC and SoL and discusses the impact of a MNC on the SoL of either the home or host countries. L2 (10–13 marks) For a limited explanation of MNC and its impact on the SoL of a country. L1 (1–9 marks) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

25


"
3,Discuss the extent to which the marginal revenue product theory can be used to explain the determination of wages. [25],"


Question
Answer
Marks


4

Discuss the extent to which marginal revenue product theory can be used to explain the determination of wages. using MRP theory.
Demand for labour (MRP theory MPP x MR (price) of labour, elasticity of demand and supply of labour and effect on wages. Effects of monopsony and minimum wage legislation. Questioning of the assumptions of the theory knowledge of MPP/MR/perfect labour market. 
L4 (18–25 marks) For an answer which analyses the theory of wages using MRP theory. Comments are made regarding the elasticity of demand and supply of labour. Imperfections in the labour market are identified and linked to wage levels. The assumptions of the theory of wages are questioned. A conclusion is reached for 22–25 marks. L3 (14–17 marks) For an answer which analyses the theory of wages using MRP theory. Comments are made regarding the elasticity of demand and supply of labour or imperfections in the labour market are identified and linked to wage levels. L2 (10–13 marks) For a limited explanation which uses supply and demand analysis to determine wages and refers to differing wage levels. L1 (1–9 marks) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

25


"
4,"A government's decision to increase its budget deficit as a proportion of the economy's GDP will depend significantly upon whether the economy's output gap is positive or negative.
With the help of a diagram explain and evaluate this statement. [25]","


Question
Answer
Marks


7

A government's decision to increase its budget deficit as a proportion of the economy's GDP will depend significantly upon whether the economy's output gap is positive or negative. 
With the help of a diagram explain and evaluate this statement. 
Answers should explain that a budget deficit will occur when government total expenditure is greater than its total income. It should also be recognised that a decision to increase a budget deficit as a proportion of a country's GDP, is likely to inject additional expenditure into an economy. On this basis this policy would be expansionary, in that it has been introduced to increase expenditure, income, output and employment.
An output gap will be positive can be explained in different ways. One approach states that a positive output gap will occur when actual output is above the level of the trend output. Alternative approaches might use production possibility curves or aggregate demand and aggregate supply analysis. Each of these approaches can be explained using a diagram. Each approach should recognise that a positive output gap is associated with an economy that is overheating or undergoing inflationary pressure. A negative output gap can be explained using the same three approaches outlined above. In each of these cases an economy will not be using all its resources and is likely to be in recession. Based on the above it is clear that a government is highly unlikely to increase its budget deficit if the economy is experiencing a positive output gap. Diagrams could be used to show that such a policy in such circumstances is highly likely to lead to high levels of inflation. 
However, an increase in a budget deficit is likely to stimulate the output and employment when the output gap is negative. A diagram could be used to show the potential impact of such a policy. Evaluative comment might note that the extent of positive effect of an increase budget deficit will depend upon the cause of the output gap. It will be less effective if the gap is caused by structural unemployment rather than cyclical unemployment. Also, the use of large budget deficits to close a negative income gap might create additional problems such as high interest rates (crowding out), high inflation in the long run, or negative effects on the balance of payments.
L4 (18–25 marks) For an answer which explains what is meant by a budget deficit and how an increase in this deficit might impact on key macroeconomic variables. A clear explanation of positive and negative output gaps with supporting diagrams should be provided. The impact of a deficit with respect to each gap should be analysed. The potential beneficial effects of an increase in the deficit on a negative output gap should then be evaluated. L3 (14–17 marks) For clear analysis which uses a diagram to explain each type of output gap. The focus will show how an increase in a budget deficit as a proportion of GDP might affect a negative output gap. There will be no attempt to evaluate the extent to which the negative output gap might be closed. L2 (10–13 marks) For a less well-developed comment which describes the meaning of a budget deficit and both types of output gap. Diagrams provided might not be clearly labelled and the link between a negative output gap and a budget deficit will not be analysed in detail. L1 (1–9 marks) For an answer that shows some knowledge but does not indicate that the question has been fully grasped or where the answer is mostly irrelevant. 

25


"
5,Explain what economists mean by an increase in real GDP per capita and discuss the extent to which an increase in real GDP per capita will have a positive impact on economic development. [25],"


Question
Answer
Marks


6

Explain what economists mean by an increase in real GDP per capita and discuss the extent to which an increase in real GDP per capita will have a positive impact on economic development. 
GDP is measured by the monetary value of all the goods and services produced in an economy in a particular time period, usually one year. To ensure that an accurate measure of the real output is attained with we have to take account of the price element of the change in value of goods. By taking inflation into account we can calculate the real value of GDP. It is also helpful to calculate the relationship between this increase in real value of GDP and any change in population. Economists will divide the real GDP by the total population to calculate the amount of GDP that is available per person. This would now allow economists to calculate real GDP per capita. An increase in real GDP per capita is consistent with the achievement of economic growth. This potentially allows the population access to more goods and services and this is often associated with an increase in living standards.
However, economic development considers a much wider range of variables than economic growth and many of these variables are more difficult to measure accurately. Economic development attempts to measure the improvement in the overall quality of life enjoyed by the population. Key measures of development include access to education; access to health care; life expectancy; lower levels of poverty. An increase in real GDP per capita might have a positive impact on economic development because more resources will be available to provide better education, better access to health care and a subsequent increase in life expectancy. However, an increase in GDP per capita might a have a negative impact on economic development for reasons which might include negative effects on the environment; loss of leisure time; further inequalities in the distribution of wealth; unsustainable growth due to overuse of scare resources.
L4 (18–25 marks) For a clear explanation of real GDP per capita. Economic development will be clearly defined and at least two positive links between an increase in real GDP per capita and economic development established and analysed. At least two potential negative impacts on development will be identified and discussed and a conclusion will be provided. L3 (14–17 marks) For a limited explanation of real GDP per capita and analysis of at least one positive link between an increase in real GDP per capita and development plus a recognition of one potential negative impact on development. There will be no attempt to compare relative impacts to determine the overall extent of growth on economic development. L2 (10–13 marks) For a competent comment with the emphasis on describing real GDP per capita and what is meant by economic development. A limited attempt to identify links between growth and development will be made but responses will lack sufficient detail to address the specific question. L1 (1–9 marks) For an answer that has some basic correct facts but includes irrelevancies and errors of theory. 

25


"
6,Explain what is meant by cost benefit analysis and consider how it might be used by a government to decide whether a new hospital should be built. [25],"


Question
Answer
Marks


2

Explain what is meant by cost benefit analysis and consider how it might be used by a government to decide whether a new hospital should be built. 
The use of cost benefit analysis enables a government to consider all the costs and all the benefits and then make a rational decision based on maximising net benefit. Identification of all costs would be more accurate because it would attempt to consider negative externalities i.e. the negative impact on third parties. The same approach would identify positive externalities. In both cases an attempt would be made to put a monetary value on these additional costs/benefits. In many cases the provision of certain types of good will take a long time, therefore an attempt has to be made to decide the present value of benefits that might be gained from a project that will not be completed for many years. Thus although it is important to use cost benefit analysis, it is also extremely important to recognise the difficulties involved when putting this analysis into practice. 
The type of analysis outlined above would be particularly useful when considering whether to build a new hospital. Hospitals are huge capital projects; they are extremely costly and the associated benefits are only likely to be gained over a long time period. As well as private costs there are likely to be negative externalities, for example, effect on the local wildlife, increased traffic congestion around the hospital. Also there will be positive externalities, for example easier access to health care for local residents, more jobs for doctors and nurses, local multiplier effects associated with building and maintaining the hospital. When all the costs and benefits have been considered, a government has to decide whether the net benefit justifies the decision by comparing this with the opportunity cost. It should be recognised that it is very difficult to put a monetary value on externalities and to estimate the future benefits in real terms i.e. allowing for inflation.
L4 (18–25 marks) For a reasoned and clear discussion which analyses and explains the key characteristics of cost benefit analysis. This analysis should then be applied to explain government decision making, in this case whether to build a new hospital. Evaluative comment should refer to at least two problems associated with using this type of decision making. L3 (14–17 marks) For a competent analysis which clearly explains how cost benefit can be used to aid a government when deciding whether to build a new hospital. At least one evaluative comment should be provided which illustrates a difficulty associated with the use of such analysis. L2 (10–13 marks) For a descriptive explanation of cost benefit analysis but there will be little attempt to link this analysis to consider the government's decision whether to build a new hospital. No specific problems associated with the use of this analysis will be identified. L1 (1–9 marks) For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

25


"
7,"The best outcome for labour markets is that the forces of supply and demand are left to determine wages without government interference.
Discuss with the use of diagrams, whether this statement is always true. [25]","


Question
Answer
Marks


5

The best outcome for labour markets is that the forces of supply and demand are left to determine wages without government interference.
Discuss with the use of diagrams, whether this statement is always true.
The demand (MRP theory) and supply of labour and the determination of wages. Reference to elasticities on the wage level. The implementation and impact of minimum wage legislation. The effect of monopsony on the labour market.
L4 (18–25 marks): For an answer which analyses the effects of supply and demand on the wage level in a competitive labour market and imperfect labour market. Government intervention in the labour market is analysed and discussed. Accurate diagrams are present. An evaluation of the truth of the statement is made. 
L3 (14–17 marks): For an answer which analyses the effects of supply and demand on the wage level in a competitive labour market or an imperfect labour market. Accurate diagrams are present. An explanation of government intervention in the labour market is given. 
L2 (10–13 marks): For a limited explanation which describes the effects of supply and demand on the wage level in a competitive labour market. 
L1 (1–9 marks): For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

25


"
8,"A rational consumer will always purchase less of an item as the price increases.
Discuss, with the use of indifference curve analysis, whether this statement is correct. [25]","


Question
Answer
Marks


2

A rational consumer will always purchase less of an item as the price increases.
Discuss, with the use of indifference curve analysis, whether this statement is correct.
Meaning of a rational consumer, definition/description of an indifference curve (IC), meaning of the budget line (BL). Interaction of IC and BL to determine quantity demanded. Change in price of a good and its effect on quantity demanded. Split of change in quantity demanded into substitution effect (SE) and income effect (YE). The nature of SE is always negative and YE can be either positive or negative. Combined effect on quantity demanded. Relevant diagrams. 
The effect of a large negative income effect more than offsetting the substitution effect (Giffen good) may be explained/analysed.
L4 (18–25 marks): For answer which develops the analysis and discusses the effect of the change in price on the quantity demanded due to the size and sign of the SE and YE. Reference to a Giffen good (or a Veblen good) is made. Evaluation comment(s) is/are made. 
L3 (14–17 marks): For an answer which analyses the effect of a change in price on the quantity demanded. There is reference to the SE and YE.
L2 (10–13 marks): For a limited explanation which describes IC and BL and the derivation of the quantity demanded at a given price. A basic diagram of a single equilibrium point is drawn. 
L1 (1–9 marks): For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial. 

25


"
9,"Keynesians argue that increasing budget deficits will solve the problem of unemployment. Monetarists argue that supply side policies are more effective in reducing unemployment.
Consider which view is more likely to be correct. [25]","


Question
Answer
Marks


7

Keynesians argue that increasing budget deficits will solve the problem of unemployment. Monetarists argue that supply side policies are more effective in reducing unemployment. 
Consider which view is more likely to be correct.
Candidates should explain that a budget deficit will occur when government total expenditure is greater than its total income. It should also be explained that unemployment is considered to be a problem primarily because it represents a waste of valuable scarce resources. 
Keynesians argue that an increased budget deficit will create additional expenditure/aggregate monetary demand which, in conjunction with the multiplier effect, will lead to an increase in output, income and employment. However, monetarists suggest that this approach might not be effective because: additional borrowing due to a budget deficit will lead to higher interest rates, lower investment and a countervailing fall in monetary demand; alternatively monetarists suggest it the financing of the deficit depends upon printing new money, this will ultimately lead to inflation; that it is the cause of unemployment which matters and Keynesian solutions would not be helpful regarding structural unemployment caused by changes in the pattern of demand and/or frictions in the labour market. 
Therefore monetarists would argue that supply side policies, either based on direct government intervention, for example reducing corporation tax or by interfering with the price mechanism to reduce frictions in the labour market. For example introducing de-regulation and promoting privatisation. An attempt should be made to summarize the preceding argument and recognising that a key difference between the two approaches is closely linked to the type of unemployment under consideration. 
L4 (18–25 marks): For an answer which explains what is meant by a budget deficit and which recognizes why unemployment constitutes a significant economic problem. Analysis of both the Keynesian and Monetarist proposed solutions will be provided. Analysis in both cases should be subject to at least one evaluative comment. A conclusion should recognize that a key difference between the two solutions advocated should relate to the specific type of unemployment under consideration.
L3 (14–17 marks): For analysis which addresses both the Keynesian and Monetarist approach to solving the problem of unemployment. A budget deficit and the reason why unemployment will also be explained in the process. However, there will be little evidence of evaluative comment with respect to either approach. A brief conclusion might be provided but it will not recognize the key explanation regarding the difference between the two approaches. 
L2 (10–13 marks): For a less well developed comment which describes the meaning of a budget deficit and the problem of unemployment. Also some attempt will be made to distinguish between Keynesian demand side policies and Monetarist supply side policies but this will not be supported by any in-depth analysis. No attempt will be made to directly compare the effectiveness of the two policies. 
L1 (1–9 marks): For an answer that shows some knowledge but does not indicate that the question has been fully grasped or where the answer is mostly irrelevant.

25


"
