,Unnamed: 0,Question,Mark Scheme,Question Type
1,1,Assess which expansionary macroeconomic policy would be most likely to enable a government to meet its economic objective of a low rate of unemployment. [12],"b

Assess which expansionary macroeconomic policy would be most likely to enable a government to meet its economic objective of a low rate of unemployment.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

The analysis must focus on the advantages and disadvantages of using at least two expansionary macroeconomic policies to keep unemployment low. For example, one policy might be an expansionary supply-side policy with an emphasis on training and education which would allow people to be more employable, e.g., by having more relevant skills but it may be timeconsuming and costly.
This chosen policy must then be contrasted with an alternative policy / policies. For example, expansionary monetary policy may be suggested with the use of low interest rates to encourage investment and boost employment, but the investment may be directed towards more capitalintensive production.

Note. The focus of the question must be on how a low rate of unemployment may be achieved.
Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation:

That clearly compares the likely success of at least two expansionary macroeconomic policies that leads to:
A valid conclusion as to which policy would be most likely to meet the economic objective of a low rate of unemployment.
Accept all valid responses.


12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
3,3,The Chinese government has re-emphasised its commitment to rebalancing the economy from one focused mainly on investment and exports to one aiming to increase the proportion spent on domestic consumption.Assess the extent to which it would be possible to achieve this by fiscal policy alone. [12],"b

The Chinese government has re-emphasised its commitment to rebalancing the economy from one focused mainly on investment and exports to one aiming to increase the proportion spent on domestic consumption.
Assess the extent to which it would be possible to achieve this by fiscal policy alone.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

The analysis must focus on the usefulness of using fiscal policy to rebalance the economy in the way suggested. Domestic consumption can be boosted by a number of fiscal policies including policies on taxation and government spending, but the main problem would be achieving this in a sustainable way.
This analysis must be compared with alternative policies including supply-side policies and monetary policies plus fiscal policies with a supply-side content.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For a full evaluation of more than one type of policy that clearly assesses and compares the potential usefulness of them to rebalance the Chinese economy leading to a:valid conclusion.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
5,5,Assess the extent to which price elasticity of supply or cross elasticity of demand is more useful to businesses. [12],"b

Assess the extent to which price elasticity of supply or cross elasticity of demand is most useful to businesses.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

An assessment of the usefulness of PES e.g., it estimates how quickly a business will take to respond to changes in demand, levels of stock it can hold etc., but this is only an estimate and may change.
An assessment of the usefulness of XED e.g., it tells the business whether their product is a substitute (positive XED) or a complement (negative XED) and how close the relationship is and hence its sensitivity to the actions of other businesses, but the speed of change may mean it is quickly out of date.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For a full evaluation of the usefulness of both measurements compared with each other leading to:
A valid conclusion

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
7,7,Assess whether a planned economic system should always switch to a mixed economy. [12],"b

Assess whether a planned economic system should always switch to a mixed economy.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

Analysis of both the potential advantages and disadvantages of a planned economic system including the emphasis on welfare and provision of public and merit goods. However, the lack of competition may mean a lack of efficient allocation of goods etc.
Analysis of both the potential advantages and disadvantages of a mixed economy including the fact that it possibly contains the best features of both a planned and a market economy, but this depends on how mixed it actually is. This may also include an assessment of the ease of the switch itself.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For an evaluation of both the advantages and disadvantages of planned and mixed economies leading to:
A valid conclusion.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
9,9,Assess whether economic growth is always desirable for an economy. [12],"b

Assess whether economic growth is always desirable for an economy.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of the term economic growth.
An explanation of the potential benefits of economic growth for an economy – higher incomes, reduction in unemployment, improved government finances, increased international competitiveness, increases in both consumer and business confidence, increased life expectancy.
An explanation of the costs of economic growth for an economy – inflation, current account deficits, inequality, pollution.

AO3 Evaluation

Consideration that fully assesses the relative perspectives of economic growth for an economy and arrives at a reasoned conclusion concerning which viewpoint (or otherwise) is most likely.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
11,11,Assess whether contractionary fiscal policy is likely to be the best way to reduce a current account deficit on the balance of payments. [12],"b

Assess whether contractionary fiscal policy is likely to be the best way to reduce a current account deficit on the balance of payments.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Understanding of the terms fiscal policy/current account deficit.
How contractionary fiscal policy might reduce a current account deficit – this may include increased taxation might reduce imports/reduce demand-pull inflationary pressure resulting in improved international price competitiveness.
An explanation of the limitations of fiscal policy – impact on domestic growth, unemployment.
An explanation of an alternative policy – monetary and/or supply side policies, minimum prices, regulation backed by fines.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of the policies analysed in reducing a current account deficit and arrives at a reasoned conclusion concerning whether fiscal policy is the ‘best’ approach.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
13,13,Assess whether an estimate of the price elasticity of demand for a product is likely to be more useful to a firm than an estimate of its price elasticity of supply. [12],"b

Assess whether an estimate of the price elasticity of demand for a product is likely to be more useful to a firm than an estimate of its price elasticity of supply.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of the terms PED/PES
How PED estimates would be useful to business owners –it would indicate the likely changes to revenue in response to changes in the price of a product.
An explanation of the limitations of PED estimates – does not consider the prices of complements/substitutes; income level of the consumer; trends; ignores the relevance of costs so changes to profits are uncertain.
An explanation of how PES estimates would be useful to business owners - the potential to invest in spare capacity which can be used if demand rises; increase overtime payments to increase production; whether or not to outsource to other firms who can meet supply.
An explanation of the limitations of PES estimates – e.g., practical ability to increase the PES; the associated costs in making supply more elastic/responsive.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of both PED/PES estimates and their implications for business decision-making and arrives at a reasoned conclusion concerning which concept (or otherwise) is most useful.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
15,15,Assess whether the improved provision of information is likely to be the best method to reduce the consumption of demerit goods. [12],"b

Assess whether the improved provision of information is likely to be the best method to reduce the consumption of demerit goods
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of improved provision of information
How improved information would reduce the consumption of demerit goods; consumers are aware of the ‘true’ costs from consuming demerit goods and respond by reducing their demand – this may include a shift to the left of the demand curve, or a shift to left of the MPC curve
An explanation of the limitations of improved information – habitual consumption, peer pressure, irrational behaviour
An explanation of an alternative policy – taxation, minimum prices, regulation backed by fines.

AO3 Evaluation

Consideration that fully assesses the relative effectiveness of the policies analysed in reducing the consumption of demerit goods and arrives at a reasoned conclusion concerning whether improved provision of information is the ‘best’ approach.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
17,17,A country has a persistent deficit on the current account of its balance of payments.Assess the likely consequences for the domestic and external economy of this country. [12],"b

A country has a persistent deficit on the current account of its balance of payments.
Assess the likely consequences for the domestic and external economy of this country.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Explanation of what is meant by a persistent deficit on the current account of the balance of payments.
Analysis of the consequences of a persistent deficit on the domestic economy e.g., in terms of employment levels, economic growth, inflation, living standards, government budget, business confidence, possible need to restructure the economy etc.
Analysis of the consequences of a persistent deficit on the external economy e.g., exchange rates, ability to trade, need for imports, debt interest, etc.Note: accept answers that refer to the impact on other economies when another economy has a persistent current account deficit.

Max L 2 if only the consequences on the domestic or the external economy are considered.
AO3 EvaluationThat clearly considers the likely consequences on both parts of the economy and comes to a conclusion as to the most likely consequences.
Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
19,19,Assess whether supply-side policy is the only way of reducing long-term unemployment in an economy. [12],"b

Assess whether supply-side policy is the only way of reducing longterm unemployment in an economy.
UseTable A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

Analysis of what is meant by supply side policy and how it can be applied to reduce long-term unemployment e.g., by retraining and updating skills, by providing information on job vacancies, by encouraging business start-ups etc.
Analysis of the advantages of using supply side policy e.g., may be noninflationary, may be more long-term etc.
Analysis of the disadvantages of supply side policy e.g., may take a long time to have an effect, opportunity cost, receptiveness e.g., of the workforce, policies may not work depending on the type of unemployment e.g., demand side policy may be more applicable for cyclical unemployment.
An analysis of the advantages and disadvantages of at least one alternative macroeconomic policy.

L3 lower-level max if only the advantages and disadvantages of supply side policy are analysed. L2 max if only advantages OR disadvantages of supply side policy are analysed.
AO3 Evaluation

For an evaluation of whether supply side policy is the only way of reducing long term unemployment leading to a reasoned conclusion.

Accept all valid responses.
A one-sided response cannot gain any marks for evaluation.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
