,Unnamed: 0,Question,Mark Scheme,Question Type
80,80,"Consider, with the help of a circular flow diagram, why an export-led growth policy is likely to be successful when a developed economy is in a recession. [12]","a

Consider with the help of a circular flow diagram, why an export led growth policy is likely to be successful when a developed economy is in a recession.
Export led growth is dependent on an outward growth strategy which relies heavily on openness and increased international trade. Successful growth should lead to an increase in national income, output, and employment. Concentration on the expansion of exports should be a key factor determining an increase in aggregate demand, output, and employment. This can be clearly illustrated, using a circular flow diagram which shows all withdrawals, all injections, and the change in national income equilibrium achievable via export led economic growth. This diagram should be clearly labelled and accurate showing an increase in injections (exports) producing a bigger increase in output/income/employment via the multiplier. An economy is in a recession when its GDP falls for two successive quarterly time periods. Recession will generally be accompanied by rising levels of unemployment due to a fall in aggregate monetary demand.
Government can use different economic policies to stimulate aggregate demand to move an economy out of a recession. Lower interest rates might be used to encourage investment, but this might have a limited effect due to low confidence. Government expenditure might be increased but this will depend upon the state of the public finances. When national debt is high this policy option might not be adopted. However, a policy which stimulates the growth of exports might avoid these problems and simultaneously protect the value of the domestic currency while maintaining a positive balance of payments. The effectiveness of this approach will depend upon the existing exchange rate regime used and the type of policy used, for example, lowering interest rates to depreciate a floating currency which should lead to a higher level of export growth.
L4 (9–12 marks): For a sound analysis of export led growth using an accurately labelled circular flow diagram. An explanation of the meaning of a recession should be provided. Export led policies should be compared to alternative policies that might be used to lead an economy out of a recession.
L3 (9–13 marks): For a limited analysis of the impact of export led growth on a developed economy, using a circular flow diagram. An explanation of a recession will be provided. No evaluative comment will be provided to assess the effectiveness of an export led growth policy.
L2 (5–6 marks): For a response which is descriptive rather than analytical. Answers might focus on the link between the circular flow of income and an export led growth policy. A recession will be referred to but alternative policies to move an economy out of recession will not be considered.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
82,82,Discuss the effectiveness of government policies which increase the net advantage of labour on the long–term supply of labour in an economy. [12],"a

Discuss the effectiveness of government policies which increase the net advantage of labour on the long term supply of labour in an economy.
Government policies which increase the net advantage of labour will increase the supply of labour in the long run and this can be shown by a shift downwards to the right of the supply curve of labour. This means more workers will be supplied at every wage rate. The net advantage of labour can be divided into pecuniary and non-pecuniary elements. The former might include: wages, salary and bonus payments. Non-pecuniary advantages might include: hours of work, job security, promotion prospects and nature of the work. Reductions in income tax, increasing the minimum wage and the provision of skill training could be used to increase the pecuniary element of the net advantage.
However tax reductions might lead to a fall in supply because some workers will substitute work for leisure. The provision of skill training is expensive therefore has a high opportunity cost. Minimum wage might increase the supply of labour but firm’s might lower their demand for labour and therefore create excess supply. Alternatively, a government can introduce new regulations to ensure worker’s rights such as flexible working hours, working conditions, safety at work etc. Although this extra support will benefit workers new regulations are often costly to implement. In some cases it is the firm which is expected to finance improvement in working conditions and this might lead to a fall in profitability and ultimately a fall in demand for labour
L4 (9–12 marks): For a sound discussion that provides a clear explanation of the meaning of net advantage of labour and links this to a labour supply curve. At least one policy to increase the pecuniary element of labour supply and one policy to increase the non-pecuniary element should be analysed. In both cases some evaluative comment should enable comment on the effectiveness of the policy.
L3 (7–8 marks): For a competent comment with limited analysis that recognises that net advantage is composed of pecuniary and non-pecuniary elements but does not establish a clear link with the labour supply curve. One policy in relation to both elements will be identified but not analysed in depth. No evaluative comment will be provided.
L2 (5–6 marks): For an attempt that describes net advantage of labour but only examines one policy in relation to one element of the net advantage. Analysis of this policy will not be fully developed.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
84,84,High market concentration ratios are closely linked to oligopoly market structures.Explain what this means and consider its importance in relation to the pricing policy of an oligopoly firm. [12],"a

High market concentration ratios are closely linked to Oligopoly market structures.Explain what this means and consider its importance in relation to the pricing policy of an oligopoly firm.
Some industries are dominated by a few large firms. A concentration ratio indicates the extent to which large firms might dominate an industry. For example, 4 large firms might control more than 80% of a market while a large number of small firms account for the remaining 20% of the market. In this case the four firm concentration ratio would be 80%.
Oligopolies are market structures which can be specifically identified by noting that there are only a few large firms which dominate the market i.e. they have high market concentration ratios and they also have high barriers to entry which maintains their dominant position. However, because of the nature of this type of market structure, firms have to take into account the reaction of their main rivals before adopting their pricing strategy i.e. they are interdependent. If a firm chooses to ignore the reactions of its main rivals, this could result in a price war where each firm loses potential revenue and consumers gain. As a result Oligopolies will often adopt alternative strategies to maintain/increase market share and maximise profits. Sometimes firms will collude and agree to fix a price. This is illegal but it is still used.
Alternatively, the dominant firm within the group might become the price leader and set the market price which other large firms choose to follow. Game theory and the theory of the kinked demand curve can be used to assess which strategy might be the most effective. Most of these alternative pricing strategies will lead to price rigidity. It should be noted that many Oligopoly firms will adopt non price competition such as advertising or increasing product differentiation to avoid the negative impact of price competition.
L4 (9–12 marks): For a clear explanation of what is meant by a high market concentration ratio and an attempt to link this to an Oligopoly market structure. Analysis of alternative pricing policies which might subsequently be adopted will be provided and an assessment of their likely impact on a firm's profits/market share. Some reference to alternative non pricing market strategies might form part of a conclusion.
L3 (7–8 marks): For an accurate reference to the question and clear understanding of the term high market concentration ratio and its link to an Oligopoly market structure. One link to a pricing policy should be analysed in detail, other strategies might be referred to but not fully developed.
L2 (5–6 marks): For a briefer descriptive comment that explains the terms in the question and provides some evidence of the main characteristics of an Oligopoly. Reference to pricing policies might be made but not clearly linked to the nature of the market structure.
L1 (1–4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
86,86,Consider why it is important for a government to use cost benefit analysis when deciding how much of a public good to provide. [12],"a

Consider why it is important for a government to use cost benefit analysis when deciding how much of a public good to provide.
Public goods are non-excludable, non-rival, and usually non-divisible. As a result of these characteristics, these goods will not be provided by profit making firms in the private sector. This non-provision is considered to be a type of market failure and this is generally described as the ‘free rider problem’. Nevertheless, many public goods are seen as an essential part of a modern economy. Examples of such goods would include street lighting, national defence and road signs. Also because of the nature of these goods and the need for their wide scale provision, the cost of providing such goods is likely to be very high.
Governments do not have unlimited access to funds therefore the extent of the provision of such goods needs to very carefully estimated so that maximum benefit can be attained at minimum cost. The use of cost benefit analysis enables a government to consider all the costs and all the benefits and then make a rational decision based on maximising net benefit. Identification of all costs would be more accurate because it would attempt to take into account negative externalities i.e. the negative impact on third parties. The same approach would identify positive externalities. In both cases an attempt would be made to put a monetary value on these additional costs/benefits.
In many cases the provision of public goods will take a long time, therefore an attempt has to be made to decide the present value/cost of a project that will not be completed for many years. Thus although it is important to use cost benefit analysis, it is also extremely important to recognise the difficulties involved when putting this analysis into practice.
L4 (9–12 marks): For a clear, explanation of what economists mean by a public good and its relationship to market failure. The key elements of cost benefit analysis should then be set out. The link between the nature of public goods and the use of cost benefit analysis should be established and a discussion of the effectiveness of the use of cost benefit analysis in this situation should be provided.
L3 (7–8 marks): For an explanation of what is meant by public goods. Cost benefit analysis will be explained but not fully developed. There will be a limited attempt to link the provision of public goods to cost benefit analysis. The effectiveness of the use of cost benefit analysis in these circumstances will not be considered.
L2 (5-6 marks): For a more descriptive explanation that indicates knowledge of public goods and some of the key aspects of cost benefit analysis. There will only be a very limited attempt to link a government’s decision to provide a public good and the use of cost benefit analysis. No evaluation of the effectiveness of cost benefit will be provided.
L1 (1-4 marks): For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
88,88,Explain how changes in the internal value of a country's currency can affect the external value of that currency. [12],"a

Explain how changes in the internal value of a country's currency can affect the external value of that currency.
Definitions of the two terms internal and external value of a currency: inflation and the exchange rate. The link between changes in the internal value of the currency and the exchange rate and the exchange rate and the rate of inflation. Comment on the effect of a fixed/floating exchange rate.
L4 (9–12 marks) For an answer which defines the internal and external values of a currency: inflation and the exchange rate. It explains the two terms internal and external value of a currency and analyses the relationship between a change in one and the effect on the other. L3 (7–8 marks) For an answer which defines the two terms internal and external value of a currency, and which explains the relationship between a change in one and the effect on the other. L2 (5–6 marks) For an answer which defines and explains the two terms. L1 (1–4) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","A-Level, [12] marks"
90,90,"Using Keynesian theory of interest rate determination, explain why interest rates are sometimes very low. [12]","a

Using Keynesian theory of interest rate determination, explain why interest rates are sometimes very low.
Transaction, precautionary and speculative demands for money, the link between these and the rate of interest. Significance of speculative demand and the rate of interest/price of bonds, active/Idle balances, the liquidity trap. The level of the money supply.
L4 (9–12 marks) For an answer which explains the three demands for money and analyses their relationship with the money supply, rate of interest and the liquidity trap. L3 (7–8 marks) For an answer which explains the three demand for money with limited reference to the low interest rates. L2 (5–6 marks) For an answer which explains the transaction and precautionary demand for money, there may be limited reference to the speculative demand. L1 (1 – marks) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","A-Level, [12] marks"
92,92,Explain the law of diminishing returns and its relevance to the shapes of the marginal cost curve and the average variable cost curve of a firm. [12],"a

Explain the law of diminishing returns and its relevance to the shapes of the marginal cost curve and the average variable cost curve of a firm.
A statement of the law of diminishing returns (LDR) in terms of increased use of a variable factor of production with a fixed factor of production. Comment that LDR is a short run phenomenon. The effect of increasing/decreasing returns on average and marginal output. The relevance of these to the average variable cost curve.
L4 (9–12 marks) For an answer which refers to the short run, explains and analyses the implications of the LDR for the shape of the average and marginal output curves and the marginal cost curve and average variable cost curve. L3 (7–8 marks) For an answer which refers to the short run, explains the LDR and attempts to analyse the shape of the average and marginal output curves or the marginal cost curve and average variable cost curve. L2 (5–6 marks) For an answer which explains LDR and average and marginal costs. L1 (1–4 marks) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","A-Level, [12] marks"
94,94,"Using diagrams, explain with examples the meaning of a positive externality for a consumer and a negative externality for a producer. [12]","a

Using diagrams, explain with examples the meaning of a positive externality for a consumer and a negative externality for a producer.
Externalities are spillover costs or benefits which do not apply to the originator of the actions. Positive externalities for a consumer bring a benefit and social marginal benefit is greater than private marginal benefits. Negative externalities for a producer bring a cost not paid for by the producer, Marginal social costs are greater than marginal private costs. Examples.
L4 (9–12 marks) For an answer which defines positive and negative externalities and analyses their relationship to social/private costs and social/private benefits. Appropriate diagrams are shown with reference to them in the text. Examples are linked to both types of externality. L3 (7–8 marks) For an answer which defines positive or negative externalities and analyses their relationship to social/private costs or social/private benefits. Appropriate diagrams are shown with some limited reference to them in the text. Examples are provided. L2 (5–6 marks) For an answer which explains positive and negative externalities an example of either positive or negative externality is given. L1 (1–4 marks) For an answer which has some basic correct facts but includes irrelevancies. Errors of theory or omissions of analysis will be substantial.

12

","A-Level, [12] marks"
96,96,"Explain, with the help of a diagram, the Keynesian theory of the liquidity trap and consider the importance of the liquidity trap to government policy makers when an economy is in a recession. [12]","a

Explain, with the help of a diagram, explain the Keynesian theory of the liquidity trap and consider the importance of the liquidity trap to government policy makers when an economy is in a recession.
The Keynesian theory of the liquidity trap relies heavily upon the Keynesian theory of interest rate determination. This theory assumes that the interest rate is determined by the supply of and demand for money. It is also assumed that the demand for money becomes perfectly elastic when the rate of interest on securities becomes very low and that the supply of money is perfectly inelastic because it is determined solely by the Central Bank. This can be illustrated by a supply and demand diagram. When an economy is in a recession, GDP will be falling, incomes will be low and unemployment will be relatively high.
Monetary policy such as lowering interest rates might be used to stimulate aggregate demand and move the economy out of a recession. However, according to Keynesian theory, when interest rates reach a very low level, an increase in the money supply to stimulate the economy will have no effect because this policy will have no further effect on interest rates. This form of monetary will no longer work. A diagram can support this conclusion by clearly identifying the liquidity trap. If policy makers recognise the existence of a liquidity trap, they might then choose to rely on alternative policies to move an economy out of a recession. Alternative measures might include: a devaluation of the domestic currency if is based on a fixed exchange rate; the use of expansionary fiscal policies such as increased government spending and/or tax reduction; or various supply side measures to increase productivity
L4 (9–12 marks) For a sound analysis of the Keynesian theory of interest rate determination, supported by accurate, clearly labelled diagrams. A recession should be explained and the link between a recession and policies used to move out of a recession should be considered. A least one alternative policy approach should be explained and discussed and a conclusion provided. L3 (7–8 marks) For an analysis of the Keynesian theory of interest determination and an identification of the liquidity trap. Links between policies to move out of a recession and the liquidity trap will be established. No alternative policies which might be used because of the liquidity trap will be discussed and no conclusion will be provided. L2 (5–6 marks) For a response which is descriptive rather than analytical. Answers will explain Keynesian theory of interest rate determination but will not use this to analyse the link between the liquidity trap and the effectiveness of the use of monetary policy to move an economy out of a recession. L1 (1–4 marks) For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
98,98,Explain what is meant by the marginal revenue product theory and consider the relationship between this theory and a trades union's ability to gain higher wages for its members. [12],"a

Explain what is meant by the marginal revenue product theory and consider the relationship between this theory and a trades union's ability to gain higher wages for its members.
Marginal revenue product theory is a theory which explains what determines the demand for labour. The value of an individual worker’s marginal revenue product is made up of two parts. The marginal physical product of a worker multiplied by the marginal revenue gained by the firm when the product is sold will determine the worker’s marginal revenue product. It is assumed that each firm in all labour markets are profit maximisers and will therefore employ workers up to the point where the worker’s marginal product is equal to the marginal cost of employing this extra unit of labour. In this case, either an increase in worker productivity (increase in worker MPP) or an increase in the marginal revenue gained (MR) will increase MRP. This will shift the demand curve (MRP curve) to the right and indicate an increase in the demand for labour.
The extent to which this increase in demand will enable Trades Unions to negotiate higher wages will be determined to some extent by the nature of the labour market in which they operate. In a perfectly competitive labour market analysis will focus on a situation where wage rates are determined by the supply of and the demand for labour. In this case trade unions can raise the demand for labour by increasing training and ultimately MRP.
However wages will only rise if the MRP of all labour in all firms increase. If the increase is confined to one firm, wages will not rise. In a monopsony labour market unions might be able to achieve higher wages in a bilateral bargaining situation where unions negotiate with a monopsony buyer. The extent to which higher wages can be achieved in this situation without job losses will depend upon the relative strength of the union in relation to the employer.
L4 (9–12 marks) For a sound discussion that provides a clear explanation of the marginal revenue product theory and analyses the potential impact of a Trades Union’s ability to change MRP in both a perfectly competitive labour market and an imperfect labour market. A conclusion should summarize the differences between the two markets. L3 (7–8 marks) For a competent comment with analysis that recognises the determinants of MRP, and how this relates to the demand for labour. Further analysis will establish the links between MRP, Trades Unions and higher wage rates. However the analysis will only be confined to one type of labour market. L2 (5–6 marks) For an attempt describes what is meant by the marginal revenue product and links this to the demand for labour. A limited attempt will be made to show how Trades Unions can bargain for higher wages but the analysis will not be fully developed. L1 (1–4 marks) For an answer that has some basic correct facts but includes irrelevancies and errors of theory.

12

","A-Level, [12] marks"
