,Question,Mark Scheme,Question Type
0,Explain three causes of unemployment and consider which cause is likely to be most damaging to a high-income economy. [8],"a

Explain three causes of unemployment and consider which cause is likely to be most damaging to a high-income economy.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For a clear and accurate explanation of three causes of unemployment from frictional, structural, cyclical (demand deficient), seasonal or technological (3×1).
AO2 Analysis (max 3 marks) Each cause identified must be analysed, and judgements made about how damaging it might be for a high-income economy (3×1). For example, points to consider may include:

Frictional unemployment may be dependent on information provision.
Structural unemployment may be permanent and difficult to solve.
Cyclical unemployment depends on the economic cycle.
Seasonal depends on alternative sources of employment.
Technological depends on occupational or geographical immobility of labour.

AO3 Evaluation (max 2 marks) For an answer that clearly assesses how damaging each cause may be to a high-income developed economy in comparison with each other (1) that leads to a justified conclusion as to which may be the most damaging (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
1,Assess which expansionary macroeconomic policy would be most likely to enable a government to meet its economic objective of a low rate of unemployment. [12],"b

Assess which expansionary macroeconomic policy would be most likely to enable a government to meet its economic objective of a low rate of unemployment.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

The analysis must focus on the advantages and disadvantages of using at least two expansionary macroeconomic policies to keep unemployment low. For example, one policy might be an expansionary supply-side policy with an emphasis on training and education which would allow people to be more employable, e.g., by having more relevant skills but it may be timeconsuming and costly.
This chosen policy must then be contrasted with an alternative policy / policies. For example, expansionary monetary policy may be suggested with the use of low interest rates to encourage investment and boost employment, but the investment may be directed towards more capitalintensive production.

Note. The focus of the question must be on how a low rate of unemployment may be achieved.
Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation:

That clearly compares the likely success of at least two expansionary macroeconomic policies that leads to:
A valid conclusion as to which policy would be most likely to meet the economic objective of a low rate of unemployment.
Accept all valid responses.


12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
2,Explain three of the components of aggregate demand and consider the extent to which they may be increased without leading to inflation. [8],"a

Explain three of the components of aggregate demand and consider the extent to which they may be increased without leading to inflation.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For a clear and accurate explanation of three components of aggregate demand i.e., consumer spending, investment, government spending and / or net exports (1 × 3).
Note. Q4(b) lists three components of AD so any AO1 marks CANNOT be awarded for simply mentioning a component.
AO2 Analysis (max 3 marks) For an analysis that explains that one cause of inflation is a situation where AD rises more than AS (1) but also considers why this may or may not occur e.g., the economy is operating at less than capacity, some of the increase in AD also increases AS etc. (up to 2 marks)
Note. If both scenarios are considered, then full marks may be awarded. For one-sided answers, maximum mark of 1.
AO3 Evaluation (max 2 marks)For an answer that clearly considers both sides (1) leading to a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
3,The Chinese government has re-emphasised its commitment to rebalancing the economy from one focused mainly on investment and exports to one aiming to increase the proportion spent on domestic consumption.Assess the extent to which it would be possible to achieve this by fiscal policy alone. [12],"b

The Chinese government has re-emphasised its commitment to rebalancing the economy from one focused mainly on investment and exports to one aiming to increase the proportion spent on domestic consumption.
Assess the extent to which it would be possible to achieve this by fiscal policy alone.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

The analysis must focus on the usefulness of using fiscal policy to rebalance the economy in the way suggested. Domestic consumption can be boosted by a number of fiscal policies including policies on taxation and government spending, but the main problem would be achieving this in a sustainable way.
This analysis must be compared with alternative policies including supply-side policies and monetary policies plus fiscal policies with a supply-side content.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For a full evaluation of more than one type of policy that clearly assesses and compares the potential usefulness of them to rebalance the Chinese economy leading to a:valid conclusion.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
4,"With the help of a formula, explain what is meant by the income elasticity of demand for a product and consider the extent to which demand for the product will always rise at the same rate as the income of its consumers. [8]","a

With the help of a formula, explain what is meant by the income elasticity of demand for a product and consider the extent to which demand for the product will always rise at the same rate as the income of its consumers.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)For an accurate formula of YED (1). For clear and accurate knowledge and explanation of what is meant by YED (1) including the difference between elastic and inelastic YED (1).
AO2 Analysis (max 3 marks) For a clear understanding and explanation that this depends on the coefficient value of YED (1) and analysis of the different outcomes depending on whether the product is normal (positive coefficient) (1) or inferior (negative coefficient) (1).
AO3 Evaluation (max 2 marks)For a considered evaluation of the possible outcomes (1) leading to a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
5,Assess the extent to which price elasticity of supply or cross elasticity of demand is more useful to businesses. [12],"b

Assess the extent to which price elasticity of supply or cross elasticity of demand is most useful to businesses.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

An assessment of the usefulness of PES e.g., it estimates how quickly a business will take to respond to changes in demand, levels of stock it can hold etc., but this is only an estimate and may change.
An assessment of the usefulness of XED e.g., it tells the business whether their product is a substitute (positive XED) or a complement (negative XED) and how close the relationship is and hence its sensitivity to the actions of other businesses, but the speed of change may mean it is quickly out of date.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For a full evaluation of the usefulness of both measurements compared with each other leading to:
A valid conclusion

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
6,"With the use of examples, explain the difference between public goods and merit goods and consider whether markets will always provide enough of both goods. [8]","a

With the use of examples, explain the difference between public goods and merit goods and consider whether markets will always provide enough of both goods.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)

For the use of accurate examples of BOTH merit goods and public goods (1).
For clearly explaining the characteristics of public goods i.e., non-rivalry and non-excludable (1).
For clearly explaining the characteristics of merit goods i.e., better than people realise and under consumed / underproduced due to information failure (1).

AO2 Analysis (max 3 marks)

A market economy is less likely to produce enough of both goods due to the lack of a profit motive unless heavily subsidised.
A mixed economy may produce enough due to government involvement and the welfare motive but may be constrained by limits on government spending.

Note: Analysis should consider at least 2 markets. If only 1 market is analysed, then 2 marks maximum for analysis and 0 for evaluation.
AO3 Evaluation (max 2 marks)Offers a valid evaluation of whether enough of both types of good can be produced in at least 2 markets (1) reaching a valid conclusion (1).

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
7,Assess whether a planned economic system should always switch to a mixed economy. [12],"b

Assess whether a planned economic system should always switch to a mixed economy.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative contentResponses may include:
AO1 Knowledge and understanding and AO2 Analysis

Analysis of both the potential advantages and disadvantages of a planned economic system including the emphasis on welfare and provision of public and merit goods. However, the lack of competition may mean a lack of efficient allocation of goods etc.
Analysis of both the potential advantages and disadvantages of a mixed economy including the fact that it possibly contains the best features of both a planned and a market economy, but this depends on how mixed it actually is. This may also include an assessment of the ease of the switch itself.

Level 1 responses will be assertive and lacking in explanations / mainly descriptive and/or or mainly lacking in relevance to the question.
Level 2 responses may contain some inaccuracies and will be one sided. Analysis will be explained at least in part and will be largely relevant to the question.
Level 3 responses will consider alternative policies / concepts etc. and will be balanced. Explanations of points raised will be offered and will be accurate and relevant to the question.
AO3 Evaluation

For an evaluation of both the advantages and disadvantages of planned and mixed economies leading to:
A valid conclusion.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
8,"With the help of an aggregate demand and aggregate supply diagram, explain how a decrease in interest rates could cause economic growth and consider whether economic growth will always result in inflation. [8]","a

With the help of an aggregate demand and aggregate supply diagram, explain how a decrease in interest rates could cause economic growth and consider whether economic growth will always result in inflation.
Follow the point-based marking guidance at the top of this mark scheme and award:up to 3 marks for AO1 Knowledge and understanding up to 3 marks for AO2 Analysisup to 2 marks for AO3 Evaluation.
AO1 Knowledge and Understanding (max 3 marks)A clear understanding of what is meant by:

economic growth (1)
inflation (1)
interest rates (1)
through an accurate diagram, correctly labelled axes, and equilibrium price level and real GDP (1).

AO2 Analysis (max 3 marks)Uses the diagram(s) to explain how a decrease in interest rates will impact on saving/borrowing (1) that cause will either cause an increase in consumption/investment/next exports (1) which causes an increase in economic growth/real GDP (1).
AO3 Evaluation (max 2 marks) One mark for a valid explanation that rise in inflation assumes that the economy is operating at full capacity; the growth may be focused on capital intensive industries (1) or that the source of the growth may be long term in nature (1). The second mark is for a justified conclusion.

8


AO1 Knowledge and understanding
3


AO2 Analysis
3


AO3 Evaluation
2

","AS-Level, [8] marks"
9,Assess whether economic growth is always desirable for an economy. [12],"b

Assess whether economic growth is always desirable for an economy.
Use Table A: AO1 Knowledge and understanding and AO2 Analysis andTable B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.
Indicative content
Responses may include:
AO1 Knowledge and understanding and AO2 Analysis

The meaning of the term economic growth.
An explanation of the potential benefits of economic growth for an economy – higher incomes, reduction in unemployment, improved government finances, increased international competitiveness, increases in both consumer and business confidence, increased life expectancy.
An explanation of the costs of economic growth for an economy – inflation, current account deficits, inequality, pollution.

AO3 Evaluation

Consideration that fully assesses the relative perspectives of economic growth for an economy and arrives at a reasoned conclusion concerning which viewpoint (or otherwise) is most likely.

Accept all valid responses.

12


AO1 Knowledge and understanding and AO2 Analysis
8


AO3 Evaluation
4


","AS-Level, [12] marks"
