,Question,Chapter,Sub-chapters
0,"Nuclei X and Y are different isotopes of the same element. 
Nucleus X is unstable and emits a β+ particle to form nucleus Z.
By comparing the number of protons in each nucleus, state and explain whether the charge of nucleus X is less than, the same as or greater than the charge of: 


nucleus Y
...........................................................................................................................................
..................................................................................................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
1,"Nuclei X and Y are different isotopes of the same element. 
Nucleus X is unstable and emits a β+ particle to form nucleus Z.
By comparing the number of protons in each nucleus, state and explain whether the charge of nucleus X is less than, the same as or greater than the charge of: 


nucleus Z.
...........................................................................................................................................
...........................................................................................................................................
..................................................................................................................................... [2]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
2,"Hadrons can be divided into two groups (classes), P and Q. Group P is baryons. 

State the name of group Q.
..................................................................................................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
3,"Hadrons can be divided into two groups (classes), P and Q. Group P is baryons. 

Describe, in general terms, the quark structure of hadrons that belong to group Q.
...........................................................................................................................................
..................................................................................................................................... [1]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
4,"Define the potential difference across a component.

...................................................................................................................................................
............................................................................................................................................. [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
5,"The variation with potential difference V of the current I in a semiconductor diode is shown in Fig. 6.1.


(DIAGRAM)

Use Fig. 6.1 to describe qualitatively:


the resistance of the diode in the range V = 0 to V = 0.25V

..................................................................................................................................... [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
6,"The variation with potential difference V of the current I in a semiconductor diode is shown in Fig. 6.1.


(DIAGRAM)

Use Fig. 6.1 to describe qualitatively:


the variation, if any, in the resistance of the diode as V changes from V = 0.75V to V = 1.0V.

..................................................................................................................................... [1]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Calculate the current in the resistance wire.



current = .......................................................A [1] 

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
8,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Determine the resistance of the variable resistor.






resistance = ...................................................... Ω [2]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
9,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


Wire XY has a length of 2.0m. Point Z on the wire is a distance of 1.6m from point X.
The fixed resistor is connected to the variable resistor at point W.

Determine the potential difference between points W and Z.









potential difference = ...................................................... V [3]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
10,"A battery of electromotive force (e.m.f.) 12V and negligible internal resistance is connected to a uniform resistance wire XY, a fixed resistor and a variable resistor, as shown in Fig. 6.2.


(DIAGRAM)

The fixed resistor has a resistance of 5.0Ω. The current in the battery is 2.7A and the current in the fixed resistor is 1.5A. 


The resistance of the variable resistor is now increased.
By considering the currents in every part of the circuit, state and explain whether the total power produced by the battery decreases, increases or stays the same.

...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
...........................................................................................................................................
..................................................................................................................................... [3]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
11,"A microphone and cathode-ray oscilloscope (CRO) are used to analyse a sound wave of frequency 5000 Hz. The trace that is displayed on the screen of the CRO is shown in Fig. 5.1. 

(DIAGRAM)



Determine the time-base setting, in s cm–1, of the CRO. 







time-base setting = ...............................................s cm–1 [2] ",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
12,"A microphone and cathode-ray oscilloscope (CRO) are used to analyse a sound wave of frequency 5000 Hz. The trace that is displayed on the screen of the CRO is shown in Fig. 5.1. 

(DIAGRAM)



The intensity of the sound detected by the microphone is now increased from its initial value of I to a new value of 3I. The frequency of the sound is unchanged. Assume that the amplitude of the trace on the CRO screen is proportional to the amplitude of the sound wave.
On Fig. 5.1, sketch the new trace shown on the screen of the CRO.  [3]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
13,"An arrangement for demonstrating interference using light is shown in Fig. 5.2.

(DIAGRAM)

The wavelength of the light from the laser is 630 nm. The light is incident normally on the double slit. The separation of the two slits is 3.6 × 10–4 m. The perpendicular distance between the double slit and the screen is D.
Coherent light waves from the slits form an interference pattern of bright and dark fringes on the screen. The distance between the centres of two adjacent bright fringes is 4.0 × 10–3 m. The central bright fringe is formed at point P.


Explain why a bright fringe is produced by the waves meeting at point P.
...........................................................................................................................................
..................................................................................................................................... [1]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
14,"An arrangement for demonstrating interference using light is shown in Fig. 5.2.

(DIAGRAM)

The wavelength of the light from the laser is 630 nm. The light is incident normally on the double slit. The separation of the two slits is 3.6 × 10–4 m. The perpendicular distance between the double slit and the screen is D.
Coherent light waves from the slits form an interference pattern of bright and dark fringes on the screen. The distance between the centres of two adjacent bright fringes is 4.0 × 10–3 m. The central bright fringe is formed at point P.


Calculate distance D.






D = ......................................................m [3]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
