,Question,Mark Scheme,Explanation
0,"A car travels with a constant velocity along a straight road. The car horn with a frequency of 400Hz is sounded continuously. A stationary observer on the roadside hears the sound from the horn at a frequency of 360Hz. The speed of sound is 340ms-1. Determine the magnitude v, and the direction, of the velocity of the car relative to the observer.         v = .......................................................ms-1 direction ...............................................................  [3]",360 = (400 × 340)/(340 ± v) C1 3 v = 38 (37.8) m s-1 A1 away (from the observer) B1,"v = 38 m s−1 direction away (from the observer)  
The observed frequency is lower than the source frequency, indicating the car is moving away. Using the Doppler effect formula for a receding source:  
\[ f' = \frac{f v}{v + v_s} \]  
Substituting \( f' = 360 \, \text{Hz} \), \( f = 400 \, \text{Hz} \), and \( v = 340 \, \text{ms}^{-1} \):  
\[ 360 = \frac{400 \times 340}{340 + v} \]  
Solving gives \( v = 37.8 \, \text{ms}^{-1} \approx 38 \, \text{ms}^{-1} \). The direction is away from the observer."
1,State one difference between a hadron and a lepton. ................................................................................................................................................... ...............................................................................................................................................[1],hadron not a fundamental particle/lepton is fundamental particle or hadron made of quarks/lepton not made of quarks or strong force/interaction acts on hadrons/does not act on leptons B1 [1],"Hadrons are composed of quarks, whereas leptons are fundamental particles not made of quarks."
2,  State the quark composition of a proton and of a neutron. proton: ............................................................................................................................... neutron: ............................................................................................................................. [2],"proton: up, up, down / uud B1   neutron: up, down, down / udd B1 [2]","proton: up, up, down  
neutron: up, down, down"
3,  Use your answer in (i) to determine the quark composition of an α-particle.    quark composition: .........................................................................[1],"composition: 2(uud) + 2(udd)                       = 6 up, 6 down / 6u, 6d B1 [1]","quark composition: 6u,6d [1]"
4,"The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 1, ........................................................................................................................................... .......................................................................................................................................[1]",most of the atom is empty space or the nucleus (volume) is (very) small compared to the atom B1 [1],"Result 1 indicates that the majority of the atom is empty space, with the nucleus occupying a very small volume compared to the overall size of the atom."
5,The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 2. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2],nucleus is (positively) charged B1   the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core B1 [2],"The very small number of α-particles scattered through angles greater than 90° implies that the nucleus of the atom is positively charged, as the repulsive electrostatic force between the positively charged α-particles and the nucleus causes large-angle scattering. Additionally, since only a tiny fraction of α-particles experience this large deflection, the nucleus must be extremely small and dense, containing the majority of the atom's mass concentrated in a very small volume."
6,State what is meant by the diffraction of a wave. ................................................................................................................................................... ...............................................................................................................................................[2],wave incident on/passes by or through an aperture/edge B1   wave spreads (into geometrical shadow) B1 [2],"The spreading of a wave as it passes through a gap or around an obstacle, causing it to bend into regions that would otherwise be in shadow."
7,"Laser light of wavelength 500 nm is incident normally on a diffraction grating. The resulting diffraction pattern has diffraction maxima up to and including the fourth-order maximum. Calculate, for the diffraction grating, the minimum possible line spacing.          line spacing = ...................................................... m [3]",nλ = d sinθ C1   substitution of θ = 90° or sinθ = 1 C1   4 × 500 × 10–9 = d × sin90° line spacing = 2.0 × 10–6 m A1 [3],"To calculate the minimum line spacing, we use the diffraction grating equation \( n\lambda = d \sin\theta \). For the fourth-order maximum to be just visible, \( \theta = 90^\circ \) (so \( \sin\theta = 1 \)). Substituting \( n = 4 \), \( \lambda = 500 \times 10^{-9} \, \text{m} \):  
\[
d = \frac{4 \times 500 \times 10^{-9}}{1} = 2.0 \times 10^{-6} \, \text{m}.  
\]  
Minimum line spacing = **2.0 × 10⁻⁶ m**."
8,The light in (b) is now replaced with red light. State and explain whether this is likely to result in the formation of a fifth-order diffraction maximum. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],wavelength of red light is longer (than 500 nm) M1   (each order/fourth order is now at a greater angle so) the fifth-order maximum cannot be formed/not formed A1 [2],"Red light has a longer wavelength than the original light. This increases the angle of diffraction for each order. Since the fourth-order maximum would now occur at a larger angle, the fifth-order maximum would require sinθ > 1, which is impossible. Therefore, a fifth-order maximum cannot be formed."
9,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2] ,the number of oscillations per unit time  M1   of the source/of a point on the wave/of a particle (in the medium) A1 [2] or     the number of wavelengths/wavefronts per unit time (M1)   passing a (fixed) point  (A1)  ,"The frequency of a progressive wave is the number of complete oscillations per unit time of a particle in the medium through which the wave travels. Alternatively, it is the number of wavefronts passing a fixed point per unit time."
10,A cathode-ray oscilloscope (c.r.o.) is used to determine the frequency of the sound emitted by a loudspeaker. The trace produced on the screen of the c.r.o. is shown in Fig. 4.1.  (DIAGRAM)  The time-base setting of the c.r.o. is 250 μs cm–1. Show that the frequency of the sound wave is 1600 Hz. [2]       ,T or period = 2.5 × 250 (µs) (= 625 µs) M1   frequency = 1 /(6.25 × 10–4) or 1 /(2.5 × 250 × 10–6) = 1600Hz A1 [2],"The time-base is 250 μs cm⁻¹. From the trace, one complete wavelength occupies 2.5 cm. The period T is calculated as 2.5 cm × 250 μs cm⁻¹ = 625 μs. Converting to seconds: 625 × 10⁻⁶ s. Frequency f = 1/T = 1/(625 × 10⁻⁶) = 1600 Hz."
11,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],the number of oscillations per unit time  M1   of the source/of a point on the wave/of a particle (in the medium) A1 [2] or     the number of wavelengths/wavefronts per unit time (M1)   passing a (fixed) point  (A1)  ,"The frequency of a progressive wave is the number of complete oscillations or vibrations per unit time produced by the source of the wave, or experienced by a particle in the medium through which the wave is travelling."
12,Define the coulomb. ...............................................................................................................................................[1],(coulomb is) ampere second B1 1,"The coulomb is defined as the quantity of electric charge transported by a current of one ampere in one second. So, 1 coulomb = 1 ampere × 1 second."
13,"A 12V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2.  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.   Determine the ratio  (DIAGRAM)        ratio = .......................................................... [3]",ratio = (I/nAYe)/(I/nAZe) C1     = AZ/AY or 4A/A or πd2/(πd2/4) C1     = 4 A1 3,"The resistance of a wire is given by \( R = \frac{\rho L}{A} \), where \( \rho \) is resistivity, \( L \) is length, and \( A \) is cross-sectional area. For resistor Y: diameter \( d \), length \( l \), so \( A_Y = \pi \left(\frac{d}{2}\right)^2 = \frac{\pi d^2}{4} \). For resistor Z: diameter \( 2d \), length \( 2l \), so \( A_Z = \pi (d)^2 = \pi d^2 \). The ratio \( \frac{A_Z}{A_Y} = \frac{\pi d^2}{\frac{\pi d^2}{4}} = 4 \).  
**Ratio = 4**"
14,A neutron decays by emitting a β− particle.  State the name of the particle represented by the symbol ν. .............................................................................................................................................. [1],an (electron) antineutrino B1,The particle represented by the symbol ν in β− decay is the electron antineutrino.
15,A neutron decays by emitting a β− particle.  State the name of the class (group) of particles that includes β− and ν. .............................................................................................................................................. [1],lepton(s)  B1,leptons
16,"A neutron decays by emitting a β− particle.  State  the quark structure of the neutron, ................................................................................................................................... [1]","down, down, up/ ddu B1",The quark structure of a neutron is two down quarks and one up quark (ddu).
17,A neutron decays by emitting a β− particle.  State  the change to the quark structure when the neutron decays. ................................................................................................................................... [1] ,a down/ d (quark) changes to an up/u (quark) or ddu → uud B1,"When a neutron decays by emitting a β⁻ particle, one of the down (d) quarks within the neutron changes into an up (u) quark. This transforms the neutron’s quark structure from udd to uud."
18,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)   State an appropriate instrument to measure the length l. .............................................................................................................................................. [1] ",metre rule/ tape measure  B1,metre rule
19,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)     Use the data in Fig. 1.1 to calculate the speed v.  v = .................................................  m s−1 [2]",v = [(1.8 × 126 × 10–2) / 5.1 × 10–3]1/2 C1    = 21.1(ms–1) A1 ,"v = √[(T × l) / m] = √[(1.8 × 1.26) / 0.0051] = √(2.268 / 0.0051) = √444.7 ≈ 21.1 m s⁻¹  
Calculation:  
Multiply tension (1.8 N) by length (1.26 m) = 2.268.  
Divide by mass (0.0051 kg) = 444.7.  
Square root of 444.7 ≈ 21.1.  
Final answer: 21.1 m s⁻¹."
