,Question,Mark Scheme,Explanation
0,Describe the Doppler effect. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[1],observed frequency is different to source frequency when the source moves relative to the observer B1 1,The Doppler effect occurs when there is a change in the observed frequency of a wave compared to the source frequency due to relative motion between the source and the observer.
1,"A car travels with a constant velocity along a straight road. The car horn with a frequency of 400Hz is sounded continuously. A stationary observer on the roadside hears the sound from the horn at a frequency of 360Hz. The speed of sound is 340ms-1. Determine the magnitude v, and the direction, of the velocity of the car relative to the observer.         v = .......................................................ms-1 direction ...............................................................  [3]",360 = (400 × 340)/(340 ± v) C1 3 v = 38 (37.8) m s-1 A1 away (from the observer) B1,"The observed frequency \( f' \) is lower than the source frequency, so the car is moving **away** from the observer.  
Using the Doppler effect equation for a receding source:  
\[
f' = \frac{f v_{\text{sound}}}{v_{\text{sound}} + v}
\]  
Substitute values:  
\[
360 = \frac{400 \times 340}{340 + v}
\]  
Solve for \( v \):  
\[
340 + v = \frac{400 \times 340}{360} \implies v = \frac{400 \times 340}{360} - 340 = 37.8 \, \text{ms}^{-1} \, \text{(away)}.
\]  

**Final Answer:**  
\( v = 37.8 \, \text{ms}^{-1} \), direction **away** from the observer.  

[3]"
2,State one difference between a hadron and a lepton. ................................................................................................................................................... ...............................................................................................................................................[1],hadron not a fundamental particle/lepton is fundamental particle or hadron made of quarks/lepton not made of quarks or strong force/interaction acts on hadrons/does not act on leptons B1 [1],"Hadrons are composed of quarks, whereas leptons are fundamental particles not made of quarks.  
[1]"
3,  State the quark composition of a proton and of a neutron. proton: ............................................................................................................................... neutron: ............................................................................................................................. [2],"proton: up, up, down / uud B1   neutron: up, down, down / udd B1 [2]","Proton: up, up, down (uud)  
Neutron: up, down, down (udd)  

[2]"
4,  Use your answer in (i) to determine the quark composition of an α-particle.    quark composition: .........................................................................[1],"composition: 2(uud) + 2(udd)                       = 6 up, 6 down / 6u, 6d B1 [1]","The α-particle is a helium nucleus composed of 2 protons (uud each) and 2 neutrons (udd each). Adding the quarks:  
2(uud) + 2(udd) = (4u + 2d) + (2u + 4d) = **6 up quarks and 6 down quarks**.  
Quark composition: **6u, 6d**.  

[1]"
5,"The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 1, ........................................................................................................................................... .......................................................................................................................................[1]",most of the atom is empty space or the nucleus (volume) is (very) small compared to the atom B1 [1],"From result 1, it can be inferred that **most of the atom is empty space** (or the nucleus occupies a very small volume compared to the atom), as the majority of α-particles pass through undeflected, indicating minimal interaction with concentrated positive charge.  

[1]"
6,The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 2. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2],nucleus is (positively) charged B1   the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core B1 [2],"From result 2, it can be inferred that the nucleus of the atom is **positively charged**, as the large-angle scattering of α-particles (which are themselves positively charged) indicates a strong repulsive electrostatic force. Additionally, the fact that only a very small fraction of α-particles are scattered this way implies that the nucleus occupies an extremely **small volume** compared to the atom, with the majority of the atom’s mass concentrated in this tiny, dense region.  

[2]"
7,State what is meant by the diffraction of a wave. ................................................................................................................................................... ...............................................................................................................................................[2],wave incident on/passes by or through an aperture/edge B1   wave spreads (into geometrical shadow) B1 [2],"Diffraction of a wave occurs when a wave encounters an aperture (such as a gap) or an edge.  
The wavefronts bend and spread out into regions that would otherwise be in the geometrical shadow of the obstacle or aperture.  

[2]"
8,"Laser light of wavelength 500 nm is incident normally on a diffraction grating. The resulting diffraction pattern has diffraction maxima up to and including the fourth-order maximum. Calculate, for the diffraction grating, the minimum possible line spacing.          line spacing = ...................................................... m [3]",nλ = d sinθ C1   substitution of θ = 90° or sinθ = 1 C1   4 × 500 × 10–9 = d × sin90° line spacing = 2.0 × 10–6 m A1 [3],"To calculate the minimum line spacing \( d \) for the diffraction grating, we use the equation \( n\lambda = d \sin\theta \).  
The highest order \( n = 4 \) must correspond to the largest possible angle, \( \theta = 90^\circ \), where \( \sin\theta = 1 \).  
Substituting \( n = 4 \), \( \lambda = 500 \, \text{nm} = 500 \times 10^{-9} \, \text{m} \), and \( \sin90^\circ = 1 \):  
\[
4 \times 500 \times 10^{-9} = d \times 1  
\]  
Solving for \( d \):  
\[
d = 2.0 \times 10^{-6} \, \text{m}  
\]  
The minimum line spacing is \( 2.0 \, \mu\text{m} \).  

[3]"
9,The light in (b) is now replaced with red light. State and explain whether this is likely to result in the formation of a fifth-order diffraction maximum. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],wavelength of red light is longer (than 500 nm) M1   (each order/fourth order is now at a greater angle so) the fifth-order maximum cannot be formed/not formed A1 [2],"Red light has a longer wavelength than the original light (500 nm).  
Using the diffraction grating equation \( d\sinθ = nλ \), the maximum order \( n_{\text{max}} \) corresponds to \( \sinθ = 1 \), so \( n_{\text{max}} = \frac{d}{λ} \).  
Increasing \( λ \) reduces \( n_{\text{max}} \). Since the original maximum was fourth order, red light’s longer \( λ \) decreases \( n_{\text{max}} \), making a fifth-order maximum (\( \sinθ > 1 \)) impossible.  

[2]"
