,question,explanation,answer,index
2,State one difference between a hadron and a lepton. ................................................................................................................................................... ...............................................................................................................................................[1],Hadrons can interact through the strong force but leptons cannot. Leptons interact through the electroweak force.,hadron not a fundamental particle/lepton is fundamental particle or hadron made of quarks/lepton not made of quarks or strong force/interaction acts on hadrons/does not act on leptons B1 [1],"(9, 'a')"
5,"The results of the ??-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of ??-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of ??-particles are scattered through angles greater than 90??. State what may be inferred from  result 1, ........................................................................................................................................... .......................................................................................................................................[1]",  The atom is mostly made up of empty space with a tiny nucleus.,most of the atom is empty space or the nucleus (volume) is (very) small compared to the atom B1 [1],"(9, 'c.i')"
6,The results of the ??-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of ??-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of ??-particles are scattered through angles greater than 90??. State what may be inferred from  result 2. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2],  The nucleus ofan atom is positively charged. All the positive charge of an atom and almost all the mass ofan atom reside in a tiny space ofthe nucleus. This accounts for the large repulsive force and the large scattering angles.,nucleus is (positively) charged B1 ?? the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core B1 [2],"(9, 'c.ii')"
7,State what is meant by the diffraction of a wave. ................................................................................................................................................... ...............................................................................................................................................[2],The spreading of waves as it passes through an aperture or around an obstacle.,wave incident on/passes by or through an aperture/edge B1 ?? wave spreads (into geometrical shadow) B1 [2],"(11, 'a')"
8,"Laser light of wavelength 500 nm is incident normally on a diffraction grating. The resulting diffraction pattern has diffraction maxima up to and including the fourth-order maximum. Calculate, for the diffraction grating, the minimum possible line spacing.          line spacing = ...................................................... m [3]","For minimum line spacing, the fourth order maximum occurs at 90??. n?? = d sin???? For???? = 90??, d = n?? = 4???? 500 nm = 2.0???? 10-6 m",n?? = d sin?? C1 ?? substitution of ?? = 90?? or sin?? = 1 C1 ?? 4 ?? 500 ?? 10? ?9 = d ?? sin90?? line spacing = 2.0 ?? 10? ?6 m A1 [3],"(11, 'b')"
9,The light in (b) is now replaced with red light. State and explain whether this is likely to result in the formation of a fifth-order diffraction maximum. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],"Red light has a longer wavelength. For each order of maximum, it diffracts more than the corresponding order of the 500 nm light. It is unlikely that red light has a fifth-order diffraction maximum.",wavelength of red light is longer (than 500 nm) M1 ?? (each order/fourth order is now at a greater angle so) the fifth-order maximum cannot be formed/not formed A1 [2],"(11, 'c')"
10,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2]??,The profile of a progrogressive wave moves in the direction of energy transfer. The frequency of the wave is the number of wavefronts passing through a fixed point per unit time.,the number of oscillations per unit time?? M1 ?? of the source/of a point on the wave/of a particle (in the medium) A1 [2] or ?? ?? the number of wavelengths/wavefronts per unit time (M1) ?? passing a (fixed) point?? (A1) ??,"(12, 'a')"
11,A cathode-ray oscilloscope (c.r.o.) is used to determine the frequency of the sound emitted by a loudspeaker. The trace produced on the screen of the c.r.o. is shown in Fig. 4.1.  (DIAGRAM)  The time-base setting of the c.r.o. is 250 ??s cm? ?1. Show that the frequency of the sound wave is 1600 Hz. [2]       ,"From graph,???? = 2.5 cm period = 2.5???? 250 = 625????s  (DIAGRAM) ",T or period = 2.5 ?? 250 (??s) (= 625 ??s) M1 ?? frequency = 1 /(6.25 ?? 10? ?4) or 1 /(2.5 ?? 250 ?? 10? ?6) = 1600Hz A1 [2],"(12, 'b')"
12,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s? ?1.  Determine the speed of the loudspeaker.      ??speed = ................................................ m s? ?1 [2]",  The loudspeaker is approaching the observer.  (DIAGRAM) ,for maximum frequency: fo = fsv /(v ? ? vs) 1640 = (1600 ?? 330) / (330 ? ? vs) C1 ?? vs = 8(.0)m s? ?1 (8.049 ms? ?1) A1 [2],"(12, 'c.i')"
19,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],"the number of oscillations per unit time??of a point on the wave, or the number of wavelengths/wavefronts per unit time??passing a fixed point.",the number of oscillations per unit time?? M1 ?? of the source/of a point on the wave/of a particle (in the medium) A1 [2] or ?? ?? the number of wavelengths/wavefronts per unit time (M1) ?? passing a (fixed) point?? (A1) ??,"(17, 'a')"
23,Define the coulomb. ...............................................................................................................................................[1],1 coulomb is the charge flowing through a point in 1 second when the current is 1 ampere second.,(coulomb is) ampere second B1 1,"(18, 'a')"
30,A neutron decays by emitting a ????? particle.  State the name of the particle represented by the symbol ??. .............................................................................................................................................. [1],Electron antineutrino.,an (electron) antineutrino B1,"(19, 'b')"
31,A neutron decays by emitting a ????? particle.  State the name of the class (group) of particles that includes ????? and ??. .............................................................................................................................................. [1],Lepton,lepton(s)?? B1,"(19, 'c')"
32,"A neutron decays by emitting a ????? particle.  State  the quark structure of the neutron, ................................................................................................................................... [1]",  Consists of two down quarks and one up quark.,"down, down, up/ ddu B1","(19, 'd.i')"
34,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)   State an appropriate instrument to measure the length l. .............................................................................................................................................. [1] ",Measuring tape.,metre rule/ tape measure?? B1,"(24, 'a')"
35,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)     Use the data in Fig. 1.1 to calculate the speed v.  v = ................................................. ??m s???1??[2]","   (DIAGRAM)  If this question is given without the uncertainties, the answer is in 2 s.f. The answer 21.1 is arrived at after part b( i) is attempted.",v = [(1.8 ?? 126 ?? 10? ?2) / 5.1 ?? 10? ?3]1/2 C1 ?? ??= 21.1(ms? ?1) A1??,"(24, 'b.i')"
36,"The speed v of a transverse wave on a uniform string is given by the expression  (DIAGRAM)  where T is the tension in the string, l is its length and m is its mass. An experiment is performed to determine the speed v of the wave. The measurements are shown in Fig. 1.1.  (DIAGRAM)     Use your answer in (b)(i) and the data in Fig. 1.1 to determine the value of v, with its absolute uncertainty, to an appropriate number of significant figures.  v = ...................................... ?? ...................................... m s???1 [3] ","   (DIAGRAM)  If the absolute uncertainty is set to 0.84, then v is set to 4 s.f. which is too high. So absolute uncertainty is set to1 s.f. (the minimum). This makes v to 3 s.f.",percentage uncertainty = 4% or fractional uncertainty = 0.04 C1 ???v = 0.04 ?? 21.1 ?? ?? ?? ??= 0.84 C1?? v = 21.1 ?? 0.8 (ms? ?1)?? A1,"(24, 'b.ii')"
37,"On the axes of Fig. 2.1, sketch the variation with distance from a point mass of the gravitational field strength due to the mass.?? [2]  (DIAGRAM) ", (DIAGRAM) ,"smooth curve with decreasing gradient, not starting at x = 0 end of line not at g = 0 or horizontal M1 A1 [2]","(25, 'a')"
38,"On the axes of Fig. 2.2, sketch the variation with speed of the magnitude of the force on a charged particle moving at right-angles to a uniform magnetic field. [2]  (DIAGRAM) "," (DIAGRAM)   Note: Think of F = Bqv, F????? v, so F = kv, y = mx  ",straight line with positive gradient line starts at origin M1 A1 [2],"(25, 'b')"
39,"On the axes of Fig. 2.3, sketch the variation with time of the power dissipated in a resistor by a sinusoidal alternating current during two cycles of the current. [3]  (DIAGRAM) ", (DIAGRAM)   Note:  1. P = I02Rsin2??t  2.Max power = I02R  3.T = period = 1/f,sinusoidal shape only positive values and peak / trough height constant 4 'loops' B1 B1 B1 [3],"(25, 'c')"
52,"A student is studying a water wave in which all the wavefronts are parallel to one??another. The variation with time t of the displacement x of a particular particle in the wave is??shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown??in Fig.5.2.  (DIAGRAM)   Use Fig.5.1 and 5.2 to determine, for the water wave,  the period T of vibration,  T = ............................................... s [1]  ",  T = 0.60 s,T = 0.60 s B1 [1],"(31, 'b.i')"
53,"A student is studying a water wave in which all the wavefronts are parallel to one??another. The variation with time t of the displacement x of a particular particle in the wave is??shown in Fig.5.1.  (DIAGRAM)  The distance d of the oscillating particles from the source of the waves is measured. At a particular time, the variation of the displacement x with this distance d is shown??in Fig.5.2.  (DIAGRAM)   Use Fig.5.1 and 5.2 to determine, for the water wave,  the wavelength ??,  ????= ............................................ cm [1]  ",  ?? = 4.0 cm,?? = 4.0 cm B1 [1],"(31, 'b.ii')"
