,question,explanation,answer,index
0,Describe the Doppler effect. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[1],observed frequency is different to source frequency when source moves relative to observer.,observed frequency is different to source frequency when the source moves relative to the observer B1 1,"(7, 'a')"
1,"A car travels with a constant velocity along a straight road. The car horn with a frequency of 400Hz is sounded continuously. A stationary observer on the roadside hears the sound from the horn at a frequency of 360Hz. The speed of sound is 340ms-1. Determine the magnitude v, and the direction, of the velocity of the car relative to the observer.         v = .......................................................ms-1 direction ...............................................................  [3]",360 = (400 × 340) / (340 ± v)  v = 38 (37.8) m s–1 direction is away from the observer,360 = (400 × 340)/(340 ± v) C1 3 v = 38 (37.8) m s-1 A1 away (from the observer) B1,"(7, 'b')"
2,State one difference between a hadron and a lepton. ................................................................................................................................................... ...............................................................................................................................................[1],Hadrons can interact through the strong force but leptons cannot. Leptons interact through the electroweak force.,hadron not a fundamental particle/lepton is fundamental particle or hadron made of quarks/lepton not made of quarks or strong force/interaction acts on hadrons/does not act on leptons B1 [1],"(9, 'a')"
3,  State the quark composition of a proton and of a neutron. proton: ............................................................................................................................... neutron: ............................................................................................................................. [2],"  proton:  up, up, down neutron:  up, down, down.","proton: up, up, down / uud B1   neutron: up, down, down / udd B1 [2]","(9, 'b.i')"
4,  Use your answer in (i) to determine the quark composition of an α-particle.    quark composition: .........................................................................[1],"  α - particle consists of two protons and two neutrons 2(uud) + 2 (udd) = 6u, 6d","composition: 2(uud) + 2(udd)                       = 6 up, 6 down / 6u, 6d B1 [1]","(9, 'b.ii')"
5,"The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 1, ........................................................................................................................................... .......................................................................................................................................[1]",  The atom is mostly made up of empty space with a tiny nucleus.,most of the atom is empty space or the nucleus (volume) is (very) small compared to the atom B1 [1],"(9, 'c.i')"
6,The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 2. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2],  The nucleus ofan atom is positively charged. All the positive charge of an atom and almost all the mass ofan atom reside in a tiny space ofthe nucleus. This accounts for the large repulsive force and the large scattering angles.,nucleus is (positively) charged B1   the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core B1 [2],"(9, 'c.ii')"
7,State what is meant by the diffraction of a wave. ................................................................................................................................................... ...............................................................................................................................................[2],The spreading of waves as it passes through an aperture or around an obstacle.,wave incident on/passes by or through an aperture/edge B1   wave spreads (into geometrical shadow) B1 [2],"(11, 'a')"
8,"Laser light of wavelength 500 nm is incident normally on a diffraction grating. The resulting diffraction pattern has diffraction maxima up to and including the fourth-order maximum. Calculate, for the diffraction grating, the minimum possible line spacing.          line spacing = ...................................................... m [3]","For minimum line spacing, the fourth order maximum occurs at 90°. nλ = d sin θ For θ = 90°, d = nλ = 4 × 500 nm = 2.0 × 10-6 m",nλ = d sinθ C1   substitution of θ = 90° or sinθ = 1 C1   4 × 500 × 10–9 = d × sin90° line spacing = 2.0 × 10–6 m A1 [3],"(11, 'b')"
9,The light in (b) is now replaced with red light. State and explain whether this is likely to result in the formation of a fifth-order diffraction maximum. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],"Red light has a longer wavelength. For each order of maximum, it diffracts more than the corresponding order of the 500 nm light. It is unlikely that red light has a fifth-order diffraction maximum.",wavelength of red light is longer (than 500 nm) M1   (each order/fourth order is now at a greater angle so) the fifth-order maximum cannot be formed/not formed A1 [2],"(11, 'c')"
10,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2] ,The profile of a progrogressive wave moves in the direction of energy transfer. The frequency of the wave is the number of wavefronts passing through a fixed point per unit time.,the number of oscillations per unit time  M1   of the source/of a point on the wave/of a particle (in the medium) A1 [2] or     the number of wavelengths/wavefronts per unit time (M1)   passing a (fixed) point  (A1)  ,"(12, 'a')"
11,A cathode-ray oscilloscope (c.r.o.) is used to determine the frequency of the sound emitted by a loudspeaker. The trace produced on the screen of the c.r.o. is shown in Fig. 4.1.  (DIAGRAM)  The time-base setting of the c.r.o. is 250 μs cm–1. Show that the frequency of the sound wave is 1600 Hz. [2]       ,"From graph, λ = 2.5 cm period = 2.5 × 250 = 625 µs  (DIAGRAM) ",T or period = 2.5 × 250 (µs) (= 625 µs) M1   frequency = 1 /(6.25 × 10–4) or 1 /(2.5 × 250 × 10–6) = 1600Hz A1 [2],"(12, 'b')"
12,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s–1.  Determine the speed of the loudspeaker.       speed = ................................................ m s–1 [2]",  The loudspeaker is approaching the observer.  (DIAGRAM) ,for maximum frequency: fo = fsv /(v – vs) 1640 = (1600 × 330) / (330 – vs) C1   vs = 8(.0)m s–1 (8.049 ms–1) A1 [2],"(12, 'c.i')"
13,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s–1.  Describe and explain, qualitatively, the variation in the frequency of the sound heard by the observer. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2]",  loudspeaker moving towards observer causes rise in/higher frequency loudspeaker moving away from observer causes fall in/lower frequency or repeated rise and fall/higher and then lower frequency caused by loudspeaker moving towards and away from observer ,loudspeaker moving towards observer causes rise in/higher frequency B1   loudspeaker moving away from observer causes fall in/lower frequency B1 [2] or     repeated rise and fall/higher and then lower frequency (M1)   caused by loudspeaker moving towards and away from observer (A1)  ,"(12, 'c.ii')"
14,State one difference between a hadron and a lepton. ................................................................................................................................................... ...............................................................................................................................................[1],"hadron not a fundamental particle, lepton is fundamental particle, or hadron made of quarks but lepton not made of quarks, or strong force/interaction acts on hadrons/does not act on leptons B1",hadron not a fundamental particle/lepton is fundamental particle or hadron made of quarks/lepton not made of quarks or strong force/interaction acts on hadrons/does not act on leptons B1 [1],"(16, 'a')"
15,  State the quark composition of a proton and of a neutron. proton: ............................................................................................................................... neutron: ............................................................................................................................. [2],"  proton: up, up, down / uud  neutron: up, down, down / udd ","proton: up, up, down / uud B1   neutron: up, down, down / udd B1 [2]","(16, 'b.i')"
16,  Use your answer in (i) to determine the quark composition of an α-particle.      quark composition: ...................................................[1],"  composition: 2(uud) + 2(udd) = 6 up, 6 down / 6u, 6d ","composition: 2(uud) + 2(udd)                       = 6 up, 6 down / 6u, 6d B1 [1]","(16, 'b.ii')"
