,Question,Mark Scheme,Response
0,Describe the Doppler effect. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[1],observed frequency is different to source frequency when the source moves relative to the observer B1 1,"The Doppler effect is the phenomenon where the observed frequency of a wave (such as sound or light) differs from the frequency emitted by the source due to relative motion between the source and the observer. When the source moves toward the observer, the observed frequency increases (wavelength decreases), resulting in a blue shift for light or a higher pitch for sound. Conversely, when the source moves away, the observed frequency decreases (wavelength increases), causing a red shift for light or a lower pitch for sound. This occurs because the motion changes the effective distance between wavefronts reaching the observer."
1,"A car travels with a constant velocity along a straight road. The car horn with a frequency of 400Hz is sounded continuously. A stationary observer on the roadside hears the sound from the horn at a frequency of 360Hz. The speed of sound is 340ms-1. Determine the magnitude v, and the direction, of the velocity of the car relative to the observer.         v = .......................................................ms-1 direction ...............................................................  [3]",360 = (400 × 340)/(340 ± v) C1 3 v = 38 (37.8) m s-1 A1 away (from the observer) B1,"The observed frequency is lower than the source frequency, indicating that the car is moving away from the observer. This is due to the Doppler effect for sound waves. The formula for the observed frequency when the source is moving and the observer is stationary is:

\[ f_o = f_s \left( \frac{c}{c \pm v} \right) \]

where \( f_o \) is the observed frequency (360 Hz), \( f_s \) is the source frequency (400 Hz), \( c \) is the speed of sound (340 m/s), and \( v \) is the speed of the car. Since the frequency decreases, the source is receding, so the plus sign is used in the denominator:

\[ 360 = 400 \times \frac{340}{340 + v} \]

Rearranging the equation:

\[ \frac{360}{400} = \frac{340}{340 + v} \]

\[ 0.9 = \frac{340}{340 + v} \]

Taking the reciprocal:

\[ \frac{1}{0.9} = \frac{340 + v}{340} \]

\[ \frac{10}{9} = \frac{340 + v}{340} \]

Multiplying both sides by 340:

\[ 340 \times \frac{10}{9} = 340 + v \]

\[ \frac{3400}{9} \approx 377.777 = 340 + v \]

Solving for \( v \):

\[ v = 377.777 - 340 = 37.777  \text{m/s} \]

Rounding to three significant figures (consistent with the input data), \( v = 37.8  \text{m/s} \). The direction is away from the observer.

v = 37.8 m s^{-1} direction away from the observer"
2,State one difference between a hadron and a lepton. ................................................................................................................................................... ...............................................................................................................................................[1],hadron not a fundamental particle/lepton is fundamental particle or hadron made of quarks/lepton not made of quarks or strong force/interaction acts on hadrons/does not act on leptons B1 [1],"Hadrons are not fundamental particles, meaning they are composed of smaller constituents (quarks), whereas leptons are fundamental particles with no internal structure.  

*Alternatively, any one of these differences is acceptable:*  
- *Hadrons experience the strong nuclear force, but leptons do not.*  
- *Hadrons are made of quarks, while leptons are not.*"
3,  State the quark composition of a proton and of a neutron. proton: ............................................................................................................................... neutron: ............................................................................................................................. [2],"proton: up, up, down / uud B1   neutron: up, down, down / udd B1 [2]","A proton consists of two up quarks and one down quark, denoted as ""uud"".  
A neutron consists of one up quark and two down quarks, denoted as ""udd"".  

proton: **uud**  
neutron: **udd**"
4,  Use your answer in (i) to determine the quark composition of an α-particle.    quark composition: .........................................................................[1],"composition: 2(uud) + 2(udd)                       = 6 up, 6 down / 6u, 6d B1 [1]","The α-particle is a helium-4 nucleus, composed of 2 protons and 2 neutrons.  
- A proton has the quark composition **uud** (2 up quarks, 1 down quark).  
- A neutron has the quark composition **udd** (1 up quark, 2 down quarks).  

For 2 protons:  
2 × (uud) = **4 up quarks + 2 down quarks**.  

For 2 neutrons:  
2 × (udd) = **2 up quarks + 4 down quarks**.  

Total quark composition:  
(4u + 2d) + (2u + 4d) = **6 up quarks + 6 down quarks**.  

quark composition: **6u, 6d**"
5,"The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 1, ........................................................................................................................................... .......................................................................................................................................[1]",most of the atom is empty space or the nucleus (volume) is (very) small compared to the atom B1 [1],"The observation that the vast majority of α-particles pass straight through the metal foil or experience only minor deflections indicates that atoms are predominantly composed of empty space. This occurs because α-particles, which are positively charged helium nuclei, encounter minimal electrostatic repulsion as they traverse the foil. Since significant deflection requires close proximity to a concentrated positive charge (the nucleus), the lack of such interactions for most particles implies that the nucleus occupies an extremely small volume relative to the overall size of the atom, leaving most of the atomic region unoccupied."
6,The results of the α-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of α-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of α-particles are scattered through angles greater than 90°. State what may be inferred from  result 2. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2],nucleus is (positively) charged B1   the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core B1 [2],"From result 2 of the α-particle scattering experiment, where a very small minority of α-particles are scattered through angles greater than 90°, two key inferences can be drawn about atomic structure.  

First, the large-angle scattering indicates that the α-particles (which carry a positive charge) experience a strong repulsive force. This implies the presence of a concentrated region of positive charge within the atom, known as the nucleus. The deflection occurs because like charges repel, and the magnitude of the force follows Coulomb's law, which increases dramatically at close distances.  

Second, the rarity of such large deflections suggests that this positively charged nucleus occupies an extremely small volume relative to the entire atom. If the nucleus were larger or more diffuse, more α-particles would encounter sufficient repulsive force to scatter at large angles. Instead, only particles approaching the tiny central core experience the intense electrostatic repulsion needed for backward scattering. Thus, the mass of the atom must be concentrated in this minuscule nucleus, as the scattering behavior aligns with a point-like, massive center.  

[2]"
7,State what is meant by the diffraction of a wave. ................................................................................................................................................... ...............................................................................................................................................[2],wave incident on/passes by or through an aperture/edge B1   wave spreads (into geometrical shadow) B1 [2],"Diffraction refers to the phenomenon where a wavefront spreads out or bends when it encounters an obstacle or passes through an aperture. Specifically, when a wave is incident upon an edge, a narrow slit, or an obstruction, it deviates from straight-line propagation and extends into areas that would normally be in the geometric shadow. This occurs because different parts of the wavefront interfere constructively and destructively as they propagate beyond the obstruction, leading to a characteristic spreading pattern."
8,"Laser light of wavelength 500 nm is incident normally on a diffraction grating. The resulting diffraction pattern has diffraction maxima up to and including the fourth-order maximum. Calculate, for the diffraction grating, the minimum possible line spacing.          line spacing = ...................................................... m [3]",nλ = d sinθ C1   substitution of θ = 90° or sinθ = 1 C1   4 × 500 × 10–9 = d × sin90° line spacing = 2.0 × 10–6 m A1 [3],"To calculate the minimum line spacing for the diffraction grating, we use the diffraction grating formula:  
\[ n\lambda = d \sin\theta \]  
where:  
- \( n \) is the order of the maximum,  
- \( \lambda \) is the wavelength of light (500 nm),  
- \( d \) is the line spacing,  
- \( \theta \) is the diffraction angle.  

The highest-order maximum observed is the fourth order (\( n = 4 \)). For this maximum to be visible, \( \theta \) must be ≤ 90°. The **minimum** line spacing occurs when the fourth-order maximum is at the largest possible angle, \( \theta = 90^\circ \) (where \( \sin90^\circ = 1 \)). Substituting into the formula:  
\[ 4 \times (500 \times 10^{-9}) = d \times 1 \]  
\[ d = 4 \times 500 \times 10^{-9} = 2.00 \times 10^{-6} \, \text{m} \]  

Thus, the minimum line spacing is \( 2.00 \times 10^{-6} \, \text{m} \).  

**Final answer:**  
\[ \boxed{2.00 \times 10^{-6}} \]"
9,The light in (b) is now replaced with red light. State and explain whether this is likely to result in the formation of a fifth-order diffraction maximum. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2],wavelength of red light is longer (than 500 nm) M1   (each order/fourth order is now at a greater angle so) the fifth-order maximum cannot be formed/not formed A1 [2],"Red light has a longer wavelength than the original light (which was 500 nm). The diffraction grating equation is \( d \sin \theta = n \lambda \), where \( d \) is the grating spacing, \( \theta \) is the diffraction angle, \( n \) is the order, and \( \lambda \) is the wavelength. A longer wavelength means that for the same order \( n \), \( \sin \theta \) must increase, so the diffraction angle increases. Consequently, the fourth-order maximum would occur at a larger angle. More critically, the maximum possible order \( n_{\text{max}} \) is determined by \( n_{\text{max}} \leq \frac{d}{\lambda} \). Since \( \lambda \) increases for red light, \( n_{\text{max}} \) decreases. Therefore, if a fifth-order maximum was not observable with the original wavelength (due to \( \theta \) exceeding 90°), it will not be formed with red light.  

..............................................................................................................................................."
10,State what is meant by the frequency of a progressive wave. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2] ,the number of oscillations per unit time  M1   of the source/of a point on the wave/of a particle (in the medium) A1 [2] or     the number of wavelengths/wavefronts per unit time (M1)   passing a (fixed) point  (A1)  ,"The frequency of a progressive wave is defined as the number of complete oscillations made per unit time by any single point along the wave as the wave passes through it. This occurs because the particles in the medium through which the wave travels vibrate about their equilibrium positions at a consistent rate determined by the wave source. For example, if a point on a string wave oscillates 50 times in one second, the frequency is 50 Hz. This measurement remains constant for all points on the wave, reflecting the periodic nature of the disturbance propagating through the medium."
11,A cathode-ray oscilloscope (c.r.o.) is used to determine the frequency of the sound emitted by a loudspeaker. The trace produced on the screen of the c.r.o. is shown in Fig. 4.1.  (DIAGRAM)  The time-base setting of the c.r.o. is 250 μs cm–1. Show that the frequency of the sound wave is 1600 Hz. [2]       ,T or period = 2.5 × 250 (µs) (= 625 µs) M1   frequency = 1 /(6.25 × 10–4) or 1 /(2.5 × 250 × 10–6) = 1600Hz A1 [2],"The trace on the cathode-ray oscilloscope screen shows one complete cycle of the sound wave spanning 2.5 cm horizontally. Given the time-base setting of 250 μs cm⁻¹, this means each centimeter corresponds to a time interval of 250 microseconds. Therefore, the period \(T\) of the wave is calculated as:  
\( T = 2.5 \, \text{cm} \times 250 \, \mu\text{s/cm} = 625 \, \mu\text{s} \).  
Converting to seconds: \( T = 625 \times 10^{-6} \, \text{s} = 6.25 \times 10^{-4} \, \text{s} \).  
The frequency \(f\) is the reciprocal of the period:  
\( f = \frac{1}{T} = \frac{1}{6.25 \times 10^{-4}} = 1600 \, \text{Hz} \).  
Thus, the frequency of the sound wave is 1600 Hz."
