,Prompt
0,"A horizontal line showing alternating compressed and expanded sections, with arrows indicating particle motion parallel to the wave direction."
1,"A simple series circuit with a battery, fixed resistor, LDR between X and Y, and ammeter in series. Arrows indicate light shining on the LDR."
2,"A straight resistor with ends labeled R and S. A 12V battery is connected across R and S, with R at the positive terminal and S at the negative terminal. Sliding contact T can move along the resistor. A voltmeter is connected between T and S."
3,"Brass atoms arranged in a lattice, with ""free electrons"" shown as small dots moving freely between them. An arrow labeled ""electron flow"" indicates their movement when a battery is connected."
4,"A light ray entering glass from vacuum bends toward the normal, illustrating slower speed in glass."
5,"Two vertical tubes submerged in a mercury reservoir. Left tube: narrow diameter, mercury column height labeled. Right tube: wider diameter, mercury column at the same height as the left tube. Vacuum above mercury in both. Atmospheric pressure arrows pushing down on the reservoir surface."
6,"A stack of 10 identical coins. A ruler shows the total height as 2.0 cm, with 10 evenly spaced coins filling this length."
7,γ-rays passing straight through paper with minimal scattering.
8,"Detector registering β and γ signals, with α-particles stopped at the paper barrier."
9,Coil of wire with current → magnetic field lines around it
10,A battery connected to a lamp and a resistor in series. Adding a second resistor across the existing resistor creates two parallel branches.
11,Incident rays strike the mirror and reflect away; dashed lines extend behind the mirror to show the virtual image position
12,"Object inside focal point; refracted rays diverge, with dashed lines extending back to form a magnified virtual image"
13,"A hand touching metal and rubber bars at the same temperature. Arrows show large, rapid heat flow away from the skin into the metal, but small, slow heat flow into the rubber."
14,"Sketch two horizontal lines on a temperature-time graph: one at 0°C for melting ice, another at 100°C for boiling water. Label ""Phase Change"" where temperature is flat."
15,Circle with arrows showing tangential velocity vectors at different positions
16,Acceleration-time graph with time on the x-axis and acceleration on the y-axis. A horizontal line at a = g ≈ 9.8 m/s² from t=0 onwards.
17,diagonal line sloping upwards
18,flat line
19,diagonal line sloping upwards again
20,"Sketch a distance-time graph with labels: P-Q as ↗️ straight, Q-R as → flat, R-S as ↗️ straight."
21,"β-particles passing through paper, reaching the detector"
22,γ-rays penetrating paper unimpeded
23,α-particles colliding with paper atoms and stopping
24,Left side shows the circuit with an open switch: battery → resistor → lamp → open switch → back to battery. Right side shows the same circuit with the switch closed: battery → resistor → lamp → closed switch → back to battery. The closed switch creates a parallel path around the resistor. Arrows show increased current flow when the switch is closed.
25,"Magnet with north pole facing left toward end X of a horizontal iron bar; magnet is moved near X in one experiment and near Y in another, but always with its north pole oriented leftward"
26,"Four waves on identical displacement-time axes. Wave A has low frequency, long wavelength. Wave B has medium-low frequency. Wave C has medium-high frequency. Wave D has the highest frequency/shortest wavelength, with the most complete waves in the given time."
27,A temperature-time graph for melting ice would show a flat horizontal line at 0°C during the melting process.
28,A temperature-time graph for boiling water would show a flat horizontal line at 100°C during the boiling process.
29,"A simple table with two columns: ""Renewable"" and ""Non-renewable"". Renewable column lists: Geothermal, Solar, Waves, Hydroelectric, Wind. Non-renewable column lists: Natural gas, Oil, Coal."
30,"A rectangular box labeled ""empty: 60 g"" and the same box filled with liquid labeled ""total: 300 g"". The liquid is shaded uniformly with an arrow pointing to it labeled ""density = 1.2 g/cm³""."
31,Straight line rising diagonally from P to Q. Arrows show equal distance covered in equal time intervals.
32,A battery connected to a lamp and one resistor. Adding a second resistor in parallel creates a split path. Arrows show increased current flow from the battery.
33,"Left side shows an electromagnet with full current attracting 5 pins at varying distances. Right side shows the same electromagnet with halved current attracting only 2 pins, all very close to the magnet."
34,Rays from the object diverge after passing through the lens. Extending these rays backward shows the virtual image on the same side as the object.
35,"Eye at Y receives diverging rays from the lens, allowing it to ""see"" the virtual image."
36,"wave moving right, with electric field arrows up/down and magnetic field arrows in/out of the page"
37,"wave moving right, with compressed regions and stretched regions parallel to motion"
38,A simple series circuit with a fixed resistor and the LDR connected across a power supply
39,"A cup with ""liquid molecules"" inside. Arrows show some molecules turning into ""gas/vapor"" and escaping upwards. Label: ""Escaping vapor = loss of mass → loss of weight""."
40,"Simplified sketch of a metre rule’s end. Major marks labeled ""0 cm"", ""1 cm"", ""2 cm"". Between 0 cm and 1 cm, 10 smaller divisions are shown. The feather ends exactly at the 9th small mark after 0 cm."
41,"Tube inverted in mercury reservoir. Points: W = reservoir surface level, Y = top of mercury column. Distance WY = height of mercury column."
42,"A series circuit with a battery, LDR, and fixed resistor. Arrows show higher resistance in the LDR and higher voltage across it in darkness."
43,"A wave moving horizontally with vertical oscillations, labeled ""Light: oscillations perpendicular to direction"""
44,"A horizontal wave with regions squeezed together and spread apart, labeled ""Sound: oscillations parallel to direction"""
45,"A tube inverted in a mercury reservoir. Point V is the sealed top of the tube. Point W is the top of the mercury column inside the tube. Point Y is the mercury surface in the reservoir. Point X is a fixed reference point above the reservoir. Point Z is the bottom of the reservoir. Arrow labeled ""WY"" shows the vertical height between W and Y. When pressure increases, W rises and Y lowers slightly, increasing WY."
46,"**  
Sketch a diver at depth with a small bubble labeled ""20 cm³, P = 1.25 × 10⁵ Pa"". Show the bubble rising and expanding to a larger size at the surface, labeled ""25 cm³, P = 1.00 × 10⁵ Pa"". Use arrows to indicate decreasing pressure and increasing volume.  
**"
47,A car moving in a straight line at constant speed [velocity vector unchanged → no acceleration] vs. the same car turning a corner at constant speed [velocity vector changes direction → acceleration occurs]
48,"A stone falling vertically with downward arrows labeled ""gravity = 9.8 m/s²"" and a speedometer showing increasing values: 0 m/s at the top, 9.8 m/s after 1s, 19.6 m/s after 2s."
49,"A horizontal ruler with ""0"" at the left end. 19 small, evenly spaced ticks are shown after ""0"". The feather extends from ""0"" to the 19th tick."
50,"A transformer with an iron core. Primary coil: 400 turns, labeled ""240 V AC"". Secondary coil: 20 turns, labeled ""Output ?"". Arrows show magnetic field lines looping through the core."
51,"Simple series circuit with a battery, LDR, and fixed resistor. Arrows show voltage increasing across LDR when it darkens."
52,"A beaker with arrows showing warm liquid rising from the bottom and cool liquid sinking near the sides, forming a circular flow pattern."
53,A thermometer bulb immersed in beaker Q shows 0°C. The same thermometer in beaker S shows 100°C. Both beakers contain pure water.
54,"A beaker of liquid. Arrows show a few high-energy molecules escaping from the surface into the air above. The remaining liquid molecules are shown with slightly shorter motion arrows, indicating lower average kinetic energy."
55,A cup with liquid molecules inside. Some molecules are shown escaping as vapour arrows. The cup's mass/weight label shrinks after evaporation.
56,Simplified sketch showing a meter rule. The feather starts exactly at the 10.0 cm mark and ends precisely at the 11.9 cm mark. The distance between these points is highlighted.
57,"Imagine a line of air molecules. When a compression occurs, molecules bunch up; in a rarefaction, they spread out. Each molecule only moves short distances left and right, while the wave energy moves from X to Y."
58,"A pair of parallel plates with opposite charges. α-particles curve toward the negative plate, β-particles curve sharply toward the positive plate, and γ-rays pass straight through undeflected."
59,A radioactive source emits α-particles toward a detector. A paper sheet in between shows multiple α-particles colliding with paper atoms and stopping before reaching the detector.
60,"A step graph showing nuclei count vs. time. Starts at 8.0 × 10¹⁰. Drops to 4.0 × 10¹⁰ at 20 days, to 2.0 × 10¹⁰ at 40 days, and to 1.0 × 10¹⁰ at 60 days. ""Decayed"" shaded area totals 7.0 × 10¹⁰."
61,"Sketch of Graph 1 - A straight horizontal line above the time axis, indicating constant positive current."
62,"Sketch of Graph 2 - A symmetrical wave alternating between positive and negative peaks, crossing the time axis regularly, like a sine wave."
63,"Sketch of Graph 3 - A series of rectangular pulses. The current jumps from zero to a positive value, stays positive for a time, drops back to zero, stays at zero, and repeats. It *never* goes below zero."
64,"A simple flow: P → NOT gate → S. Then, S → NOT gate → T1. R → NOT gate → T2. S and R → OR gate → T3."
65,"Circuit A shows a battery connected to two parallel branches, each with one lamp. The ammeter is in series with the battery."
66,"A simple circuit with a battery, resistor labeled ""8.0 Ω"", and ammeter showing ""2.0 A"". Arrows indicate energy conversion to heat in the resistor."
67,"A simple series circuit containing a battery, an ammeter connected in series, two identical resistors labeled R1 and R2 connected in series, and a voltmeter connected in parallel across both resistors together. The ammeter reads 0.25 A, and the voltmeter reads 2.2 V."
68,"A positively charged metal sphere with a wire touching it, the other end connected to a ground symbol representing Earth."
69,"Solenoid with a.c. supply, potentiometer connected. Slide moved from S to R, reducing voltage across the solenoid."
70,"Nail C with magnetic domains aligned, holding 3 paper clips after the bar magnet is pulled away"
71,"Sketch showing a person emitting wavy lines labeled 'infrared' towards a sensor, with cooler surroundings emitting fewer/fainter waves. The electromagnetic spectrum is shown below, highlighting IR between visible light and microwaves."
72,"Object beyond focal point; rays converge and cross, forming an inverted real image on a screen"
73,Parallel rays enter lens; all refracted rays meet at focal point
74,"Vacuum flask cross-section showing liquid, silvered inner/outer walls, and vacuum gap. Arrows for conduction/convection blocked at vacuum, while radiation waves bounce off silvered surfaces."
