Prompt,Response
"A horizontal line showing alternating compressed and expanded sections, with arrows indicating particle motion parallel to the wave direction.","```latex
\begin{tikzpicture}
    % Horizontal line (wave direction)
    \draw (0,0) -- (10,0);
    
    % Compressed section 1 (closely spaced vertical ticks)
    \foreach \x in {1.0,1.5,2.0,2.5} {
        \draw (\x,-0.1) -- (\x,0.1);
        \draw[->, thick] (\x,0.2) -- + (0.3,0); % Right arrows
    }
    
    % Expanded section 1 (widely spaced vertical ticks)
    \foreach \x in {3.5,4.5,5.5} {
        \draw (\x,-0.1) -- (\x,0.1);
        \draw[->, thick] (\x,0.2) -- + (-0.3,0); % Left arrows
    }
    
    % Compressed section 2
    \foreach \x in {6.5,7.0,7.5,8.0} {
        \draw (\x,-0.1) -- (\x,0.1);
        \draw[->, thick] (\x,0.2) -- + (0.3,0);
    }
    
    % Expanded section 2
    \foreach \x in {9.0,10.0} {
        \draw (\x,-0.1) -- (\x,0.1);
        \draw[->, thick] (\x,0.2) -- + (-0.3,0);
    }
\end{tikzpicture}
```"
"A simple series circuit with a battery, fixed resistor, LDR between X and Y, and ammeter in series. Arrows indicate light shining on the LDR.","```latex
\begin{circuitikz}
    \draw (0,0) to [battery1, invert] (2,0) coordinate (battery_end);
    \draw (battery_end) to [R] (4,0) coordinate (resistor_end);
    \draw (resistor_end) to [pR, l_=LDR] (6,0) coordinate (ldr_end);
    \draw (ldr_end) to [ammeter] (8,0) coordinate (ammeter_end);
    
    \node [left] at (0,0) {X};
    \node [right] at (ammeter_end) {Y};
    
    \foreach \y in {1.5,1.0,0.5} 
        \draw [->, >=Stealth, gray, thin] (5,\y) -- (5,0.2);
\end{circuitikz}
```"
"A straight resistor with ends labeled R and S. A 12V battery is connected across R and S, with R at the positive terminal and S at the negative terminal. Sliding contact T can move along the resistor. A voltmeter is connected between T and S.","```latex
\begin{circuitikz}
  \draw (0,0) node[left] (R) {R} 
        to [pR, name=pot] (4,0) node[right] (S) {S};
  \node [above] at (pot.wiper) {T};
  
  \draw (R) -- (0,2) 
        to [battery1, l=12V] (4,2) 
        -- (S);
  
  \draw (pot.wiper) -- ++(0,-1.5) coordinate (Tbot);
  \draw (Tbot) to [voltmeter] (Tbot -| S);
  \draw (Tbot -| S) -- (S);
\end{circuitikz}
```"
"Brass atoms arranged in a lattice, with ""free electrons"" shown as small dots moving freely between them. An arrow labeled ""electron flow"" indicates their movement when a battery is connected.","```tikz
\begin{tikzpicture}
  % Brass atoms (lattice points)
  \foreach \x in {0,1,2,3} {
    \foreach \y in {0,1,2,3} {
      \filldraw [brown!60] (\x,\y) circle (0.15cm);
    }
  }

  % Free electrons with random displacement
  \foreach \i in {1,...,12} {
    \pgfmathsetmacro{\posX}{0.1+0.8*rand+int(3*rand)}
    \pgfmathsetmacro{\posY}{0.1+0.8*rand+int(3*rand)}
    \fill (\posX,\posY) circle (0.05cm);
  }

  % Electron flow arrow
  \draw[-{Stealth}, thick, red] (0.5,-0.7) -- (2.5,-0.7) 
    node[midway,below,black] {electron flow};
\end{tikzpicture}
```

This TikZ code:
1. Creates a 4x4 grid of brown circles representing brass atoms
2. Places 12 randomly positioned small black dots for free electrons
3. Adds a red arrow labeled ""electron flow"" below the lattice
4. Uses random displacement for electrons to show movement
5. Maintains proper scaling (1 unit = 1cm by default)
6. Preserves all labels verbatim as specified
7. Uses Stealth arrow tip from arrows.meta library
8. Keeps electrons within interstitial spaces between atoms
9. Requires arrows.meta library for compilation"
"A light ray entering glass from vacuum bends toward the normal, illustrating slower speed in glass.","```tikz
\documentclass[tikz,border=10pt]{standalone}
\usetikzlibrary{arrows.meta}
\begin{document}
\begin{tikzpicture}[>=Stealth]
  % Interface between vacuum and glass
  \draw[thick] (-3,0) -- (3,0);
  \node[above] at (-2,0.3) {Vacuum};
  \node[below] at (-2,-0.3) {Glass};
  
  % Normal line
  \draw[densely dashed] (0,1.5) -- (0,-1.5);
  
  % Incident ray
  \draw[red, thick, ->] (-2.309,1.333) -- (0,0); % 60° incidence
  \draw (0,0.5) arc (90:150:0.5);
  \node at (120:0.7) {\(i\)};
  
  % Refracted ray
  \draw[red, thick, ->] (0,0) -- (1.75,-1.22); % 35° refraction
  \draw (0,-0.5) arc (-90:-55:0.5);
  \node at (287.5:0.7) {\(r\)};
\end{tikzpicture}
\end{document}
```"
"Two vertical tubes submerged in a mercury reservoir. Left tube: narrow diameter, mercury column height labeled. Right tube: wider diameter, mercury column at the same height as the left tube. Vacuum above mercury in both. Atmospheric pressure arrows pushing down on the reservoir surface.","```latex
\documentclass{standalone}
\usepackage{tikz}
\usetikzlibrary{patterns, decorations.pathreplacing, arrows.meta}

\begin{document}
\begin{tikzpicture}[scale=1]
    % Mercury reservoir (surface at y=0)
    \fill[pattern=north east lines] (-5,-1) rectangle (5,0);
    \draw (-5,0) -- (5,0);
    \node at (0,-0.5) {Mercury};

    % Left tube (narrow)
    \draw (-2,0) -- (-2,5) -- (-1.5,5) -- (-1.5,0);
    \fill[pattern=north east lines] (-2,0) rectangle (-1.5,5);
    
    % Right tube (wider)
    \draw (0.5,0) -- (0.5,5) -- (2,5) -- (2,0);
    \fill[pattern=north east lines] (0.5,0) rectangle (2,5);
    
    % Height label (h)
    \draw[decorate, decoration={brace, amplitude=5pt, mirror}, xshift=-0.3cm] (-2,0) -- (-2,5) 
        node[midway, left=6pt] {$h$};
    
    % Vacuum labels
    \node at (-1.75,5.3) {Vacuum};
    \node at (1.25,5.3) {Vacuum};
    
    % Atmospheric pressure arrows
    \foreach \x in {-4,-3.5,-3} {
        \draw[-{Stealth[scale=1.2]}, thick] (\x,0.5) -- (\x,0);
    }
    \foreach \x in {3,3.5,4} {
        \draw[-{Stealth[scale=1.2]}, thick] (\x,0.5) -- (\x,0);
    }
    \node[above] at (-3.5,0.5) {$P_{\text{atm}}$};
\end{tikzpicture}
\end{document}
```"
"A stack of 10 identical coins. A ruler shows the total height as 2.0 cm, with 10 evenly spaced coins filling this length.","```latex
\begin{tikzpicture}[scale=1]
    % Draw the stack of 10 coins
    \foreach \i in {0,1,...,9} {
        \draw[rounded corners=1pt, fill=lightgray!30] (0,\i*0.2) rectangle (1,\i*0.2+0.2);
    }
    
    % Draw the ruler on the right
    \draw (1.5,0) -- (1.5,2); % Ruler body
    \draw[thick] (1.5,0) -- (1.8,0); % Bottom tick
    \draw[thick] (1.5,2) -- (1.8,2); % Top tick
    \node[anchor=west] at (1.8,0) {0};
    \node[anchor=west] at (1.8,2) {2.0 cm};
    
    % Dashed measurement lines
    \draw[dashed] (1,0) -- (1.5,0);
    \draw[dashed] (1,2) -- (1.5,2);
\end{tikzpicture}
```"
γ-rays passing straight through paper with minimal scattering.,"```latex
\begin{tikzpicture}
    % Draw paper sheet
    \draw[fill=gray!20] (0,-1) rectangle (3,1);
    \node at (1.5,-1.3) {Paper};

    % Draw gamma rays as straight arrows passing through
    \draw[->, >=stealth, ultra thick] (-2,0.5) -- (4,0.5);
    \draw[->, >=stealth, ultra thick] (-2,0) -- (4,0);
    \draw[->, >=stealth, ultra thick] (-2,-0.5) -- (4,-0.5);

    % Minimal scattering representation
    \draw[->, >=stealth, ultra thick, dashed] (1.5,0.3) -- (2.5,0.7);
    \draw[->, >=stealth, ultra thick, dashed] (1.5,-0.2) -- (2.5,-0.6);

    % Labels
    \node[align=center] at (-2.7,0) {$\gamma$-rays\\incident};
    \node[align=center] at (4.2,0) {$\gamma$-rays\\transmitted};
\end{tikzpicture}
```"
"Detector registering β and γ signals, with α-particles stopped at the paper barrier.","```latex
\documentclass{standalone}
\usepackage{tikz}
\usetikzlibrary{patterns}

\begin{document}
\begin{tikzpicture}[>=stealth]
    % Source
    \draw[fill=black] (0,0) circle (0.15) node[above=3pt] {Source};

    % Paper barrier
    \draw[pattern=north east lines, pattern color=black!50] (3,-1.5) rectangle (4,1.5)
        node[above, midway, yshift=12pt] {Paper barrier};

    % Detector
    \draw[fill=gray!20] (7,-1) rectangle (9,1) 
        node[midway, align=center] {Detector\\$\beta/\gamma$};

    % Alpha particle (stopped)
    \draw[->, thick] (0,0) -- (3,0.8) node[midway, above left] {$\alpha$};
    \draw[red, thick] (3,0.8) node {\Large $\times$};

    % Beta particle
    \draw[->, thick] (0,0) -- (7,0.3) node[midway, above] {$\beta$};

    % Gamma particle
    \draw[->, thick, dashed] (0,0) -- (7,-0.7) node[midway, below] {$\gamma$};
\end{tikzpicture}
\end{document}
```"
Coil of wire with current → magnetic field lines around it,"```latex
\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{decorations.pathmorphing, decorations.markings, arrows.meta}
\begin{document}
\begin{tikzpicture}[>=latex]
    % Magnetic field lines inside coil (dashed)
    \draw[->, dashed, thick] (0.5,0) -- (1.5,0);
    \draw[->, dashed, thick] (1.5,0) -- (2.5,0);

    % Magnetic field lines outside coil (top)
    \draw[thick, postaction={decorate, decoration={markings, mark=at position 0.5 with {\arrow{>}}}}] 
        (3,0) .. controls (3,1.5) and (0,1.5) .. (0,0);
    
    % Magnetic field lines outside coil (bottom)
    \draw[thick, postaction={decorate, decoration={markings, mark=at position 0.5 with {\arrow{>}}}}] 
        (3,0) .. controls (3,-1.5) and (0,-1.5) .. (0,0);
    
    % Coil of wire with current arrows
    \draw [
        decoration={coil, aspect=0.4, segment length=3mm, amplitude=3mm},
        decorate,
        thick,
        postaction={
            decorate,
            decoration={
                markings,
                mark=at position 0.25 with {\arrow{>}},
                mark=at position 0.75 with {\arrow{>}}
            }
        }
    ] (0,0) -- (3,0);
\end{tikzpicture}
\end{document}
```"
