,Prompt,Response
0,"A horizontal line showing alternating compressed and expanded sections, with arrows indicating particle motion parallel to the wave direction.","\begin{tikzpicture}
    % Horizontal line (wave direction)
    \draw (0,0) -- (10,0);
    
    % Compressed section 1 (closely spaced vertical ticks)
    \foreach \x in {1.0,1.5,2.0,2.5} {
        \draw (\x,-0.1) -- (\x,0.1);
        \draw[->, thick] (\x,0.2) -- + (0.3,0); % Right arrows
    }
    
    % Expanded section 1 (widely spaced vertical ticks)
    \foreach \x in {3.5,4.5,5.5} {
        \draw (\x,-0.1) -- (\x,0.1);
        \draw[->, thick] (\x,0.2) -- + (-0.3,0); % Left arrows
    }
    
    % Compressed section 2
    \foreach \x in {6.5,7.0,7.5,8.0} {
        \draw (\x,-0.1) -- (\x,0.1);
        \draw[->, thick] (\x,0.2) -- + (0.3,0);
    }
    
    % Expanded section 2
    \foreach \x in {9.0,10.0} {
        \draw (\x,-0.1) -- (\x,0.1);
        \draw[->, thick] (\x,0.2) -- + (-0.3,0);
    }
\end{tikzpicture}"
1,"A simple series circuit with a battery, fixed resistor, LDR between X and Y, and ammeter in series. Arrows indicate light shining on the LDR.","\begin{circuitikz}
    \draw (0,0) to [battery1, invert] (2,0) coordinate (battery_end);
    \draw (battery_end) to [R] (4,0) coordinate (resistor_end);
    \draw (resistor_end) to [pR, l_=LDR] (6,0) coordinate (ldr_end);
    \draw (ldr_end) to [ammeter] (8,0) coordinate (ammeter_end);
    
    \node [left] at (0,0) {X};
    \node [right] at (ammeter_end) {Y};
    
    \foreach \y in {1.5,1.0,0.5} 
        \draw [->, >=Stealth, gray, thin] (5,\y) -- (5,0.2);
\end{circuitikz}"
2,"A straight resistor with ends labeled R and S. A 12V battery is connected across R and S, with R at the positive terminal and S at the negative terminal. Sliding contact T can move along the resistor. A voltmeter is connected between T and S.","\begin{circuitikz}
  \draw (0,0) node[left] (R) {R} 
        to [pR, name=pot] (4,0) node[right] (S) {S};
  \node [above] at (pot.wiper) {T};
  
  \draw (R) -- (0,2) 
        to [battery1, l=12V] (4,2) 
        -- (S);
  
  \draw (pot.wiper) -- ++(0,-1.5) coordinate (Tbot);
  \draw (Tbot) to [voltmeter] (Tbot -| S);
  \draw (Tbot -| S) -- (S);
\end{circuitikz}"
5,"Two vertical tubes submerged in a mercury reservoir. Left tube: narrow diameter, mercury column height labeled. Right tube: wider diameter, mercury column at the same height as the left tube. Vacuum above mercury in both. Atmospheric pressure arrows pushing down on the reservoir surface.","\documentclass{standalone}
\usepackage{tikz}
\usetikzlibrary{patterns, decorations.pathreplacing, arrows.meta}

\begin{document}
\begin{tikzpicture}[scale=1]
    % Mercury reservoir (surface at y=0)
    \fill[pattern=north east lines] (-5,-1) rectangle (5,0);
    \draw (-5,0) -- (5,0);
    \node at (0,-0.5) {Mercury};

    % Left tube (narrow)
    \draw (-2,0) -- (-2,5) -- (-1.5,5) -- (-1.5,0);
    \fill[pattern=north east lines] (-2,0) rectangle (-1.5,5);
    
    % Right tube (wider)
    \draw (0.5,0) -- (0.5,5) -- (2,5) -- (2,0);
    \fill[pattern=north east lines] (0.5,0) rectangle (2,5);
    
    % Height label (h)
    \draw[decorate, decoration={brace, amplitude=5pt, mirror}, xshift=-0.3cm] (-2,0) -- (-2,5) 
        node[midway, left=6pt] {$h$};
    
    % Vacuum labels
    \node at (-1.75,5.3) {Vacuum};
    \node at (1.25,5.3) {Vacuum};
    
    % Atmospheric pressure arrows
    \foreach \x in {-4,-3.5,-3} {
        \draw[-{Stealth[scale=1.2]}, thick] (\x,0.5) -- (\x,0);
    }
    \foreach \x in {3,3.5,4} {
        \draw[-{Stealth[scale=1.2]}, thick] (\x,0.5) -- (\x,0);
    }
    \node[above] at (-3.5,0.5) {$P_{\text{atm}}$};
\end{tikzpicture}
\end{document}"
6,"A stack of 10 identical coins. A ruler shows the total height as 2.0 cm, with 10 evenly spaced coins filling this length.","\begin{tikzpicture}[scale=1]
    % Draw the stack of 10 coins
    \foreach \i in {0,1,...,9} {
        \draw[rounded corners=1pt, fill=lightgray!30] (0,\i*0.2) rectangle (1,\i*0.2+0.2);
    }
    
    % Draw the ruler on the right
    \draw (1.5,0) -- (1.5,2); % Ruler body
    \draw[thick] (1.5,0) -- (1.8,0); % Bottom tick
    \draw[thick] (1.5,2) -- (1.8,2); % Top tick
    \node[anchor=west] at (1.8,0) {0};
    \node[anchor=west] at (1.8,2) {2.0 cm};
    
    % Dashed measurement lines
    \draw[dashed] (1,0) -- (1.5,0);
    \draw[dashed] (1,2) -- (1.5,2);
\end{tikzpicture}"
7,γ-rays passing straight through paper with minimal scattering.,"\begin{tikzpicture}
    % Draw paper sheet
    \draw[fill=gray!20] (0,-1) rectangle (3,1);
    \node at (1.5,-1.3) {Paper};

    % Draw gamma rays as straight arrows passing through
    \draw[->, >=stealth, ultra thick] (-2,0.5) -- (4,0.5);
    \draw[->, >=stealth, ultra thick] (-2,0) -- (4,0);
    \draw[->, >=stealth, ultra thick] (-2,-0.5) -- (4,-0.5);

    % Minimal scattering representation
    \draw[->, >=stealth, ultra thick, dashed] (1.5,0.3) -- (2.5,0.7);
    \draw[->, >=stealth, ultra thick, dashed] (1.5,-0.2) -- (2.5,-0.6);

    % Labels
    \node[align=center] at (-2.7,0) {$\gamma$-rays\\incident};
    \node[align=center] at (4.2,0) {$\gamma$-rays\\transmitted};
\end{tikzpicture}"
8,"Detector registering β and γ signals, with α-particles stopped at the paper barrier.","\documentclass{standalone}
\usepackage{tikz}
\usetikzlibrary{patterns}

\begin{document}
\begin{tikzpicture}[>=stealth]
    % Source
    \draw[fill=black] (0,0) circle (0.15) node[above=3pt] {Source};

    % Paper barrier
    \draw[pattern=north east lines, pattern color=black!50] (3,-1.5) rectangle (4,1.5)
        node[above, midway, yshift=12pt] {Paper barrier};

    % Detector
    \draw[fill=gray!20] (7,-1) rectangle (9,1) 
        node[midway, align=center] {Detector\\$\beta/\gamma$};

    % Alpha particle (stopped)
    \draw[->, thick] (0,0) -- (3,0.8) node[midway, above left] {$\alpha$};
    \draw[red, thick] (3,0.8) node {\Large $\times$};

    % Beta particle
    \draw[->, thick] (0,0) -- (7,0.3) node[midway, above] {$\beta$};

    % Gamma particle
    \draw[->, thick, dashed] (0,0) -- (7,-0.7) node[midway, below] {$\gamma$};
\end{tikzpicture}
\end{document}"
9,Coil of wire with current → magnetic field lines around it,"\documentclass[tikz,border=3.14mm]{standalone}
\usetikzlibrary{decorations.pathmorphing, decorations.markings, arrows.meta}
\begin{document}
\begin{tikzpicture}[>=latex]
    % Magnetic field lines inside coil (dashed)
    \draw[->, dashed, thick] (0.5,0) -- (1.5,0);
    \draw[->, dashed, thick] (1.5,0) -- (2.5,0);

    % Magnetic field lines outside coil (top)
    \draw[thick, postaction={decorate, decoration={markings, mark=at position 0.5 with {\arrow{>}}}}] 
        (3,0) .. controls (3,1.5) and (0,1.5) .. (0,0);
    
    % Magnetic field lines outside coil (bottom)
    \draw[thick, postaction={decorate, decoration={markings, mark=at position 0.5 with {\arrow{>}}}}] 
        (3,0) .. controls (3,-1.5) and (0,-1.5) .. (0,0);
    
    % Coil of wire with current arrows
    \draw [
        decoration={coil, aspect=0.4, segment length=3mm, amplitude=3mm},
        decorate,
        thick,
        postaction={
            decorate,
            decoration={
                markings,
                mark=at position 0.25 with {\arrow{>}},
                mark=at position 0.75 with {\arrow{>}}
            }
        }
    ] (0,0) -- (3,0);
\end{tikzpicture}
\end{document}"
10,A battery connected to a lamp and a resistor in series. Adding a second resistor across the existing resistor creates two parallel branches.,"\begin{tikzpicture}[circuit ee IEC]
  \draw (0,0) 
    to [battery1] (0,2) 
    to [wire] (2,2)
    to [lamp] (4,2)
    to [wire] (6,2)
    to [resistor={info={$R_1$}}] (6,0)
    to [wire] (0,0);
  \draw (4,2) 
    to [resistor={info={$R_2$}}] (4,0)
    to [wire] (6,0);
\end{tikzpicture}"
11,Incident rays strike the mirror and reflect away; dashed lines extend behind the mirror to show the virtual image position,"\begin{tikzpicture}
  % Mirror
  \draw[thick] (0,0) -- (0,3);

  % Object
  \draw[->, thick] (-2,1) -- (-2,2) node[left] {object};

  % Virtual image (dashed arrow behind mirror)
  \draw[dashed, ->, thick] (2,1) -- (2,2) node[right] {virtual image};

  % Incident rays (solid to mirror)
  \draw[thick] (-2,2) -- (0,1.5);
  \draw[thick] (-2,2) -- (0,2.5);

  % Reflected rays (solid away from mirror)
  \draw[thick] (0,1.5) -- (3,2.25);
  \draw[thick] (0,2.5) -- (3,1.75);

  % Dashed extensions behind mirror (from virtual image to mirror)
  \draw[dashed] (2,2) -- (0,1.5);
  \draw[dashed] (2,2) -- (0,2.5);
\end{tikzpicture}"
