,Question,Answer
0,"Defining the problem (2 marks)  
P k is the independent variable and \( h \) is the dependent variable, or vary \( k \), measure \( h \). [1]  
P Keep mass of object constant. [1]  

Methods of data collection (4 marks)  
M Labelled diagram (minimum two labels) showing object (mass) attached to cord and other end of cord fixed (e.g. stand and clamp or hook) and ruler drawn vertically next to cord. [1]  
M Method of measuring mass e.g. balance/scales. [1]  
M \( k = \frac{\text{weight}}{\text{extension}} \) or \( k = \frac{mg}{\text{extension}} \); allow graphical methods. Allow any subject e.g. \( mg = k \times \text{extension} \). [1]  
M Use of rule to measure \( h \) or maximum distance fallen by the object. Allow clear indication on diagram (i.e. dotted lines) linking distance \( h \) to rule. [1]  

Method of analysis (3 marks)  
• Plot a graph of \( \frac{(h - L)^2}{h} \) against \( \frac{1}{k} \) [Allow \( \frac{2}{k} \) or \( \frac{2m}{k} \) or \( \frac{m}{k} \)] [1]  
• \( g = \frac{\text{gradient}}{2m} \) [gradient/\( m \) or gradient or gradient/2] [1]  
• Relationship is valid if the graph is a straight line passing through the origin. [1]  

Additional detail (6 marks)  
1 Keep starting point constant/drop object from same position/use of electromagnet to drop object/ensure mass is dropped from fixed point/check object falls vertically  
2 Ruler fixed e.g. retort stand  
3 Method to determine extension, e.g. measure length of stretched cord and subtract original length/50.0 cm  
4 Safety precaution linked to prevention of mass/cord hitting a person – use safety screen/goggles; sand tray to catch falling object if cord breaks  
5 Trial experiment to locate approximate point of \( h \)/to prevent object hitting surface  
6 Detailed use of video camera with slow motion or frame by frame playback/motion sensor clearly explained  
7 Cord obeys Hooke’s law or must not exceed elastic limit  
8 Use set square to ensure ruler is vertical  
9 For each cord, repeat experiment determine average \( h \)","A student is interested in ‘bungee jumping’, where a person attached to an elastic cord falls from a height and travels downwards through a distance before moving upwards. Different cords are used for different people. A schematic diagram is shown in Fig. 1.1.  

The student models ‘bungee jumping’ in the laboratory by using elastic cords of unstretched length 50.0 cm with different spring constants. An object is attached to each cord.  
The student investigates the relationship between the maximum distance \( h \) fallen by the object and the spring constant \( k \) of the elastic cord.  
It is suggested that the relationship between \( h \) and \( k \) is  
\[ k(h - L)^2 = mgh \]  
where \( L \) is the unstretched length of the cord, \( m \) is the mass of the object and \( g \) is the acceleration of free fall.  
Design a laboratory experiment to test the relationship between \( h \) and \( k \).  
Explain how your results could be used to plot a graph with \( \frac{(h - L)^2}{h} \) on the \( y \)-axis and to determine the value of \( g \). You should draw a diagram showing the arrangement of your equipment.  
In your account you should pay particular attention to  
• the procedure to be followed,  
• the measurements to be taken,  
• the control of variables,  
• the analysis of the data,  
• any safety precautions to be taken."
1,"1. Defining the problem  
- \(M\) is the independent variable and \(v\) is the dependent variable, or vary \(M\) and measure \(v\)  
- Keep \(x\)/compression of spring constant  

2. Methods of data collection  
- Labelled diagram including horizontal spring in line with vehicle attached to wall/retort stand  
- Use a ruler/calliper to determine compression of spring  
- Use of stopwatch/light gate connected to timer/motion sensor correctly positioned  
- Use of balance to measure mass of vehicle \(M\)  

3. Method of Analysis  
- Plot a graph of \(1/v^2\) against \(M\) (Do not allow log-log graphs)  
- Relationship valid if a straight line produced  
- \(k = \frac{1}{\text{gradient} \times x^2}\) or \(k = \frac{b}{\text{y-intercept} \times x^2}\)  

4. Additional detail including safety considerations  
- Use safety screen; goggles to avoid ball/spring hitting eye  
- Add masses to vehicle to change \(M\)  
- Repeat experiment for each \(M\) and average \(v\)  
- Use ruler to measure distance for stopwatch/light gate timing  
- Determine speed via \(v = \frac{\text{distance}}{\text{time}}\)  
- Guide/support for spring/ball release  
- Release ball close to vehicle  
- Determine \(x\) as difference between compressed and original spring length  
- Ensure constant speed via friction-compensated track/air track  
- Straight line implies intercept \(= \frac{b}{k x^2}\)","1 A student is investigating the speed of a vehicle on a track when a small ball is projected into the vehicle, as shown in Fig. 1.1.

vehicle  
ball  
track  

Fig. 1.1  

The ball is projected towards the vehicle by a compressed spring. It is suggested that the relationship between the speed \(v\) of the vehicle and its mass \(M\), after the ball embeds itself in the vehicle, is  

\[
k x^2 = (M + b) v^2
\]  

where \(b\) is the mass of the ball, \(k\) is the spring constant and \(x\) is the compression of the spring.  

Design a laboratory experiment to test the relationship between \(v\) and \(M\). Explain how your results could be used to plot a graph with \(1/v^2\) on the \(y\)-axis and to determine a value for \(k\). You should draw a diagram, on page 3, showing the arrangement of your equipment.  

In your account you should pay particular attention to  
- the procedure to be followed  
- the measurements to be taken  
- the control of variables  
- the analysis of the data  
- any safety precautions to be taken.  

[15]"
2,"Defining the problem  
d is the independent variable and e is the dependent variable, or vary d and measure e.  
Keep F constant.  

Methods of data collection  
Labelled workable diagram including elastic cord fixed at one end to a support and load attached to the other end.  
Cord and weight must be labelled.  
Use of ruler to measure unstretched length and stretched length.  
or labelled ruler drawn parallel to cord and original length L and either e or stretched length indicated.  
Use of a micrometer / (calipers) to determine d.  
Weigh load on a balance or use of balance to measure mass of load and multiply by \( g \).  

Method of Analysis  
Plots a graph of \( e \) against \( \frac{1}{d^2} \) or equivalent.  
Relationship valid if a straight line passing through the origin is produced.  
\( E = \frac{4FL}{\text{gradient} \times \pi} \).  

Additional detail including safety considerations  
Use safety goggles / safety screen to prevent injury to eyes from (moving) elastic cord / load or use cushion / sand box in case load falls.  
Keep \( L \) constant.  
Method to keep \( L \) constant, e.g. check length of each cord / adjust through cork.  
Additional detail on measuring \( e \), e.g. record initial position, record final position and subtract.  
Repeat measurement of \( d \) along cord / different diameters and average.  
Method to ensure Hooke’s law is obeyed, e.g. check that the length is constant after removing load or do not exceed elastic limit.  
Wait for cord to extend to its maximum value / stop oscillating.  
Use of \( A = \frac{\pi d^2}{4} \).  
Use of set square to check that ruler is vertical to bench, or use of set square as a fiducial mark to read measurements.","A student is investigating how the extension \( e \) of an elastic cord depends on the diameter \( d \) of the cord when a force is applied.  

The student has a number of elastic cords of the same material with different diameters. The elastic cords have circular cross-sections. Each cord has an unstretched length of approximately 50 cm.  

It is suggested that the extension \( e \) and the cross-sectional area \( A \) of the cord are related by the expression  

\[
\frac{FL}{Ae} = E
\]  

where \( E \) is the Young modulus of the material of the cord, \( F \) is the force applied and \( L \) is the unstretched length of the cord.  

Design a laboratory experiment to test the relationship between \( e \) and \( d \). Explain how your results could be used to determine a value for \( E \).  

You should draw a diagram showing the arrangement of your equipment. In your account you should pay particular attention to  
- the procedure to be followed,  
- the measurements to be taken,  
- the control of variables,  
- the analysis of the data,  
- any safety precautions to be taken."
3,"1. **Defining the problem**  
   - \( R \) is the independent variable and \( T \) is the dependent variable, or vary \( R \) and measure \( T \).  
   - Keep \( C \) constant.  

2. **Methods of data collection**  
   - Labelled diagram or correct symbols of workable circuit including:  
     - (d.c.) power supply correctly positioned.  
     - (neon) lamp correctly positioned.  
   - Circuit diagram to determine resistance of resistors e.g. using ammeter and voltmeter OR ohmmeter.  
   - Method to determine period or \( T \), e.g. use a stopwatch / timer / oscilloscope.  
   - Circuit diagram showing voltmeter(s) or oscilloscope(s) to determine \( V_i \) and \( V_F \).  

3. **Method of Analysis**  
   - Plot a graph of \( T \) against \( R \).  
   - Gradient \( = RCK \).  
   - \( K = \frac{\text{gradient}}{C} \).  
   - \( V_L = V_i - (V_i - V_F)e^{K} = V_i - (V_i - V_F)e^{C} \).  

4. **Additional detail including safety considerations**  
   - Switch off (high voltage) circuit / wear insulating gloves.  
   - Resistance of resistors linked to diagram is \( \frac{V}{I} \) or from ohmmeter.  
   - Input voltage \( V_i \) is constant.  
   - Repeat experiment for each \( R \) and average \( T \).  
   - Use \( 90\,\text{V} \) (or larger) power supply.  
   - For stopwatch: time 10+ flashes and divide by number.  
   - Record capacitance from capacitor or determine \( C \).  
   - Valid if straight line through origin.  
   - Use large \( R \) or \( C \) for measurable \( T \).","1 A student is investigating the behaviour of a capacitor-resistor circuit as shown in Fig. 1.1.

\begin{figure}[h]
\centering
\caption{Fig. 1.1}
\end{figure}

A neon lamp flashes on and off when it is connected across the capacitor with a potential difference \( V \) across the lamp of approximately 90 V.  

The student has a number of unmarked resistors.  
It is suggested that the period \( T \) of the flashes of the lamp is related to the resistance \( R \) of the resistor by the expression  
\[
T = RCK
\]  
where \( C \) is the capacitance of the capacitor and \( K \) is a constant.  

The constant \( K \) is given by  
\[
K = \ln\left(\frac{V_i - V_L}{V_i - V_F}\right)
\]  
where \( V_i \) is the potential difference across the input, \( V_F \) is the potential difference required to make the lamp flash and \( V_L \) is a constant.  

Design a laboratory experiment to test the relationship between \( T \) and \( R \).  
Explain how your results could be used to determine a value for \( K \) and \( V_L \).  

You should draw a diagram showing the arrangement of your equipment. In your account you should pay particular attention to:  
• the procedure to be followed  
• the measurements to be taken  
• the control of variables  
• the analysis of the data  
• any safety precautions to be taken."
4,"1. Defining the problem  
- \( x \) is the independent variable and \( E \) is the dependent variable, or vary \( x \) and measure \( E \).  
- Keep \( B \) or \( m \) constant and keep \( k \) or \( N \) constant.  

2. Methods of data collection  
- Labelled diagram of workable experiment including:  
  - labelled spring supported by stand and clamp  
  - labelled magnet  
  - labelled coil positioned so that magnet is vertically above the coil by eye in the correct orientation.  
- Circuit diagram showing voltmeter / multimeter set to p.d. range / oscilloscope connected to the ends of the coil.  
- Method to measure \( x \), e.g. labelled ruler drawn parallel to spring/magnet and equilibrium position and displaced position indicated.  
- Method to measure mass of magnet e.g. use balance or use newton-meter to measure weight and divide by \( g \).  

3. Method of Analysis  
- Plot a graph of \( E \) against \( x \).  
- Relationship valid if a straight line passing through the origin is produced.  
- \( \alpha = \frac{\text{gradient}}{BN} \sqrt{\frac{m}{k}} \).  

4. Additional detail including safety considerations  
- Use safety goggles / safety screen to prevent injury from spring/magnet.  
- Keep distance between equilibrium position and coil constant.  
- Check that the unstretched length of the spring has not changed.  
- Determine \( k \) from \( k = \frac{mg}{\text{extension}} \) or gradient of \( F \)-extension graph.  
- Measure \( B \) using a calibrated Hall probe.  
- Adjust Hall probe until maximum value or measure \( B \) in both directions and average.  
- Position magnet to maximise \( E \) (e.g. equilibrium at coil centre).  
- Use video with slow-motion playback to determine max \( E \).  
- Repeat experiment for each \( x \) and average \( E \).  
- Ensure clamped rule is vertical using set square or plumb line.","1 Fig. 1.1 shows a bar magnet attached to a spring.  

spring  
N  
bar magnet  
S  

Fig. 1.1  

The bar magnet is displaced a distance \( x \) from its equilibrium position and released. It then oscillates vertically.  

A student investigates how the maximum induced electromotive force (e.m.f.) \( E \) in a coil placed below the magnet depends on \( x \).  

It is suggested that the relationship between \( E \) and \( x \) is  

\[
E = \alpha B N x \sqrt{\frac{k}{m}}
\]  

where \( B \) is the magnetic flux density at one of the poles of the bar magnet, \( N \) is the number of turns on the coil, \( k \) is the spring constant, \( m \) is the mass of the magnet and \( \alpha \) is a constant.  

Design a laboratory experiment to test the relationship between \( E \) and \( x \).  

Explain how your results could be used to determine a value for \( \alpha \).  

You should draw a diagram showing the arrangement of your equipment. In your account you should pay particular attention to:  
- the procedure to be followed  
- the measurements to be taken  
- the control of variables  
- the analysis of the data  
- any safety precautions to be taken."
5,"1. Defining the problem  
Mass of cylinder \( m \) is the independent variable and period \( T \) is the dependent variable, or vary mass of cylinder \( m \) and measure period \( T \).  
Keep radius of cylinder constant.  

2. Methods of data collection  
Labelled diagram of workable experiment including:  
- beaker with (cooking) oil on a bench or container supported by stand where stand is on a bench  
- cylinder partially submerged in (cooking) oil  
- cylinder and (cooking) oil labelled.  
Method to determine mass \( m \) of cylinder, e.g. use a (top pan) balance.  
Method to determine period or \( T \), e.g. use a stopwatch / timer to time oscillations.  
Method to determine diameter of cylinder, e.g. micrometer or calliper  

3. Method of Analysis  
Plots a graph of \( T^2 \) against \( m \).  
(Allow other valid graphs, e.g. \( \lg T \) against \( \lg m \))  
Relationship valid if a straight line passing through the origin is produced.  
(Allow gradient = 0.5 for \( \log T \) against \( \log m \)).  
\[  
K = \frac{4\pi}{\text{gradient} \times \sigma r^2}  
\]  
\[  
(K = \frac{4\pi}{10^{2 \times \text{y-intercept}} \times \sigma r^2 \text{ for } \lg T \text{ against } \lg m).  
\]  

4. Additional detail including safety considerations  
- Use gloves to prevent oil contacting skin / slippery hands OR perform experiment in a tray to prevent oil spillages.  
- Keep density / temperature of the (cooking) oil constant or keep \( \sigma \) constant.  
- Time \( n \) oscillations and divide total time by \( n \) where \( n \geq 5 \).  
- Description of method of counting oscillations with position of fiducial mark / mark on cylinder / beaker / fixed point shown in diagram.  
- Repeat experiment for each value of \( m \) and average \( T \).  
- \( r = \text{diameter} / 2 \) provided diameter measured.  
- Repeat measurements of diameter in different directions and average.  
- Wait for oscillations to become even / steady.","1 A student investigates the vertical oscillations of a solid cylinder which floats in cooking oil. Fig. 1.1 shows a cylinder of radius \( r \).  
\[  
\begin{array}{c}  
\text{cylinder}  
\end{array}  
\]  
Fig. 1.1  
The student places the cylinder of mass \( m \) in the oil. The cylinder is displaced vertically from its equilibrium position and released so that it oscillates. The period \( T \) of the oscillations is determined.  
A number of cylinders of different mass are available.  
It is suggested that the relationship between \( T \) and \( m \) is  
\[  
T = 2\pi \sqrt{\frac{m}{\sigma K r^2}}  
\]  
where \( \sigma \) is the density of the oil and \( K \) is a constant.  
Design a laboratory experiment to test the relationship between \( T \) and \( m \).  
Explain how your results could be used to determine a value for \( K \).  
You should draw a diagram showing the arrangement of your equipment. In your account you should pay particular attention to:  
- the procedure to be followed  
- the measurements to be taken  
- the control of variables  
- the analysis of the data  
- any safety precautions to be taken."
6,"1. Defining the problem  
- \(\theta\) is the independent variable and \(v\) is the dependent variable, or vary \(\theta\) and measure \(v\).  
- Keep \(d\) constant.  

2. Methods of data collection  
- Labelled diagram of workable experiment including:  
  - sheet supported by stand / jack  
  - light gate positioned at \(X\)  
  - support, light gate and \(X\) labelled.  
- Light gate connected to timer / datalogger.  
- Measure length \(L\) (of card) interrupted by beam for single light gate.  
- Method to measure \(\theta\), e.g. use protractor  
  or  
  Method to determine \(\theta\), e.g. use a rule(r) to measure two appropriate distances to use in a trigonometrical ratio.  

3. Method of Analysis  
- Plot a graph of \(v^2\) on \(y\)-axis and \(\sin \theta\) on \(x\)-axis.  
  (Allow other valid graphs, e.g. \(\sin \theta\) against \(v^2\). Do not accept log graphs.)  
- Gradient:  
  \(p = \frac{\text{gradient}}{2d}\) for \(v^2\) against \(\sin \theta\)  
  or  
  \(p = \frac{1}{2d \times \text{gradient}}\) for \(\sin \theta\) against \(v^2\).  
- \(q = -\frac{m \times \text{y-intercept}}{2Bd}\) for \(v^2\) against \(\sin \theta\)  
  or  
  \(q = \frac{m \times \text{y-intercept}}{2dB \times \text{gradient}}\) for \(\sin \theta\) against \(v^2\).  

4. Additional detail including safety considerations  
- Method to stop the trolley once it passes \(X\), e.g. place a block / stop on the bench.  
- Keep \(B\) and \(m\) constant.  
- Use a rule(r) to measure \(d\).  
- Method to keep \(d\) constant, e.g. mark distance \(d\) on the sheet.  
- Measure mass of trolley (and magnet) using a balance or newton meter.  
- Measure \(B\) using a calibrated Hall probe.  
- Adjust Hall probe for maximum value or average measurements in opposite directions.  
- Determine \(v\) from \(L / t\) (for a single light gate).  
- Additional detail on measuring \(\theta\), e.g. protractor position or trigonometric lengths.  
- Relationship valid if a straight line is produced (not passing through the origin).  
- Repeat experiment for each \(\theta\) and average \(v\).","1 A trolley with a magnet attached is placed on a thin steel sheet as shown in Fig. 1.1.

\begin{figure}[h]
\centering
\caption{Fig. 1.1}
\end{figure}

trolley \\
magnet \\
S \\
N \\
\(d\) \\
steel sheet \\
X bench \\
\(\theta\)

The angle between the sheet and the bench is \(\theta\). The distance from point X to the trolley is \(d\).  
The trolley is released from rest and travels down the slope. The velocity \(v\) of the trolley at X is determined using a light gate.  

It is suggested that \(v\) is related to \(\theta\) by the relationship  
\[
mp \sin \theta - qB = \frac{mv^2}{2d}
\]  
where \(m\) is the mass of the trolley and magnet, \(B\) is the magnetic flux density between the magnet and the steel sheet, and \(p\) and \(q\) are constants.  

Plan a laboratory experiment to test the relationship between \(v\) and \(\theta\).  
Draw a diagram showing the arrangement of your equipment.  
Explain how the results could be used to determine values for \(p\) and \(q\).  

In your plan you should include:  
- the procedure to be followed  
- the measurements to be taken  
- the control of variables  
- the analysis of the data  
- any safety precautions to be taken."
7,"1. Defining the problem:  
   - \(f\) is the independent variable and \(Q\) is the dependent variable, or vary \(f\) and measure \(Q\). (1 mark)  
   - Keep \(h\) constant. (1 mark)  

2. Methods of data collection:  
   - Labelled diagram including fan, turbine, pump, pipe, liquid collection method. (1 mark)  
   - Apparatus to collect liquid (e.g., beaker/measuring cylinder) with labels. (1 mark)  
   - Use stopwatch/timer to measure time for liquid collection or blade rotation. (1 mark)  
   - Use balance to measure mass of liquid. (1 mark)  

3. Method of Analysis:  
   - Plot graph of \(Q\) against \(f^3\) (or \(f^3\) against \(Q\)). (1 mark)  
   - \(C = gh \times \text{y-intercept}\) (for \(f^3\) against \(Q\): \(C = -D \times \text{y-intercept}\)). (1 mark)  
   - \(D = gh \times \text{gradient}\) (for \(f^3\) against \(Q\): \(D = \frac{gh}{\text{gradient}}\)). (1 mark)  

4. Additional detail (6 marks, any six):  
   - Safety: Contain spills / use goggles / clamp turbine.  
   - Measure \(h\) with ruler.  
   - Determine mass via mass difference (beaker + liquid − empty beaker).  
   - Determine \(f\) via \(f = N/t\) or video analysis.  
   - Mark blade for rotation counting.  
   - Vary \(f\) via fan speed/distance.  
   - Wait for steady airflow before measurements.  
   - \(Q = \frac{\text{mass}}{\text{time}}\); reduce uncertainty with large time/mass.  
   - Repeat \(Q\) measurements for same \(f\); average.  
   - Validate relationship via straight-line graph (non-zero intercept).","1 An electric pump is placed in a container of liquid. A model wind turbine is connected to the pump by a cable, as shown in Fig. 1.1.

\begin{figure}[h]
\centering
\caption{Fig. 1.1 (not to scale)}
\end{figure}

The turbine is placed in moving air. As the turbine blades turn, electricity is generated and the pump pushes liquid through a vertical pipe.

The frequency of rotation of the turbine blades is \(f\). The height the liquid moves is \(h\). The mass per unit time of the liquid leaving the top of the pipe is \(Q\).

It is suggested that \(Q\) is related to \(f\) by the relationship  
\[Qgh = C + Df^3\]  
where \(g\) is the acceleration of free fall, and \(C\) and \(D\) are constants.

Plan a laboratory experiment to test the relationship between \(Q\) and \(f\).  
Draw a diagram showing the arrangement of your equipment.  
Explain how the results could be used to determine values for \(C\) and \(D\).  

In your plan you should include:  
- the procedure to be followed  
- the measurements to be taken  
- the control of variables  
- the analysis of the data  
- any safety precautions to be taken.  

Diagram"
8,"1. Defining the problem  
- \( L \) is the independent variable and \( f \) is the dependent variable, or vary \( L \) and measure \( f \).  
- Keep \( \rho \) constant.  

2. Methods of data collection  
- Labelled diagram including:  
  - Rod supported by string/elastic bands from a clamp.  
  - Clamp attached to stand, with stand on bench.  
  - Microphone connected to oscilloscope.  
- Measure \( L \) using a metre rule.  
- Measure mass \( m \) of rod using a balance.  

3. Method of Analysis  
- Plot graph of \( \log f \) against \( \log L \) (or \( \log f \) against \( \log \frac{1}{L} \)).  
- \( n = -\text{gradient} \) (or \( n = \text{gradient} \) for \( \log f \) vs \( \log \frac{1}{L} \)).  
- \( E = 4\rho \times 10^{2} \times \text{y-intercept} \) (or \( E = 4\rho \times e^{2 \times \text{y-intercept}} \) for \( \ln f \) vs \( \ln L \)).  

4. Additional detail including safety considerations  
- Precaution against falling rod (e.g. sand tray).  
- Measure diameter \( d \) of rod using micrometer/calipers.  
- Repeat diameter measurements and average.  
- Calculate \( \rho = \frac{4m}{\pi d^{2}L} \).  
- Perform experiment in quiet room.  
- Prevent rod hitting microphone (e.g. gap between rod and microphone).  
- Determine \( f \) from oscilloscope using \( f = \frac{1}{T} \).  
- Reduce uncertainties (e.g. large \( L \), adjust time-base).  
- Repeat measurements of \( f \) for each \( L \).  
- Validate relationship via linear graph.  

Safety: Ensure secure setup to avoid injury from falling rod.","1 Fig. 1.1 shows a thin cylindrical metal rod of length \( L \).

\( L \)

Fig. 1.1

One end of the rod is hit with a hammer. A stationary sound wave is set up within the rod. The rod vibrates at its resonant frequency \( f \).

A microphone placed at the other end of the rod detects the sound wave emitted from the rod. The frequency of the detected sound is also \( f \).

A number of rods of different length are available.

It is suggested that \( f \) is related to \( L \) by the relationship  

\[
\frac{E}{2f L^{n}} = \sqrt{\rho}
\]

where \( \rho \) is the density of the metal, and \( E \) and \( n \) are constants.  

Plan a laboratory experiment to test the relationship between \( f \) and \( L \).  

Draw a diagram showing the arrangement of your equipment.  

Explain how the results could be used to determine values for \( E \) and \( n \).  

In your plan you should include:  
• the procedure to be followed  
• the measurements to be taken  
• the control of variables  
• the analysis of the data  
• any safety precautions to be taken."
9,"1 Planning (15 marks)  
**Defining the problem (3 marks)**  
P1 \(r\) is the independent variable or vary \(r\) (accept diameter but not mass or size). [1]  
P2 \(v\) is the dependent variable or determine \(v\) (accept speed). [1]  
P3 A controlled variable – accept temperature, distance when time is measured, or time when distance measured. Do not accept volume/height of oil. [1]  

**Methods of data collection (5 marks)**  
M1 Diagram of a workable arrangement including a deep container of oil, ball and some measurement indicated for either time or distance. [1]  
M2 Measure diameter by using a micrometer (screw gauge)/vernier callipers (and halving to obtain radius). Accept from diagram. Accept travelling microscope. [1]  
M3 Measure the time for the ball to fall a set distance in oil (or distance for a set time). [1]  
M4 Measure the (constant) distance fallen (constant time) and show how \(v\) is calculated. [1]  
M5 Evidence that ball has reached terminal velocity (e.g. starting mark well below surface of oil). Reject equations of uniform acceleration ideas. [1]  

**Method of analysis (2 marks)**  
A1 Plot a graph of \(v\) against \(r^2\) or logarithmic equivalent. [1]  
A2 Relationship is correct if graph is a straight line through the origin. If \(\lg v\) against \(\lg r\) is plotted, gradient should equal 2. [1]  

**Safety considerations (1 mark)**  
S1 Relevant safety precaution related to the oil, e.g. mop up spillages of oil/wear gloves with reason/keep away from flames. Do not accept vague answers. [1]  

**Additional detail (4 marks)**  
D1/2/3/4 Relevant points might include: [4]  
- Allow oil to stand so that air bubbles escape/ball may trap air bubbles.  
- Wash and dry steel balls/handle steel balls with tweezers/gloves.  
- Distance marks should be as far apart as possible or use long tube.  
- Large distance to reduce percentage uncertainty.  
- Wide tube to reduce edge effects/method to keep long tube vertical.  
- Discussion of parallax for stopwatch methods.  
- Method of ensuring terminal velocity has been reached.  
- Retrieve steel balls using a magnet.  
- Use clear oil.  
- Repeat diameter measurements and average.  
- An additional variable kept constant.  

[Total: 15]  
© UCLES 2007","1 It is useful to know how the speed of an object is affected by its size when it moves through liquid in a confined space. In a laboratory this can be modelled by dropping small steel balls through oil.  

It is suggested that the terminal velocity \(v\) is related to the radius \(r\) of a steel ball by the equation  
\[v = kr^2\]  
where \(k\) is a constant.  

Design a laboratory experiment to investigate whether \(v\) is related to \(r\) as indicated in the above equation. You should draw a diagram showing the arrangement of your equipment. In your account you should pay particular attention to  
(a) the procedure to be followed,  
(b) how the radius of the steel ball would be measured,  
(c) how the terminal velocity of the steel ball in oil would be measured,  
(d) the control of variables,  
(e) how the data would be analysed,  
(f) any safety precautions that you would take.  
[15]  

Diagram"
