,Question,Mark Scheme
0,"A rubber ball is dropped onto a table and bounces back up. The table exerts a force F on the ball. 
Which graph best shows the variation with time t of the force F for the short time that the ball is in contact with the table?",C
1,"A hadron is composed of three quarks. The hadron has a charge.
What is a possible quark composition of the hadron?

down, down, up
down, up, strange
up, strange, strange
up, up, strange",D
2,"A beam of α-particles is incident on a thin gold foil. One α-particle collides head-on with a gold nucleus and is deflected back along its original path.
Which statement could explain why the recoil speed of the gold nucleus is small compared with the recoil speed of the α-particle?

Most α-particles are only slightly deflected as they pass through the gold foil.
The α-particle and the gold nucleus repel each other.
The mass of the gold nucleus is much greater than the mass of the α-particle.
The momentum of the α-particle decreases as it approaches the gold nucleus.",C
3,"In the circuit shown, a potentiometer of total resistance 120 Ω is connected in parallel with a resistor of resistance 150 Ω and a resistor of resistance R.
The battery has electromotive force (e.m.f.) 12 V and negligible internal resistance.

The voltmeter reads 0 V when the slider of the potentiometer is  of the way from its lower end, as shown.
What is resistance R?

30 Ω
38 Ω
50 Ω
450 Ω",C
4,"A battery of electromotive force (e.m.f.) E and negligible internal resistance is connected to four resistors of resistances R1, R2, R3 and R4.

The currents I1 and I2 in the resistors are as shown.
Which equation is correct?

0 = I1(R1 + R2) + I2(R3 + R4)
0 = I1(R1 + R2) – I2(R3 + R4)
E = I1(R1 + R2) + I2(R3 + R4)
E = I1(R1 + R2) – I2(R3 + R4)",B
5,"The circuit shown includes a cell of constant internal resistance and an external resistor R.

A student records the ammeter and voltmeter readings. She then connects a second identical external resistor in parallel with the first external resistor.
What happens to the ammeter reading and to the voltmeter reading?



 
ammeter reading
voltmeter reading


A
decreases
decreases


B
decreases
stays the same


C
increases
decreases


D
increases
stays the same",C
6,"The diagram shows a circuit containing two batteries connected together.

What is the current I ?

2.7 A
4.0 A
8.0 A
13 A",A
7,"A battery is marked 9.0 V.
What does this mean?

Each coulomb of charge from the battery supplies 9.0 J of electrical energy to the whole circuit.
The battery supplies 9.0 J of electrical energy to an external circuit for each coulomb of charge.
The potential difference across any component connected to the battery will be 9.0 V.
There will always be a potential difference of 9.0 V across the battery terminals.",A
8,"A wire has a length of 12 cm and contains a total of 5.1 × 1022 free electrons.
When a potential difference is applied across the ends of the wire, the free electrons move with an average drift speed of 4.0 × 10–6 m s–1.
What is the current in the wire?

0.0027 A
0.0039 A
0.27 A
0.39 A",C
9,"The diagram shows two parallel metal plates connected to a d.c. power supply through a resistor.

There is a uniform electric field in the region between the plates.
Which change would cause a decrease in the strength of the electric field?

a small increase in the distance between the plates
a small increase in the potential difference between the plates
a small increase in the resistance of the resistor
a small increase to the area of both plates",A
10,"The diagram shows two parallel metal plates P and Q, separated by a distance of 5.0 mm. There is a potential difference of 700 V between the plates. Plate Q is earthed.

What is the magnitude and direction of the electric field at point R?

1.4 × 102 NC–1 from P towards Q
1.4 × 102 NC–1 from Q towards P
1.4 × 105 NC–1 from P towards Q
1.4 × 105 NC–1 from Q towards P",D
11,"A positively charged particle P is in an electric field, as shown.

The field lines (lines of force) are evenly spaced and parallel.
Which statement is correct?

Moving P a small distance in any direction will not change the electric force on P.
Moving P a small distance in direction Y will increase the electric force on P.
Moving P a small distance in direction Z will increase the electric force on P.
Moving P a small distance in direction X will increase the electric force on P.",A
12,"A parallel beam of light consists of light of wavelength 420 nm and light of wavelength 630 nm.
The light is incident normally on a diffraction grating.
The diffraction maxima for the two wavelengths overlap only at an angle of 31° from the direction of the incident light beam.
What could be the line spacing of the diffraction grating?

1.2 μm
1.6 μm
2.4 μm
3.7 μm",C
13,"In a two-source interference experiment, light of a single frequency is incident on a double slit.
The light waves emerging from the slits are coherent.
What is meant by coherent ?

The waves are in phase.
The waves have a constant phase difference.
The waves have the same amplitude.
The waves interfere constructively wherever they overlap.",B
14,Which diagram best shows how water waves diffract when they pass through a gap in a barrier?,B
15,"A pipe of length L is open at one end and closed at the other end. A loudspeaker is at the open end and emits a sound wave into the pipe.

When a stationary wave is formed, there is an antinode at the open end of the pipe.
Which wavelength of sound could be used to produce a stationary wave?


L

2L",C
16,"Which list shows electromagnetic waves in order of decreasing frequency?

gamma-rays → infrared → ultraviolet → radio waves
gamma-rays → ultraviolet → infrared → radio waves
radio waves → infrared → ultraviolet → gamma-rays
radio waves → ultraviolet → infrared → gamma-rays",B
17,"A person stands at the side of a straight railway track. A train moves towards the person and emits sound from its whistle. The person hears a sound of frequency 1690 Hz as the train approaches him.
The person then hears sound of frequency 1500 Hz as the train moves away from him. The speed of sound in air is 340 m s–1.
What is the speed of the train?

20 m s–1
38 m s–1
41 m s–1
43 m s–1",A
18,"A sound wave is detected by a microphone that is connected to a cathode-ray oscilloscope (CRO).
The screen of the CRO displays a waveform, as shown.

The time-base is set to 20 μs div–1.
What is the frequency of the sound wave?

15 Hz
15000 Hz
20000 Hz
30000 Hz",B
19,"Two particles in a progressive wave are a distance 10 cm apart. The two graphs show the variation with time t of the displacement d of the two particles.

What could be represented by the two graphs?

particles in a longitudinal wave with a compression and the nearest rarefaction separated by 10 cm
particles in a longitudinal wave with a compression and the nearest rarefaction separated by 20 cm
particles in a transverse wave with a peak and the nearest trough separated by 20 cm
particles in a transverse wave with two adjacent peaks separated by 10 cm",A
20,"Two lasers emit light in a vacuum. One laser emits red light and the other emits green light.
Which property of the light from the two lasers must be different?

amplitude
frequency
intensity
speed",B
21,"Two guitar strings are stretched by tensile forces.
String X is stretched by a tensile force F that causes an extension x.
String Y is stretched by a tensile force 2F that causes an extension 2x.
The strings obey Hooke’s law.
What is the ratio ?

4
2",D
22,"A steel bar of circular cross-section is under tension T, as shown.
The diameter of the wide portion is double the diameter of the narrow portion.

What is the value of ?

0.25
0.50
2.0
4.0",A
23,"What is the definition of power?

Power is the product of force and velocity.
Power is the product of force and work done per unit time.
Power is the product of force per unit time and velocity.
Power is the rate at which work is done.",D
24,"A constant force F, acting on a car of mass m, moves the car up a slope through a distance s at constant velocity v. The angle of the slope to the horizontal is α.

The acceleration of free fall is g.
What is the ratio ?",D
25,"An object of weight 12 N rests on a platform on top of a container with two pistons, as shown. The container contains a fixed mass of gas, and the pistons are free to move.

The plunger is slowly pushed 4.0 cm to the right. As a result, the object slowly moves upwards a distance 0.50 cm.
How much work is done on the object?

0.060 J
0.48 J
6.0 J
48 J",A
26,"A stone is falling vertically through the air at a constant (terminal) velocity.
Which energy change is occurring?

gravitational potential energy to thermal energy
gravitational potential energy to kinetic energy of the stone
kinetic energy to gravitational potential energy of the stone
kinetic energy of the stone to thermal energy",A
27,"Each foot of an elephant has a circular cross-section with a circumference of 1.4 m. The elephant has a mass of 5400 kg.
The elephant is standing still with all four feet on the ground. Assume the pressure under each foot is the same.
What is the approximate pressure exerted on the ground by each of the elephant's feet?

8.7 kPa
35 kPa
85 kPa
340 kPa",C
28,"A disc of radius r is acted upon by two opposite forces, each of magnitude F. The forces form a couple, as shown.

What is the torque of this couple?

Fr
Fr
2Fr
4Fr",C
29,"A charged particle is placed in a uniform field of force. The direction of the force on the particle is opposite to the direction of the field.
What is the field and what is the charge on the particle?



 
field
charge on particle


A
electric
negative


B
electric
positive


C
gravitational
negative


D
gravitational
positive",A
30,"A nitrogen molecule P travelling at a speed of 320 m s–1 in a vacuum collides with a stationary nitrogen molecule Q.
After the collision, P travels at a velocity of 180 m s–1 at an angle of 55° to its original path.
Q travels in a direction at an angle of 34° to the initial path of P.

Assume that there are no external forces acting on the molecules.
What is the magnitude v of the velocity of Q after the collision?

120 m s–1
140 m s–1
180 m s–1
260 m s–1",D
31,"Four balls are dropped at the same time from the top of a very tall tower. There is no wind blowing.
Which ball hits the ground first?",B
32,"A book of weight W is at rest on a table. A student attempts to state Newton's third law of motion by saying that 'action equals reaction'.

If the weight of the book is the 'action' force, what is the 'reaction' force?

the force W acting downwards on the Earth from the table
the force W acting upwards on the book from the table
the force W acting upwards on the Earth from the book
the force W acting upwards on the table from the floor",C
33,"A projectile is fired from point P with velocity V at an angle θ to the horizontal. It lands at point Q, a horizontal distance R from P. Air resistance is negligible.

The acceleration of free fall is g.
Which equation for R is correct?",B
34,Which graph shows the variation with time t of the velocity v of an object falling vertically downwards in a vacuum?,D
35,"Students take readings of the volume of a liquid using three different pieces of measuring equipment X, Y and Z.
The true value of the volume of the liquid is V.
The students' results are shown.

How many pieces of equipment are precise and how many are accurate?



 
number of precisepieces of equipment
number of accuratepieces of equipment


A
1
1


B
1
2


C
2
1


D
2
2",D
36,"An analogue ammeter with a range of 0–250 mA is connected into an electrical circuit. The diagram shows the ammeter's display.

What is the reading on the ammeter?

76 mA
165 mA
183 mA
190 mA",D
37,"An object is acted upon by two forces, 10 N in the vertical direction and 6 N at 40° to the vertical, as shown.

What is the resultant force acting on the object?",D
38,"Which quantity could have units of N m V–1?

acceleration
charge
current
resistance",B
39,"What is not a reasonable estimate of the physical property indicated?

2 × 103 W for the power dissipated by the heating element of an electric kettle
4 × 102 m3 for the volume of water in a swimming pool
5 × 105 Ns for the momentum of a lorry moving along a road
6 × 102 N for the weight of a fully grown racehorse",D
40,"Which particle is a fundamental particle?

electron
hadron
neutron
proton",A
41,"A nucleus of uranium, , undergoes a series of decays. During the series of decays, two α-particles and one β– particle are emitted.
As a result, a nucleus of actinium, Ac, is formed.
What is the correct notation for the nuclide of actinium that is formed?",B
42,"A potentiometer circuit is used to determine the unknown electromotive force (e.m.f.) of a cell X.
In the circuit shown, E is a cell with an e.m.f. that is known accurately. QR is the potentiometer wire, which has a movable contact S. Contact S is connected to a galvanometer and to cell X.

What is not a necessary requirement to determine the e.m.f. of X from the circuit?

The e.m.f. of cell X must be lower than the e.m.f. of cell E.
The internal resistance of cell X must be known.
The lengths QS and QR must be determined accurately.
The resistance of the wire QR must be proportional to its length.",B
43,"Three resistors are connected in series with a battery, as shown. The battery has negligible internal resistance.

What is the potential difference across the 180 Ω resistor?

1.6 V
2.4 V
3.6 V
4.0 V",B
44,"The diagram shows a network of resistors. Each resistor has resistance R.

What is the total resistance of the network between points X and Y?




6R",C
45,"A cell is described as having an electromotive force (e.m.f.) of 6 V.
What does this mean?

1 coulomb of charge always dissipates 6 J of energy in the internal resistance of the cell.
1 electron gains 6 J of energy when passing through the cell.
There is a potential difference of 6 V applied across any external circuit connected to the cell.
When 1 coulomb of charge passes through the cell, 6 J of chemical energy is transformed.",D
46,"A length of wire is connected into an electric circuit. The current in the wire is measured.
Which change on its own could increase the current in the wire?

an increase in the length of the wire
an increase in the radius of the wire
an increase in the resistance of the wire 
an increase in the resistivity of the wire",B
47,"A mobile phone battery is charged by connecting it to a constant potential difference of 5.0 V. After a time of 1.0 hour, the initial current of 0.50 A slowly decreases to zero, as shown.

What is the best estimate of the energy transferred to the battery during the time of 2.0 hours shown in the graph?

2700 J
9000 J
14000 J
18000 J",C
48,"Which two units are used to define the coulomb?

ampere and second
ampere and volt
volt and ohm
volt and second",A
49,"An oil drop of mass 2.6 × 10–15 kg and with a charge of –4.8 × 10–19 C is in a vacuum between two horizontal plates. The plates have a separation of 2.0 cm and a potential difference (p.d.) between them of 1200 V, as shown.

Which statement describes the motion of the oil drop?

It is stationary.
It has a downward acceleration of 9.7 m s–2.
It has an upward acceleration of 1.3 m s–2.
It has an upward acceleration of 11 m s–2.",C
50,"What is the electric field strength in a region where a proton accelerates at 2.00 m s–2 due to the field?

11.4 pV m–1
5.22 nV m–1
10.4 nV m–1
20.9 nV m–1",D
51,"Light of a single unknown wavelength and blue light of a single wavelength are both incident normally on a diffraction grating. Two diffraction patterns are produced, one for each wavelength of light.
The third-order maximum for the blue light occurs at the same angle as the second-order maximum for the light of unknown wavelength. The wavelength of the blue light is 480 nm.
What is the unknown wavelength?

320 nm
720 nm
960 nm
1440 nm",B
