,Question,Mark Scheme,Response
0,"To ensure the safety of workers in laboratories where radioactive sources are used, describe how radioactive materials  should be stored, ........................................................................................................................................... ...................................................................................................................................... [1]",In box / cupboard with lead walls B1,"To ensure the safety of workers in laboratories using radioactive sources, radioactive materials should be stored in a **lead-lined box or cupboard**. Lead is used because it is a dense material that effectively **absorbs radiation** (such as alpha, beta, and gamma rays), reducing exposure to harmful emissions and minimizing the risk to personnel.  

*(Note: This satisfies the 1-mark requirement by specifying both the storage container and the shielding material.)*"
1,"To ensure the safety of workers in laboratories where radioactive sources are used, describe how radioactive materials  should be handled. ........................................................................................................................................... ...................................................................................................................................... [1]  ",(Handle) with (long) tongs OR remote-controlled device OR wearing lead gloves OR wearing lead suit B1,"To ensure the safety of workers handling radioactive materials in laboratories, **use long tongs** to maintain a safe distance from the source. This reduces radiation exposure because intensity decreases with distance (inverse square law).  

*(Alternative methods: Remote-controlled devices, lead gloves, or lead suits are also acceptable. Lead provides shielding by absorbing radiation.)*  

**Key reason:** Distance and shielding minimize ionizing radiation reaching the body, protecting against cell damage.  

[1 mark]"
2,Complete the table below for three types of emission from radioactive sources. [3]     type of emission nature range in air absorbed by     electromagnetic radiation several km       helium nucleus   0.2mm paper     electron        ,Col 1: gamma / γ (rays)           alpha / α (particles)           beta / β (particles) B1   Col 3: –           a few cm or up to 10 cm           a few m or up to 10 m B1   Col 4: thick lead or 30 cm lead or very thick concrete or 3 m concrete                  –           thin aluminium or 2 mm aluminium B1,"The completed table for the three types of radioactive emissions is shown below. Explanations are provided for clarity.

### Completed Table:
| Type of Emission | Nature               | Range in Air | Absorbed by             |
|------------------|----------------------|--------------|-------------------------|
| **Gamma (γ)**    | Electromagnetic radiation | Several km   | Thick lead or very thick concrete |
| **Alpha (α)**    | Helium nucleus       | A few cm     | 0.2 mm paper (already given)     |
| **Beta (β)**     | Electron             | A few m      | Thin aluminium          |

### Explanations:
1. **Gamma (γ) radiation**:  
   - **Nature**: Electromagnetic waves (similar to light but higher energy).  
   - **Range in air**: Several kilometers—due to high penetration power and weak interaction with matter.  
   - **Absorbed by**: Dense materials like **thick lead (≥30 cm)** or **very thick concrete (≥3 m)**. These materials block γ-rays by absorbing their energy through interactions with atoms.  

2. **Alpha (α) particles**:  
   - **Nature**: **Helium nuclei** (2 protons + 2 neutrons), hence large and positively charged.  
   - **Range in air**: **A few cm (3–10 cm)**—short range because they ionize air molecules heavily, losing energy quickly.  
   - *Absorption note*: Already listed as stopped by **0.2 mm paper** due to low penetration.  

3. **Beta (β) particles**:  
   - **Nature**: High-speed **electrons** emitted from the nucleus.  
   - **Range in air**: **A few meters (1–10 m)**—intermediate range; ionize less than alpha but more than gamma.  
   - **Absorbed by**: **Thin aluminium (≈2 mm)**—electrons lose energy via collisions with metal atoms.  

### Key Physics Principles:
- **Penetration power**:  
  Alpha (least penetrating) < Beta < Gamma (most penetrating).  
- **Absorption**: Depends on particle energy and charge. Denser materials stop gamma; lightweight materials suffice for alpha/beta.  
- **Ionization**: Alpha particles cause the most ionization per collision, leading to shorter ranges.  

This table reflects core IGCSE radioactive properties. No advanced concepts are used."
3,"State the type of radiation emitted when  an americium nucleus (24195Am) decays into a neptunium nucleus (23793Np), ...................................................................................................................................... [1]",alpha / α (particles or rays) B1,"The type of radiation emitted is **alpha (α) radiation**.  

### Explanation:  
When \(^{241}_{\ 95}\text{Am}\) (americium) decays into \(^{237}_{\ 93}\text{Np}\) (neptunium):  
- The **mass number** decreases by 4 (from 241 to 237).  
- The **atomic number** decreases by 2 (from 95 to 93).  

This matches the properties of **alpha decay**, where an alpha particle (a helium nucleus, \(^{4}_{2}\text{He}\)) is emitted. An alpha particle has:  
- Mass number = 4 (due to 2 protons + 2 neutrons),  
- Atomic number = 2 (due to 2 protons).  

Thus, the decay equation is:  
\[ ^{241}_{\ 95}\text{Am} \rightarrow ^{237}_{\ 93}\text{Np} + ^{4}_{2}\text{He} \]  
Alpha radiation is emitted."
4,State the type of radiation emitted when  a phosphorus nucleus (3215P) decays into a silicon nucleus (3216Si). ...................................................................................................................................... [1],beta / β (particles or rays) B1,"The radiation emitted is **beta (β) particles**.  

**Explanation:**  
- The phosphorus nucleus (\(^{32}_{15}\text{P}\)) decays into silicon (\(^{32}_{16}\text{Si}\)).  
- The **mass number (32) remains unchanged**, but the **atomic number increases from 15 to 16**.  
- This increase in atomic number indicates that a neutron in the nucleus has converted into a proton, emitting a beta particle (an electron) and an antineutrino.  
- Beta decay is characterized by:  
  - No change in mass number.  
  - Atomic number increases by 1.  

Thus, the decay involves **beta radiation**.  

---  
**Answer:** beta / β"
5,"Fig. 10.1 shows a straight wire AB placed in the magnetic field between the poles of a magnet. The ends of AB are connected to a galvanometer.  (DIAGRAM)  When AB is moved vertically, the needle of the galvanometer shows a deflection. State three factors that affect the size of the deflection. 1 ............................................................................................................................................... 2 ............................................................................................................................................... 3 ............................................................................................................................................... [3]  ",Strength of magnetic field / magnet B1 Speed (of movement of wire) B1 Length of AB / wire (within field) B1,"The size of the deflection in the galvanometer depends on the magnitude of the induced electromotive force (emf). According to the principles of electromagnetic induction, this emf is affected by:  

1. **Strength of the magnetic field**  
   A stronger magnetic field (e.g., using a more powerful magnet) increases the number of magnetic field lines cut by the wire per second, resulting in a larger induced emf and deflection.  

2. **Speed of movement of the wire**  
   Moving the wire faster increases the rate at which it cuts magnetic field lines. This directly increases the induced emf (since emf ∝ rate of cutting flux), causing greater deflection.  

3. **Length of the wire within the magnetic field**  
   A longer wire segment (AB) exposed to the field means more conductor is available to cut magnetic field lines, leading to a larger induced emf and deflection.  

**Key principle**: The deflection reflects the induced emf, which depends on the *rate of change* of magnetic flux linkage (Faraday's law). All three factors directly affect this rate.  

(DIAGRAM: A horizontal wire AB between N and S poles of a magnet, connected to a galvanometer. Arrows show vertical motion of the wire.)"
6,Fig. 10.2 shows a transformer.  (DIAGRAM)    The primary coil P has 8000 turns and an input of 240V. The secondary coil S has an output of 12V. Calculate the number of turns in the secondary coil.     number = ......................................................... [2],Vp / Vs = Np / Ns OR (Ns =) 8000 × 12 / 240 C1 400 (turns) A1,"To calculate the number of turns in the secondary coil of the transformer, we use the transformer equation:

**Transformer equation:**  
\[ \frac{V_p}{V_s} = \frac{N_p}{N_s} \]  
where:  
- \( V_p \) = primary voltage (input voltage)  
- \( V_s \) = secondary voltage (output voltage)  
- \( N_p \) = number of turns in primary coil  
- \( N_s \) = number of turns in secondary coil  

This equation holds for ideal transformers and shows that the **voltage ratio equals the turns ratio**.  

**Given values:**  
- \( V_p = 240 \, \text{V} \)  
- \( V_s = 12 \, \text{V} \)  
- \( N_p = 8000 \) turns  

**Rearrange the equation to solve for \( N_s \):**  
\[ N_s = N_p \times \frac{V_s}{V_p} \]  

**Substitute the values:**  
\[ N_s = 8000 \times \frac{12}{240} \]  

**Simplify the fraction:**  
\[ \frac{12}{240} = \frac{1}{20} = 0.05 \]  

**Calculate:**  
\[ N_s = 8000 \times 0.05 = 400 \]  

**Answer:**  
The number of turns in the secondary coil is **400**.  

---

**Key physics note (for understanding):**  
Transformers work on electromagnetic induction. When AC voltage is applied to the primary coil, it creates a changing magnetic field in the core. This changing field induces a voltage in the secondary coil. The turns ratio directly determines how the voltage is ""stepped down"" (as here) or ""stepped up""."
7,"Fig. 10.2 shows a transformer.  (DIAGRAM)    A circuit containing a resistor is connected to the terminals A and B. A direct current (d.c.) is required in this resistor. On Fig. 10.2, draw this circuit.  [1] ",Circuit connected to A and B with resistor and diode with correct circuit symbols in series B1,"To provide direct current (d.c.) to a resistor using the transformer's output terminals A and B, draw the circuit as follows:  

**(DIAGRAM: Connect terminal A to the anode (triangle side) of a diode. Connect the cathode (bar side) of the diode to one end of the resistor. Connect the other end of the resistor to terminal B. Use standard symbols: diode = triangle adjacent to a bar, resistor = rectangle or zigzag line.)**  

### Explanation:  
- The transformer produces **alternating current (a.c.)** at terminals A and B.  
- A **diode** is added because it acts as a one-way valve for current, allowing flow only when terminal A is positive relative to B. This converts a.c. to pulsating d.c.  
- The **resistor** is placed in series to complete the circuit, ensuring current flows through it in a single direction.  
- This setup ensures **d.c. in the resistor** (though pulsating), satisfying the requirement.  

> **Key Physics**: Diodes rectify a.c. to d.c. by blocking one half of the cycle. No d.c. output is possible without a diode."
8,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)     The potential difference (p.d.) applied to the resistor is increased. Tick the box that indicates the effect on the resistance of the resistor.  (DIAGRAM)  [1]  ,Resistor: tick in 2nd box B1,"Based on the current-potential difference graph for the resistor shown in Fig. 9.1:  

- The graph for the resistor is a **straight line passing through the origin**.  
- This indicates that the resistor is an **ohmic conductor**, meaning its resistance remains constant regardless of the applied potential difference (p.d.).  
- Resistance (\(R\)) is calculated as \(R = \frac{V}{I}\). Since the graph shows \(V \propto I\) (a straight line), the ratio \(\frac{V}{I}\) is constant.  
- Therefore, increasing the p.d. **does not change** the resistance.  

**Effect on resistance:**  
- Tick the box indicating **""no change""** or **""remains constant""** (the second box in the options).  

\boxed{\text{no change}}"
9,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)     The potential difference (p.d.) applied to the lamp is increased. Tick the box that indicates the effect on the resistance of the lamp.  (DIAGRAM)  [1]  ,Lamp: tick in 1st box B1,"### Model Answer:

The resistance of the lamp **increases** when the potential difference (p.d.) is increased. Therefore, we tick the first box (indicating ""increases"").  

#### Explanation:  
1. **Observing the graph (Fig. 9.1):**  
   - The current–p.d. graph for a lamp is a **curve** (not a straight line like the resistor's graph).  
   - As p.d. increases, the current increases, but the **gradient of the graph decreases**. This shows that the lamp does not obey Ohm’s law.  

2. **Why resistance increases:**  
   - Resistance (\(R\)) is calculated using \(R = \frac{V}{I}\) (from the definition \(R = \frac{\text{p.d.}}{\text{current}}\)).  
   - When p.d. (\(V\)) increases, the current (\(I\)) increases, but **not proportionally**. The increase in current is less than expected for a straight-line graph.  
   - This happens because the lamp’s filament **heats up** as current flows through it (due to electrical energy being converted to heat and light).  
   - In a hot metal filament, atoms vibrate more vigorously, causing **more collisions with free electrons**. This makes it harder for electrons to flow, increasing resistance.  

**Conclusion:**  
The resistance of the lamp increases with p.d. due to heating of the filament. This is a key property of filament lamps and differs from resistors (which have constant resistance).  

---  
**Note for students:**  
- Always check the shape of the current–p.d. graph:  
  - **Straight line through origin?** → Constant resistance (Ohmic).  
  - **Curve with decreasing gradient?** → Increasing resistance (non-Ohmic, like a lamp).  
- Heating effect is crucial: Higher p.d. → more current → more heat → higher resistance."
