,Question,Mark Scheme
0,"Which statement about acceleration is correct?

It is related to the changing speed of an object.
It is the distance an object travels in one second.
It is the force acting on an object divided by the distance it travels in one second.
It is the force acting on an object when it is near to the Earth.",A
1,"Which statement about ultrasound is correct? 

It has a higher frequency than audible sound, and it is a longitudinal wave.
It has a higher frequency than audible sound, and it is a transverse wave.
It has a lower frequency than audible sound, and it is a longitudinal wave.
It has a lower frequency than audible sound, and it is a transverse wave.",A
2,"Which statement about the mass and the weight of an object is correct? 

They are both affected by changes in the acceleration of free fall.
They are both forces.
They have different units.
Weight is calculated by dividing mass by the acceleration of free fall.",C
3,"A truth table for a type of logic gate is shown.



input 1
input 2
output


0011
0101
0111



Which type of logic gate is it?

AND
NOR
NOT
OR",D
4,"The diagram shows a circuit used to make a light detector.

One component is connected between X and Y.
Which component causes the ammeter reading to increase when the light gets brighter?",A
5,"A student connects a variable potential divider (potentiometer) circuit. 

What happens to the reading on the voltmeter as the sliding terminal T is moved from R to S?

It decreases from 12V to 0V.
It increases from 0V to 12V.
It remains at 0V.
It remains at 12V.",B
6,"Which material is a conductor of electricity?

brass
glass
plastic
wood",A
7,"A fire alarm is not loud enough and the pitch is too low. An engineer adjusts the alarm so that it produces a louder note of a higher pitch.
What effect does this have on the amplitude and on the frequency of the sound?



 
amplitude
frequency


A
larger
greater


B
larger
smaller


C
smaller
greater


D
smaller
smaller",A
8,"Light travels in a vacuum and then enters a glass block. The speed of the light in the glass block is 2.0×108m / s.
Which statement about the speed of light is correct?

The speed in a vacuum is 1.5 times the speed in the glass.
The speed in the glass is the same as the speed in a vacuum.
The speed in the glass is 1.5 times the speed in a vacuum.
The speed in the glass is 1.0×108 times the speed in a vacuum.",A
9,Which diagram shows what happens when a ray of white light passes through a prism?,D
10,"The diagrams show two mercury barometers. The right-hand diagram shows a tube of larger diameter. There is a vacuum above the mercury in both tubes.
Which labelled position on the right-hand tube shows the mercury level in the right-hand tube?",B
11,"A man can either take an escalator or a lift to travel up between two floors in a hotel. 

The escalator takes 20 seconds to carry the man between the two floors. The useful work done against gravity is W. The useful power developed is P.
The lift takes 30 seconds to carry the same man between the same two floors. 
How much useful work against gravity is done by the lift, and how much useful power is developed by the lift? 



 
useful workdone againstgravity by lift
useful powerdeveloped by lift


A
more than W
less than P


B
more than W
P


C
W
less than P


D
W
P",C
12,"The diagram shows the height of a stack of identical coins. 

What is the thickness of one coin?

0.20 mm
2.0 mm
0.24 cm
2.0 cm",B
13,"Radioactive source S emits α-particles, β-particles and γ-rays. A detector is placed 5 cm away from S. A thin sheet of paper is placed as shown in the diagram.

Which emissions from the source can be detected?

α-particles and β-particles only
α-particles and γ-rays only
β-particles and γ-rays only
α-particles, β-particles and γ-rays",C
14,"An electric current can produce a heating effect and a magnetic effect. 
Which row shows the effect that a relay uses and one application of a relay?



 
effect used by a relay
one application of a relay


A
heating effect
allowing a small current to switch on a large current


B
heating effect
changing the voltage of an a.c. supply


C
magnetic effect
allowing a small current to switch on a large current


D
magnetic effect
changing the voltage of an a.c. supply",C
15,"The diagram shows a lamp in a circuit. 

Which change to the circuit would increase the current in the lamp?

adding another resistor in parallel with the one in the circuit
adding another resistor in series with the one in the circuit
decreasing the electromotive force (e.m.f.) of the battery in the circuit
moving the lamp to point P in the circuit",A
16,"A student suggests three methods for demagnetising a piece of steel.

placing it in an east-west direction and hammering it hard
placing it in an east-west direction and heating it until red hot
removing it slowly from a coil carrying alternating current

Which of the methods will demagnetise the piece of steel?

1 only
2 only
3 only
1, 2 and 3",D
17,"In two separate experiments, a magnet is brought near to an unmagnetised iron bar. This causes the bar to become magnetised.

Which magnetic pole is induced at X and at Y?



 
pole induced at X
pole induced at Y


A
N
N


B
N
S


C
S
N


D
S
S",A
18,"A girl notices that, when she shouts into a cave, she hears an echo. 
Which wave property causes the echo? 

diffraction
dispersion
reflection
refraction",C
19,"An image is formed by a plane mirror. A second image is formed by a lens used as a magnifying glass.
Which row states the nature of each of these images?



 
plane mirror
magnifying glass


A
real
real


B
real
virtual


C
virtual
real


D
virtual
virtual",D
20,Which wave has an amplitude equal to half its wavelength?,B
21,"On a very cold day, a boy puts one hand on the metal handlebars of his bicycle. He puts the other hand on the rubber hand grip.
The metal feels colder than the rubber hand grip, although they are both at the same temperature.
Why is this?

The metal has a higher melting point than the rubber.
The metal has a lower thermal capacity than the rubber.
The metal is a better thermal conductor than the rubber.
The metal radiates more infra-red radiation than the rubber.",C
22,"A copper container of mass 0.20 kg contains 0.10 kg of water.
The specific heat capacity of copper is 385 J /(kg °C) and the specific heat capacity of water is 4200 J /(kg °C).
How much energy, in joules, is needed to raise the temperature of the copper container and the water by 10 °C?

(0.20 × 385 × 10) – (0.10 × 4200 × 10)
(0.20 × 385 × 10) + (0.10 × 4200 × 10) 

(0.10 + 0.20) × (4200 + 385) × 10",B
23,"A piece of melting ice at 0 °C and a beaker of boiling water are both in a laboratory. The laboratory is at 20 °C.  

What is happening to the temperature of the melting ice and what is happening to the temperature of the boiling water?



 
temperature ofmelting ice
temperature ofboiling water


A
constant
constant


B
constant
increasing


C
increasing
constant


D
increasing
increasing",A
24,"The diagrams show a spring and a graph of the length of the spring against the load applied to it.

What is the extension of the spring when a load of 40 N is applied to it? 

1.5 cm
2.5 cm
4.0 cm
6.5 cm",A
25,"An object travels in a circular path at constant speed.
Which statement about the object is correct?

It has changing kinetic energy.
It has changing momentum.
It has constant velocity.
It is not accelerating.",B
26,"A student uses a measuring cylinder and a balance to find the density of oil. The diagram shows the arrangement used.

Which calculation gives the density of the oil?",D
27,"A stone falls freely from the top of a cliff. Air resistance may be ignored.
Which graph shows how the acceleration of the stone varies with time as it falls?",D
28,"The graph shows how the distance travelled by a vehicle changes with time.

Which row describes the speed of the vehicle in each section of the graph?



 
P to Q
Q to R
R to S


A
constant
zero
constant


B
constant
zero
decreasing


C
increasing
constant
decreasing


D
increasing
zero
constant",A
29,"Radioactive source S emits α-particles, β-particles and γ-rays. A detector is placed 5 cm away from S. A thin sheet of paper is placed as shown in the diagram.

Which emissions from the source can be detected?

α-particles and β-particles only
α-particles and γ-rays only
β-particles and γ-rays only
α-particles, β-particles and γ-rays",C
30,"An electric current can produce a heating effect and a magnetic effect.
Which row shows the effect that a relay uses and one application of a relay?



 
effect used by a relay
one application of a relay


A
heating effect
allowing a small current to switch on a large current


B
heating effect
changing the voltage of an a.c. supply


C
magnetic effect
allowing a small current to switch on a large current


D
magnetic effect
changing the voltage of an a.c. supply",C
31,"The diagram shows a circuit containing a battery, a resistor with high resistance, a switch and a lamp. 

Initially the switch is open.
What happens to the lamp when the switch is closed?

It glows more brightly.
It glows less brightly.
It goes out.
Its brightness does not change.",A
32,"A polythene rod is rubbed with a cloth. The rod becomes positively charged because of the movement of charged particles.
Which row gives the name of these charged particles, and the direction in which they move?



 
chargedparticles
direction ofmovement


A
electrons
from cloth to rod


B
electrons
from rod to cloth


C
protons
from cloth to rod


D
protons
from rod to cloth",B
33,"In two separate experiments, a magnet is brought near to an unmagnetised iron bar. This causes the bar to become magnetised. 

Which magnetic pole is induced at X and at Y?



 
pole induced at X
pole induced at Y


A
N
N


B
N
S


C
S
N


D
S
S",A
34,"The diagrams represent the displacement in four different sound waves. All the diagrams are drawn to the same scale.
Which diagram represents the sound with the highest pitch?",D
35,"A girl notices that, when she shouts into a cave, she hears an echo.
Which wave property causes the echo?

diffraction
dispersion
reflection
refraction",C
36,"Radiation from which part of the electromagnetic spectrum is used in the remote controller for a television?

infra-red waves
microwaves
radio waves
ultraviolet waves",A
37,"A piece of melting ice at 0 °C and a beaker of boiling water are both in a laboratory. The laboratory is at 20 °C. 

What is happening to the temperature of the melting ice and what is happening to the temperature of the boiling water?



 
temperature ofmelting ice
temperature ofboiling water


A
constant
constant


B
constant
increasing


C
increasing
constant


D
increasing
increasing",A
38,"The box contains the names of eight different energy resources.



natural gas
geothermal
solar
waves


hydroelectric
oil
wind
coal



How many of these energy resources are renewable?

3
4
5
6",C
39,"The diagrams show an empty rectangular box, and the same box filled with liquid.
The box has a mass of 60g when empty. When filled with liquid, the total mass of the box and the liquid is 300g. 

The density of the liquid is 1.2 g/cm3.
What is the volume of the liquid in the box?

50 cm3 
200 cm3 
250 cm3 
300 cm3",B
40,"A stone falls freely from the top of a cliff. Air resistance may be ignored.
Which graph shows how the acceleration of the stone varies with time as it falls?",D
41,"The graph shows how the distance travelled by a vehicle changes with time.

Which row describes the speed of the vehicle in each section of the graph?



 
P to Q
Q to R
R to S


A
constant
zero
constant


B
constant
zero
decreasing


C
increasing
constant
decreasing


D
increasing
zero
constant",A
42,"The diagram shows a lamp in a circuit.

Which change to the circuit would increase the current in the lamp?

adding another resistor in parallel with the one in the circuit
adding another resistor in series with the one in the circuit
decreasing the electromotive force (e.m.f.) of the battery in the circuit
moving the lamp to point P in the circuit",A
43,"The diagram shows a shaded area where the direction of a magnetic field is into the page.
A beam of β-particles enters the field as shown. 

In which direction is the beam of β-particles deflected as they enter the magnetic field?

into the page
out of the page
down the page
up the page",C
44,"The diagram shows a transformer. 

The input voltage is 240V.
What is the output voltage?

6.0 V
12 V
20 V
40 V",B
45,"A strong electromagnet is used to attract pins. 

What happens when the current in the coil is halved? 

No pins are attracted.
Some pins are attracted, but not as many.
The same number of pins is attracted.
More pins are attracted.",B
46,"A domestic circuit includes a 30A fuse. This protects the wiring if there is too much current in the circuit. 
In which wire is the 30A fuse positioned, and what does it do when it operates? 



 
position
operation


A
live wire
disconnects the circuit


B
live wire
reduces the current to 30A


C
neutral wire
disconnects the circuit


D
neutral wire
reduces the current to 30A",A
47,"The diagram shows a combination of logic gates. 

Input P is at a logic state 0 (low) and input Q is at a logic state 1 (high).
What are the logic states at output X and at output Y?



 
output X
output Y


A
0
0


B
0
1


C
1
0


D
1
1",A
48,"The four circuits shown all include an a.c. power supply, two diodes and a lamp.
In which circuit is there a rectified current in the lamp?",A
49,"The diagram shows a converging lens forming an image of an object. 

Which statement about the image is correct?

It is real and can be seen by an eye at X.
It is real and can be seen by an eye at Y.
It is virtual and can be seen by an eye at X.
It is virtual and can be seen by an eye at Y.",D
50,"Which row shows the natures of light waves, sound waves and X-rays?



 
light waves
sound waves
X-rays


A
longitudinal
longitudinal
transverse


B
longitudinal
transverse
longitudinal


C
transverse
longitudinal
transverse


D
transverse
transverse
longitudinal",C
51,"A sealed bottle of constant volume contains air.
The air in the bottle is heated by the Sun.
What is the effect on the average speed of the air molecules in the bottle, and the average distance between them?



 
average speedof air molecules
average distancebetween airmolecules


A
decreases
decreases


B
decreases
stays the same


C
increases
increases


D
increases
stays the same",D
52,"The diagram shows part of a circuit used to switch street lamps on and off automatically. 

In the evening it gets dark.
Which row shows the effect on the resistance of the light-dependent resistor (LDR) and on the potential difference (p.d.) across it?



 
resistance of LDR
p.d. across LDR


A
decreases
decreases


B
decreases
increases


C
increases
decreases


D
increases
increases",D
53,"A diver under water uses breathing apparatus at a depth where the pressure is 1.25× 105 Pa.

A bubble of gas breathed out by the diver has a volume of 20 cm3 when it is released.The bubble moves upwards to the surface of the water.
At the surface of the water, the atmospheric pressure is 1.00×105 Pa.
The temperature of the water is the same at all depths.
What is the volume of this bubble when it reaches the surface?

15 cm3 
16 cm3 
20 cm3 
25 cm3",D
54,"A cup contains hot liquid.
Some of the liquid evaporates.
What happens to the mass and what happens to the weight of the liquid in the cup?



 
mass
weight


A
decreases
decreases


B
decreases
stays the same


C
stays the same
decreases


D
stays the same
stays the same",A
