,question,answer,index
0,"To ensure the safety of workers in laboratories where radioactive sources are used, describe how radioactive materials  should be stored, ........................................................................................................................................... ...................................................................................................................................... [1]",In box / cupboard with lead walls B1,"(0, 'a.i')"
1,"To ensure the safety of workers in laboratories where radioactive sources are used, describe how radioactive materials  should be handled. ........................................................................................................................................... ...................................................................................................................................... [1]  ",(Handle) with (long) tongs OR remote-controlled device OR wearing lead gloves OR wearing lead suit B1,"(0, 'a.ii')"
2,Complete the table below for three types of emission from radioactive sources. [3]     type of emission nature range in air absorbed by     electromagnetic radiation several km       helium nucleus   0.2mm paper     electron        ,Col 1: gamma / γ (rays)           alpha / α (particles)           beta / β (particles) B1   Col 3: –           a few cm or up to 10 cm           a few m or up to 10 m B1   Col 4: thick lead or 30 cm lead or very thick concrete or 3 m concrete                  –           thin aluminium or 2 mm aluminium B1,"(0, 'b')"
3,"State the type of radiation emitted when  an americium nucleus (24195Am) decays into a neptunium nucleus (23793Np), ...................................................................................................................................... [1]",alpha / α (particles or rays) B1,"(0, 'c.i')"
4,State the type of radiation emitted when  a phosphorus nucleus (3215P) decays into a silicon nucleus (3216Si). ...................................................................................................................................... [1],beta / β (particles or rays) B1,"(0, 'c.ii')"
5,"Fig. 10.1 shows a straight wire AB placed in the magnetic field between the poles of a magnet. The ends of AB are connected to a galvanometer.  (DIAGRAM)  When AB is moved vertically, the needle of the galvanometer shows a deflection. State three factors that affect the size of the deflection. 1 ............................................................................................................................................... 2 ............................................................................................................................................... 3 ............................................................................................................................................... [3]  ",Strength of magnetic field / magnet B1 Speed (of movement of wire) B1 Length of AB / wire (within field) B1,"(1, 'a')"
6,Fig. 10.2 shows a transformer.  (DIAGRAM)    The primary coil P has 8000 turns and an input of 240V. The secondary coil S has an output of 12V. Calculate the number of turns in the secondary coil.     number = ......................................................... [2],Vp / Vs = Np / Ns OR (Ns =) 8000 × 12 / 240 C1 400 (turns) A1,"(1, 'b.i')"
7,"Fig. 10.2 shows a transformer.  (DIAGRAM)    A circuit containing a resistor is connected to the terminals A and B. A direct current (d.c.) is required in this resistor. On Fig. 10.2, draw this circuit.  [1] ",Circuit connected to A and B with resistor and diode with correct circuit symbols in series B1,"(1, 'b.ii')"
8,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)     The potential difference (p.d.) applied to the resistor is increased. Tick the box that indicates the effect on the resistance of the resistor.  (DIAGRAM)  [1]  ,Resistor: tick in 2nd box B1,"(2, 'a.i')"
9,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)     The potential difference (p.d.) applied to the lamp is increased. Tick the box that indicates the effect on the resistance of the lamp.  (DIAGRAM)  [1]  ,Lamp: tick in 1st box B1,"(2, 'a.ii')"
10,Fig. 9.1 shows current-potential difference graphs for a resistor and for a lamp.  (DIAGRAM)   The p.d. across the lamp is 6.0V. Calculate the resistance of the lamp.    resistance = ......................................................... [2]  ,(R =) V / I OR (R =) 6.0 / 4.4 C1 1.4 Ω A1,"(2, 'b')"
